Date,Open,High,Low,Close,Volume
2010-01-04,31.39,31.63,31.13,31.3,2729240
2010-01-05,31.21,31.22,30.76,30.96,2994237
2010-01-06,30.85,31.0,30.76,30.85,2320299
2010-01-07,30.78,30.82,30.5,30.81,2213927
2010-01-08,30.64,30.85,30.4,30.8,2670856
2010-01-11,30.88,31.05,30.67,30.82,3420258
2010-01-12,30.56,30.65,30.22,30.45,2053677
2010-01-13,30.47,30.78,30.05,30.69,2445558
2010-01-14,30.59,31.24,30.5,31.15,4408930
2010-01-15,31.22,31.36,30.33,30.43,3309434
2010-01-19,30.36,30.83,30.35,30.8,2549092
2010-01-20,30.53,30.67,30.19,30.63,3282598
2010-01-21,31.0,31.11,30.18,30.52,4350005
2010-01-22,30.35,30.35,29.09,29.17,3049371
2010-01-25,29.42,29.65,29.23,29.45,2581167
2010-01-26,29.37,29.5,28.98,29.29,1929019
2010-01-27,29.2,29.29,28.73,29.17,3120255
2010-01-28,29.13,29.37,28.49,28.69,3532089
2010-01-29,28.93,29.17,27.92,28.03,4236738
2010-02-01,28.16,29.32,28.13,29.13,4001809
2010-02-02,29.22,29.59,29.09,29.5,4209397
2010-02-03,29.39,29.89,29.36,29.54,4353100
2010-02-04,29.3,29.45,28.94,29.07,4744169
2010-02-05,28.91,29.26,28.18,29.17,6828734
2010-02-08,29.21,29.68,29.13,29.2,4952879
2010-02-09,29.53,29.72,29.18,29.41,3684273
2010-02-10,29.46,29.49,28.88,29.25,2328789
2010-02-11,29.25,29.61,28.77,29.36,4994537
2010-02-12,30.65,30.74,29.57,29.98,8195874
2010-02-16,30.24,30.34,29.97,30.25,4692010
2010-02-17,30.36,30.74,30.13,30.63,3498637
2010-02-18,30.57,31.0,30.44,30.98,2370436
2010-02-19,30.84,31.27,30.62,31.2,2994324
2010-02-22,31.29,31.29,30.85,31.15,2888413
2010-02-23,31.09,31.16,30.52,30.85,3123874
2010-02-24,30.97,31.24,30.86,31.23,2822434
2010-02-25,30.84,31.13,30.23,31.09,3418050
