Date,Open,High,Low,Close,Volume
2010-01-04,27.1,27.28,26.96,27.23,10391412
2010-01-05,27.24,27.24,26.88,27.01,10135408
2010-01-06,26.97,27.2,26.92,27.16,10940728
2010-01-07,27.16,27.39,27.04,27.38,12338056
2010-01-08,27.38,27.62,27.34,27.52,11657956
2010-01-11,27.65,27.74,27.54,27.66,10505156
2010-01-12,27.6,27.78,27.52,27.58,10497316
2010-01-13,27.43,27.77,27.42,27.64,10113278
2010-01-14,27.61,27.81,27.5,27.68,8619452
2010-01-15,27.68,27.78,27.58,27.74,15480868
2010-01-19,27.78,28.25,27.76,28.1,15990584
2010-01-20,28.12,28.4,27.8,28.12,13512006
2010-01-21,28.1,28.25,27.5,27.78,16617464
2010-01-22,27.66,27.83,27.2,27.26,14009918
2010-01-25,27.38,27.76,27.26,27.35,9700836
2010-01-26,27.28,27.34,27.13,27.24,13256378
2010-01-27,27.05,27.07,26.58,26.95,23133776
2010-01-28,27.05,27.22,26.82,26.98,13302860
2010-01-29,27.04,27.04,26.44,26.47,19030812
2010-02-01,26.56,26.84,26.54,26.67,17634634
2010-02-02,26.64,27.3,26.6,27.22,16518644
2010-02-03,27.18,27.39,27.05,27.32,13586656
2010-02-04,27.38,27.38,26.9,26.91,18396156
2010-02-05,26.82,27.06,26.65,26.98,21635052
2010-02-08,26.92,26.98,26.66,26.68,14260676
2010-02-09,26.82,26.99,26.67,26.68,22290832
2010-02-10,26.63,26.74,26.34,26.63,14854676
2010-02-11,26.64,26.86,26.46,26.77,12871698
2010-02-12,26.6,27.0,26.56,26.96,16856250
2010-02-16,27.12,27.34,26.88,27.3,15106120
2010-02-17,27.4,27.49,27.28,27.38,12751366
2010-02-18,27.34,27.5,27.34,27.48,10719874
2010-02-19,27.44,27.44,27.04,27.19,19304110
2010-02-22,27.24,27.26,26.98,27.2,11483422
2010-02-23,27.12,27.24,26.88,26.98,13404108
2010-02-24,27.1,27.27,26.96,27.16,13569922
2010-02-25,26.98,27.1,26.8,27.06,11808568
2010-02-26,27.09,27.26,26.92,27.14,14082210
2010-03-01,27.18,27.33,27.07,27.14,9118068
2010-03-02,27.11,27.35,27.06,27.29,9998394
2010-03-03,27.3,27.42,26.96,27.04,13411018
2010-03-04,27.24,27.25,26.96,27.04,12723592
2010-03-05,27.07,27.2,27.06,27.16,14673986
