Date,Open,High,Low,Close,Volume
2010-01-04,41.52,42.2,41.5,42.07,3650009
2010-01-05,42.1,42.45,41.98,42.33,2612977
2010-01-06,42.09,42.9,41.81,42.78,5772011
2010-01-07,42.5,42.9,42.24,42.74,4022855
2010-01-08,42.51,43.06,42.19,42.57,5070173
2010-01-11,42.44,42.81,42.23,42.53,4231854
2010-01-12,42.21,43.62,42.2,42.26,5557017
2010-01-13,42.45,42.93,42.2,42.74,4496744
2010-01-14,42.72,43.29,42.6,43.12,3312435
2010-01-15,42.96,43.59,42.74,42.81,4734201
2010-01-19,42.69,43.83,42.5,43.75,5343584
2010-01-20,43.36,43.89,43.05,43.51,4409887
2010-01-21,43.44,43.78,42.86,43.09,4578258
2010-01-22,43.02,43.02,41.89,42.18,4903788
2010-01-25,42.54,42.54,41.62,41.88,3665678
2010-01-26,41.76,42.19,41.53,41.83,3458951
2010-01-27,41.91,42.5,41.53,41.93,4562293
2010-01-28,42.15,42.15,41.1,41.29,4773224
2010-01-29,41.64,41.97,40.94,40.99,4618010
2010-02-01,41.16,41.6,40.91,41.19,3540012
2010-02-02,41.39,41.84,40.8,41.62,3817851
2010-02-03,41.55,41.69,41.39,41.6,2555072
2010-02-04,41.38,41.38,40.56,40.61,4069381
2010-02-05,40.21,40.75,39.7,40.54,5850368
2010-02-08,40.43,40.57,39.9,40.17,4514119
2010-02-09,40.47,40.78,40.18,40.24,4525687
2010-02-10,40.33,40.55,39.63,40.02,4885737
2010-02-11,40.02,40.6,39.61,40.27,4753284
2010-02-12,40.34,40.54,39.8,40.49,3347671
2010-02-16,40.7,40.84,40.22,40.84,2419988
2010-02-17,41.12,41.12,40.66,40.79,2480268
2010-02-18,40.84,41.34,40.73,41.31,2309573
2010-02-19,40.26,41.41,40.26,40.87,5039136
2010-02-22,40.99,41.09,40.55,40.7,2421352
2010-02-23,40.59,40.86,40.24,40.26,2600863
2010-02-24,40.42,40.63,40.24,40.28,3261551
2010-02-25,40.01,40.17,39.55,39.75,5548641
