Date,Open,High,Low,Close,Volume
2010-01-04,31.48,31.84,31.33,31.47,3472493
2010-01-05,31.55,31.77,31.4,31.64,3458662
2010-01-06,31.6,31.89,31.43,31.56,3745800
2010-01-07,31.55,31.7,31.05,31.23,7232087
2010-01-08,31.12,31.19,30.52,30.84,6264659
2010-01-11,30.97,31.32,30.6,30.86,5019589
2010-01-12,30.68,30.86,30.32,30.53,4278714
2010-01-13,30.64,30.83,30.38,30.66,3336541
2010-01-14,30.58,30.97,30.5,30.74,3233987
2010-01-15,30.77,30.97,30.3,30.54,3693664
2010-01-19,30.5,30.88,30.43,30.54,4335988
2010-01-20,31.03,31.19,30.65,30.9,7735384
2010-01-21,30.94,30.98,30.41,30.44,8686065
2010-01-22,30.33,30.9,30.07,30.47,6270742
2010-01-25,30.71,30.71,29.7,29.77,6367640
2010-01-26,29.65,29.77,29.53,29.63,5009270
2010-01-27,29.61,29.89,29.52,29.75,5128484
2010-01-28,29.79,30.19,29.75,29.95,7379298
2010-01-29,30.12,30.31,29.65,29.97,6580390
2010-02-01,30.07,30.18,29.65,30.16,5922135
2010-02-02,30.42,31.8,30.37,31.63,10066239
2010-02-03,31.55,31.76,30.91,31.18,5960510
2010-02-04,30.9,30.97,30.03,30.06,6939845
2010-02-05,30.3,30.83,30.08,30.61,7466494
2010-02-08,30.61,30.74,29.85,29.89,6611180
2010-02-09,30.16,30.28,29.57,29.91,8241209
2010-02-10,29.96,30.11,29.75,29.99,4799292
2010-02-11,29.88,30.37,29.5,30.03,5744528
2010-02-12,29.68,29.93,29.46,29.77,5090854
2010-02-16,29.89,30.0,29.25,29.48,7384205
2010-02-17,29.62,29.89,29.56,29.88,4611835
2010-02-18,29.72,30.04,29.68,29.97,3679573
2010-02-19,29.86,30.05,29.58,29.95,3897498
2010-02-22,29.83,30.05,29.65,29.81,3619733
2010-02-23,29.81,29.82,29.46,29.62,5819204
2010-02-24,29.62,29.86,29.43,29.57,4607433
