Date,Open,High,Low,Close,Volume
2010-01-04,43.54,43.54,42.7,42.83,3450425
2010-01-05,42.65,42.91,42.37,42.6,2856017
2010-01-06,42.8,42.89,42.05,42.5,2731632
2010-01-07,42.13,42.5,42.09,42.48,2206516
2010-01-08,42.42,42.46,42.04,42.42,2028462
2010-01-11,42.42,42.61,42.13,42.61,2147665
2010-01-12,42.36,42.64,41.99,42.31,2257478
2010-01-13,42.23,42.73,42.06,42.62,2235228
2010-01-14,42.29,42.78,42.25,42.5,2109403
2010-01-15,42.72,42.92,41.85,42.27,2971783
2010-01-19,42.17,42.93,42.0,42.91,2573939
2010-01-20,42.44,42.7,41.63,42.34,3562022
2010-01-21,42.45,42.89,42.02,42.15,3824422
2010-01-22,42.15,42.35,41.1,41.17,3918718
2010-01-25,41.53,41.56,41.06,41.27,2107612
2010-01-26,41.08,41.27,40.97,41.06,2446779
2010-01-27,40.76,41.22,40.73,41.02,3597076
2010-01-28,40.76,41.18,40.39,40.68,4365866
2010-01-29,40.67,41.18,40.65,40.79,3664463
2010-02-01,41.03,41.16,40.71,41.07,3195128
2010-02-02,41.42,41.42,40.68,41.18,3637343
2010-02-03,40.86,41.02,40.51,40.8,2758203
2010-02-04,40.56,40.89,40.38,40.38,3872488
2010-02-05,40.32,40.5,39.72,40.28,4166338
2010-02-08,40.25,40.57,40.02,40.4,3038370
2010-02-09,40.84,41.09,40.45,40.7,2948202
2010-02-10,40.58,40.8,40.3,40.68,1836434
2010-02-11,40.56,41.11,40.2,40.9,2309385
2010-02-12,40.29,40.72,40.29,40.59,3011294
2010-02-16,40.89,41.35,40.66,41.3,2424947
2010-02-17,41.34,41.5,41.25,41.46,2129703
2010-02-18,41.72,41.75,41.11,41.19,3717161
2010-02-19,41.26,41.75,40.98,41.56,3769734
2010-02-22,41.57,41.93,41.44,41.6,2994665
2010-02-23,41.6,41.76,41.02,41.2,3317305
2010-02-24,41.2,42.24,41.17,42.24,4076474
2010-02-25,41.82,41.9,41.01,41.71,3643164
2010-02-26,41.81,41.93,41.33,41.61,3283720
2010-03-01,41.68,42.0,41.58,41.97,2911223
2010-03-02,41.91,42.1,41.78,41.85,2862308
2010-03-03,42.0,42.29,41.9,41.91,3279708
2010-03-04,42.02,42.19,41.55,41.71,4492848
2010-03-05,42.0,43.25,41.89,43.18,4885649
2010-03-08,43.17,43.24,42.86,43.15,3466882
2010-03-09,43.15,44.08,43.1,43.67,5204471
2010-03-10,43.38,43.92,43.24,43.88,4584236
2010-03-11,43.82,43.96,43.56,43.93,3797547
2010-03-12,43.85,43.94,43.66,43.81,2678865
2010-03-15,44.18,44.35,43.87,44.24,2935804
2010-03-16,44.45,44.45,43.95,44.25,2317615
2010-03-17,44.26,44.91,44.25,44.69,2720941
2010-03-18,44.58,44.87,44.49,44.72,1721798
2010-03-19,45.03,45.22,44.1,44.6,4265357
2010-03-22,44.54,44.89,44.14,44.83,4215704
2010-03-23,44.99,45.0,44.57,44.91,2853603
2010-03-24,44.69,44.89,44.29,44.34,3958163
2010-03-25,44.46,44.46,43.94,43.98,4120589
2010-03-26,44.02,44.44,44.02,44.24,1912890
2010-03-29,44.36,44.66,44.18,44.54,3097663
2010-03-30,44.39,44.7,44.27,44.59,2070422
2010-03-31,44.5,44.62,44.27,44.47,2757842
2010-04-05,44.38,44.69,44.12,44.39,3248715
2010-04-06,44.36,44.43,44.1,44.29,3885846
2010-04-07,44.25,44.3,43.78,43.93,2708532
2010-04-08,43.96,44.02,43.64,43.88,2568464
2010-04-09,44.01,44.26,43.73,44.26,2146003
2010-04-12,44.3,44.3,44.03,44.21,1948254
2010-04-13,44.18,44.29,43.87,43.95,2721934
2010-04-14,43.86,44.19,43.74,44.18,3197306
2010-04-15,44.25,44.73,44.1,44.68,2546495
2010-04-16,44.49,44.88,44.21,44.29,4511614
2010-04-19,44.3,44.75,44.3,44.72,2612168
2010-04-20,44.89,45.04,44.75,45.03,2522653
2010-04-21,44.97,45.07,44.75,45.06,2446170
2010-04-22,44.85,45.11,44.53,45.07,2281472
2010-04-23,45.12,45.52,44.77,45.48,2933944
2010-04-26,45.45,45.74,45.25,45.33,2427115
2010-04-27,44.99,45.26,44.28,44.42,4775109
2010-04-28,44.57,44.58,43.96,44.14,4455846
2010-04-29,44.2,44.64,43.8,44.39,4481999
2010-04-30,44.59,44.59,43.33,43.37,4220044
2010-05-03,43.73,43.76,43.26,43.67,3140178
2010-05-04,43.55,43.55,42.3,42.86,4311747
2010-05-05,42.86,43.52,42.42,42.66,3594664
2010-05-06,42.39,43.06,26.46,41.41,6620170
2010-05-07,41.05,42.14,40.82,41.56,7496940
2010-05-10,41.99,43.08,41.99,42.48,5190639
2010-05-11,42.37,42.95,42.26,42.5,3561706
2010-05-12,42.53,43.04,42.42,43.02,3139596
2010-05-13,42.84,42.89,42.4,42.45,3920496
2010-05-14,42.25,42.28,41.55,41.8,3951487
2010-05-17,41.94,42.32,41.5,42.12,4386681
