Date,Open,High,Low,Close,Volume
2010-01-04,35.1,36.0,34.8,34.94,4076546
2010-01-05,34.98,35.12,34.36,34.54,5112310
2010-01-06,34.56,35.1,34.46,34.89,3157312
2010-01-07,34.78,35.31,34.69,35.19,3581131
2010-01-08,35.18,35.81,34.93,35.61,3980508
2010-01-11,35.78,36.1,35.61,35.98,3992856
2010-01-12,35.79,35.87,35.57,35.62,2834363
2010-01-13,35.58,36.11,35.58,36.06,2729733
2010-01-14,36.1,36.25,35.9,36.2,3117720
2010-01-15,35.97,36.12,35.46,36.01,4896043
2010-01-19,35.83,36.48,35.83,36.44,4263774
2010-01-20,36.3,36.55,36.02,36.52,4945509
2010-01-21,36.73,36.86,36.0,36.11,4413180
2010-01-22,36.17,36.19,35.42,35.42,4206270
2010-01-25,35.67,35.85,35.2,35.62,2515924
2010-01-26,35.55,35.8,35.47,35.61,3542803
2010-01-27,35.54,35.94,35.05,35.53,3908441
2010-01-28,35.58,35.73,35.06,35.06,3953812
2010-01-29,35.14,35.3,34.62,34.65,3931846
2010-02-01,34.81,34.91,34.22,34.6,5117947
2010-02-02,34.69,35.11,34.35,35.06,2912421
2010-02-03,34.97,34.97,34.55,34.7,5341060
2010-02-04,34.52,34.65,33.72,33.75,3442933
2010-02-05,33.69,33.86,33.05,33.64,4443945
2010-02-08,33.34,33.34,32.77,32.82,3219812
2010-02-09,33.05,33.54,33.03,33.2,3414755
2010-02-10,33.19,33.22,32.71,33.02,2619192
2010-02-11,32.96,33.13,32.75,33.08,3055501
2010-02-12,32.94,33.09,32.68,32.95,3188365
2010-02-16,33.02,33.71,32.8,33.7,3134176
2010-02-17,33.83,33.87,33.5,33.55,2145224
2010-02-18,33.47,33.71,33.46,33.52,3834743
2010-02-19,33.41,34.13,33.28,33.97,3854258
2010-02-22,34.18,34.18,33.64,33.65,2929770
2010-02-23,33.59,33.8,33.39,33.72,3124035
2010-02-24,33.84,33.94,33.3,33.91,3935199
2010-02-25,33.54,33.74,33.15,33.68,2476489
2010-02-26,33.8,33.84,33.47,33.62,2635107
2010-03-01,33.72,34.14,33.72,33.94,2964942
2010-03-02,34.07,34.26,34.0,34.12,2936701
2010-03-03,34.23,34.3,33.87,33.97,1924102
2010-03-04,33.97,34.0,33.68,33.91,2291116
2010-03-05,34.09,34.29,33.84,34.25,1971990
2010-03-08,34.32,34.37,34.05,34.18,1983759
2010-03-09,34.16,34.26,34.01,34.12,1659051
2010-03-10,34.26,34.33,34.0,34.15,2522249
2010-03-11,34.26,34.34,33.95,34.22,2909380
2010-03-12,34.25,34.29,33.98,34.1,2955489
2010-03-15,34.14,34.39,34.04,34.39,2211650
2010-03-16,34.32,34.8,34.21,34.77,2181128
2010-03-17,34.61,34.89,34.58,34.82,1890375
2010-03-18,34.88,34.97,34.57,34.76,2402884
2010-03-19,34.79,34.88,34.26,34.52,3938672
2010-03-22,34.4,34.52,34.07,34.08,2323225
2010-03-23,34.06,34.3,34.0,34.3,3014346
2010-03-24,34.15,34.21,33.86,33.99,2909773
2010-03-25,34.13,34.21,33.89,33.9,2297751
2010-03-26,33.98,34.22,33.88,34.09,2006959
2010-03-29,34.1,34.4,34.09,34.37,2519148
2010-03-30,34.37,34.74,34.3,34.42,3362462
2010-03-31,34.37,34.43,34.05,34.18,2536999
2010-04-01,34.3,34.64,34.25,34.49,2285546
2010-04-05,34.64,34.65,34.27,34.31,3779157
2010-04-06,34.25,34.35,34.18,34.3,5680119
2010-04-07,34.26,34.29,33.97,34.08,2924494
2010-04-08,33.99,34.03,33.75,33.96,2312781
2010-04-09,34.2,34.28,33.75,34.27,2303879
2010-04-12,34.44,34.44,34.05,34.08,3369018
2010-04-13,34.12,34.2,33.78,34.07,3368647
2010-04-14,34.04,34.06,33.6,33.9,3563185
2010-04-15,33.8,33.85,33.49,33.77,4216009
2010-04-16,33.75,33.97,33.58,33.73,4516680
2010-04-19,33.65,33.81,33.5,33.8,3768415
2010-04-20,33.85,33.98,33.68,33.95,2328225
2010-04-21,33.9,34.0,33.77,33.95,1845137
2010-04-22,33.75,34.04,33.6,33.98,2377752
2010-04-23,34.02,34.02,33.67,34.02,2673971
2010-04-26,34.04,34.05,33.65,33.76,4968011
2010-04-27,33.69,34.05,33.3,33.34,5724507
2010-04-28,33.56,33.61,33.22,33.52,4427699
2010-04-29,33.76,34.2,33.63,33.84,3689661
2010-04-30,34.47,35.0,34.3,34.3,5848176
2010-05-03,34.4,34.73,34.18,34.56,4733042
2010-05-04,34.24,34.53,33.41,33.61,8011457
2010-05-05,33.4,33.68,33.08,33.37,6648105
2010-05-06,32.84,32.93,28.17,32.18,8322020
2010-05-07,32.18,32.56,31.52,31.92,7693797
2010-05-10,32.79,33.22,32.68,33.14,5531493
2010-05-11,32.86,33.44,32.86,33.15,4951488
2010-05-12,33.27,33.74,32.9,33.58,4478734
2010-05-13,33.46,33.87,33.2,33.3,3039381
2010-05-14,32.66,33.3,32.66,33.0,4779258
2010-05-17,33.08,33.14,32.55,32.99,3300801
2010-05-18,32.8,33.15,32.51,32.6,3806821
2010-05-19,32.45,32.53,32.02,32.31,3744666
2010-05-20,31.76,31.95,31.3,31.34,4475149
2010-05-21,31.07,31.49,30.78,31.46,4499590
2010-05-24,31.24,31.66,31.08,31.19,2014582
2010-05-25,30.58,30.97,30.07,30.97,5701817
