Date,Open,High,Low,Close,Volume
2010-01-04,32.06,33.08,31.87,33.0,5671979
2010-01-05,32.94,33.1,32.26,32.53,4573540
2010-01-06,32.5,32.75,32.25,32.4,4303032
2010-01-07,31.91,33.55,31.75,33.43,6181624
2010-01-08,33.34,33.37,32.54,32.7,5226497
2010-01-11,32.77,33.2,32.6,32.74,3674088
2010-01-12,32.63,32.76,30.31,30.61,19543279
2010-01-13,30.5,31.09,29.62,30.75,10466216
2010-01-14,30.43,31.44,30.41,31.41,6630386
2010-01-15,31.25,32.01,30.95,31.36,9794030
2010-01-19,32.3,33.25,32.2,32.66,13045071
2010-01-20,33.1,33.65,32.05,32.48,11007715
2010-01-21,32.58,32.77,31.55,31.88,7837717
2010-01-22,31.68,32.31,31.17,31.3,7000038
2010-01-25,31.73,31.79,30.85,30.97,5431627
2010-01-26,30.84,30.84,30.17,30.5,7576917
2010-01-27,30.28,31.08,30.06,30.43,6254934
2010-01-28,30.56,31.05,30.1,30.36,6626886
2010-01-29,30.54,30.54,29.79,29.97,5883608
2010-02-01,30.09,30.4,29.25,29.77,7141213
2010-02-02,29.71,30.38,29.5,30.28,5291436
2010-02-03,30.12,30.48,29.54,30.33,5545040
2010-02-04,30.11,30.23,29.17,29.23,6108269
2010-02-05,28.78,30.38,28.75,29.61,12751448
2010-02-08,30.09,30.33,29.17,29.2,5395185
2010-02-09,29.57,29.7,28.0,28.97,9961248
2010-02-10,28.83,29.07,27.94,28.65,8725171
2010-02-11,28.65,28.9,28.3,28.85,3915343
2010-02-12,28.55,28.7,28.12,28.63,5536569
2010-02-16,28.89,29.0,28.14,28.75,5137493
2010-02-17,28.86,30.0,28.83,29.61,7520066
2010-02-18,29.16,29.9,29.15,29.74,4763437
2010-02-19,29.43,29.64,28.86,28.93,5361246
2010-02-22,28.68,29.91,28.6,29.35,8774363
2010-02-23,29.14,29.25,28.59,28.98,4965272
2010-02-24,29.05,29.59,28.75,29.56,4741069
2010-02-25,29.26,30.01,28.96,29.97,7252625
2010-02-26,30.02,30.49,29.76,29.99,5006042
2010-03-01,30.09,30.86,29.87,30.32,4639420
2010-03-02,30.38,31.14,30.09,31.03,6033551
2010-03-03,30.95,31.73,30.86,31.28,5201432
2010-03-04,31.21,31.33,30.13,30.65,6793874
2010-03-05,30.78,31.45,30.61,31.38,3929853
2010-03-08,31.36,31.48,31.12,31.22,2145483
2010-03-09,31.63,31.63,31.14,31.23,2406985
2010-03-10,31.12,31.88,31.07,31.65,3271236
2010-03-11,31.5,32.77,31.4,32.69,6797377
2010-03-12,32.87,33.04,31.68,31.84,5003492
2010-03-15,31.69,31.74,31.02,31.62,3512939
2010-03-16,31.71,31.98,31.29,31.95,3966115
2010-03-17,32.01,32.09,31.53,31.74,3923211
2010-03-18,31.74,33.34,31.12,33.24,9147571
2010-03-19,33.93,34.94,33.31,34.46,14334096
2010-03-22,34.57,35.24,34.01,34.64,12434553
2010-03-23,34.73,35.06,34.4,34.99,6113931
2010-03-24,34.82,35.15,34.41,34.41,4192179
2010-03-25,34.56,35.15,34.39,34.79,5267130
2010-03-26,34.71,34.88,33.92,34.32,4896068
2010-03-29,34.35,35.02,34.27,34.92,2927589
2010-03-30,34.97,35.62,34.86,35.38,4494911
2010-03-31,35.27,35.43,34.79,35.11,4797195
2010-04-01,35.33,35.49,34.58,34.93,4314554
2010-04-05,35.09,35.53,35.0,35.17,3083141
2010-04-06,35.02,35.96,34.96,35.11,4085793
2010-04-07,34.97,35.05,34.21,34.3,5034212
2010-04-08,34.28,34.39,33.42,33.67,9520182
2010-04-09,33.23,33.58,32.4,33.03,7097002
2010-04-12,33.12,33.27,32.87,32.92,5330194
2010-04-13,32.76,32.84,32.17,32.35,6178133
2010-04-14,32.29,32.43,31.64,31.89,6726262
2010-04-15,31.88,32.17,31.26,31.42,7266502
2010-04-16,31.32,31.77,30.7,31.4,8873134
2010-04-19,31.41,32.38,31.34,31.94,5250907
2010-04-20,32.13,32.34,31.34,31.97,6521427
2010-04-21,31.99,32.26,30.94,31.08,8041666
2010-04-22,30.99,31.02,30.47,30.75,5726165
2010-04-23,30.68,31.02,30.41,30.96,4140786
2010-04-26,31.21,31.34,30.0,30.13,5543996
2010-04-27,29.96,30.75,29.78,30.01,8620581
2010-04-28,30.11,30.74,29.81,30.5,9255238
2010-04-29,31.23,31.82,30.75,31.24,7606658
2010-04-30,31.04,31.14,29.48,29.55,12340405
2010-05-03,29.68,30.01,29.29,29.67,7754388
2010-05-04,29.36,29.38,28.7,28.9,8392877
2010-05-05,28.72,29.51,28.54,29.22,9060776
2010-05-06,29.09,29.86,27.38,28.76,8666517
2010-05-07,28.62,28.76,27.52,28.29,7211717
2010-05-10,28.97,29.85,28.6,29.46,6213544
2010-05-11,29.1,29.88,28.89,29.61,4822939
2010-05-12,29.63,30.55,29.51,30.51,4932585
2010-05-13,30.44,30.78,30.17,30.27,3696672
2010-05-14,30.03,30.26,29.4,29.78,3808027
2010-05-17,29.76,29.98,29.2,29.89,4347627
2010-05-18,29.89,30.41,29.71,29.84,4469013
2010-05-19,29.68,30.16,29.42,29.98,3794002
2010-05-20,29.28,29.68,29.04,29.05,4881269
2010-05-21,28.46,29.28,28.35,28.74,6225278
2010-05-24,28.56,29.12,28.19,28.59,5169803
2010-05-25,27.86,28.32,27.63,28.29,4609043
2010-05-26,28.5,29.26,28.46,28.57,5078838
2010-05-27,29.17,29.22,28.67,29.21,2886648
2010-05-28,29.1,29.54,28.9,29.16,4181317
2010-06-01,28.91,29.48,28.73,28.79,3546479
2010-06-02,28.9,29.63,28.75,29.61,6487144
2010-06-03,29.67,30.43,29.63,30.42,6380487
2010-06-04,29.99,31.2,29.91,30.21,8681069
2010-06-07,30.37,30.72,29.31,29.47,8639895
2010-06-08,29.51,30.01,29.13,29.42,5561645
2010-06-09,29.5,29.81,28.75,28.81,6094608
2010-06-10,29.11,29.2,28.67,28.85,6698352
2010-06-11,28.61,29.06,28.09,28.62,7259333
2010-06-14,28.79,29.67,28.79,29.28,7928903
2010-06-15,29.45,29.69,29.26,29.59,3993346
2010-06-16,29.36,29.75,29.26,29.32,5604890
2010-06-17,29.77,30.68,29.65,30.63,8538569
2010-06-18,30.51,30.63,30.24,30.43,5582189
2010-06-21,30.78,30.97,29.78,29.91,4279173
2010-06-22,29.88,30.19,29.16,29.2,5126082
2010-06-23,29.21,29.3,28.8,28.93,5607081
2010-06-24,28.79,29.05,28.52,28.66,3815204
2010-06-25,27.99,28.87,27.99,28.47,7009847
2010-06-28,28.66,28.76,28.0,28.04,4491666
2010-06-29,27.81,27.81,26.73,26.9,8056100
