Date,Open,High,Low,Close,Volume
2010-01-04,29.7,30.21,29.61,30.16,1228188
2010-01-05,30.06,31.08,30.0,31.06,1377581
2010-01-06,30.92,31.06,30.61,30.97,1326886
2010-01-07,30.83,31.41,30.68,31.35,1022471
2010-01-08,31.29,31.4,31.02,31.37,592362
2010-01-11,31.5,31.82,31.29,31.59,660055
2010-01-12,31.42,31.87,31.21,31.3,770461
2010-01-13,31.45,31.8,31.21,31.59,555475
2010-01-14,31.49,31.51,30.97,31.26,1025576
2010-01-15,31.13,31.18,30.38,30.53,1367282
2010-01-19,30.5,31.07,30.34,30.83,2084774
2010-01-20,30.6,30.73,29.95,30.3,1283447
2010-01-21,30.23,31.47,29.59,31.3,4078876
2010-01-22,31.32,32.65,31.12,31.83,4528832
2010-01-25,32.24,32.34,31.92,32.12,2152872
2010-01-26,31.95,32.48,31.44,31.49,1441451
2010-01-27,31.41,31.98,31.12,31.85,1240108
2010-01-28,32.08,32.08,31.48,31.58,1085286
2010-01-29,31.75,32.03,31.4,31.43,991233
2010-02-01,31.62,32.2,31.28,31.67,1996240
2010-02-02,31.66,32.12,31.56,32.11,674333
2010-02-03,31.94,32.05,31.29,31.66,1158291
2010-02-04,31.78,32.81,31.54,31.73,3295349
2010-02-05,31.53,31.62,30.18,30.92,2015462
2010-02-08,31.06,31.24,30.16,30.16,1155688
2010-02-09,30.46,30.79,30.19,30.37,1180980
2010-02-10,30.32,30.35,29.92,30.13,1844297
2010-02-11,29.85,30.13,29.54,29.76,2199680
2010-02-12,29.5,29.87,29.08,29.86,1781932
2010-02-16,30.28,30.82,30.05,30.81,1078919
2010-02-17,30.88,31.07,30.59,30.71,1281410
2010-02-18,30.55,30.91,30.47,30.65,1496004
2010-02-19,30.7,31.14,30.42,30.91,1596208
2010-02-22,30.94,31.11,30.64,30.81,1438469
2010-02-23,30.76,30.89,30.01,30.43,2293646
2010-02-24,30.54,30.97,30.47,30.95,1001234
2010-02-25,30.63,30.7,30.33,30.56,2325548
2010-02-26,30.6,30.65,30.15,30.52,1248981
2010-03-01,30.52,30.85,30.36,30.65,1434325
2010-03-02,30.74,30.87,30.49,30.73,1047978
2010-03-03,30.8,30.99,30.68,30.77,900458
2010-03-04,30.87,31.24,30.76,30.97,1982557
2010-03-05,31.12,31.69,31.1,31.68,1361814
2010-03-08,31.65,32.24,31.64,32.22,1491233
2010-03-09,32.05,32.42,32.05,32.34,1308920
2010-03-10,32.42,32.69,32.29,32.61,1632056
2010-03-11,32.5,33.02,32.3,32.98,1286309
2010-03-12,33.08,33.27,32.74,32.9,1094267
2010-03-15,32.82,33.0,32.49,32.62,1701067
2010-03-16,32.72,33.21,32.68,33.14,1287216
2010-03-17,33.24,33.76,33.15,33.5,828740
2010-03-18,33.4,33.45,33.06,33.3,1046760
2010-03-19,33.36,33.53,33.03,33.2,1239938
2010-03-22,33.0,33.35,32.81,33.35,911830
2010-03-23,33.29,33.48,32.92,33.17,1029176
2010-03-24,33.12,33.54,33.01,33.48,878329
2010-03-25,33.56,34.14,33.49,33.67,1433678
2010-03-26,33.79,34.15,33.64,33.97,1416863
2010-03-29,34.02,34.41,33.99,34.37,901915
2010-03-30,34.44,34.6,34.21,34.34,877569
2010-03-31,34.32,34.46,34.07,34.38,1091828
2010-04-01,34.6,35.01,34.45,34.89,990999
2010-04-05,34.87,35.63,34.87,35.63,1001554
2010-04-06,35.41,35.66,35.16,35.47,912190
2010-04-07,35.48,35.55,34.74,34.9,1011940
2010-04-08,34.86,34.86,34.54,34.76,1298830
2010-04-09,34.78,34.78,34.38,34.63,967448
2010-04-12,34.72,34.98,34.59,34.96,770086
2010-04-13,35.0,35.19,34.7,35.02,744446
2010-04-14,35.09,35.79,35.04,35.79,744765
2010-04-15,35.62,35.84,35.38,35.69,616943
2010-04-16,35.5,35.61,34.34,34.44,1445130
2010-04-19,34.25,34.96,34.16,34.89,1178359
2010-04-20,35.09,35.32,34.83,35.0,834039
2010-04-21,35.0,35.07,34.61,34.94,1246333
2010-04-22,34.66,34.97,34.45,34.92,937963
2010-04-23,34.91,35.0,34.73,34.89,1349464
2010-04-26,34.81,35.12,34.76,34.94,1824488
2010-04-27,34.7,34.93,33.7,33.79,1314063
2010-04-28,34.05,34.46,33.47,33.69,1939359
2010-04-29,35.45,36.5,34.18,36.36,2707235
2010-04-30,36.3,37.07,36.11,36.43,1765114
2010-05-03,36.71,37.02,36.46,36.57,1532284
2010-05-04,36.21,36.27,35.31,35.6,1164405
2010-05-05,35.2,37.04,35.12,36.45,2343072
2010-05-06,36.23,36.94,33.25,35.27,2939306
2010-05-07,35.12,35.75,34.14,34.65,2696682
2010-05-10,36.16,37.1,36.0,36.54,1822937
2010-05-11,36.03,36.9,35.84,36.26,1183885
2010-05-12,36.46,37.22,36.37,37.18,1224713
2010-05-13,37.15,37.55,36.87,37.02,1404952
2010-05-14,36.68,36.81,35.52,35.87,2186817
2010-05-17,35.97,36.39,35.28,36.24,1461816
2010-05-18,35.41,36.2,35.05,35.29,2072399
2010-05-19,35.14,35.66,34.62,35.42,1688907
2010-05-20,34.49,35.09,33.8,33.83,2756459
2010-05-21,33.35,34.42,33.12,34.3,2691855
2010-05-24,34.04,34.19,33.52,33.54,1711035
2010-05-25,32.68,34.46,32.47,34.37,2278065
2010-05-26,34.52,34.87,34.09,34.19,2503549
2010-05-27,34.73,35.35,34.73,35.3,1951123
2010-05-28,35.2,35.2,34.5,34.7,2387358
2010-06-01,34.13,35.19,34.04,34.62,2022948
2010-06-02,34.87,35.72,34.59,35.72,1538427
2010-06-03,35.73,36.22,35.46,35.78,1416402
2010-06-04,35.1,35.24,34.2,34.31,1649204
2010-06-07,34.46,34.54,33.74,33.77,1425170
2010-06-08,33.84,34.19,33.15,34.12,1918024
2010-06-09,34.4,34.71,33.91,34.0,2608740
2010-06-10,34.49,35.35,34.49,35.34,1707720
2010-06-11,34.98,35.92,34.89,35.85,1411993
2010-06-14,36.11,36.48,35.55,35.75,1407265
2010-06-15,36.15,36.96,35.94,36.91,1104848
2010-06-16,36.72,37.35,36.51,36.87,1986469
2010-06-17,37.12,37.31,36.8,37.24,1562954
2010-06-18,37.38,37.49,36.9,37.05,2316035
2010-06-21,37.5,38.01,36.87,37.0,1604955
2010-06-22,37.09,37.42,36.6,36.68,1640640
2010-06-23,36.69,36.77,36.26,36.42,1208266
2010-06-24,36.19,36.2,35.66,35.94,1586665
2010-06-25,36.26,36.4,35.71,36.04,2469167
2010-06-28,36.21,36.75,36.09,36.6,2018542
2010-06-29,35.99,36.05,34.69,34.89,1971799
2010-06-30,34.2,35.37,34.2,34.7,1973988
2010-07-01,34.75,34.92,33.95,34.51,1716187
2010-07-02,34.68,34.79,34.02,34.19,1055456
2010-07-06,34.62,35.02,34.05,34.39,1296136
2010-07-07,34.51,35.84,34.41,35.81,1491545
2010-07-08,36.06,36.12,35.29,35.85,1311995
2010-07-09,35.72,35.97,35.53,35.88,1532429
2010-07-12,35.73,35.8,35.16,35.24,1526678
2010-07-13,35.65,36.61,35.54,36.47,1423980
2010-07-14,36.22,36.75,35.88,36.73,1473856
2010-07-15,36.71,37.07,36.07,36.96,1545914
2010-07-16,36.99,37.41,36.24,36.58,3148499
2010-07-19,36.67,36.97,36.13,36.75,1083134
2010-07-20,36.06,37.51,36.05,37.51,1870649
2010-07-21,37.7,37.98,36.34,36.38,1558895
2010-07-22,36.82,37.31,36.75,36.93,1737273
2010-07-23,36.77,36.97,36.49,36.81,2807181
2010-07-26,36.81,37.11,36.64,37.01,2113044
2010-07-27,37.4,37.42,36.54,36.61,1616679
2010-07-28,36.59,36.99,36.41,36.48,1547631
2010-07-29,36.8,37.72,36.8,37.18,2160492
2010-07-30,36.8,37.55,36.72,37.29,1514821
2010-08-02,37.76,38.27,37.56,38.25,1170639
2010-08-03,38.1,38.19,37.57,37.93,1267457
2010-08-04,38.05,38.05,36.82,37.18,2083974
2010-08-05,37.08,37.69,36.78,37.61,1271203
2010-08-06,37.21,37.7,37.11,37.61,1612087
2010-08-09,37.83,37.96,37.62,37.92,1033387
2010-08-10,37.58,38.35,37.42,38.12,1826201
2010-08-11,37.62,37.66,36.97,37.0,1449482
2010-08-12,36.58,37.02,36.42,36.85,999183
2010-08-13,36.78,37.47,36.74,37.01,1016827
2010-08-16,36.72,36.78,36.3,36.65,929180
2010-08-17,37.02,37.46,36.92,37.45,973259
2010-08-18,37.43,37.69,37.21,37.53,1170087
2010-08-19,37.35,37.41,36.66,36.72,943611
2010-08-20,36.35,36.55,35.11,36.36,1256493
2010-08-23,36.49,36.74,36.17,36.19,1257543
2010-08-24,35.75,36.03,35.45,35.69,1081934
2010-08-25,35.47,36.03,35.2,35.92,765261
2010-08-26,35.77,36.34,35.68,35.82,1291263
2010-08-27,36.1,36.85,35.68,36.85,895749
2010-08-30,36.66,36.89,35.99,36.01,668981
2010-08-31,35.67,36.62,35.51,36.56,1280369
2010-09-01,36.98,37.6,36.77,37.56,1345809
2010-09-02,37.77,37.81,37.13,37.62,1019270
2010-09-03,38.0,38.72,37.76,38.72,995254
2010-09-07,38.39,38.6,38.19,38.33,1291605
2010-09-08,38.45,39.0,38.3,38.92,1172766
2010-09-09,39.43,39.47,38.55,38.96,728941
2010-09-10,38.9,39.29,38.73,39.21,711945
2010-09-13,39.64,39.8,39.36,39.63,812841
2010-09-14,39.5,39.9,39.3,39.74,901758
2010-09-15,39.45,40.32,39.39,40.19,1073122
2010-09-16,39.93,40.01,39.71,39.92,901522
2010-09-17,40.06,40.37,39.77,40.0,1633965
2010-09-20,40.12,40.67,40.02,40.6,1087221
2010-09-21,40.6,40.78,40.19,40.32,790598
2010-09-22,40.11,40.38,39.95,39.95,1176256
2010-09-23,39.59,40.0,39.31,39.34,811640
2010-09-24,39.74,40.37,39.74,40.37,778139
2010-09-27,40.3,40.84,40.25,40.39,932793
2010-09-28,40.43,40.68,39.75,40.56,1473867
2010-09-29,40.34,40.62,39.97,40.37,1085503
2010-09-30,40.65,41.24,40.62,40.7,1219261
2010-10-01,41.13,41.18,40.4,40.61,1196720
2010-10-04,40.5,40.79,40.33,40.41,1391981
2010-10-05,40.83,41.45,40.31,41.36,1161469
2010-10-06,41.41,41.69,41.16,41.36,1380693
2010-10-07,41.55,41.68,41.02,41.05,1387687
2010-10-08,40.34,41.1,40.31,40.89,1229134
2010-10-11,40.83,40.86,40.16,40.42,1157130
2010-10-12,40.38,40.76,40.12,40.69,860902
2010-10-13,40.88,41.54,40.78,41.17,664857
2010-10-14,41.12,41.87,40.67,40.88,1000193
2010-10-15,41.12,41.29,40.54,40.95,1011001
2010-10-18,40.85,41.7,40.85,41.68,801935
2010-10-19,41.16,41.76,40.92,41.1,1040359
2010-10-20,41.16,41.52,40.88,41.31,768438
