Date,Open,High,Low,Close,Volume
2010-01-04,43.49,43.89,43.28,43.46,2750583
2010-01-05,43.5,44.25,43.4,44.18,2576151
2010-01-06,44.24,44.56,43.77,44.41,3215218
2010-01-07,44.43,44.57,44.01,44.29,2615167
2010-01-08,44.38,44.57,44.01,44.38,1934658
2010-01-11,44.87,44.9,43.66,43.98,3276066
2010-01-12,43.75,43.94,43.01,43.44,2973541
2010-01-13,43.61,44.47,43.61,44.36,2799811
2010-01-14,44.35,44.66,44.04,44.61,4387579
2010-01-15,,,,44.0,0
2010-01-19,44.06,44.38,43.77,44.19,1995653
2010-01-20,44.02,44.43,43.78,44.33,3053371
2010-01-21,44.42,44.5,43.78,43.98,3300964
2010-01-22,43.83,44.59,42.07,42.18,4021172
2010-01-25,42.56,43.5,42.56,43.2,3857091
2010-01-26,43.17,43.17,42.15,42.54,3732324
2010-01-27,42.58,42.81,41.81,42.66,3584906
2010-01-28,42.74,43.31,41.87,42.32,3740442
2010-01-29,42.39,42.81,42.24,42.45,3757064
2010-02-01,42.95,43.15,42.28,43.08,2721253
2010-02-02,43.07,43.09,42.28,43.03,2360900
2010-02-03,42.95,43.37,42.66,42.79,3048901
2010-02-04,42.63,42.63,41.0,41.02,3758192
2010-02-05,40.96,41.06,39.46,40.1,7923970
2010-02-08,40.03,41.18,40.0,40.67,4943122
2010-02-09,41.28,41.63,40.83,41.45,4121357
2010-02-10,41.5,41.92,41.25,41.59,3020487
2010-02-11,41.6,42.76,41.26,42.52,2959881
2010-02-12,,,,42.62,0
2010-02-16,42.92,43.41,42.92,43.36,2839329
2010-02-17,43.5,43.81,43.32,43.71,2247873
2010-02-18,43.62,43.83,43.2,43.39,2924911
2010-02-19,43.25,44.28,43.11,43.92,3065120
2010-02-22,44.08,44.08,43.35,43.78,2535159
2010-02-23,43.71,43.71,42.48,42.81,4557314
2010-02-24,42.87,43.1,41.65,42.62,6006111
2010-02-25,42.34,42.92,41.8,42.8,4325533
2010-02-26,42.81,42.96,42.17,42.66,4030089
2010-03-01,42.78,43.31,42.77,42.93,2656743
2010-03-02,43.07,43.3,42.7,42.78,3801401
2010-03-03,42.81,43.43,42.57,42.98,2697193
2010-03-04,43.12,43.15,42.53,42.96,2586816
2010-03-05,43.17,43.55,43.05,43.41,1992546
2010-03-08,43.25,43.45,42.38,42.45,4482084
2010-03-09,42.22,43.27,42.13,42.89,4712490
2010-03-10,42.86,43.25,42.74,43.11,2098006
2010-03-11,43.0,43.5,42.8,43.5,2310963
2010-03-12,43.54,43.8,43.33,43.38,3540085
2010-03-15,43.12,43.57,42.93,43.34,2748256
2010-03-16,43.31,44.44,43.3,44.26,4366520
2010-03-17,44.27,44.29,43.96,44.25,3143452
2010-03-18,44.25,44.5,43.74,44.01,3211673
2010-03-19,43.99,44.42,43.99,44.29,3288334
2010-03-22,43.97,44.46,43.81,44.25,2887289
2010-03-23,44.3,44.68,44.2,44.57,2728402
2010-03-24,44.56,44.85,43.95,44.47,3220607
2010-03-25,44.55,44.62,42.33,42.46,11561394
2010-03-26,42.57,42.81,41.36,41.65,8362022
2010-03-29,41.89,43.0,41.89,42.77,5162348
2010-03-30,42.56,42.87,42.5,42.78,6004879
2010-03-31,42.6,43.13,42.41,42.61,3150708
2010-04-01,,,,42.7,0
2010-04-05,42.77,43.44,42.69,43.32,2581805
2010-04-06,43.19,43.19,42.76,42.81,3148595
2010-04-07,42.67,42.67,41.6,41.83,6302591
2010-04-08,42.05,42.07,41.52,42.03,5007079
2010-04-09,42.07,42.78,42.02,42.62,4284927
2010-04-12,42.75,42.98,42.2,42.35,3040008
2010-04-13,42.24,42.29,41.62,42.15,4219022
2010-04-14,42.11,42.28,41.6,42.11,4620092
2010-04-15,41.99,42.23,41.63,42.03,4793420
2010-04-16,41.91,42.19,41.2,41.97,8992958
2010-04-19,41.85,42.08,41.21,41.54,4472303
2010-04-20,41.84,42.32,41.67,42.18,2618510
2010-04-21,42.37,42.37,41.8,42.02,2950432
2010-04-22,41.63,42.22,41.44,42.17,2068102
2010-04-23,42.15,42.41,41.75,42.37,2741562
2010-04-26,42.38,42.49,41.78,41.86,2479240
2010-04-27,41.65,41.75,41.09,41.14,2943817
2010-04-28,41.31,41.47,40.55,40.79,4043838
2010-04-29,40.94,41.4,40.8,41.05,4155232
2010-04-30,41.19,41.85,40.81,40.81,3773138
2010-05-03,41.22,41.54,40.93,41.28,3108224
2010-05-04,40.92,41.41,40.0,41.01,5001991
2010-05-05,40.52,41.17,40.51,40.88,4261439
2010-05-06,40.75,41.17,38.1,40.03,7401917
2010-05-07,39.78,40.27,38.31,38.86,8435420
2010-05-10,40.35,41.22,39.85,40.86,7397823
2010-05-11,41.15,41.64,40.65,40.97,3524874
2010-05-12,41.18,41.81,41.07,41.72,2220320
2010-05-13,41.71,42.04,41.58,41.75,2913387
2010-05-14,41.51,41.64,40.9,41.18,3927986
2010-05-17,41.23,41.62,40.88,41.52,3586491
2010-05-18,41.77,42.2,40.97,41.13,2457648
2010-05-19,40.93,41.02,39.86,40.49,4030274
2010-05-20,39.77,39.8,38.77,39.05,7226030
2010-05-21,38.1,40.38,38.09,40.38,8338758
2010-05-24,40.18,40.54,39.48,39.51,5048899
2010-05-25,38.82,39.68,38.4,39.63,5042571
2010-05-26,39.82,40.51,39.6,39.75,5107165
2010-05-27,40.3,41.02,40.02,40.99,3104854
2010-05-28,,,,40.53,0
2010-06-01,40.31,40.96,39.82,39.84,2966639
2010-06-02,40.14,41.51,40.14,41.45,4244815
2010-06-03,41.59,42.6,41.57,42.48,3877186
2010-06-04,41.67,42.31,41.26,41.51,5101243
2010-06-07,41.75,42.47,41.48,41.9,5725921
2010-06-08,42.02,42.62,41.59,42.25,6441412
2010-06-09,42.39,42.94,41.81,41.97,3887283
2010-06-10,42.49,43.2,42.36,43.19,4106967
2010-06-11,42.72,44.36,42.72,44.22,5072697
2010-06-14,44.32,44.98,43.57,43.67,4747833
2010-06-15,43.88,44.46,43.77,44.39,3133116
2010-06-16,44.0,44.95,43.95,44.7,3006952
2010-06-17,44.86,45.0,44.51,44.97,3128765
2010-06-18,45.01,45.3,44.87,45.07,6436808
2010-06-21,45.61,46.21,44.91,45.12,4048535
2010-06-22,45.15,45.46,44.29,44.37,3623929
2010-06-23,44.41,45.2,43.85,44.71,4913056
2010-06-24,44.52,44.75,43.5,43.54,4295523
2010-06-25,43.69,44.45,43.51,43.98,3422419
2010-06-28,44.2,45.72,44.19,45.33,4765307
2010-06-29,44.84,44.92,44.13,44.51,6414329
2010-06-30,44.43,45.22,44.23,44.5,5082792
2010-07-01,44.33,44.78,43.26,44.09,6245779
2010-07-02,,,,43.7,0
2010-07-06,44.34,45.35,44.1,45.11,5759447
2010-07-07,45.43,46.91,45.18,46.88,5949519
2010-07-08,47.14,47.21,45.99,46.39,4222689
2010-07-09,46.31,46.82,45.81,46.01,3527997
2010-07-12,45.73,45.95,45.08,45.32,3607903
2010-07-13,45.83,45.97,45.24,45.6,3408707
2010-07-14,45.85,45.94,45.25,45.78,2765173
2010-07-15,45.64,45.88,45.07,45.55,2334246
2010-07-16,45.3,45.43,44.02,44.19,3613248
2010-07-19,44.3,44.36,43.74,44.13,2042680
2010-07-20,44.63,46.75,44.62,46.58,8159898
2010-07-21,46.73,46.75,45.19,45.62,5728389
2010-07-22,46.14,46.5,45.84,46.39,2892152
2010-07-23,46.36,46.77,45.72,46.77,2764312
2010-07-26,46.92,46.92,45.97,46.3,3662294
2010-07-27,46.56,46.61,45.25,45.61,3350386
2010-07-28,45.52,46.16,45.41,45.71,2388470
2010-07-29,45.93,46.28,45.33,45.53,4301487
2010-07-30,45.07,46.41,44.73,46.24,3466633
2010-08-02,46.81,47.09,46.1,46.69,4469765
2010-08-03,46.61,46.81,45.96,46.46,3007235
2010-08-04,46.45,47.04,46.4,46.94,3800543
2010-08-05,46.77,47.06,46.42,46.96,2516235
2010-08-06,46.66,47.42,46.13,46.75,3159634
2010-08-09,46.99,47.27,46.52,46.75,1816643
2010-08-10,46.45,46.92,46.07,46.67,2431819
2010-08-11,45.9,45.91,45.17,45.22,5093698
2010-08-12,44.51,46.11,44.27,45.89,4635018
2010-08-13,45.8,46.06,45.53,45.76,1789052
2010-08-16,45.41,46.06,45.14,46.04,1729940
2010-08-17,46.25,47.46,46.0,47.41,3670918
2010-08-18,47.47,48.33,47.01,48.02,4249880
2010-08-19,47.8,47.98,47.16,47.49,3815706
2010-08-20,47.51,47.76,46.74,47.43,2632750
2010-08-23,47.46,47.72,46.91,46.94,1972568
2010-08-24,46.36,46.76,46.02,46.22,3480876
2010-08-25,45.79,47.26,45.78,47.16,3050578
2010-08-26,47.25,47.86,46.95,47.1,3058180
2010-08-27,47.46,47.67,46.54,47.36,2376555
2010-08-30,47.2,47.34,46.46,46.46,1876595
2010-08-31,46.12,47.04,46.08,46.86,2600519
2010-09-01,47.32,47.6,47.04,47.25,3517796
2010-09-02,47.22,47.85,47.22,47.84,2298817
2010-09-03,,,,48.22,0
2010-09-07,48.2,48.52,47.73,48.37,2558172
2010-09-08,48.41,49.62,48.25,49.36,4380931
2010-09-09,49.9,49.95,48.71,49.09,2178044
2010-09-10,49.11,49.28,48.65,49.07,1902227
2010-09-13,49.36,49.55,48.99,49.0,2643790
2010-09-14,48.88,49.22,48.65,48.73,2959647
2010-09-15,48.67,49.18,48.38,48.88,2461792
2010-09-16,48.84,49.05,48.35,48.36,2167697
2010-09-17,48.73,49.29,48.62,49.27,4653247
2010-09-20,49.5,50.18,49.31,50.07,2898708
2010-09-21,50.1,51.02,49.93,50.48,2991558
2010-09-22,50.51,50.88,50.23,50.5,3351354
2010-09-23,50.04,50.85,49.84,50.58,3174374
2010-09-24,51.12,51.76,50.84,51.69,2467397
2010-09-27,51.63,52.09,51.21,51.82,3329185
2010-09-28,51.85,52.22,51.21,52.11,2479249
2010-09-29,51.81,52.2,51.55,51.79,3816687
2010-09-30,52.1,52.32,51.24,51.26,3634004
2010-10-01,51.45,51.73,51.15,51.62,3002125
2010-10-04,51.59,51.84,50.86,51.06,2930498
2010-10-05,51.43,52.34,51.39,51.88,2522747
2010-10-06,51.94,52.05,50.31,50.75,3687632
2010-10-07,51.03,51.63,50.31,50.41,3782364
2010-10-08,50.53,50.56,50.13,50.37,2161703
2010-10-11,50.36,50.46,49.86,50.01,2056283
2010-10-12,49.8,50.85,49.38,50.62,3888773
2010-10-13,50.92,51.17,50.65,50.76,4293949
2010-10-14,50.73,51.57,50.73,51.38,3538177
2010-10-15,51.79,51.87,50.38,50.81,3339495
2010-10-18,50.74,50.87,50.28,50.49,1890306
2010-10-19,50.06,50.35,49.47,49.79,2137864
2010-10-20,49.95,50.84,49.82,50.45,2106089
2010-10-21,50.81,50.81,49.4,50.02,2903952
2010-10-22,50.11,50.35,49.9,50.22,1896476
2010-10-25,50.5,51.02,50.44,50.81,1895664
2010-10-26,50.57,50.98,50.29,50.84,1928567
2010-10-27,50.55,50.83,50.17,50.7,2658339
2010-10-28,50.93,51.91,50.93,51.74,2617645
2010-10-29,51.53,51.88,51.16,51.61,2203857
2010-11-01,51.79,51.85,51.34,51.79,1803144
2010-11-02,52.18,52.25,51.6,51.88,2147136
2010-11-03,52.08,52.18,51.5,52.13,2327319
2010-11-04,52.55,52.61,51.96,52.41,2947150
2010-11-05,52.08,52.49,50.0,51.92,5326920
2010-11-08,51.94,52.42,51.55,52.37,3017621
2010-11-09,52.9,53.08,52.07,52.19,4205847
2010-11-10,52.3,53.52,52.25,53.11,3343501
2010-11-11,52.9,53.22,52.62,53.14,2576886
