Date,Open,High,Low,Close,Volume
2010-01-04,43.56,44.99,43.51,44.64,736891
2010-01-05,44.71,44.88,43.51,43.64,652493
2010-01-06,43.74,43.83,43.33,43.35,486530
2010-01-07,43.19,43.53,43.03,43.46,471218
2010-01-08,43.38,43.77,43.16,43.76,381214
2010-01-11,43.95,44.0,43.28,43.93,361160
2010-01-12,43.75,43.91,42.54,42.74,310174
2010-01-13,42.72,43.62,42.67,43.04,301191
2010-01-14,42.89,43.52,42.89,43.49,253172
2010-01-15,43.56,43.84,43.1,43.34,332262
2010-01-19,43.26,44.14,43.01,44.09,338860
2010-01-20,44.04,44.09,42.54,42.79,297633
2010-01-21,42.88,43.18,41.76,41.84,303197
2010-01-22,41.96,42.03,40.72,40.8,299345
2010-01-25,41.24,41.31,40.49,40.77,303903
2010-01-26,40.76,40.83,40.28,40.56,252521
2010-01-27,40.36,42.21,40.24,42.19,943855
2010-01-28,42.0,42.37,41.59,41.97,456910
2010-01-29,42.15,42.47,41.86,41.86,643201
2010-02-01,41.97,42.19,41.54,42.19,376137
2010-02-02,42.13,42.57,41.86,42.35,267469
2010-02-03,42.06,42.67,42.01,42.57,275691
2010-02-04,42.19,42.22,40.9,40.97,392460
2010-02-05,40.85,41.22,40.26,41.19,429479
2010-02-08,41.16,41.16,40.4,40.68,183925
2010-02-09,40.94,41.25,40.52,41.05,273816
2010-02-10,40.86,41.41,40.7,41.27,362657
2010-02-11,41.1,41.45,40.83,41.35,344032
2010-02-12,40.9,41.62,40.9,41.59,295587
2010-02-16,42.0,42.06,41.71,42.03,222506
2010-02-17,42.0,42.88,41.98,42.83,429850
2010-02-18,42.93,43.5,42.71,43.36,256307
2010-02-19,43.27,43.58,43.1,43.17,243024
2010-02-22,43.24,43.38,42.9,43.18,150159
2010-02-23,43.13,43.25,42.7,42.99,276368
2010-02-24,43.2,44.36,43.19,44.04,486753
2010-02-25,43.1,43.64,42.03,43.62,462706
2010-02-26,43.51,43.97,42.74,43.86,498879
2010-03-01,43.97,44.3,43.66,44.3,565952
