Date,Open,High,Low,Close,Volume
2010-01-04,58.69,59.81,58.38,59.75,4641745
2010-01-05,60.59,61.25,60.17,60.4,8385482
2010-01-06,60.12,61.53,60.12,61.38,6450142
2010-01-07,61.68,63.78,61.23,63.66,6035912
2010-01-08,63.59,64.07,63.01,63.94,5271102
2010-01-11,64.28,64.88,63.87,64.31,4370060
2010-01-12,63.8,64.31,62.63,63.46,5813238
2010-01-13,63.76,65.01,63.47,64.97,5555913
2010-01-14,64.95,66.48,64.68,66.22,5137647
2010-01-15,66.34,67.23,65.62,66.65,7040934
2010-01-19,67.82,69.49,67.39,68.06,12115965
2010-01-20,69.37,70.0,67.2,67.68,14642809
2010-01-21,67.88,68.36,65.32,65.5,8139097
2010-01-22,65.87,66.78,62.25,65.1,6916184
2010-01-25,65.45,66.46,65.17,65.55,5771647
2010-01-26,65.0,65.1,63.88,63.88,7405445
2010-01-27,62.71,65.33,62.11,64.62,9362366
2010-01-28,65.0,66.47,64.34,64.42,8125618
2010-01-29,64.47,64.75,63.71,63.72,4598872
2010-02-01,64.1,64.88,62.6,64.2,3986009
2010-02-02,64.46,65.18,63.98,65.05,4178453
2010-02-03,64.53,65.13,63.38,64.07,3814122
2010-02-04,63.37,64.15,62.78,62.83,4608902
2010-02-05,62.59,63.07,60.31,61.69,8633697
2010-02-08,61.63,62.66,61.1,61.65,5380863
2010-02-09,62.15,62.29,60.44,61.45,7747078
2010-02-10,61.45,61.59,58.56,60.01,10418675
2010-02-11,60.0,60.58,59.35,60.52,5833041
2010-02-12,59.83,59.85,59.06,59.33,5726935
2010-02-16,59.28,59.57,56.99,58.46,9030807
2010-02-17,58.55,61.09,58.55,59.7,9182219
2010-02-18,59.11,59.88,58.25,59.11,6166358
2010-02-19,59.12,59.27,58.39,58.47,5993474
2010-02-22,58.35,59.78,57.91,59.44,8005156
2010-02-23,59.32,59.76,58.54,59.01,5930150
2010-02-24,59.34,60.37,58.5,60.14,6493855
2010-02-25,59.8,61.61,59.22,61.45,15277216
2010-02-26,61.49,62.99,61.49,61.87,7666045
2010-03-01,62.49,63.46,61.2,62.06,6988111
2010-03-02,61.27,62.89,61.19,61.9,5509537
2010-03-03,61.34,62.7,61.12,62.36,4413124
2010-03-04,62.23,62.23,60.07,61.23,8895180
2010-03-05,61.28,62.31,61.17,62.25,4360633
2010-03-08,62.13,62.75,61.62,61.96,4424972
2010-03-09,61.58,62.07,61.29,61.43,3654258
2010-03-10,61.25,62.92,61.25,62.48,6002149
2010-03-11,62.41,63.73,62.07,63.55,6307228
2010-03-12,63.95,63.95,62.19,62.58,5541460
2010-03-15,62.46,62.56,60.61,61.52,6408888
2010-03-16,61.43,62.02,60.67,61.97,4710003
2010-03-17,62.15,62.38,61.03,61.94,6469338
2010-03-18,61.69,64.3,60.82,63.82,10554023
2010-03-19,64.35,65.84,64.25,65.07,12464677
2010-03-22,65.21,66.33,64.12,64.39,8654709
2010-03-23,64.37,64.53,62.94,63.61,5986356
2010-03-24,63.31,64.17,63.09,63.4,5141169
2010-03-25,63.9,64.26,63.01,63.59,3414395
2010-03-26,63.81,63.91,63.03,63.05,3656409
2010-03-29,63.3,64.38,63.03,64.19,4434171
2010-03-30,64.25,65.15,63.84,64.69,3618401
2010-03-31,65.13,65.21,64.31,64.38,5289237
2010-04-01,64.47,64.84,64.18,64.71,3527839
2010-04-05,65.11,65.57,64.7,65.34,2962681
2010-04-06,64.98,65.81,64.61,64.61,3795756
2010-04-07,64.31,64.58,62.79,63.26,7326749
2010-04-08,63.05,63.21,61.54,62.09,7520386
2010-04-09,61.94,62.05,60.31,61.26,7036630
2010-04-12,61.18,61.64,61.0,61.34,4583686
2010-04-13,61.07,61.4,59.9,60.18,6152076
2010-04-14,59.79,60.0,58.62,58.96,7712878
2010-04-15,58.73,58.9,56.98,58.58,11739991
2010-04-16,58.36,59.35,58.22,59.08,8121236
2010-04-19,58.89,60.77,58.83,60.55,6357588
2010-04-20,61.49,61.49,59.39,59.84,6309878
2010-04-21,59.75,60.02,58.3,58.64,4944996
2010-04-22,58.35,58.56,57.4,58.41,4702783
2010-04-23,58.29,58.32,57.43,57.98,6426529
2010-04-26,58.29,58.41,56.12,56.56,7605032
2010-04-27,56.31,57.02,55.69,55.92,6182628
2010-04-28,55.43,58.19,55.23,57.45,8218049
2010-04-29,57.99,59.93,57.79,59.08,7866484
2010-04-30,58.08,58.14,53.5,53.8,18771021
2010-05-03,54.59,54.9,53.03,53.52,8863154
2010-05-04,53.24,53.53,51.82,52.6,8588446
2010-05-05,51.01,52.9,50.68,52.53,6335464
2010-05-06,52.4,53.34,49.1,51.3,6950310
2010-05-07,50.89,51.52,49.79,50.94,6543498
2010-05-10,52.68,53.0,50.43,51.14,8039096
2010-05-11,50.67,52.81,50.5,52.11,5368893
2010-05-12,52.31,54.06,51.65,54.04,5568290
2010-05-13,54.21,54.21,53.05,53.16,4188330
2010-05-14,52.78,53.18,52.15,53.09,3463857
2010-05-17,52.97,53.69,52.38,53.52,3931042
2010-05-18,53.68,54.4,52.99,53.08,4790917
2010-05-19,52.8,53.72,52.41,53.4,4244861
2010-05-20,52.36,52.78,51.13,51.17,6949157
2010-05-21,50.6,51.57,50.08,51.25,6164106
2010-05-24,50.99,51.72,50.6,51.1,4266300
2010-05-25,50.13,50.87,49.82,50.7,5216467
2010-05-26,50.86,51.68,50.73,50.89,5054251
2010-05-27,51.79,52.03,51.03,51.72,3248869
2010-05-28,51.8,51.84,51.16,51.3,2855370
2010-06-01,50.92,51.72,50.82,51.05,3860024
2010-06-02,51.11,52.41,50.87,52.37,4040129
2010-06-03,52.51,54.56,52.51,54.45,6149221
2010-06-04,53.7,56.34,53.69,54.14,8072762
2010-06-07,54.36,55.48,52.45,53.57,8954626
2010-06-08,53.73,54.28,52.6,53.27,6156372
2010-06-09,53.4,53.9,52.16,52.31,4695310
2010-06-10,53.0,53.33,52.26,52.79,4494182
2010-06-11,52.36,53.28,51.93,52.65,3746323
2010-06-14,52.92,53.89,52.71,53.1,3400797
2010-06-15,53.34,54.08,53.22,54.03,3749875
2010-06-16,53.54,54.95,53.5,54.71,4271837
2010-06-17,54.93,55.13,54.53,55.05,3798049
2010-06-18,55.02,55.35,54.8,55.22,6458150
2010-06-21,55.54,55.98,55.02,55.24,4184087
2010-06-22,55.16,55.56,53.62,53.72,5136185
2010-06-23,53.75,53.78,52.76,53.03,4099864
2010-06-24,52.79,53.32,52.1,52.37,3304650
2010-06-25,52.37,52.82,51.63,51.75,7671662
2010-06-28,51.91,51.98,50.78,50.79,3558872
2010-06-29,50.43,50.63,49.37,49.57,5118098
2010-06-30,49.54,49.71,48.86,48.93,4979205
2010-07-01,48.73,48.73,46.52,47.79,7295579
2010-07-02,48.01,48.09,47.11,47.43,3473679
2010-07-06,48.01,48.62,47.62,48.11,3705421
2010-07-07,48.31,49.0,48.21,48.91,3723459
2010-07-08,49.17,49.88,48.94,49.87,3022267
2010-07-09,49.9,51.18,49.67,51.17,3941716
2010-07-12,51.06,51.35,50.38,51.28,3469904
2010-07-13,51.77,51.94,51.38,51.61,3140559
2010-07-14,51.38,51.99,50.86,51.97,2752076
2010-07-15,51.74,53.16,51.48,53.15,4625061
2010-07-16,52.81,53.19,51.37,51.39,4127657
2010-07-19,51.63,52.73,51.63,52.49,3209987
2010-07-20,52.19,52.78,51.43,52.61,3477352
2010-07-21,52.69,52.91,51.2,51.49,3110194
2010-07-22,51.9,52.75,51.63,52.46,2669023
2010-07-23,52.18,52.46,51.63,51.99,2881593
2010-07-26,52.15,53.19,52.0,53.19,2364452
2010-07-27,53.3,53.87,52.64,52.8,3052752
2010-07-28,52.62,52.8,50.2,50.83,5779596
2010-07-29,51.18,51.46,49.45,49.88,5047900
2010-07-30,49.32,51.04,48.76,50.72,4321873
2010-08-02,51.12,52.1,50.97,52.01,4464959
2010-08-03,51.81,53.84,51.7,53.24,5206197
2010-08-04,53.41,54.35,53.13,54.24,4395874
2010-08-05,53.9,55.06,53.65,54.96,3402898
2010-08-06,54.58,55.14,54.22,55.05,3716565
2010-08-09,55.32,55.7,55.08,55.14,2459479
2010-08-10,54.85,55.46,54.56,55.02,3682561
2010-08-11,54.47,54.5,51.29,51.31,14100731
2010-08-12,50.86,51.95,50.72,51.58,3969476
2010-08-13,51.31,52.04,50.81,51.79,2322545
2010-08-16,51.37,51.8,50.78,51.62,2969801
2010-08-17,52.14,52.61,51.72,52.38,2805659
2010-08-18,52.48,52.62,51.71,51.98,2807895
2010-08-19,51.7,51.71,49.79,50.12,3826968
2010-08-20,50.13,50.29,49.17,49.89,3035588
2010-08-23,50.1,50.78,49.58,49.64,2494599
2010-08-24,49.15,49.94,48.61,49.68,4368817
2010-08-25,49.56,51.51,49.28,51.04,4358497
2010-08-26,51.33,52.29,50.56,50.64,3249818
2010-08-27,50.93,51.2,49.81,50.87,2416867
2010-08-30,50.71,50.91,49.6,49.6,1945256
2010-08-31,49.2,50.58,48.82,49.66,3994527
2010-09-01,50.28,51.05,49.91,50.88,3672282
2010-09-02,51.22,51.82,50.93,51.82,2445178
2010-09-03,52.16,53.27,52.06,53.25,3655589
2010-09-07,52.81,52.95,52.3,52.4,2393550
2010-09-08,52.5,53.09,52.26,52.91,2441778
2010-09-09,53.48,54.64,53.31,54.53,4567831
2010-09-10,54.45,55.25,54.16,54.83,3993852
2010-09-13,55.28,55.76,54.97,55.37,4400325
2010-09-14,55.1,55.84,54.4,55.45,3806866
2010-09-15,55.13,55.32,53.76,54.64,4439474
2010-09-16,54.61,54.75,54.12,54.7,3041119
2010-09-17,54.74,55.22,54.06,54.06,5647785
2010-09-20,54.11,55.21,54.11,54.96,4678540
2010-09-21,55.11,56.43,54.71,55.75,4836286
2010-09-22,55.67,56.86,55.34,56.64,4643604
2010-09-23,56.17,57.42,56.1,56.5,3730973
2010-09-24,57.01,57.49,56.5,56.69,4557978
2010-09-27,56.69,56.77,55.87,55.88,3295248
2010-09-28,56.14,56.35,55.38,56.23,3469481
2010-09-29,55.85,56.26,55.35,56.13,3127347
