Date,Open,High,Low,Close,Volume
2010-01-04,104.94,106.46,104.53,105.87,2364857
2010-01-05,105.98,107.16,105.24,107.12,2464469
2010-01-06,106.78,108.92,106.17,108.8,2894446
2010-01-07,108.32,108.32,106.18,107.15,2412160
2010-01-08,106.12,106.8,104.89,106.59,4105976
2010-01-11,107.45,108.23,105.87,106.91,2352540
2010-01-12,105.39,106.42,104.76,105.29,3003004
2010-01-13,104.52,107.1,104.16,106.82,2485254
2010-01-14,107.08,107.7,106.42,107.4,1895984
2010-01-15,107.12,108.0,105.95,107.66,2443013
2010-01-19,107.08,108.6,106.44,108.4,2948227
2010-01-20,106.74,106.74,105.68,106.46,3187836
2010-01-21,107.32,107.44,104.74,105.06,4033731
2010-01-22,104.35,104.88,101.72,102.03,4450154
2010-01-25,102.81,104.96,102.56,104.0,3817343
2010-01-26,101.97,103.91,101.67,102.36,3363080
2010-01-27,102.23,103.06,99.88,101.4,3265430
2010-01-28,103.04,104.36,100.63,101.69,3319559
2010-01-29,102.93,103.14,98.08,98.77,3104213
2010-02-01,99.47,102.53,99.34,102.4,2500911
2010-02-02,102.42,104.94,101.78,104.63,2222278
2010-02-03,104.57,104.97,102.72,103.32,1696627
2010-02-04,102.19,102.59,98.72,98.88,2742737
2010-02-05,99.06,99.98,95.15,98.4,4142739
2010-02-08,98.27,99.13,96.88,97.19,2683256
2010-02-09,98.55,99.85,97.56,98.51,3843876
2010-02-10,98.03,99.15,96.32,98.55,4030204
2010-02-11,98.47,99.99,97.88,99.82,3911998
2010-02-12,98.61,99.9,98.0,99.58,2828090
2010-02-16,101.99,104.1,100.85,103.68,4322234
2010-02-17,103.96,104.63,102.94,103.57,3049607
2010-02-18,101.87,104.03,101.29,103.59,3296455
2010-02-19,103.09,105.32,102.5,105.01,3283448
2010-02-22,105.37,105.59,103.04,104.02,3323486
2010-02-23,103.3,104.16,101.82,102.46,4845589
2010-02-24,102.09,102.56,101.0,102.27,3820095
2010-02-25,100.85,103.33,100.07,103.14,2875064
2010-02-26,103.63,103.97,102.27,103.64,2375696
2010-03-01,104.01,105.38,103.71,105.03,2629101
2010-03-02,105.48,107.04,105.28,106.18,3197829
2010-03-03,106.36,106.97,105.29,106.01,3108689
2010-03-04,106.26,106.47,104.33,104.8,2678499
2010-03-05,105.63,107.46,105.58,107.41,2537841
2010-03-08,107.34,107.41,105.46,106.02,2327278
2010-03-09,105.26,106.76,105.26,106.21,1730149
2010-03-10,106.41,107.17,105.28,106.59,2501539
2010-03-11,106.25,107.31,105.81,106.94,2460734
2010-03-12,107.33,107.98,106.1,106.85,2691071
2010-03-15,105.19,105.51,102.7,104.32,3029360
2010-03-16,104.66,104.95,103.58,104.65,2948815
2010-03-17,105.45,106.65,105.14,106.18,2668222
2010-03-18,105.6,106.25,102.76,103.45,2952141
2010-03-19,103.82,104.46,100.63,101.68,3774229
2010-03-22,100.63,102.1,100.11,101.6,2894390
2010-03-23,102.32,103.53,102.0,103.26,3933209
2010-03-24,102.55,103.52,102.0,102.32,3191054
2010-03-25,103.51,103.67,98.97,99.07,4599036
2010-03-26,99.31,99.48,97.09,98.31,5131228
2010-03-29,98.98,100.2,98.59,99.8,4798031
2010-03-30,100.08,100.24,99.0,99.72,4022021
2010-03-31,100.19,102.35,99.95,101.5,3847859
2010-04-01,102.8,103.98,102.65,103.87,3331546
2010-04-05,104.23,106.55,103.55,106.21,3475154
2010-04-06,105.84,107.04,105.36,106.54,2227737
2010-04-07,106.0,106.55,104.66,105.47,3953867
2010-04-08,104.78,106.49,104.35,106.29,2835591
2010-04-09,106.63,107.38,106.08,106.76,2944294
2010-04-12,106.82,108.1,106.37,107.11,2723323
2010-04-13,107.0,107.0,105.33,106.79,2077087
2010-04-14,107.64,108.19,106.51,108.06,2111963
2010-04-15,103.94,107.29,103.75,106.67,9770007
2010-04-16,105.62,106.79,104.53,105.44,5418207
2010-04-19,104.09,105.6,103.85,105.18,2895406
2010-04-20,106.09,108.43,106.07,107.81,3356615
2010-04-21,108.11,108.48,107.08,108.06,2999022
2010-04-22,106.93,108.47,105.96,108.24,3203523
2010-04-23,107.91,109.99,106.7,109.87,3774759
2010-04-26,109.86,111.0,109.07,109.49,3466631
2010-04-27,108.97,109.25,105.5,105.86,3838696
2010-04-28,106.46,107.15,104.83,106.58,2877520
2010-04-29,107.1,107.45,102.22,102.92,7898604
2010-04-30,102.78,103.0,96.06,101.76,14487511
2010-05-03,101.88,105.55,101.15,104.55,5995791
2010-05-04,102.07,102.41,99.75,100.92,4989014
2010-05-05,99.31,100.81,98.0,99.3,4577596
2010-05-06,98.96,100.21,90.41,95.96,6583391
2010-05-07,95.96,96.9,92.02,93.53,7296124
2010-05-10,97.0,98.67,96.44,98.27,4365143
2010-05-11,97.02,98.87,96.19,96.66,4108820
2010-05-12,97.49,99.05,96.99,98.44,3633583
2010-05-13,98.28,98.44,96.25,96.46,4586319
2010-05-14,95.81,95.97,92.02,94.28,6058053
2010-05-17,94.81,95.49,93.15,95.19,7078660
2010-05-18,96.29,97.07,93.53,94.04,5645138
2010-05-19,93.54,94.59,91.2,93.26,5046875
2010-05-20,91.25,91.5,87.39,87.97,8413515
2010-05-21,86.07,90.55,85.16,89.58,6514383
2010-05-24,89.74,89.74,87.34,87.35,4140603
2010-05-25,84.79,88.24,83.55,88.04,4748900
2010-05-26,89.07,90.5,87.4,87.81,4644082
2010-05-27,90.4,91.97,90.05,91.84,6534386
2010-05-28,92.32,92.56,89.26,89.54,6664905
2010-06-01,87.9,89.15,85.24,85.42,6333423
2010-06-02,86.12,89.1,84.5,89.04,6384063
2010-06-03,90.13,90.6,86.6,89.6,10686605
2010-06-04,87.26,90.64,87.03,87.57,7082329
2010-06-07,88.56,89.68,85.82,86.03,6416495
2010-06-08,86.64,89.0,85.73,88.89,4734148
2010-06-09,90.43,92.73,88.44,88.84,5441174
2010-06-10,90.96,93.35,90.7,93.26,4079594
2010-06-11,92.48,93.74,91.78,93.64,3104392
2010-06-14,95.03,96.7,93.91,95.34,5008723
2010-06-15,95.82,98.41,95.82,98.2,4518829
2010-06-16,97.48,99.11,96.8,97.62,5599198
2010-06-17,98.15,98.23,95.78,97.19,3718225
2010-06-18,97.38,99.49,96.21,97.57,4534680
2010-06-21,99.59,99.96,94.95,95.55,4340855
2010-06-22,95.85,96.03,93.01,93.33,3984391
2010-06-23,93.14,93.25,90.86,92.21,4106695
2010-06-24,91.73,92.62,89.38,89.67,3688427
2010-06-25,90.67,90.88,88.55,89.92,5565875
2010-06-28,90.34,90.34,87.63,87.71,3927131
2010-06-29,85.96,86.13,84.0,84.51,4999917
2010-06-30,84.69,85.85,83.85,84.19,4914176
2010-07-01,83.76,85.11,81.94,83.7,5232412
2010-07-02,84.04,84.74,82.32,82.85,2714969
2010-07-06,84.59,84.71,82.17,82.89,4683034
2010-07-07,83.48,87.05,83.44,87.05,4644192
2010-07-08,88.27,88.27,86.28,87.4,3313035
2010-07-09,87.4,88.02,86.74,87.88,2758233
2010-07-12,86.75,86.75,84.2,85.07,6740995
2010-07-13,86.4,87.34,85.9,86.65,4190764
2010-07-14,86.41,87.23,85.62,86.83,2546450
2010-07-15,86.87,87.16,84.29,86.13,5286399
2010-07-16,85.67,85.67,82.38,82.75,5485194
2010-07-19,83.91,85.81,83.5,85.59,5180141
2010-07-20,84.46,88.62,84.46,88.28,4318040
2010-07-21,87.45,88.85,87.0,87.45,10297330
2010-07-22,88.73,90.12,87.8,89.28,7117454
2010-07-23,89.22,93.43,89.07,92.79,29232662
2010-07-26,94.46,95.6,93.5,95.5,8226694
2010-07-27,96.07,96.45,93.91,94.92,5501471
2010-07-28,94.49,95.42,93.61,94.37,3536541
2010-07-29,94.79,96.19,94.49,95.4,5126903
2010-07-30,94.07,96.26,93.8,95.58,4850233
2010-08-02,97.04,98.8,96.67,98.47,4229478
2010-08-03,98.18,98.62,97.13,98.02,3696747
2010-08-04,98.15,98.67,96.52,97.76,4428508
2010-08-05,97.1,97.85,96.2,97.55,3413739
2010-08-06,96.34,96.58,94.11,95.95,4642120
2010-08-09,96.31,96.82,95.23,96.22,2380254
2010-08-10,94.93,95.9,93.83,95.46,3558995
2010-08-11,93.5,93.76,92.03,92.33,3983230
2010-08-12,91.26,93.34,91.0,91.85,3960357
2010-08-13,91.68,92.58,91.06,91.26,2732928
2010-08-16,90.8,91.69,90.5,91.4,2662535
2010-08-17,92.35,93.5,92.01,93.0,3301748
2010-08-18,92.54,93.25,91.6,92.83,2690816
2010-08-19,92.49,92.83,91.17,91.75,3400209
2010-08-20,90.97,91.24,90.0,90.53,3396130
2010-08-23,90.9,91.18,89.35,89.46,3645078
2010-08-24,88.0,88.86,87.35,87.48,6400691
2010-08-25,86.85,87.06,85.35,86.66,5613350
2010-08-26,87.38,89.42,87.17,87.29,5175739
2010-08-27,87.88,90.14,86.6,89.97,3787245
2010-08-30,89.75,91.06,89.49,89.55,3309725
2010-08-31,89.05,90.31,88.7,89.85,3940713
2010-09-01,91.24,93.1,91.22,92.46,3450358
2010-09-02,92.64,92.64,87.58,91.3,15580334
2010-09-03,92.43,93.65,91.78,92.62,4538958
2010-09-07,92.04,92.33,90.31,90.36,3988859
2010-09-08,90.35,92.46,90.35,91.95,2846278
2010-09-09,93.49,93.61,91.9,92.71,3243517
2010-09-10,93.41,94.05,92.98,93.73,3502454
2010-09-13,94.71,94.99,93.96,94.6,2514081
2010-09-14,94.43,95.97,93.97,94.7,2887404
2010-09-15,94.04,94.59,93.26,94.23,2819971
2010-09-16,93.66,95.02,93.62,94.3,2328271
2010-09-17,94.74,95.22,92.57,94.48,3904074
2010-09-20,94.9,96.44,94.13,96.03,3076066
2010-09-21,95.9,96.81,95.08,96.07,3200290
2010-09-22,96.21,97.6,95.24,95.42,2122247
2010-09-23,94.52,96.03,94.13,94.99,2651394
2010-09-24,96.23,98.65,95.43,98.13,3463561
2010-09-27,98.16,98.75,97.54,97.56,1930164
2010-09-28,97.94,98.09,95.68,97.1,2455743
2010-09-29,96.79,98.61,96.66,98.03,2627359
2010-09-30,98.79,99.09,96.21,97.76,3196924
2010-10-01,98.98,99.38,97.43,98.28,4554333
2010-10-04,97.59,98.9,96.51,97.01,2780055
2010-10-05,98.24,99.17,97.55,98.9,3418385
2010-10-06,98.63,99.83,98.33,99.76,2611619
2010-10-07,100.17,100.8,98.52,99.65,2894295
