Date,Open,High,Low,Close,Volume
2010-01-04,82.11,83.26,81.71,83.16,1046605
2010-01-05,82.9,83.16,81.9,82.47,730882
2010-01-06,82.0,82.68,81.5,81.79,1155012
2010-01-07,81.81,82.07,80.87,81.32,1400915
2010-01-08,81.14,82.22,80.95,81.84,1151527
2010-01-11,82.68,83.55,82.27,83.34,1107855
2010-01-12,82.42,83.19,81.76,82.28,877936
2010-01-13,82.38,83.11,81.76,83.1,809035
2010-01-14,82.96,83.8,81.81,82.07,613695
2010-01-15,82.23,82.96,81.95,82.77,1426653
2010-01-19,82.95,83.04,81.99,82.58,1309064
2010-01-20,82.0,82.0,81.12,81.48,1216910
2010-01-21,81.34,82.31,79.81,79.86,1430826
2010-01-22,79.86,80.88,77.97,78.07,1807061
2010-01-25,79.09,80.94,79.09,80.26,1796473
2010-01-26,79.47,81.08,79.0,79.58,1371171
2010-01-27,79.58,80.25,77.73,78.86,1704128
2010-01-28,79.22,79.48,76.93,77.04,1348761
2010-01-29,77.15,77.59,75.91,75.96,2338640
2010-02-01,76.65,77.08,75.33,76.81,2320347
2010-02-02,76.85,77.64,76.0,76.62,1477632
2010-02-03,76.22,76.97,75.7,76.19,1223449
2010-02-04,75.52,75.96,73.66,73.69,1491566
2010-02-05,67.65,69.17,65.05,68.64,9337909
2010-02-08,68.71,70.19,68.02,68.35,3408218
2010-02-09,67.89,68.85,67.47,67.95,3743169
2010-02-10,69.1,69.1,67.09,68.22,3738418
2010-02-11,68.32,69.09,67.5,68.4,3375671
2010-02-12,67.67,69.21,67.0,68.53,3436077
2010-02-16,69.31,70.57,68.94,70.41,1884061
2010-02-17,70.48,72.0,69.83,70.18,2806952
2010-02-18,70.3,70.46,69.66,69.95,2039233
2010-02-19,69.9,70.0,69.09,69.64,1883650
2010-02-22,69.67,70.02,69.5,69.92,3287913
2010-02-23,69.81,70.59,69.66,70.07,3324544
2010-02-24,70.34,70.34,69.7,69.87,4140922
2010-02-25,69.24,69.32,68.32,68.98,2352240
2010-02-26,69.06,69.26,68.46,68.58,2038256
2010-03-01,68.8,69.21,68.04,69.16,2181296
2010-03-02,69.67,71.01,69.42,70.67,2443953
2010-03-03,71.19,71.68,70.52,71.32,2073398
2010-03-04,71.46,72.04,71.01,71.89,2488906
2010-03-05,72.32,73.54,72.0,73.5,2659576
2010-03-08,73.55,74.35,73.55,74.2,2748877
2010-03-09,73.84,74.62,73.57,74.23,2472271
2010-03-10,74.33,74.84,73.58,74.4,2176831
2010-03-11,73.97,74.66,73.33,74.66,2109926
2010-03-12,74.9,75.1,74.39,74.56,1918017
2010-03-15,74.53,74.75,73.71,74.12,2136253
2010-03-16,74.41,74.97,74.27,74.88,1832098
2010-03-17,75.01,75.3,74.16,74.55,1679385
2010-03-18,74.85,74.89,74.09,74.76,1460105
2010-03-19,74.9,75.24,74.12,74.44,2316112
2010-03-22,73.98,75.27,73.98,75.01,1072953
2010-03-23,74.96,75.54,74.35,75.54,1030561
2010-03-24,75.16,75.24,74.4,74.81,1625347
2010-03-25,75.33,75.44,73.66,73.7,1214852
2010-03-26,73.9,74.9,73.72,74.32,1094402
2010-03-29,74.57,75.09,73.43,74.3,1833964
2010-03-30,73.74,74.25,72.78,74.09,1487592
2010-03-31,74.09,74.58,73.83,73.95,1395217
2010-04-01,74.44,74.54,73.51,73.87,1153105
2010-04-05,73.99,74.33,73.36,74.17,1321800
2010-04-06,73.88,74.69,73.78,74.63,866212
2010-04-07,74.1,74.85,73.85,74.06,1512464
2010-04-08,73.75,74.18,73.19,74.1,2038009
2010-04-09,74.3,75.43,73.9,75.36,1279848
2010-04-12,75.36,75.57,74.96,75.34,987630
2010-04-13,75.13,75.34,74.58,74.95,1117537
