Date,Open,High,Low,Close,Volume
2010-01-04,94.02,94.02,91.82,91.88,614274
2010-01-05,91.74,92.2,89.68,89.96,676336
2010-01-06,90.08,91.06,89.78,90.3,416091
2010-01-07,89.98,90.48,89.4,89.7,344386
2010-01-08,89.3,90.36,89.0,90.36,336651
2010-01-11,90.88,91.08,89.2,90.58,408778
2010-01-12,89.54,89.88,87.44,88.6,955557
2010-01-13,88.76,90.2,88.1,90.0,299998
2010-01-14,89.96,91.0,89.68,90.58,495909
2010-01-15,90.04,90.22,87.36,87.68,541485
2010-01-19,87.66,88.22,86.88,88.16,517723
2010-01-20,87.62,88.54,86.68,88.2,591552
2010-01-21,89.14,90.96,84.86,85.0,1696312
2010-01-22,84.44,85.0,81.02,81.08,984660
2010-01-25,81.96,82.28,80.6,81.7,643154
2010-01-26,81.0,83.18,80.52,82.4,984498
2010-01-27,82.0,82.5,80.04,81.58,906740
2010-01-28,81.64,82.12,79.24,80.04,542057
2010-01-29,80.8,81.37,79.54,79.68,936768
2010-02-01,80.34,81.42,80.04,81.14,556217
2010-02-02,81.46,81.5,80.12,81.14,466549
2010-02-03,80.9,81.9,80.58,80.86,249400
2010-02-04,80.04,80.04,77.02,77.04,549425
2010-02-05,77.0,77.8,75.56,77.72,776031
2010-02-08,77.56,79.38,77.06,77.92,567467
2010-02-09,78.9,79.82,77.96,79.24,436444
2010-02-10,79.0,79.44,77.54,79.1,392888
2010-02-11,79.06,80.14,77.58,80.12,532125
2010-02-12,79.4,80.1,78.12,79.76,350257
2010-02-16,80.72,82.74,80.02,82.6,580678
2010-02-17,82.98,83.78,82.36,83.38,388184
2010-02-18,83.18,84.18,82.9,83.92,536262
2010-02-19,86.18,87.24,84.62,85.58,864839
2010-02-22,85.8,85.8,83.38,83.52,578084
2010-02-23,83.48,84.17,82.2,82.46,407402
2010-02-24,82.64,83.44,82.12,83.26,452602
2010-02-25,81.64,83.12,80.62,82.94,481394
2010-02-26,82.68,83.48,82.02,83.3,345598
2010-03-01,84.04,85.14,84.04,85.0,340846
2010-03-02,85.3,85.92,84.46,84.88,544676
2010-03-03,85.0,87.4,84.92,87.1,729309
2010-03-04,87.02,87.16,85.86,86.5,483940
2010-03-05,86.88,88.04,86.88,87.82,745012
2010-03-08,87.94,88.28,87.41,87.52,601022
2010-03-09,87.38,88.96,87.02,88.58,500474
2010-03-10,88.78,90.42,88.76,90.28,607167
2010-03-11,89.78,90.16,88.38,88.66,1788042
2010-03-12,88.78,88.9,87.98,88.3,1118020
2010-03-15,87.98,88.76,87.6,87.78,541748
2010-03-16,87.86,88.76,87.86,88.76,620272
2010-03-17,88.84,89.8,88.72,89.14,1094782
2010-03-18,88.72,88.8,87.8,88.52,447279
2010-03-19,88.62,89.12,86.86,86.98,1038097
2010-03-22,86.2,86.32,85.76,85.92,1354133
2010-03-23,86.14,86.16,84.12,84.5,2281390
2010-03-24,84.24,84.5,83.66,83.96,1134062
2010-03-25,84.62,85.76,83.78,83.9,1319357
2010-03-26,84.06,84.26,82.02,82.92,1185778
2010-03-29,83.28,84.96,83.14,84.84,672070
2010-03-30,84.8,85.18,83.88,84.44,1015332
2010-03-31,84.06,84.86,83.92,84.38,722617
2010-04-01,84.94,85.54,84.18,84.78,478883
2010-04-05,85.04,86.16,85.04,85.94,538870
2010-04-06,85.22,86.06,84.6,85.94,502354
2010-04-07,86.18,86.18,85.16,85.58,604099
2010-04-08,85.4,85.74,84.64,85.6,362187
2010-04-09,85.66,86.66,84.93,86.6,479434
2010-04-12,86.6,87.34,86.42,86.96,648771
2010-04-13,87.02,87.24,86.38,87.06,670926
2010-04-14,87.28,89.54,87.04,89.4,938538
2010-04-15,88.96,89.74,88.58,88.86,490754
2010-04-16,88.46,89.18,87.4,87.64,575690
2010-04-19,87.62,88.04,86.0,88.04,600904
2010-04-20,92.24,95.0,91.2,94.88,1937264
2010-04-21,94.4,95.66,92.8,93.48,1210652
2010-04-22,92.14,93.5,90.96,93.46,654222
2010-04-23,93.6,94.86,93.1,93.94,444384
2010-04-26,94.0,95.16,93.72,94.78,610717
2010-04-27,93.96,94.38,91.52,91.82,601538
2010-04-28,92.66,93.26,91.32,92.72,767536
2010-04-29,93.62,94.0,92.94,93.46,421768
2010-04-30,93.3,94.0,92.1,92.42,673314
2010-05-03,92.97,94.22,92.76,94.22,520116
2010-05-04,93.06,93.06,88.78,89.54,698754
2010-05-05,88.22,88.64,85.04,88.22,1209704
2010-05-06,87.54,89.36,81.98,86.72,1518604
2010-05-07,86.72,87.08,83.2,84.94,937296
2010-05-10,89.02,90.9,88.12,90.5,1058115
2010-05-11,89.44,91.74,88.66,89.98,805142
2010-05-12,90.52,91.08,89.97,90.88,698907
2010-05-13,90.76,91.64,89.92,90.04,576494
2010-05-14,89.4,89.82,86.9,88.0,579327
2010-05-17,88.1,89.96,87.76,89.62,664519
2010-05-18,90.48,91.04,87.98,88.32,683602
2010-05-19,87.74,88.2,84.84,85.98,728245
2010-05-20,83.7,84.58,81.94,82.38,731807
2010-05-21,80.98,84.83,80.32,83.84,889376
2010-05-24,83.56,84.64,83.06,83.14,817114
2010-05-25,80.62,83.18,79.58,83.08,641482
2010-05-26,83.66,84.58,82.0,82.44,542878
2010-05-27,84.26,86.06,83.84,85.98,467693
2010-05-28,85.62,85.94,84.46,84.8,638840
2010-06-01,84.08,84.66,81.98,82.1,532946
2010-06-02,82.34,83.92,81.02,83.9,894944
2010-06-03,84.08,84.94,83.68,84.5,542973
2010-06-04,82.84,83.7,81.02,81.58,969292
2010-06-07,81.72,81.9,79.46,79.6,742261
2010-06-08,79.64,80.24,76.8,78.32,1149570
2010-06-09,78.92,80.74,78.46,78.78,773368
2010-06-10,79.6,81.3,79.58,81.3,458553
2010-06-11,80.0,82.04,80.0,82.02,503714
2010-06-14,82.8,83.66,82.0,82.12,593474
2010-06-15,82.98,86.04,82.7,86.0,764670
2010-06-16,85.32,85.93,84.86,85.32,330779
2010-06-17,85.84,85.98,84.24,85.34,288818
2010-06-18,85.5,86.1,84.72,85.28,402732
2010-06-21,86.48,87.16,84.5,85.14,437135
2010-06-22,85.18,85.84,83.58,83.72,395604
2010-06-23,83.86,84.28,82.0,83.46,404816
2010-06-24,82.84,83.76,81.7,81.88,420950
2010-06-25,82.5,83.3,80.68,82.82,627039
2010-06-28,82.82,83.66,82.34,82.96,384932
2010-06-29,81.44,81.82,79.4,80.08,488898
2010-06-30,79.82,80.8,78.16,78.56,535494
2010-07-01,78.18,79.82,76.72,79.06,813292
2010-07-02,79.4,80.0,77.32,77.92,761851
2010-07-06,79.62,79.62,76.88,77.76,754348
2010-07-07,78.12,80.74,77.64,80.56,718851
2010-07-08,81.66,82.5,80.08,81.48,718002
2010-07-09,81.48,81.72,80.72,81.28,304078
2010-07-12,80.72,81.58,80.04,81.1,293712
2010-07-13,82.02,84.3,81.76,83.96,456717
2010-07-14,84.16,85.5,83.84,84.68,568701
2010-07-15,84.58,85.42,83.74,85.2,355346
2010-07-16,84.62,84.62,81.94,82.3,537104
2010-07-19,82.64,83.46,81.78,83.2,467968
2010-07-20,81.7,85.0,81.5,84.92,590473
2010-07-21,88.22,89.16,84.66,85.0,1283908
2010-07-22,86.2,87.9,85.94,87.82,719312
2010-07-23,87.76,90.56,87.76,90.2,859826
2010-07-26,90.12,91.76,89.32,91.68,687192
2010-07-27,92.3,92.64,90.0,90.1,574826
2010-07-28,89.8,90.52,89.21,89.76,466602
2010-07-29,90.24,90.6,88.46,89.56,578130
2010-07-30,88.46,90.1,87.4,89.6,598010
2010-08-02,91.14,92.0,90.58,91.42,588240
2010-08-03,91.22,91.66,89.9,90.46,685617
2010-08-04,90.68,91.8,90.38,91.3,603086
2010-08-05,90.34,90.94,89.82,90.48,613246
2010-08-06,89.3,90.56,88.7,90.0,420683
2010-08-09,90.36,91.46,90.06,91.42,475076
2010-08-10,90.06,90.58,88.96,89.98,407623
2010-08-11,88.44,88.44,85.16,85.26,684601
2010-08-12,83.36,83.96,82.96,83.28,816301
2010-08-13,83.16,83.18,81.62,81.66,715814
2010-08-16,81.06,82.78,80.66,82.6,525848
2010-08-17,83.28,85.5,83.02,84.66,720676
2010-08-18,84.46,85.36,83.62,84.68,521408
2010-08-19,84.18,84.64,82.72,82.96,648238
2010-08-20,82.44,83.44,81.62,83.32,569392
2010-08-23,83.18,83.84,81.5,81.52,452438
2010-08-24,80.24,81.32,79.22,80.74,636840
2010-08-25,79.94,81.36,79.44,81.1,494568
2010-08-26,81.54,82.78,81.34,82.08,1015806
2010-08-27,82.74,83.94,80.92,83.86,695824
2010-08-30,83.4,84.32,82.4,82.46,708612
2010-08-31,82.14,82.94,80.88,81.44,906068
2010-09-01,82.8,87.92,82.8,87.8,1058509
2010-09-02,87.62,89.36,87.46,89.32,746372
2010-09-03,90.3,91.86,90.3,91.62,974158
2010-09-07,91.6,93.76,91.34,92.44,1080968
2010-09-08,93.18,94.46,92.08,93.78,778724
2010-09-09,95.0,95.0,91.74,92.52,772389
2010-09-10,92.26,92.72,91.6,91.78,757836
2010-09-13,92.72,94.94,92.46,94.8,490227
2010-09-14,94.58,95.42,93.56,94.86,420467
2010-09-15,94.76,94.96,93.8,94.68,438923
2010-09-16,94.32,94.82,93.6,93.78,404479
2010-09-17,94.6,95.2,93.76,94.7,589868
2010-09-20,94.94,96.7,94.52,96.52,345822
2010-09-21,96.52,96.72,94.84,95.46,448984
2010-09-22,95.12,96.0,93.32,93.48,473702
2010-09-23,92.6,95.04,92.08,93.68,478488
2010-09-24,94.94,97.44,94.68,97.44,406816
2010-09-27,97.08,97.8,96.0,96.92,441014
2010-09-28,97.1,98.04,95.06,97.84,402822
