Date,Open,High,Low,Close,Volume
2010-01-04,49.41,50.67,49.2,49.95,8629779
2010-01-05,50.49,50.55,48.09,48.39,16642524
2010-01-06,48.93,51.18,48.78,50.91,15583440
2010-01-07,49.56,49.98,48.9,49.83,12880502
2010-01-08,49.38,51.06,49.35,51.06,11082063
2010-01-11,52.47,52.8,51.39,52.35,25480620
2010-01-12,48.36,48.75,46.26,46.56,51966200
2010-01-13,47.31,47.97,46.23,47.94,19564778
2010-01-14,47.97,48.3,47.37,47.43,10794315
2010-01-15,47.28,47.55,46.38,46.89,11142395
2010-01-19,46.74,47.46,46.38,46.86,11475129
2010-01-20,46.26,46.41,45.45,45.69,11890485
2010-01-21,45.57,45.9,42.66,42.75,23310170
2010-01-22,42.54,42.54,39.99,40.2,28159473
2010-01-25,41.28,41.55,39.93,40.17,14730105
2010-01-26,40.35,41.85,39.9,40.62,14634589
2010-01-27,41.1,41.1,38.88,39.9,18457954
2010-01-28,40.26,40.41,36.78,38.76,17922851
2010-01-29,39.39,39.9,37.83,38.19,14316608
2010-02-01,38.97,40.17,38.73,40.08,13358742
2010-02-02,41.28,41.7,40.56,41.01,16858944
2010-02-03,40.8,41.67,40.29,40.47,12011953
2010-02-04,39.87,39.87,38.7,38.73,14862369
2010-02-05,38.73,39.57,37.83,39.54,14661366
2010-02-08,39.54,40.59,38.79,39.18,13135238
2010-02-09,40.08,40.5,39.3,39.84,14674343
2010-02-10,39.93,40.02,39.0,39.48,11016358
2010-02-11,39.57,40.95,39.36,40.74,11408162
2010-02-12,39.99,40.26,39.57,39.84,15386157
2010-02-16,40.59,41.25,40.05,41.22,12396377
2010-02-17,41.67,41.7,40.53,40.8,8684243
2010-02-18,40.35,40.98,40.26,40.83,9180072
2010-02-19,40.65,41.07,40.35,40.59,9525141
2010-02-22,41.04,41.1,40.32,40.62,7731921
2010-02-23,40.32,40.56,39.15,39.54,11677304
2010-02-24,39.54,39.87,38.85,39.18,12081476
2010-02-25,38.7,39.99,38.4,39.93,13183982
2010-02-26,40.08,40.11,39.36,39.9,8253813
2010-03-01,39.75,40.23,39.57,39.93,10529871
2010-03-02,40.23,40.56,39.66,39.72,10840906
2010-03-03,39.9,40.5,39.69,40.02,11102361
2010-03-04,40.08,40.62,39.96,40.29,9818142
2010-03-05,40.62,41.88,40.47,41.52,13582898
2010-03-08,42.0,42.06,41.13,41.34,10823536
2010-03-09,41.07,41.34,40.8,41.01,11159909
2010-03-10,41.25,41.31,40.59,40.71,10697037
2010-03-11,40.65,40.92,40.32,40.92,8872853
2010-03-12,41.25,41.55,40.71,40.8,9618312
2010-03-15,40.71,40.8,40.05,40.53,7837181
2010-03-16,40.71,41.4,40.56,41.4,10279916
2010-03-17,42.06,44.4,42.0,43.38,28217836
2010-03-18,43.44,44.46,42.72,42.9,16165670
2010-03-19,43.29,43.62,42.21,42.78,14878521
2010-03-22,42.18,43.35,41.7,43.02,10359572
2010-03-23,43.32,43.74,42.72,43.5,9514714
2010-03-24,43.2,43.5,42.96,42.96,11748471
2010-03-25,43.5,44.01,42.24,42.33,14126828
2010-03-26,42.86,43.32,42.33,42.81,10723725
2010-03-29,43.35,43.56,42.99,43.32,7945200
2010-03-30,43.38,43.53,42.92,43.2,8005899
2010-03-31,42.9,43.32,42.66,42.72,7776288
2010-04-01,43.2,44.43,43.14,44.1,10499413
2010-04-05,43.71,44.4,43.47,44.19,10433133
2010-04-06,43.8,45.42,43.68,45.09,14022611
2010-04-07,45.03,45.45,43.95,44.22,10568729
2010-04-08,43.83,44.7,43.5,44.61,8140584
2010-04-09,44.1,44.22,42.57,43.17,18737228
2010-04-12,43.53,44.31,43.35,43.71,19069513
2010-04-13,42.9,43.17,42.18,43.02,33563905
2010-04-14,43.17,43.41,42.57,43.29,11707922
2010-04-15,42.99,43.5,42.78,42.93,10097538
2010-04-16,42.66,42.78,41.4,41.73,17342223
2010-04-19,41.31,41.34,40.47,41.16,12569597
2010-04-20,41.67,41.94,41.13,41.25,7913584
2010-04-21,41.4,41.64,40.68,41.13,10707193
2010-04-22,40.86,41.67,40.5,41.55,8479380
2010-04-23,41.58,42.54,41.28,42.33,8174530
2010-04-26,42.48,42.87,42.06,42.15,7259070
2010-04-27,41.88,41.94,40.23,40.32,16194236
2010-04-28,40.41,40.92,40.05,40.71,10858641
2010-04-29,41.04,41.46,40.8,41.16,8741796
2010-04-30,41.19,41.34,40.11,40.29,9767338
2010-05-03,40.5,40.62,38.91,39.45,15200727
2010-05-04,38.82,38.82,37.44,37.74,18418607
2010-05-05,36.93,38.4,36.27,37.38,13948658
2010-05-06,37.02,37.92,33.75,35.82,19697350
2010-05-07,36.39,37.14,35.16,36.0,24264288
2010-05-10,37.65,37.98,37.14,37.77,12971109
2010-05-11,36.66,37.23,36.21,36.39,12398913
2010-05-12,36.6,37.62,36.48,37.38,10408017
2010-05-13,37.83,39.72,37.77,38.4,15229847
2010-05-14,37.98,37.98,36.66,37.08,13396653
2010-05-17,36.87,36.99,35.4,36.3,12936929
2010-05-18,36.75,37.23,35.4,35.46,13326268
2010-05-19,35.25,35.94,34.59,35.34,15030421
2010-05-20,34.41,34.89,33.03,33.21,19949592
2010-05-21,32.67,34.35,32.4,34.05,14559531
2010-05-24,33.93,34.26,33.21,33.27,7459740
2010-05-25,31.8,34.05,31.68,33.9,16195265
2010-05-26,34.92,35.04,33.6,33.75,11588188
2010-05-27,34.86,35.52,33.81,35.46,8557223
2010-05-28,35.37,35.37,34.63,34.92,7000433
2010-06-01,34.29,35.04,33.54,33.57,7798422
2010-06-02,33.87,34.47,33.36,34.44,8733404
2010-06-03,34.8,34.8,33.36,34.11,8539158
2010-06-04,33.12,33.78,32.43,32.52,10139596
2010-06-07,32.61,32.82,31.5,31.53,9454289
2010-06-08,31.65,32.54,31.47,32.28,9318150
2010-06-09,32.79,33.33,32.28,32.4,8710572
2010-06-10,33.06,33.78,33.03,33.75,7486478
2010-06-11,33.45,34.17,33.3,34.08,6112380
