Date,Open,High,Low,Close,Volume
2010-01-04,36.74,36.97,36.42,36.85,1301118
2010-01-05,38.46,38.47,36.32,37.09,2708736
2010-01-06,36.89,37.28,36.77,37.01,1234043
2010-01-07,36.8,37.39,36.71,37.36,995371
2010-01-08,37.11,38.12,37.02,38.07,1432659
2010-01-11,38.39,39.08,37.79,38.71,1132431
2010-01-12,38.52,38.66,37.96,38.31,877753
2010-01-13,38.38,39.84,38.15,39.75,1493404
2010-01-14,39.79,40.0,39.38,39.79,694972
2010-01-15,39.59,40.23,39.17,39.48,1279508
2010-01-19,39.55,40.07,39.46,40.07,1009018
2010-01-20,39.71,39.71,39.35,39.61,951260
2010-01-21,39.57,39.83,38.65,38.66,1480492
2010-01-22,38.47,39.13,38.35,38.62,1599643
2010-01-25,38.91,39.12,38.55,38.58,901774
2010-01-26,38.39,38.9,38.28,38.38,669397
2010-01-27,38.27,38.51,37.87,38.44,959270
2010-01-28,38.69,39.05,37.97,38.1,1709653
2010-01-29,35.68,36.42,32.48,32.51,5724272
2010-02-01,32.82,34.19,32.57,33.34,3506378
2010-02-02,33.37,33.84,33.18,33.54,1957196
2010-02-03,33.29,33.56,32.7,33.14,1399736
2010-02-04,32.83,33.11,32.65,32.71,1800501
2010-02-05,32.62,32.94,32.11,32.77,2272895
2010-02-08,32.82,33.25,32.4,32.51,1499141
2010-02-09,33.03,33.06,31.91,32.54,1981925
2010-02-10,32.48,32.48,31.87,32.17,1648490
2010-02-11,32.02,32.58,31.8,32.34,1456632
2010-02-12,31.9,32.29,31.55,32.09,1372703
2010-02-16,32.29,32.61,32.1,32.6,1698648
2010-02-17,32.57,32.85,31.73,32.1,2447528
2010-02-18,32.1,32.42,31.8,32.05,2322212
2010-02-19,31.72,31.96,31.34,31.8,2941270
2010-02-22,32.0,32.44,31.69,32.04,2049040
2010-02-23,31.94,32.22,31.48,31.52,1392263
2010-02-24,31.58,31.92,31.42,31.73,1273867
2010-02-25,31.27,31.66,30.82,31.51,1190163
2010-02-26,31.51,32.0,31.33,31.6,1020047
2010-03-01,31.64,32.16,31.23,31.84,1059502
2010-03-02,32.04,32.04,31.54,31.67,1414664
2010-03-03,31.83,31.93,31.38,31.43,1489215
2010-03-04,30.53,30.86,30.22,30.79,2413385
2010-03-05,30.89,31.26,30.8,31.15,1540931
2010-03-08,31.11,31.46,30.73,31.38,1472660
2010-03-09,31.31,32.3,31.14,32.07,1942921
2010-03-10,32.04,32.5,31.89,32.36,1565159
2010-03-11,32.25,33.06,32.03,33.04,2327567
2010-03-12,33.23,33.66,32.79,33.31,2518811
2010-03-15,33.32,33.78,33.12,33.61,1525408
