Date,Open,High,Low,Close,Volume
2010-01-04,35.88,36.36,35.77,36.03,829126
2010-01-05,35.86,36.5,35.83,36.33,699990
2010-01-06,36.99,37.96,36.58,36.85,1084242
2010-01-07,36.89,38.26,36.75,38.0,689219
2010-01-08,37.75,38.14,37.68,38.14,326231
2010-01-11,38.37,38.49,38.1,38.26,249302
2010-01-12,37.83,38.51,37.83,38.5,326501
2010-01-13,38.54,38.99,38.13,38.92,683375
2010-01-14,38.9,38.96,38.52,38.69,142479
2010-01-15,39.41,39.41,37.79,37.99,261633
2010-01-19,37.98,38.38,37.86,38.37,250810
2010-01-20,37.93,38.1,37.39,37.97,251093
2010-01-21,37.97,38.17,37.28,37.49,372052
2010-01-22,37.38,37.7,36.65,36.84,408939
2010-01-25,37.18,37.18,36.48,36.83,282205
2010-01-26,36.59,37.25,36.43,36.47,214247
2010-01-27,36.31,36.55,35.88,36.51,162077
2010-01-28,36.51,36.51,35.28,36.06,228978
2010-01-29,36.14,36.55,35.58,35.78,392532
2010-02-01,36.02,36.62,35.83,36.5,292788
2010-02-02,36.64,37.0,36.47,36.89,281438
2010-02-03,36.67,37.16,36.48,36.95,202496
2010-02-04,36.62,36.73,35.37,35.41,222012
2010-02-05,35.38,35.71,34.75,35.67,241328
2010-02-08,35.6,35.95,35.22,35.25,179462
2010-02-09,35.75,36.21,34.95,35.8,338536
2010-02-10,35.54,35.95,34.8,35.87,274267
2010-02-11,35.86,36.43,35.44,36.37,244576
2010-02-12,36.04,36.76,36.0,36.72,245219
2010-02-16,36.97,37.17,36.76,36.93,187111
2010-02-17,37.17,37.48,36.98,37.47,343239
2010-02-18,37.34,38.47,37.34,38.39,255081
2010-02-19,38.39,39.2,38.34,39.0,413139
2010-02-22,39.01,39.08,38.68,38.93,190957
2010-02-23,38.75,38.75,38.16,38.44,226843
2010-02-24,38.68,39.03,38.29,38.83,144185
2010-02-25,38.18,39.3,38.13,39.28,194861
2010-02-26,39.28,39.51,38.8,38.98,476236
2010-03-01,39.09,39.89,39.06,39.48,327797
2010-03-02,39.43,40.5,39.41,40.4,489853
2010-03-03,40.4,41.46,40.4,40.85,426268
2010-03-04,40.85,41.0,40.47,40.62,141158
2010-03-05,40.9,41.25,40.9,41.05,223158
2010-03-08,40.72,41.14,40.72,40.87,223558
2010-03-09,40.84,41.63,40.59,41.55,392037
2010-03-10,41.72,42.03,41.14,41.54,163870
2010-03-11,41.24,41.82,40.92,41.75,385972
2010-03-12,42.0,42.1,41.62,41.93,567005
2010-03-15,41.95,42.0,41.38,41.66,124238
2010-03-16,41.86,42.3,41.6,42.1,161359
2010-03-17,42.24,42.57,42.24,42.37,272155
2010-03-18,42.25,42.38,41.89,42.07,120904
2010-03-19,42.22,42.22,41.37,41.43,327224
2010-03-22,41.21,41.89,41.11,41.83,209250
2010-03-23,41.75,42.5,41.6,42.49,249410
2010-03-24,42.34,42.39,41.59,41.59,176384
2010-03-25,41.96,42.04,41.09,41.12,362974
2010-03-26,41.26,41.76,41.23,41.56,406923
2010-03-29,41.8,42.22,41.52,42.0,296150
2010-03-30,42.17,42.37,41.93,42.24,425644
2010-03-31,41.92,42.38,40.9,42.21,517190
2010-04-01,43.09,45.4,43.09,44.9,1082055
2010-04-05,45.3,46.99,44.92,46.99,769547
2010-04-06,46.57,46.83,46.33,46.76,323760
2010-04-07,46.51,46.54,45.21,45.82,444002
2010-04-08,45.51,45.57,45.11,45.36,267860
2010-04-09,45.28,45.5,44.74,45.19,237512
2010-04-12,45.2,45.51,44.76,45.35,224891
2010-04-13,45.33,45.5,44.93,45.29,319205
2010-04-14,45.41,45.66,44.84,45.6,240725
2010-04-15,45.32,45.52,44.92,45.23,241157
2010-04-16,45.14,45.19,44.5,44.98,457934
2010-04-19,44.91,45.49,44.64,45.42,445679
2010-04-20,45.94,46.46,45.56,46.44,321897
2010-04-21,46.35,47.04,46.35,46.83,327475
2010-04-22,46.36,47.72,46.1,47.53,272864
2010-04-23,47.61,47.91,47.14,47.56,263376
2010-04-26,47.5,47.91,47.31,47.4,328099
2010-04-27,47.04,47.23,45.67,45.89,520359
2010-04-28,46.06,46.33,45.61,45.76,323614
2010-04-29,46.0,46.48,45.76,46.43,418299
2010-04-30,46.67,46.96,45.2,45.21,272458
2010-05-03,45.3,46.15,44.85,46.08,222812
2010-05-04,45.31,45.31,44.17,44.58,253443
2010-05-05,44.14,44.72,43.34,43.43,379276
2010-05-06,43.02,43.87,38.83,41.62,539475
2010-05-07,41.39,41.39,39.81,40.01,641225
2010-05-10,41.43,42.72,40.89,42.64,632367
2010-05-11,42.23,43.1,42.01,42.45,390155
2010-05-12,42.57,44.69,42.51,44.65,302493
2010-05-13,44.62,44.7,43.99,44.28,308148
2010-05-14,43.8,43.8,42.84,43.59,292886
2010-05-17,43.92,44.51,42.73,44.12,409005
2010-05-18,44.77,45.21,43.73,43.85,602785
2010-05-19,43.6,44.07,41.97,42.19,402633
2010-05-20,41.17,41.54,40.38,41.07,533173
2010-05-21,40.31,41.96,40.23,41.37,403490
2010-05-24,41.21,41.47,40.52,40.58,186016
2010-05-25,39.31,41.03,39.0,40.99,332055
2010-05-26,41.32,41.95,40.74,40.82,515082
2010-05-27,41.74,42.05,41.31,42.0,330403
2010-05-28,41.86,41.91,41.02,41.13,202057
2010-06-01,40.63,41.36,39.9,39.91,226939
2010-06-02,39.99,41.15,39.78,41.09,246181
2010-06-03,41.53,41.93,41.18,41.86,242424
2010-06-04,40.95,41.26,39.69,39.81,331133
2010-06-07,39.92,39.92,38.48,38.55,199374
2010-06-08,38.85,39.34,37.73,39.24,276985
2010-06-09,39.65,40.38,39.5,39.84,333904
2010-06-10,40.57,41.05,40.17,41.03,162995
2010-06-11,40.43,41.24,40.26,41.24,145177
2010-06-14,41.58,42.77,41.19,42.54,541244
2010-06-15,42.66,44.53,42.5,44.46,440364
2010-06-16,44.13,45.23,43.73,45.04,506307
2010-06-17,45.08,45.13,43.83,44.48,370160
2010-06-18,44.66,45.08,44.17,44.95,381762
2010-06-21,45.72,45.73,44.75,45.01,289684
2010-06-22,45.11,45.82,44.3,44.35,538657
2010-06-23,44.68,45.2,44.18,44.57,1476307
2010-06-24,44.35,44.57,43.81,44.04,854536
2010-06-25,44.32,44.69,43.64,43.99,6387506
2010-06-28,44.0,44.15,43.43,43.49,738069
2010-06-29,42.79,42.79,40.55,40.97,943907
2010-06-30,36.77,37.4,35.5,36.38,3181659
2010-07-01,35.43,36.25,34.76,35.31,1439351
2010-07-02,35.48,35.62,34.7,35.32,1088849
2010-07-06,36.01,36.42,35.14,35.41,1001115
2010-07-07,35.73,36.89,35.6,36.88,915336
2010-07-08,37.75,38.35,37.5,38.21,973194
2010-07-09,38.26,38.89,38.13,38.85,605738
2010-07-12,38.73,39.14,38.4,38.94,614797
2010-07-13,39.41,40.56,39.39,40.38,734715
2010-07-14,40.14,40.47,39.91,40.37,503107
2010-07-15,40.24,40.91,39.6,40.73,710767
2010-07-16,40.32,40.43,38.55,38.62,884393
2010-07-19,38.93,39.01,38.01,38.63,319546
2010-07-20,37.85,39.53,37.37,39.45,372399
2010-07-21,39.65,40.22,39.41,39.6,461812
2010-07-22,40.34,41.73,40.2,41.45,816782
2010-07-23,41.21,42.51,41.11,42.49,829014
2010-07-26,42.69,43.18,42.58,43.16,502089
2010-07-27,43.39,43.56,42.86,43.35,681882
2010-07-28,43.16,43.33,42.3,42.87,780124
2010-07-29,43.0,43.08,41.5,42.21,567172
2010-07-30,41.45,42.24,41.08,42.13,594998
2010-08-02,42.82,43.33,42.55,43.18,472037
2010-08-03,42.92,43.11,42.28,42.73,340231
2010-08-04,42.8,43.01,42.52,42.63,415601
2010-08-05,42.33,42.53,41.96,42.07,443915
2010-08-06,41.36,42.08,40.83,41.19,643316
2010-08-09,41.5,42.1,41.23,42.09,397219
2010-08-10,41.44,41.51,40.56,41.06,422630
2010-08-11,40.02,40.04,38.38,38.46,622221
2010-08-12,37.6,39.24,37.46,39.07,558795
2010-08-13,38.82,39.67,38.22,39.24,541086
2010-08-16,38.86,39.4,38.3,38.52,408504
2010-08-17,39.04,39.67,38.76,39.41,377136
2010-08-18,39.51,40.1,39.03,39.57,445464
2010-08-19,39.28,39.31,37.99,38.06,544754
2010-08-20,37.72,37.85,36.92,37.49,663665
2010-08-23,37.65,38.12,36.8,36.84,561939
2010-08-24,36.03,37.6,35.73,37.16,541117
2010-08-25,36.86,38.37,36.41,38.22,577436
2010-08-26,38.29,39.11,38.16,38.33,880106
2010-08-27,38.71,39.28,38.21,38.94,829882
2010-08-30,38.64,38.99,38.22,38.22,225761
2010-08-31,38.08,39.05,37.62,38.74,343269
2010-09-01,39.44,39.98,39.25,39.6,647193
2010-09-02,39.89,41.09,39.56,41.04,540755
2010-09-03,41.58,42.0,40.77,41.04,323304
2010-09-07,40.92,40.99,40.13,40.18,336481
2010-09-08,40.27,40.68,40.13,40.46,360612
2010-09-09,41.29,41.3,40.09,40.4,495322
2010-09-10,40.41,41.18,40.34,40.51,428660
2010-09-13,41.09,41.61,40.91,41.4,314637
2010-09-14,41.19,41.41,40.85,41.07,207502
2010-09-15,40.93,41.61,40.48,41.47,217810
2010-09-16,41.25,41.66,40.69,41.05,123973
2010-09-17,41.25,41.55,40.64,41.39,254131
2010-09-20,41.51,43.18,41.51,43.17,484122
2010-09-21,43.0,43.44,42.64,42.75,270204
2010-09-22,42.73,43.04,41.81,42.57,393685
2010-09-23,42.53,43.35,42.12,42.24,284559
2010-09-24,42.97,43.39,42.82,43.35,299592
2010-09-27,43.32,43.55,42.79,43.49,226171
2010-09-28,43.8,44.58,43.17,44.12,499227
2010-09-29,43.8,44.51,43.45,44.37,333310
2010-09-30,44.69,45.38,43.92,44.24,421334
2010-10-01,44.8,45.09,44.46,44.75,432130
2010-10-04,44.36,44.85,43.26,43.8,372732
2010-10-05,44.0,44.99,43.57,44.46,833579
2010-10-06,46.14,48.63,46.14,47.98,1870310
2010-10-07,47.59,48.0,46.74,47.73,600552
2010-10-08,47.86,48.35,47.52,48.03,508363
2010-10-11,47.81,48.9,47.71,48.61,480440
2010-10-12,48.35,49.36,48.11,48.96,458076
2010-10-13,49.06,50.13,49.0,49.72,584973
2010-10-14,49.08,49.47,48.4,49.11,515418
2010-10-15,49.5,49.73,48.42,48.98,511400
2010-10-18,48.91,49.31,48.66,49.25,200866
2010-10-19,48.95,49.7,48.43,48.81,505571
2010-10-20,49.08,49.69,48.67,49.6,360375
2010-10-21,49.95,50.95,49.91,50.8,1112174
2010-10-22,50.82,50.92,50.46,50.53,278526
2010-10-25,50.79,51.35,50.44,50.56,280151
2010-10-26,50.5,51.1,50.28,50.34,448426
2010-10-27,49.91,50.01,49.12,49.66,337594
2010-10-28,50.06,50.46,49.41,49.92,356601
2010-10-29,49.8,50.38,49.8,50.07,284429
2010-11-01,50.47,51.08,49.78,50.19,293847
2010-11-02,50.94,51.18,50.49,50.98,349909
2010-11-03,51.02,51.29,50.25,51.28,238851
2010-11-04,52.0,52.73,51.9,52.73,412442
2010-11-05,52.73,53.59,52.47,53.5,455219
2010-11-08,53.12,53.4,52.71,53.37,270935
2010-11-09,53.43,53.44,52.56,52.98,324198
2010-11-10,53.01,53.84,52.29,53.84,476080
2010-11-11,53.34,53.76,52.8,53.5,769436
2010-11-12,53.11,53.93,52.78,52.9,422949
2010-11-15,53.08,53.48,52.57,52.62,225375
2010-11-16,52.13,52.3,51.24,51.65,313643
2010-11-17,51.71,51.8,51.19,51.47,227151
2010-11-18,51.91,52.86,51.91,52.28,378292
2010-11-19,52.26,52.98,52.18,52.83,272845
2010-11-22,52.61,52.89,51.58,52.77,211139
2010-11-23,52.1,52.1,51.24,51.92,233560
2010-11-24,52.37,53.88,52.37,53.86,174350
2010-11-26,53.53,54.02,53.18,53.39,63124
2010-11-29,52.97,53.62,52.29,53.47,233882
2010-11-30,52.92,54.3,52.86,53.86,422462
2010-12-01,54.81,57.45,54.81,56.46,602813
2010-12-02,56.57,56.83,56.06,56.56,646289
2010-12-03,56.28,57.35,56.18,57.21,329246
2010-12-06,57.1,58.93,57.1,58.6,354469
2010-12-07,59.09,60.13,59.09,59.55,490413
2010-12-08,59.47,59.55,58.34,58.37,409493
2010-12-09,58.85,59.07,58.53,58.73,298430
2010-12-10,58.94,60.24,58.69,60.09,200018
2010-12-13,60.35,60.54,59.36,59.5,309840
2010-12-14,59.72,59.82,59.3,59.39,256624
