Date,Open,High,Low,Close,Volume
2010-01-04,17.1,17.34,17.0,17.07,256613
2010-01-05,17.09,17.17,16.79,16.82,293700
2010-01-06,16.77,17.4,16.67,17.34,453613
2010-01-07,17.3,17.57,17.08,17.56,224820
2010-01-08,17.43,17.62,17.29,17.45,453749
2010-01-11,17.64,17.7,17.41,17.54,148448
2010-01-12,17.33,17.4,16.99,17.09,138389
2010-01-13,17.22,17.55,17.11,17.53,242920
2010-01-14,17.42,17.63,17.41,17.56,129628
2010-01-15,17.59,17.66,17.22,17.35,346300
2010-01-19,17.34,18.02,17.26,17.99,391817
2010-01-20,17.8,18.14,17.65,17.75,258454
2010-01-21,17.73,17.95,17.04,17.12,229152
2010-01-22,17.12,17.46,16.93,17.07,372683
2010-01-25,17.16,17.24,16.69,16.96,200748
2010-01-26,16.88,16.89,16.53,16.55,142896
2010-01-27,16.43,16.74,16.22,16.66,302275
2010-01-28,16.75,16.84,16.0,16.31,171962
2010-01-29,16.42,16.54,16.02,16.04,189485
2010-02-01,16.13,16.34,16.0,16.2,170201
2010-02-02,16.19,16.42,16.05,16.24,317651
2010-02-03,16.14,16.35,15.92,16.1,152326
2010-02-04,15.98,16.01,15.44,15.49,212061
2010-02-05,15.47,15.5,15.0,15.48,201486
2010-02-08,15.4,15.42,15.11,15.25,192217
2010-02-09,15.44,15.6,15.29,15.54,177949
2010-02-10,15.44,15.54,15.09,15.48,170249
2010-02-11,15.38,15.74,15.2,15.62,210631
2010-02-12,15.44,16.01,15.31,15.98,249655
2010-02-16,16.19,16.26,15.93,16.04,348057
2010-02-17,16.16,16.48,16.04,16.25,627829
2010-02-18,15.69,16.83,15.56,16.73,535041
2010-02-19,16.1,16.38,15.95,16.13,484226
2010-02-22,16.18,16.25,15.93,16.09,166680
2010-02-23,16.03,16.09,15.75,15.76,282879
2010-02-24,15.77,15.94,15.7,15.8,193996
2010-02-25,15.59,16.09,15.56,16.09,186199
2010-02-26,16.15,16.23,15.83,16.06,231881
2010-03-01,16.22,16.74,16.22,16.63,263788
2010-03-02,16.66,16.91,16.55,16.73,357846
2010-03-03,16.82,17.0,16.62,16.67,309523
2010-03-04,16.74,16.83,16.57,16.78,101372
2010-03-05,16.84,17.38,16.83,17.37,235899
2010-03-08,17.42,17.45,17.23,17.32,175360
2010-03-09,17.18,17.78,17.12,17.66,166814
2010-03-10,17.61,17.99,17.61,17.85,183148
2010-03-11,17.7,17.75,17.21,17.61,170111
2010-03-12,17.68,17.91,17.49,17.71,232998
2010-03-15,17.72,17.78,17.34,17.47,161885
2010-03-16,17.47,17.61,17.28,17.46,175848
2010-03-17,17.55,17.85,17.44,17.81,210478
2010-03-18,17.85,18.08,17.75,18.04,169132
2010-03-19,18.15,18.24,17.95,18.06,448325
2010-03-22,17.97,18.32,17.84,18.29,406173
2010-03-23,18.28,19.19,18.23,19.16,417171
2010-03-24,19.05,19.54,18.89,19.5,599539
2010-03-25,19.59,20.12,19.36,19.42,956932
2010-03-26,19.44,20.16,19.44,19.85,760893
