Date,Open,High,Low,Close,Volume
2010-01-04,55.72,56.39,54.8,56.18,6187088
2010-01-05,56.25,58.28,56.0,58.02,8872728
2010-01-06,58.23,59.99,57.88,59.78,8838016
2010-01-07,59.51,62.31,59.02,62.2,14380744
2010-01-08,61.54,61.78,60.86,61.6,7147427
2010-01-11,61.95,62.09,60.51,60.87,5627699
2010-01-12,60.07,61.2,59.91,60.43,5273875
2010-01-13,60.61,61.7,60.35,61.16,4950400
2010-01-14,61.03,61.62,60.78,61.56,3000398
2010-01-15,61.53,61.56,60.21,60.82,5067225
2010-01-19,60.6,61.01,59.96,60.65,5428029
2010-01-20,60.33,60.57,58.53,60.2,5374069
2010-01-21,60.3,61.26,58.9,59.2,5401938
2010-01-22,58.62,59.17,57.7,57.77,4745396
2010-01-25,58.35,58.75,57.5,57.78,3489914
2010-01-26,57.54,58.5,57.23,57.71,4552136
2010-01-27,58.84,62.08,58.83,61.93,14760056
2010-01-28,62.15,62.95,61.31,62.56,8865642
2010-01-29,62.8,63.4,60.32,60.6,8726177
2010-02-01,60.74,61.86,60.72,61.7,5929599
2010-02-02,61.29,62.0,61.0,61.94,7862734
2010-02-03,61.52,61.8,60.85,61.46,5480578
2010-02-04,60.95,61.17,59.25,59.32,7491344
2010-02-05,59.21,59.74,57.14,58.4,9676128
2010-02-08,58.33,58.97,57.78,57.89,4724664
2010-02-09,58.62,60.43,58.39,59.74,8250844
2010-02-10,59.71,60.05,58.94,59.54,4237165
2010-02-11,59.75,60.75,58.94,60.59,4395736
2010-02-12,59.87,59.92,58.93,59.65,5178568
2010-02-16,60.42,61.29,59.9,61.26,4268659
2010-02-17,61.39,62.0,61.0,61.82,4116171
2010-02-18,61.78,63.01,61.72,62.89,4391778
2010-02-19,62.65,64.34,62.65,63.59,7371049
2010-02-22,63.58,64.47,63.19,63.97,6034004
2010-02-23,63.81,64.17,62.25,62.77,6484460
2010-02-24,63.0,63.7,62.64,63.48,3400361
2010-02-25,62.72,62.97,62.0,62.87,5043170
2010-02-26,63.09,63.88,63.03,63.16,4415909
2010-03-01,63.05,64.33,63.0,64.0,5265630
2010-03-02,64.64,65.33,64.36,64.44,4383103
2010-03-03,64.58,64.97,64.05,64.45,4289350
2010-03-04,65.09,65.8,64.85,65.55,7718659
2010-03-05,66.06,68.04,66.03,67.93,8506441
2010-03-08,68.01,68.01,67.13,67.24,5077225
2010-03-09,67.57,68.34,67.35,67.79,7655839
2010-03-10,68.14,70.48,68.03,70.01,10616531
2010-03-11,70.08,70.43,69.15,70.07,7293133
2010-03-12,70.48,70.49,69.25,69.83,5302767
2010-03-15,69.37,69.77,68.52,69.4,7709023
2010-03-16,69.24,69.31,68.3,68.72,7495575
2010-03-17,68.97,69.49,68.29,69.38,6004213
2010-03-18,69.35,70.93,69.19,70.87,7435774
2010-03-19,73.2,73.3,70.72,70.72,17722432
2010-03-22,71.66,72.64,71.51,71.91,9014855
2010-03-23,72.54,72.63,71.51,72.18,4986322
2010-03-24,72.42,73.2,71.78,72.32,7699920
2010-03-25,72.95,73.43,72.0,72.49,5431155
2010-03-26,72.66,72.99,72.35,72.59,4933688
2010-03-29,73.08,74.53,73.0,74.11,9064111
2010-03-30,73.84,74.18,72.7,73.53,4381292
2010-03-31,72.92,73.06,71.95,72.61,5884899
2010-04-01,73.24,73.51,72.3,72.99,4412086
2010-04-05,72.99,73.05,70.95,72.04,9326414
2010-04-06,71.84,73.18,71.77,72.36,5194801
2010-04-07,72.16,72.52,71.47,72.1,6717177
2010-04-08,71.89,72.46,71.21,72.28,3743018
2010-04-09,72.26,72.66,71.81,72.42,3345780
2010-04-12,72.15,72.57,71.8,71.92,3666172
2010-04-13,71.54,71.69,70.5,71.19,5079284
2010-04-14,70.83,71.76,70.81,71.7,3496649
2010-04-15,71.34,72.61,71.34,72.09,2943682
2010-04-16,72.1,72.1,69.88,70.79,8075323
2010-04-19,70.27,71.28,70.16,70.96,4203068
2010-04-20,71.54,71.98,70.95,71.41,4760806
2010-04-21,71.51,74.65,71.51,74.16,12037705
2010-04-22,74.46,76.0,73.68,75.59,9088834
2010-04-23,75.04,75.68,74.55,75.13,5198190
2010-04-26,74.58,75.29,74.14,74.34,4024935
2010-04-27,74.65,74.93,72.23,72.48,6054842
2010-04-28,72.95,72.99,71.34,72.37,5699477
2010-04-29,73.0,74.0,72.67,73.79,5203310
2010-04-30,73.8,74.48,72.26,72.43,5601081
2010-05-03,72.62,74.7,72.46,74.39,5407779
2010-05-04,73.31,73.45,72.23,72.79,6230700
2010-05-05,71.9,72.04,70.44,71.0,5509124
2010-05-06,70.66,71.49,62.0,67.97,13771537
2010-05-07,68.29,69.12,65.8,66.72,8927346
2010-05-10,69.96,71.73,69.8,71.0,8841884
2010-05-11,70.31,72.67,70.14,71.42,6551880
2010-05-12,72.04,73.37,72.04,72.87,6331552
2010-05-13,72.66,73.3,71.56,71.76,3953696
2010-05-14,71.08,71.4,68.98,69.82,7954557
2010-05-17,70.36,70.37,67.62,69.68,4814936
2010-05-18,69.89,70.13,67.3,67.72,8882829
2010-05-19,66.85,67.55,65.28,66.21,9974312
2010-05-20,65.0,65.11,62.8,63.0,10904161
2010-05-21,61.99,65.0,61.39,64.56,10882625
2010-05-24,63.66,64.61,63.06,63.15,6168825
2010-05-25,61.0,62.98,60.61,62.78,6903135
2010-05-26,63.6,65.41,63.0,63.26,7386008
2010-05-27,64.86,65.23,63.91,65.13,7444591
2010-05-28,65.15,65.26,63.51,64.18,5775552
2010-06-01,64.27,65.2,62.86,62.95,6318443
2010-06-02,63.39,64.37,62.06,64.34,4588144
2010-06-03,64.84,64.84,63.51,64.31,3775793
2010-06-04,63.25,63.41,60.93,61.15,8228715
2010-06-07,61.69,61.7,60.07,60.11,5918574
2010-06-08,60.33,61.1,59.84,61.02,7192623
2010-06-09,61.48,63.18,61.17,61.71,7729414
2010-06-10,62.81,64.01,62.3,63.89,5682835
2010-06-11,63.16,65.7,63.15,65.38,8462575
2010-06-14,66.22,66.55,64.71,64.82,6000064
2010-06-15,65.67,67.57,65.47,67.48,6400775
2010-06-16,66.93,67.56,66.6,67.03,4452275
2010-06-17,67.48,67.49,65.88,67.26,3637256
2010-06-18,67.38,68.14,67.16,67.96,6216603
2010-06-21,68.95,69.34,67.57,67.97,4109588
2010-06-22,67.97,68.47,66.15,66.28,4188173
2010-06-23,66.42,67.88,65.65,67.45,6098515
2010-06-24,67.17,68.24,67.14,67.43,7782533
2010-06-25,67.31,68.77,66.67,68.77,13325760
2010-06-28,68.43,68.62,67.26,67.3,5517259
2010-06-29,66.11,66.2,62.56,63.04,9212875
2010-06-30,63.05,64.21,62.58,62.75,7102383
2010-07-01,62.48,62.72,61.31,62.26,6465874
2010-07-02,62.32,62.5,61.17,61.94,3563089
2010-07-06,62.71,63.02,60.65,61.36,5444212
2010-07-07,61.48,63.37,61.03,63.3,4785046
2010-07-08,64.09,64.89,63.55,64.73,4489385
2010-07-09,65.2,65.2,64.01,64.66,3145076
2010-07-12,64.55,64.98,64.01,64.34,2299533
2010-07-13,65.15,65.36,64.18,64.43,6208260
2010-07-14,64.29,65.39,64.05,64.75,3822487
2010-07-15,65.65,65.78,63.36,64.37,8069172
2010-07-16,63.96,64.26,61.68,61.9,7016315
2010-07-19,62.72,63.36,62.04,63.18,5031493
2010-07-20,62.26,64.0,61.83,63.88,5069055
2010-07-21,64.4,64.81,62.66,63.18,4459407
2010-07-22,64.02,67.11,64.02,66.6,7574451
2010-07-23,66.49,68.17,66.36,67.93,5029708
2010-07-26,68.15,68.99,68.0,68.85,5836465
2010-07-27,69.25,69.75,68.4,68.62,5687098
2010-07-28,67.62,68.0,66.9,67.32,5540629
2010-07-29,67.85,68.53,66.69,67.22,4460227
2010-07-30,66.61,68.38,66.47,68.14,6032163
2010-08-02,69.01,69.93,68.5,69.69,5430717
2010-08-03,69.31,70.0,68.93,69.54,3778718
2010-08-04,69.42,69.93,69.16,69.25,3861191
2010-08-05,68.73,69.25,68.33,68.71,4318815
2010-08-06,68.03,68.72,67.36,68.7,4498788
2010-08-09,69.17,69.47,68.45,68.99,2907790
2010-08-10,68.29,68.97,67.54,68.62,4127296
2010-08-11,67.18,67.26,64.92,65.6,5230837
2010-08-12,64.65,65.27,64.44,64.7,3847607
2010-08-13,64.59,65.7,64.54,64.84,3667747
2010-08-16,64.27,64.93,63.65,64.4,3042334
2010-08-17,65.16,66.91,64.65,65.99,4303899
2010-08-18,66.05,66.36,64.99,66.0,2816059
2010-08-19,65.74,65.82,64.15,64.62,4201568
2010-08-20,64.2,64.73,63.59,64.6,3865920
2010-08-23,65.09,65.24,63.21,63.3,3888194
2010-08-24,62.55,62.81,60.53,60.93,9983972
2010-08-25,60.49,61.11,59.48,60.76,5144544
2010-08-26,61.36,62.56,61.07,61.32,4889769
2010-08-27,61.13,63.34,60.57,63.16,6851673
2010-08-30,63.0,63.19,62.1,62.1,3279135
2010-08-31,62.0,62.18,60.8,61.13,5309421
2010-09-01,61.79,63.09,61.66,62.29,5688798
2010-09-02,62.34,63.39,62.2,63.39,3465719
2010-09-03,64.47,65.42,64.09,64.64,3471592
2010-09-07,64.25,64.25,63.29,63.42,2529793
2010-09-08,63.6,65.0,63.58,64.5,3747703
2010-09-09,65.51,65.63,62.95,63.44,4190696
2010-09-10,63.38,64.1,62.96,63.84,3214772
2010-09-13,64.73,64.98,63.92,64.19,3126886
2010-09-14,64.02,64.35,62.43,62.76,6025475
2010-09-15,62.49,62.79,61.89,62.73,4929167
2010-09-16,62.39,63.35,62.2,62.58,4681838
2010-09-17,63.26,63.34,62.0,62.95,10702625
2010-09-20,62.99,63.9,62.53,63.72,4187283
2010-09-21,63.8,64.5,63.39,64.23,5361146
2010-09-22,64.38,64.86,63.63,63.9,3635438
2010-09-23,63.31,63.49,62.56,62.65,3656936
2010-09-24,63.52,64.83,63.33,64.6,4626836
2010-09-27,64.61,64.7,63.8,63.89,2762402
2010-09-28,63.85,64.67,62.94,64.52,3583321
2010-09-29,64.71,66.26,64.44,65.97,5874689
2010-09-30,67.09,67.97,66.05,66.54,8214220
2010-10-01,67.54,67.98,66.67,66.83,4489476
2010-10-04,66.57,67.89,65.86,66.33,4073665
2010-10-05,67.02,68.98,67.02,68.6,7517772
2010-10-06,68.61,69.39,68.41,68.58,4719126
2010-10-07,68.97,69.14,67.8,68.46,5506142
2010-10-08,68.47,69.71,68.15,69.23,3335682
2010-10-11,69.51,70.25,69.23,69.99,3469356
2010-10-12,70.16,70.6,68.91,70.22,4381517
2010-10-13,70.73,72.17,70.66,71.47,6038876
2010-10-14,71.73,72.0,70.85,71.36,3841826
2010-10-15,71.85,71.9,70.05,70.11,5641988
2010-10-18,70.19,71.05,70.03,70.23,4832596
2010-10-19,69.57,69.96,68.35,69.05,4493842
2010-10-20,70.0,71.94,69.57,71.36,8067660
2010-10-21,71.61,71.88,70.57,71.5,4630931
2010-10-22,71.38,71.63,70.61,71.26,3062553
2010-10-25,71.68,72.49,71.47,71.66,4802975
2010-10-26,71.1,71.65,70.73,71.3,3547112
2010-10-27,70.87,71.11,69.71,70.86,3818178
2010-10-28,71.3,71.79,70.35,71.27,4128092
2010-10-29,71.15,71.46,70.36,70.64,3202225
2010-11-01,70.71,71.89,69.91,70.48,3324632
2010-11-02,70.85,70.98,68.8,69.78,6340501
2010-11-03,69.66,69.73,68.04,68.94,4676861
2010-11-04,70.0,71.58,69.78,70.85,5758303
2010-11-05,70.85,71.65,70.5,71.27,3625799
2010-11-08,70.06,70.41,69.75,70.21,4171524
2010-11-09,70.27,70.55,68.83,69.25,4587423
2010-11-10,67.69,67.69,66.79,67.07,10494604
2010-11-11,66.55,66.7,65.04,65.37,10033682
2010-11-12,65.01,65.25,63.01,63.09,16721476
2010-11-15,63.35,64.1,62.62,63.61,10968680
2010-11-16,63.35,63.35,61.84,62.78,9636736
2010-11-17,62.67,63.02,62.17,62.5,8173227
2010-11-18,63.35,64.72,62.72,64.61,11579001
2010-11-19,64.53,64.74,63.39,63.59,8824612
2010-11-22,63.02,64.17,62.8,64.03,5917125
2010-11-23,63.43,64.11,63.1,63.6,6567822
2010-11-24,64.38,65.58,64.02,65.41,6225932
2010-11-26,65.09,65.46,64.67,64.8,2280773
2010-11-29,64.33,64.7,63.44,64.36,4385199
2010-11-30,63.73,64.21,63.47,63.77,5819079
2010-12-01,64.66,65.79,64.52,65.72,7515183
2010-12-02,65.62,66.8,65.55,66.59,4768256
2010-12-03,66.58,66.68,65.95,66.54,3357522
2010-12-06,66.41,66.96,65.97,66.59,3455003
2010-12-07,67.04,67.39,66.01,66.23,4739511
2010-12-08,66.19,66.56,64.92,65.18,5230594
2010-12-09,65.61,65.61,64.4,64.61,5188492
2010-12-10,64.63,64.77,63.96,64.16,5501949
2010-12-13,64.23,64.38,63.63,63.79,4823758
2010-12-14,63.85,65.11,63.68,64.49,6304424
2010-12-15,64.29,64.69,64.09,64.24,3439085
2010-12-16,64.33,64.85,63.71,64.4,5169047
2010-12-17,64.89,65.28,64.35,65.03,8884612
2010-12-20,64.74,64.77,62.82,63.27,9710920
2010-12-21,63.61,64.35,63.28,64.19,5092820
2010-12-22,64.45,65.14,64.01,64.61,5255958
2010-12-23,64.56,65.12,64.33,65.06,3331288
2010-12-27,64.73,64.91,64.33,64.75,2549101
2010-12-28,64.81,65.0,64.33,64.86,2643380
2010-12-29,65.0,65.2,64.62,65.05,2505431
2010-12-30,65.11,65.23,64.73,65.01,2343020
2010-12-31,64.9,65.29,64.62,65.26,2137676
2011-01-03,66.15,66.68,66.0,66.4,8076267
2011-01-04,66.79,67.61,66.51,66.94,7979820
2011-01-05,66.55,67.55,66.49,67.48,5889933
2011-01-06,67.46,69.35,67.46,68.8,7507113
2011-01-07,69.16,70.1,68.8,69.38,6804987
2011-01-10,69.42,69.66,68.35,69.09,4407094
2011-01-11,69.47,69.88,68.67,68.96,4446521
2011-01-12,69.6,70.49,69.51,70.15,5936214
2011-01-13,70.29,70.5,69.62,69.83,4044835
2011-01-14,69.55,70.2,69.39,70.07,4558410
2011-01-18,70.86,72.57,70.23,72.47,9631611
2011-01-19,72.68,72.99,71.18,71.73,8594621
2011-01-20,71.35,71.96,70.36,71.12,6919150
2011-01-21,71.91,72.22,71.34,71.68,4448839
2011-01-24,71.52,72.82,71.51,72.73,5503636
2011-01-25,72.49,72.73,71.31,72.24,5186610
2011-01-26,69.99,70.48,69.11,70.02,13110999
2011-01-27,70.01,71.0,70.0,70.56,5752015
2011-01-28,70.8,70.95,69.0,69.23,5376413
2011-01-31,69.26,69.96,69.12,69.48,4559711
2011-02-01,70.0,70.5,69.6,70.29,4781902
