Date,Open,High,Low,Close,Volume
2010-01-04,58.99,58.99,57.64,58.29,6228913
2010-01-05,58.31,58.31,57.71,57.89,3255674
2010-01-06,58.0,58.39,57.73,58.09,2840426
2010-01-07,58.01,59.2,57.92,59.03,3410867
2010-01-08,59.1,59.4,58.84,59.17,2808991
2010-01-11,59.23,59.23,58.73,58.83,2954572
2010-01-12,58.73,60.16,58.59,59.76,5124312
2010-01-13,59.9,60.56,59.76,60.37,4308724
2010-01-14,60.79,61.88,60.5,61.71,6181359
2010-01-15,61.54,61.84,60.72,61.57,4473640
2010-01-19,60.16,61.63,60.12,61.44,5793825
2010-01-20,61.34,61.84,60.08,60.8,4745385
2010-01-21,60.91,60.91,59.35,59.6,4298376
2010-01-22,59.38,59.8,58.66,58.74,4047571
2010-01-25,58.97,59.93,58.77,58.96,3475470
2010-01-26,58.75,59.32,58.6,59.06,3004645
2010-01-27,59.13,59.36,57.98,58.91,4471802
2010-01-28,57.68,58.72,56.52,58.2,6495833
2010-01-29,58.23,58.51,57.52,57.59,3316546
2010-02-01,57.56,57.87,56.98,57.86,3595248
2010-02-02,57.81,58.53,57.61,58.47,2939088
2010-02-03,58.25,58.38,57.39,57.49,3661238
2010-02-04,57.21,57.34,56.34,56.34,5934032
2010-02-05,56.27,56.88,56.05,56.59,4556793
2010-02-08,56.62,56.85,56.32,56.36,2855550
2010-02-09,56.71,57.17,56.09,56.38,3199750
2010-02-10,56.45,56.7,55.9,56.13,3416141
2010-02-11,56.18,56.26,55.78,56.01,4701037
2010-02-12,55.89,56.0,55.29,55.92,3902576
2010-02-16,56.14,56.99,56.01,56.94,3408304
2010-02-17,57.14,57.91,57.08,57.65,4499223
2010-02-18,57.46,57.82,57.18,57.38,2919522
2010-02-19,57.38,57.65,56.9,57.54,3906708
2010-02-22,57.7,57.89,57.08,57.74,4219585
2010-02-23,57.66,57.73,56.91,56.96,3866080
2010-02-24,57.25,57.7,56.95,57.6,2691049
2010-02-25,57.33,57.42,56.67,57.09,4423942
2010-02-26,57.12,57.35,56.61,56.93,4344720
2010-03-01,57.11,57.56,56.92,57.27,5059823
2010-03-02,57.38,58.68,57.38,58.45,3968111
2010-03-03,59.25,59.37,58.4,59.0,4016743
2010-03-04,59.11,59.35,58.66,59.04,3746763
2010-03-05,59.15,59.6,58.9,59.48,3726106
2010-03-08,59.33,59.39,58.91,59.13,2234928
2010-03-09,59.06,59.23,58.86,58.98,2256707
2010-03-10,59.15,59.18,58.38,58.48,3292471
2010-03-11,58.29,58.4,57.41,58.16,3650422
2010-03-12,58.42,58.59,57.61,57.81,3717413
2010-03-15,57.77,58.43,57.76,58.37,3116646
2010-03-16,58.33,58.33,57.83,58.05,2571097
2010-03-17,58.05,58.6,57.9,58.34,2468582
2010-03-18,58.4,59.05,58.3,58.97,2390307
2010-03-19,58.95,59.32,58.75,59.25,4322295
2010-03-22,59.21,60.24,58.98,59.67,4401824
2010-03-23,59.67,59.8,58.98,59.37,3544993
2010-03-24,59.36,59.39,58.8,58.9,2569890
2010-03-25,59.11,59.24,58.5,58.72,3270256
2010-03-26,58.73,58.78,58.04,58.43,3151600
2010-03-29,58.61,58.88,58.49,58.71,2407188
2010-03-30,58.85,59.0,58.53,58.67,2179786
2010-03-31,58.4,58.54,58.12,58.2,2961770
2010-04-01,58.32,58.78,57.91,58.23,3271600
2010-04-05,58.22,58.6,57.89,58.26,2919371
2010-04-06,58.06,58.48,58.0,58.2,2199500
2010-04-07,57.99,58.08,57.73,57.97,4295121
2010-04-08,57.95,58.0,57.63,57.7,2191993
2010-04-09,57.81,58.25,57.66,57.99,3582179
2010-04-12,57.92,58.3,57.61,58.15,3911030
2010-04-13,57.91,59.1,57.67,59.06,6701546
2010-04-14,59.39,59.46,58.45,59.28,6629559
2010-04-15,58.9,59.75,58.9,59.51,4694657
2010-04-16,59.21,59.66,58.7,59.1,3999860
2010-04-19,58.89,59.42,58.72,59.33,3408889
2010-04-20,59.36,59.95,59.29,59.92,3818858
2010-04-21,59.77,59.77,58.42,58.95,6894793
2010-04-22,49.9,52.08,48.05,51.13,50199467
2010-04-23,51.25,51.56,49.23,49.32,25884662
2010-04-26,49.43,49.43,47.5,47.59,20933295
2010-04-27,47.71,47.73,47.16,47.48,14650672
2010-04-28,47.6,48.48,47.38,47.89,13462392
2010-04-29,48.19,48.94,48.14,48.22,7897403
2010-04-30,48.63,48.87,47.22,47.22,8300305
2010-05-03,47.62,47.78,47.22,47.5,6620686
2010-05-04,45.17,46.3,44.84,45.08,17083144
2010-05-05,45.35,45.66,45.0,45.65,13286006
2010-05-06,45.65,47.18,45.21,46.0,18512356
2010-05-07,45.81,45.84,44.59,45.12,14129907
2010-05-10,46.83,47.38,45.91,46.29,5885976
2010-05-11,45.76,46.2,45.35,45.5,7475343
2010-05-12,45.58,45.58,44.8,44.88,10370270
2010-05-13,44.72,45.04,44.1,44.16,7468457
2010-05-14,44.09,44.12,43.16,43.53,6813057
2010-05-17,43.2,43.34,42.09,42.45,10754627
2010-05-18,42.85,43.83,42.54,43.39,12674090
2010-05-19,43.38,43.5,42.4,42.6,11218812
2010-05-20,42.24,42.24,41.44,41.55,11818386
2010-05-21,41.07,41.21,40.56,40.67,16197550
2010-05-24,40.63,42.32,40.48,41.82,11133809
2010-05-25,41.61,41.86,40.78,41.77,8914214
2010-05-26,42.26,42.39,41.43,41.5,6957178
2010-05-27,42.0,42.12,41.41,42.07,4926678
2010-05-28,42.15,42.93,42.12,42.23,6073258
2010-06-01,41.77,42.14,41.43,41.54,6860840
2010-06-02,41.37,41.82,41.21,41.81,5259867
2010-06-03,41.84,42.53,41.73,42.19,5047288
2010-06-04,42.07,42.07,41.22,41.37,5463387
2010-06-07,42.03,42.49,41.25,41.28,5422213
2010-06-08,41.21,41.21,40.55,40.98,6406436
2010-06-09,41.06,41.2,40.34,40.47,7042642
2010-06-10,41.05,41.17,40.74,41.08,5098496
2010-06-11,40.81,41.53,40.68,41.41,4131980
2010-06-14,41.65,42.3,41.46,41.46,4476092
2010-06-15,41.68,42.39,41.68,42.36,6321513
2010-06-16,42.12,42.69,41.92,42.54,6286201
2010-06-17,42.74,42.75,42.21,42.58,5105196
2010-06-18,42.49,42.82,41.98,42.01,7654016
2010-06-21,42.72,43.0,42.04,42.36,4111559
2010-06-22,42.39,42.6,41.64,41.66,4832760
2010-06-23,41.76,41.93,41.26,41.32,5026637
2010-06-24,41.17,41.52,41.03,41.13,5980686
2010-06-25,41.04,42.17,40.86,41.79,7847472
2010-06-28,41.79,42.59,41.54,42.19,4041609
2010-06-29,41.86,42.05,40.84,41.21,5871507
2010-06-30,41.1,41.1,40.51,40.64,4982719
2010-07-01,40.53,41.27,40.25,41.14,6081748
2010-07-02,41.12,41.96,41.02,41.65,4347454
2010-07-06,42.0,42.16,41.5,41.79,4157572
2010-07-07,41.73,42.89,41.52,42.79,4075388
2010-07-08,43.01,43.42,42.54,43.39,5328461
2010-07-09,43.5,44.37,43.44,43.91,4984843
2010-07-12,43.85,43.97,43.56,43.71,3584141
2010-07-13,43.99,44.36,43.47,43.75,6062518
2010-07-14,43.57,43.57,42.93,43.25,5657606
2010-07-15,43.05,43.11,41.95,42.61,10186633
2010-07-16,42.44,42.9,42.17,42.45,7394078
2010-07-19,42.6,42.73,42.35,42.61,3226543
2010-07-20,42.4,42.75,42.19,42.71,4453172
2010-07-21,42.74,42.74,41.45,41.8,4553596
2010-07-22,43.16,44.24,42.81,43.25,7584788
2010-07-23,44.2,44.6,43.83,43.99,6360452
2010-07-26,44.06,45.14,44.06,44.72,5061667
2010-07-27,45.1,45.18,44.58,44.8,3048197
2010-07-28,44.67,44.8,43.87,44.12,3409649
2010-07-29,44.26,44.64,43.67,43.7,4096365
