Date,Open,High,Low,Close,Volume
2010-01-04,25.69,25.87,25.4,25.81,4550745
2010-01-05,25.71,26.22,25.59,26.18,7023314
2010-01-06,25.95,26.91,25.95,26.58,7823913
2010-01-07,26.53,27.96,26.42,27.65,9982300
2010-01-08,27.52,27.8,26.98,27.34,5949167
2010-01-11,27.54,27.54,27.0,27.34,4074135
2010-01-12,27.14,27.8,27.14,27.43,8415744
2010-01-13,27.41,28.0,27.34,27.9,5030382
2010-01-14,27.75,28.64,27.75,28.52,5784167
2010-01-15,28.29,28.38,27.63,27.76,7969937
2010-01-19,27.59,28.19,27.5,28.17,6211019
2010-01-20,27.98,28.63,27.75,28.5,6385091
2010-01-21,28.5,29.85,28.5,29.08,18026337
2010-01-22,28.99,29.28,27.29,28.15,16434233
2010-01-25,28.39,28.67,27.34,27.57,11304473
2010-01-26,27.39,27.76,26.72,26.8,10537389
2010-01-27,27.08,28.45,27.0,28.28,12624394
2010-01-28,28.28,28.79,28.05,28.32,11805458
2010-01-29,28.36,28.5,27.8,27.87,7489836
2010-02-01,28.0,28.32,27.85,28.22,6697702
2010-02-02,28.25,28.5,27.94,28.42,8551177
2010-02-03,28.25,28.34,27.61,27.8,7098218
2010-02-04,27.59,27.84,26.82,26.93,9222421
2010-02-05,27.03,27.77,26.76,27.51,8190953
2010-02-08,27.5,27.8,27.11,27.13,5785379
2010-02-09,27.37,27.61,26.94,27.2,6255248
2010-02-10,27.18,27.74,27.09,27.37,4674333
2010-02-11,27.48,27.48,27.07,27.19,4455935
2010-02-12,27.0,27.22,26.61,26.92,6218392
2010-02-16,27.14,27.43,26.88,27.41,5204125
2010-02-17,27.35,27.47,27.05,27.22,4871124
2010-02-18,27.06,27.39,27.05,27.25,3654436
2010-02-19,27.11,27.45,27.1,27.31,4684495
2010-02-22,27.34,28.41,27.2,28.21,7221675
2010-02-23,28.07,28.34,27.62,27.75,6083684
2010-02-24,27.83,28.69,27.76,28.48,6611912
2010-02-25,28.15,28.27,27.85,28.23,5600042
2010-02-26,28.22,28.63,27.99,28.53,5643841
2010-03-01,28.55,28.59,27.59,27.8,7718170
2010-03-02,27.9,28.08,27.75,27.81,4871320
2010-03-03,27.72,27.98,27.35,27.38,6657295
2010-03-04,27.88,28.12,27.61,27.81,6131271
2010-03-05,28.03,28.64,27.97,28.53,6500826
2010-03-08,28.51,28.82,28.4,28.71,4245158
2010-03-09,28.54,29.01,28.3,28.82,4890916
2010-03-10,28.85,29.75,28.81,29.63,8718230
2010-03-11,29.52,30.46,29.52,30.42,10577012
2010-03-12,30.42,30.95,30.39,30.7,8332378
2010-03-15,30.61,30.87,30.51,30.78,6249825
2010-03-16,30.84,31.69,30.76,31.59,8346445
2010-03-17,31.65,32.18,31.59,32.16,8175607
2010-03-18,32.0,32.39,31.72,31.91,8593897
2010-03-19,32.02,32.31,31.6,31.85,7386334
2010-03-22,31.57,32.09,31.44,32.0,4084362
2010-03-23,32.0,32.14,31.54,32.1,4567833
2010-03-24,31.95,32.42,31.92,32.12,5057262
2010-03-25,32.37,32.93,32.26,32.29,5651914
2010-03-26,32.32,32.84,31.94,32.25,6049463
2010-03-29,32.4,32.57,32.01,32.2,4443987
2010-03-30,32.23,32.36,31.82,31.97,4840113
2010-03-31,31.88,32.68,31.84,32.39,5135727
2010-04-01,32.62,32.73,32.17,32.47,4347706
2010-04-05,32.6,32.92,32.41,32.92,4837018
2010-04-06,32.85,33.72,32.68,33.53,5043208
2010-04-07,33.61,33.75,32.93,33.22,5566409
2010-04-08,33.06,33.9,33.03,33.68,6136581
2010-04-09,33.81,33.96,33.51,33.85,4564031
2010-04-12,33.86,34.27,33.81,34.05,4177047
2010-04-13,33.91,33.91,33.08,33.51,6633987
2010-04-14,33.87,34.63,33.79,34.55,6119340
2010-04-15,34.31,34.62,34.05,34.18,5090096
2010-04-16,34.09,34.19,32.68,33.76,13104121
2010-04-19,33.46,34.22,33.18,34.01,7595741
2010-04-20,34.26,34.56,33.94,34.56,6253727
2010-04-21,34.54,35.4,34.51,35.11,7761568
2010-04-22,33.5,34.36,33.01,34.34,11664242
2010-04-23,34.21,34.55,33.59,34.28,6455396
2010-04-26,34.39,34.7,33.2,33.33,7656866
2010-04-27,33.18,33.55,32.51,32.56,9164638
2010-04-28,32.98,33.38,32.55,32.7,7251905
2010-04-29,32.96,33.79,32.89,33.52,4930954
2010-04-30,33.36,33.88,33.2,33.24,6080120
2010-05-03,33.57,34.28,33.53,34.17,6106913
2010-05-04,33.81,34.05,33.26,33.54,7623139
2010-05-05,33.11,33.81,32.82,33.2,5903823
2010-05-06,33.02,33.46,30.64,32.22,11630177
2010-05-07,31.98,32.92,31.46,32.24,12375317
2010-05-10,33.04,34.38,33.01,34.02,7562780
2010-05-11,33.51,35.16,33.51,34.82,9214725
2010-05-12,35.04,35.72,34.76,35.61,8132559
2010-05-13,35.54,35.72,35.17,35.17,7072508
2010-05-14,34.88,34.94,33.33,34.05,9485613
2010-05-17,34.1,34.38,32.98,33.73,7764990
2010-05-18,33.62,33.81,32.22,32.54,9486573
2010-05-19,32.28,33.02,31.74,32.29,8338510
2010-05-20,31.53,31.76,30.42,30.42,12060411
2010-05-21,29.88,31.38,29.6,31.36,9177453
2010-05-24,31.2,31.27,30.02,30.1,6273867
2010-05-25,29.42,30.53,29.05,30.52,9126015
2010-05-26,30.93,31.01,29.93,30.12,6021873
2010-05-27,30.73,31.12,30.31,31.08,5682945
2010-05-28,31.04,31.2,30.07,30.24,5925174
2010-06-01,29.93,30.56,29.71,29.77,5706739
2010-06-02,30.05,30.77,29.84,30.73,6325832
2010-06-03,30.75,30.98,30.23,30.46,4332337
2010-06-04,29.76,29.98,29.09,29.23,7401160
2010-06-07,29.33,29.59,28.82,28.84,6807896
2010-06-08,29.0,29.29,28.37,28.98,11840833
2010-06-09,29.24,29.44,28.63,28.71,8000981
2010-06-10,29.26,30.18,29.16,30.13,8084510
2010-06-11,29.86,30.24,29.56,30.21,5491356
2010-06-14,30.4,30.48,29.77,29.8,5498051
2010-06-15,29.92,30.38,29.58,30.35,6101686
2010-06-16,30.12,30.45,30.03,30.3,4679677
2010-06-17,30.36,30.42,29.46,29.72,7122789
2010-06-18,29.85,29.93,29.44,29.57,8122753
2010-06-21,29.82,29.98,29.26,29.43,5587289
2010-06-22,29.35,29.62,29.01,29.06,5930989
2010-06-23,29.07,29.46,28.63,28.82,6150905
2010-06-24,28.52,28.77,27.96,28.17,7026249
2010-06-25,28.27,28.94,28.21,28.76,7580730
2010-06-28,28.74,28.91,28.34,28.53,3896696
2010-06-29,27.97,28.34,27.16,27.28,11054909
2010-06-30,27.09,27.62,26.18,26.31,14821408
2010-07-01,26.36,27.03,25.66,26.43,13406287
2010-07-02,26.56,26.74,25.76,26.02,6214324
2010-07-06,26.56,26.97,26.15,26.53,6621986
2010-07-07,26.66,27.38,26.26,27.35,8972419
2010-07-08,27.55,27.8,27.08,27.54,5670222
2010-07-09,27.45,28.28,27.44,28.18,5161667
2010-07-12,28.01,28.29,27.72,28.12,3984033
2010-07-13,28.39,28.69,28.16,28.59,5950607
2010-07-14,28.29,28.43,27.61,27.92,5854356
2010-07-15,27.89,27.91,27.02,27.69,6519159
2010-07-16,27.37,27.47,26.3,26.38,7005771
2010-07-19,26.44,26.65,25.76,26.11,5690603
2010-07-20,25.68,27.25,25.63,26.55,6729465
2010-07-21,27.02,27.2,25.83,25.91,10728716
2010-07-22,25.2,25.8,24.39,25.34,21211985
2010-07-23,25.31,25.82,24.79,25.54,7803101
2010-07-26,25.68,26.06,25.28,25.99,6520763
2010-07-27,26.24,26.42,25.84,26.09,7671444
2010-07-28,26.1,26.2,25.45,25.56,5729787
2010-07-29,25.74,25.9,24.9,25.05,8357930
2010-07-30,24.88,25.01,24.53,24.83,7927049
2010-08-02,25.37,25.43,24.9,25.35,7055690
2010-08-03,25.15,25.34,24.73,24.81,5570687
2010-08-04,24.94,25.17,24.8,25.09,5233735
2010-08-05,24.91,25.35,24.81,25.25,4860525
2010-08-06,24.94,25.26,24.77,25.2,7606738
2010-08-09,25.38,25.48,25.06,25.35,3261290
2010-08-10,25.18,25.55,24.9,25.24,4323862
2010-08-11,24.88,24.96,24.21,24.23,5808697
2010-08-12,24.0,24.07,23.73,23.84,6668424
2010-08-13,23.8,24.2,23.77,23.83,4794039
2010-08-16,23.72,23.85,23.5,23.8,3806708
2010-08-17,24.04,24.04,23.53,23.85,7436303
2010-08-18,23.87,24.07,23.63,23.84,3859120
2010-08-19,23.74,23.98,23.25,23.28,5042386
2010-08-20,23.09,23.33,22.9,23.11,5825968
2010-08-23,23.21,23.37,22.61,22.62,5264147
2010-08-24,22.37,22.75,22.34,22.4,9342521
2010-08-25,22.19,22.35,21.74,22.26,6754640
2010-08-26,22.32,22.91,22.19,22.27,7333617
2010-08-27,22.42,22.75,22.15,22.72,5869505
2010-08-30,22.6,22.66,21.85,21.87,7094518
2010-08-31,21.85,22.23,21.72,22.12,6753435
2010-09-01,22.44,23.05,22.35,23.03,6890281
2010-09-02,23.05,23.13,22.75,23.12,5358058
2010-09-03,23.42,23.74,23.31,23.56,5504966
2010-09-07,23.34,23.41,22.68,22.69,4197340
2010-09-08,22.86,23.43,22.79,23.21,5014590
2010-09-09,23.65,24.03,23.61,23.93,6626507
2010-09-10,23.9,23.97,23.54,23.65,4211613
2010-09-13,24.09,24.41,23.98,24.37,5948024
2010-09-14,24.28,24.33,23.29,23.43,11176346
2010-09-15,23.27,23.64,23.05,23.6,5397554
2010-09-16,23.47,23.5,23.14,23.28,4180872
2010-09-17,23.35,23.54,22.94,23.03,6357502
2010-09-20,23.0,23.75,22.99,23.68,6292762
2010-09-21,23.64,24.18,23.61,23.75,9196120
2010-09-22,23.7,23.78,23.46,23.66,9008924
2010-09-23,23.41,24.26,23.28,23.63,8529156
2010-09-24,23.95,24.52,23.86,24.51,6480083
2010-09-27,24.49,24.59,24.04,24.06,6327409
2010-09-28,24.06,24.19,23.71,24.07,7443001
2010-09-29,23.92,24.51,23.86,24.25,5748434
2010-09-30,24.47,24.88,24.06,24.08,6508936
2010-10-01,24.21,24.56,24.07,24.37,6178969
2010-10-04,24.32,24.48,23.75,24.07,7579943
2010-10-05,24.15,24.61,24.14,24.29,8420029
2010-10-06,24.21,24.43,24.17,24.3,5559513
2010-10-07,24.42,24.49,23.91,24.07,5748461
2010-10-08,24.12,24.19,23.57,23.58,8087568
2010-10-11,23.62,23.71,23.46,23.5,3681353
2010-10-12,23.39,23.84,23.33,23.82,6181091
2010-10-13,23.91,23.91,23.34,23.38,5681798
2010-10-14,23.33,23.33,22.57,22.88,9623603
2010-10-15,23.01,23.02,22.24,22.64,8426813
2010-10-18,22.6,23.14,22.56,23.13,6396735
2010-10-19,22.98,23.35,22.75,22.92,8095017
2010-10-20,22.89,23.16,22.63,22.92,7847236
2010-10-21,22.84,23.11,22.51,22.62,9825358
2010-10-22,22.66,22.78,22.37,22.62,4488361
2010-10-25,22.75,22.76,22.26,22.32,5480276
2010-10-26,22.26,22.57,22.15,22.5,5474715
2010-10-27,22.52,23.03,22.46,22.54,6664878
2010-10-28,22.7,23.29,22.7,23.2,9094484
2010-10-29,23.19,23.54,23.05,23.41,8149872
2010-11-01,23.48,23.49,22.49,22.74,7515262
2010-11-02,22.92,23.11,22.67,22.91,6779954
2010-11-03,22.98,23.08,22.6,23.05,4606801
2010-11-04,23.3,24.23,23.18,24.2,8808332
2010-11-05,24.21,25.63,24.15,25.58,15085646
2010-11-08,25.35,25.87,24.95,25.27,9701556
2010-11-09,25.37,25.52,24.76,24.85,5971674
2010-11-10,24.9,25.36,24.61,25.36,6651743
2010-11-11,25.04,25.49,24.92,25.27,5954979
2010-11-12,25.08,25.27,24.64,24.82,4931833
2010-11-15,24.93,25.45,24.9,25.05,5082342
2010-11-16,24.98,25.15,24.15,24.45,7336571
2010-11-17,24.52,24.72,24.2,24.25,5682736
2010-11-18,24.66,24.77,24.32,24.41,5190652
2010-11-19,24.19,24.55,24.06,24.48,5492898
2010-11-22,24.27,24.45,23.88,24.18,5657792
2010-11-23,23.8,24.05,23.56,23.59,5990485
2010-11-24,23.71,23.85,23.5,23.73,4134769
2010-11-26,23.49,23.77,23.33,23.34,2097764
2010-11-29,23.19,23.73,23.19,23.7,4845512
2010-11-30,23.39,23.59,23.17,23.2,7250278
2010-12-01,23.54,23.77,23.44,23.75,7191630
2010-12-02,23.79,24.71,23.75,24.71,7325871
2010-12-03,24.48,24.8,24.12,24.71,7077274
2010-12-06,24.52,24.71,24.4,24.55,3397307
2010-12-07,24.76,24.96,24.43,24.7,8513045
2010-12-08,24.73,25.72,24.64,25.57,8412698
2010-12-09,25.81,27.28,25.8,27.1,17397304
2010-12-10,27.23,27.57,26.82,27.15,9440492
2010-12-13,27.27,27.27,26.48,26.88,7853110
2010-12-14,26.83,27.27,26.44,26.58,5879202
2010-12-15,26.27,26.72,26.15,26.16,6940451
2010-12-16,26.01,26.64,26.01,26.4,6145026
2010-12-17,26.22,26.59,26.09,26.16,7595123
2010-12-20,26.19,26.32,25.84,25.92,5558985
2010-12-21,26.05,26.44,26.0,26.18,5852600
2010-12-22,26.4,27.0,26.36,26.49,7512159
2010-12-23,26.5,26.76,26.25,26.34,3646267
2010-12-27,26.29,26.6,26.06,26.52,4392793
2010-12-28,26.56,26.86,26.44,26.44,4552158
2010-12-29,26.46,26.6,26.29,26.44,2716713
2010-12-30,26.35,26.56,26.26,26.4,2931226
2010-12-31,26.31,26.5,26.17,26.29,2646417
2011-01-03,26.64,27.15,26.55,26.87,6263983
2011-01-04,27.0,27.09,26.52,26.84,6462261
2011-01-05,26.6,27.59,26.59,27.47,7948513
2011-01-06,27.32,27.7,26.86,26.89,7012582
2011-01-07,26.73,26.94,26.08,26.33,7239207
2011-01-10,26.39,26.58,25.95,26.44,5905073
2011-01-11,26.54,26.87,26.38,26.53,5641025
2011-01-12,26.72,27.02,26.69,26.85,6286519
2011-01-13,26.83,27.07,26.78,26.87,7796359
2011-01-14,26.83,27.9,26.8,27.78,12243916
2011-01-18,27.65,27.82,27.24,27.49,7315737
2011-01-19,27.37,27.64,27.2,27.29,8335981
2011-01-20,27.29,27.4,26.93,27.08,8586061
2011-01-21,28.02,28.5,27.7,28.39,12684454
2011-01-24,28.33,28.44,27.58,27.79,7106664
2011-01-25,27.69,27.91,27.46,27.9,6373181
2011-01-26,27.96,28.0,26.89,27.36,6426923
2011-01-27,27.36,27.83,27.13,27.79,4358281
2011-01-28,27.68,28.0,27.25,27.26,6116635
2011-01-31,27.39,27.73,27.31,27.64,4463782
2011-02-01,27.87,28.54,27.66,28.5,6817158
2011-02-02,28.46,28.6,28.19,28.31,4360762
2011-02-03,28.21,28.44,28.12,28.38,4451261
2011-02-04,28.38,28.54,28.12,28.44,4101987
2011-02-07,28.55,28.86,28.44,28.72,3698629
2011-02-08,28.79,29.17,28.52,29.17,5059655
2011-02-09,29.01,29.6,28.75,28.97,5949310
2011-02-10,28.78,29.04,28.35,28.56,7136173
2011-02-11,28.29,29.3,28.15,29.12,4721329
2011-02-14,29.11,29.21,28.72,29.07,3620598
2011-02-15,29.0,29.14,28.67,28.74,3758713
2011-02-16,28.82,28.88,28.48,28.77,5603959
2011-02-17,28.7,28.72,28.29,28.4,4415694
2011-02-18,28.46,28.58,28.25,28.41,5461773
2011-02-22,28.03,28.2,27.58,27.73,6147500
2011-02-23,27.66,27.93,27.41,27.69,5100115
2011-02-24,27.52,27.79,27.4,27.69,6715568
2011-02-25,27.83,28.1,27.57,27.65,4483393
2011-02-28,27.84,27.84,27.47,27.6,4961686
2011-03-01,27.56,27.62,26.93,27.02,6598043
2011-03-02,26.98,27.41,26.9,27.06,4664023
2011-03-03,27.26,27.49,26.97,27.07,7401610
2011-03-04,27.05,27.07,26.19,26.37,12470540
2011-03-07,26.52,26.57,26.17,26.35,9144357
2011-03-08,26.37,27.15,26.37,26.98,5241901
2011-03-09,26.86,27.2,26.66,26.99,3451520
