Date,Open,High,Low,Close,Volume
2010-01-04,78.99,79.68,78.26,78.6,1793104
2010-01-05,78.4,78.72,77.77,77.87,1122171
2010-01-06,77.99,78.08,77.28,77.66,1207997
2010-01-07,77.45,77.89,77.02,77.64,2266836
2010-01-08,77.67,78.31,77.38,77.91,1184993
2010-01-11,78.35,78.6,77.77,78.41,1535513
2010-01-12,78.28,78.28,77.14,77.25,1412745
2010-01-13,77.32,77.99,77.32,77.5,1392986
2010-01-14,76.5,77.25,76.11,77.04,2099858
2010-01-15,76.76,76.94,75.68,76.29,1382360
2010-01-19,76.42,77.67,76.36,77.29,1692288
2010-01-20,77.4,77.6,76.01,76.79,1382028
2010-01-21,77.2,77.31,76.08,76.15,1203567
2010-01-22,75.1,76.4,74.76,75.08,1535146
2010-01-25,75.26,76.39,75.12,75.78,863997
2010-01-26,75.47,75.8,75.03,75.57,745478
2010-01-27,75.3,76.34,74.75,76.0,1179913
2010-01-28,78.63,78.63,75.6,76.48,1577647
2010-01-29,76.74,76.82,75.11,75.37,1090273
2010-02-01,75.43,76.12,74.81,75.71,806281
2010-02-02,75.93,77.06,75.38,77.02,1388528
2010-02-03,76.94,76.94,76.12,76.64,1458695
2010-02-04,76.11,76.38,74.68,74.71,1470376
2010-02-05,74.56,74.93,73.85,74.89,1913076
2010-02-08,74.69,75.14,74.07,74.68,1284608
2010-02-09,75.47,75.66,74.33,75.26,1185830
2010-02-10,75.11,75.25,74.28,74.64,1249350
2010-02-11,74.71,75.29,74.27,75.22,1832457
2010-02-12,74.75,75.93,74.14,75.84,1726557
2010-02-16,75.93,76.96,75.33,76.91,1384251
2010-02-17,77.22,77.74,76.93,77.36,1282610
2010-02-18,77.64,78.0,76.96,77.96,1155932
2010-02-19,77.42,77.9,76.68,77.54,1618655
2010-02-22,77.77,77.9,77.1,77.5,949666
2010-02-23,77.41,78.06,76.75,77.87,1560228
2010-02-24,77.9,78.86,77.58,78.82,1888190
2010-02-25,78.42,78.62,77.73,78.52,1494334
2010-02-26,78.73,78.9,77.75,77.87,1357021
2010-03-01,78.11,79.02,77.88,79.02,1680451
2010-03-02,79.02,79.63,78.73,79.14,1354295
2010-03-03,78.71,79.21,78.62,78.68,1055661
2010-03-04,78.76,79.02,78.21,78.5,1667562
2010-03-05,78.66,78.68,78.24,78.6,1601348
2010-03-08,78.66,78.66,77.77,77.95,1061671
2010-03-09,77.89,78.64,77.75,78.47,1079610
2010-03-10,78.47,79.1,78.29,78.92,1266862
2010-03-11,79.02,79.02,77.55,78.46,1088433
2010-03-12,78.69,78.69,77.79,78.37,908215
2010-03-15,78.34,79.01,78.06,79.0,701572
2010-03-16,79.17,79.57,78.77,79.03,849497
2010-03-17,79.55,79.56,78.85,79.24,842273
2010-03-18,79.0,79.58,78.92,79.39,691306
2010-03-19,79.67,79.67,78.71,79.1,1370730
2010-03-22,79.08,80.56,79.0,80.14,1433170
2010-03-23,80.17,80.45,79.31,79.71,872312
2010-03-24,79.43,79.67,78.79,79.01,1488851
2010-03-25,79.44,79.66,78.74,78.87,934601
2010-03-26,78.89,78.99,78.24,78.51,999528
2010-03-29,78.46,79.16,78.4,79.0,864221
2010-03-30,79.17,79.17,78.9,79.05,1099329
2010-03-31,78.98,79.4,78.4,78.73,910701
2010-04-01,78.93,79.24,78.42,78.96,908183
2010-04-05,79.21,79.22,78.42,78.51,1168723
2010-04-06,78.42,78.84,78.11,78.43,1051559
2010-04-07,78.01,79.19,78.01,78.5,1166095
2010-04-08,78.56,78.93,78.21,78.63,771067
2010-04-09,78.76,78.98,78.37,78.91,768993
2010-04-12,79.02,79.27,78.72,79.0,639701
2010-04-13,78.93,79.0,78.21,78.72,905530
2010-04-14,78.54,78.78,78.13,78.49,1271450
2010-04-15,78.24,78.75,77.97,78.05,1542252
2010-04-16,77.98,78.4,77.46,77.74,2440271
2010-04-19,77.82,78.67,77.82,78.46,1721730
2010-04-20,78.7,79.85,78.6,79.66,1485099
2010-04-21,79.77,79.92,78.36,78.56,1764213
2010-04-22,77.56,77.83,76.03,77.27,2543564
2010-04-23,77.55,78.36,77.14,77.55,1622506
2010-04-26,77.58,78.08,76.38,76.4,1510658
2010-04-27,76.7,76.7,75.61,76.04,1530802
2010-04-28,76.09,77.04,76.0,76.7,1682000
2010-04-29,75.28,78.37,75.28,76.6,2795036
2010-04-30,76.74,77.15,76.05,76.37,2131758
2010-05-03,76.38,76.53,75.15,76.22,1831695
2010-05-04,75.53,75.9,74.97,75.44,1382397
2010-05-05,75.41,76.18,74.76,75.61,1512577
2010-05-06,75.38,75.89,72.48,74.88,2771722
2010-05-07,74.99,75.05,73.12,73.66,2663107
2010-05-10,75.6,76.7,74.7,75.57,1611165
2010-05-11,75.34,75.34,74.24,74.75,1505741
2010-05-12,75.01,75.3,74.26,75.1,1331868
2010-05-13,75.23,75.69,74.4,74.47,1482524
2010-05-14,74.3,74.3,72.82,73.26,1993393
2010-05-17,73.11,74.05,73.11,73.78,1439098
2010-05-18,74.61,75.11,74.14,74.3,2087991
2010-05-19,74.18,74.56,73.27,73.73,2228701
2010-05-20,72.75,72.81,71.65,71.65,2292990
2010-05-21,71.22,71.81,69.95,71.49,2276431
2010-05-24,71.41,72.14,71.24,71.33,1034787
2010-05-25,70.51,71.54,69.58,71.44,1946907
2010-05-26,71.58,72.29,70.62,70.66,1450905
2010-05-27,71.56,72.25,71.09,72.21,1489048
2010-05-28,72.23,72.23,71.17,71.3,1512781
2010-06-01,71.09,71.87,70.68,70.71,1265573
2010-06-02,70.64,72.47,70.25,72.4,1245245
2010-06-03,72.19,72.88,71.74,72.39,991706
2010-06-04,71.59,71.59,69.95,70.08,1705183
2010-06-07,70.36,70.55,69.27,69.29,1543119
2010-06-08,69.07,69.38,68.11,68.92,2638330
2010-06-09,69.07,69.68,68.5,68.64,1673062
2010-06-10,69.41,69.8,69.21,69.76,1421200
2010-06-11,69.55,69.82,69.17,69.69,1467952
2010-06-14,71.04,71.04,70.1,70.19,1657927
2010-06-15,70.46,71.11,70.2,71.11,1376787
2010-06-16,70.9,72.05,70.48,72.05,1334603
2010-06-17,72.09,72.22,71.47,71.92,1317942
2010-06-18,71.97,72.03,71.27,71.32,1937918
2010-06-21,71.73,72.15,71.25,71.48,1682359
2010-06-22,71.48,72.56,71.15,71.16,1507472
2010-06-23,71.21,71.26,69.9,70.05,2171731
2010-06-24,70.01,70.3,69.33,69.42,1551009
2010-06-25,69.33,69.92,68.74,69.05,2632404
2010-06-28,69.32,69.61,68.5,69.16,1150815
2010-06-29,68.06,68.32,67.0,67.45,2213167
2010-06-30,67.24,68.14,67.05,67.62,2027189
2010-07-01,67.73,67.73,66.63,67.29,2283236
2010-07-02,67.34,68.36,67.29,67.97,1487290
2010-07-06,68.63,68.83,67.59,68.18,1490094
2010-07-07,68.14,70.3,67.9,70.28,2113933
2010-07-08,70.52,71.02,69.44,69.96,1791109
