Date,Open,High,Low,Close,Volume
2010-01-04,35.39,36.11,35.3,36.0,3746547
2010-01-05,35.87,36.34,35.8,36.28,3276447
2010-01-06,36.19,36.55,36.11,36.31,2470626
2010-01-07,36.27,36.46,35.87,35.98,3049203
2010-01-08,35.9,36.02,35.27,36.02,3692214
2010-01-11,36.05,37.15,36.05,36.8,3252894
2010-01-12,36.63,37.26,36.24,36.97,5897712
2010-01-13,36.96,37.42,36.87,37.21,3539571
2010-01-14,37.08,37.19,36.6,37.02,1731705
2010-01-15,37.02,37.02,36.02,36.1,3330051
2010-01-19,36.05,36.97,35.97,36.91,3392979
2010-01-20,36.72,36.81,35.91,36.32,2156328
2010-01-21,36.33,36.46,34.88,34.91,3979593
2010-01-22,35.01,35.05,33.58,33.75,4684365
2010-01-25,34.07,34.56,33.96,34.5,3771237
2010-01-26,34.18,34.48,33.43,33.49,3578664
2010-01-27,33.43,34.74,33.43,34.63,5362017
2010-01-28,35.0,35.58,32.91,33.44,6084099
2010-01-29,33.55,33.98,32.69,33.01,5793264
2010-02-01,33.2,33.86,33.01,33.82,3536112
2010-02-02,33.77,34.29,33.56,33.93,3033990
2010-02-03,33.81,34.08,33.57,33.94,2858466
2010-02-04,34.47,34.47,32.73,32.76,5029251
2010-02-05,32.81,33.03,31.48,32.67,6282657
2010-02-08,32.65,32.85,32.08,32.1,3812913
2010-02-09,32.6,32.81,32.07,32.41,4401471
2010-02-10,32.23,32.74,32.22,32.43,2889708
2010-02-11,32.38,32.79,32.13,32.66,2362710
2010-02-12,32.45,32.67,31.94,32.62,3818124
2010-02-16,32.88,33.33,32.85,33.33,3912432
2010-02-17,33.34,33.71,33.26,33.63,3474666
2010-02-18,33.66,33.85,33.42,33.8,3449628
2010-02-19,33.87,34.1,33.59,33.87,4464333
2010-02-22,34.08,34.12,33.62,33.79,2446101
2010-02-23,33.59,33.78,33.2,33.34,3590574
2010-02-24,33.47,33.9,33.28,33.88,3674397
2010-02-25,33.5,33.5,32.92,33.39,4352103
2010-02-26,33.54,33.97,33.35,33.91,3145695
2010-03-01,34.36,34.36,33.81,34.28,2659794
2010-03-02,34.28,34.76,34.2,34.71,3442806
2010-03-03,34.71,34.98,34.54,34.64,3160257
2010-03-04,34.64,35.26,34.46,35.23,3771576
2010-03-05,35.46,36.47,35.46,36.43,4580100
2010-03-08,36.4,36.48,35.98,36.11,3455670
2010-03-09,35.86,36.14,35.72,36.05,3471822
2010-03-10,36.15,36.15,35.62,35.81,4466538
2010-03-11,35.7,36.01,35.49,35.99,3087924
2010-03-12,36.23,36.33,35.98,36.11,1921137
2010-03-15,36.01,36.3,35.78,36.11,2312247
2010-03-16,36.14,36.33,35.9,36.31,2699352
2010-03-17,36.41,37.51,36.41,37.16,3796515
2010-03-18,37.0,37.27,36.85,37.2,3168663
2010-03-19,37.22,37.43,36.7,36.79,4360722
2010-03-22,36.48,37.19,36.48,37.14,3166599
2010-03-23,37.12,37.66,36.9,37.56,2783394
2010-03-24,37.42,37.55,36.87,36.88,3867666
2010-03-25,37.2,38.24,37.04,37.41,3882099
2010-03-26,37.56,37.56,36.7,36.99,4316898
2010-03-29,37.06,37.16,36.78,37.08,2539812
2010-03-30,37.2,37.32,36.87,37.23,3319350
2010-03-31,37.02,37.27,36.65,36.97,2545110
2010-04-01,37.52,37.89,37.42,37.88,3978309
2010-04-05,38.05,38.3,37.81,38.16,2926749
2010-04-06,37.83,38.25,37.71,38.0,2511453
2010-04-07,37.8,37.94,37.41,37.61,3519141
2010-04-08,37.64,37.99,37.43,37.85,2851935
2010-04-09,37.85,38.36,37.85,38.27,2511591
2010-04-12,38.14,38.52,38.12,38.35,3812262
2010-04-13,38.36,39.74,38.26,39.61,6210525
2010-04-14,39.8,40.46,39.58,40.44,4185483
2010-04-15,40.38,40.63,40.1,40.42,3158970
2010-04-16,40.3,40.42,38.97,39.48,4141245
2010-04-19,39.17,39.89,38.97,39.74,2938167
2010-04-20,40.14,40.14,39.49,39.8,4043703
2010-04-21,39.59,39.84,38.95,39.31,4588050
2010-04-22,38.99,39.17,38.67,39.07,4981569
2010-04-23,39.2,39.95,39.2,39.88,3757167
2010-04-26,39.84,39.84,38.84,38.87,3741588
2010-04-27,38.73,38.94,37.63,37.66,3937974
2010-04-28,38.07,38.44,37.49,38.07,4812747
2010-04-29,38.44,39.56,38.37,39.45,4263894
2010-04-30,39.21,39.58,38.5,38.55,3319743
2010-05-03,38.74,39.24,38.55,39.09,1959015
2010-05-04,38.39,38.54,37.54,37.78,3693444
2010-05-05,37.28,38.07,36.95,37.48,3372495
2010-05-06,37.4,38.05,33.33,35.73,9035475
2010-05-07,35.75,35.83,34.43,34.84,9318042
2010-05-10,36.54,37.01,36.22,36.99,4861869
2010-05-11,36.58,36.99,36.28,36.5,4690557
2010-05-12,36.56,37.17,36.37,37.1,5685567
2010-05-13,36.81,37.1,36.5,36.51,3742005
2010-05-14,36.07,36.17,35.02,35.36,5159172
2010-05-17,35.36,36.05,34.78,35.53,5717172
2010-05-18,35.91,36.07,34.37,34.6,6506739
2010-05-19,34.44,35.01,33.9,34.59,4605120
2010-05-20,34.02,34.02,32.68,33.02,9416688
2010-05-21,32.48,34.39,32.32,34.24,8859198
2010-05-24,33.74,33.82,32.41,32.45,7047075
2010-05-25,31.8,32.54,31.39,32.46,7581495
2010-05-26,32.77,32.99,31.87,32.02,5445411
2010-05-27,32.42,33.3,32.33,33.26,5601930
2010-05-28,33.16,33.33,32.65,32.7,4777638
2010-06-01,32.41,32.7,31.82,31.83,4692006
2010-06-02,31.96,32.67,31.61,32.63,3161067
2010-06-03,32.56,32.68,31.69,31.96,5641512
2010-06-04,31.23,31.64,30.36,30.46,7639002
2010-06-07,30.65,30.85,29.49,29.55,8733159
2010-06-08,29.66,30.13,29.15,30.05,7692330
2010-06-09,30.27,30.59,29.36,29.52,5777097
2010-06-10,29.88,30.57,29.68,30.51,4897128
2010-06-11,30.14,31.24,30.07,31.17,4881318
2010-06-14,31.36,31.41,30.55,30.62,4332174
2010-06-15,30.78,31.37,30.56,31.32,5083080
2010-06-16,31.13,31.55,30.94,31.36,3861522
2010-06-17,31.49,31.51,30.65,31.03,3870906
2010-06-18,30.86,31.13,30.73,31.1,4710606
2010-06-21,31.42,31.69,31.04,31.19,5868135
2010-06-22,31.19,31.58,30.86,30.89,5665635
2010-06-23,30.94,31.1,30.37,30.54,3876087
2010-06-24,30.37,30.43,29.61,29.72,6925044
2010-06-25,29.98,30.45,29.74,30.33,7889424
2010-06-28,30.2,30.45,29.82,29.99,3309816
2010-06-29,29.73,29.73,28.4,28.57,4896606
2010-06-30,28.56,29.18,28.47,28.73,5932302
2010-07-01,28.7,29.14,28.03,28.57,5556930
2010-07-02,28.65,28.72,28.0,28.32,3606930
2010-07-06,28.66,29.21,28.29,28.62,3585306
2010-07-07,28.67,29.82,28.67,29.76,5176572
2010-07-08,30.06,30.35,29.74,30.24,4619973
2010-07-09,30.04,30.76,30.04,30.75,3443541
2010-07-12,30.65,30.83,30.23,30.55,2522004
2010-07-13,30.89,31.77,30.89,31.53,4895199
2010-07-14,31.35,31.41,30.82,31.22,2935350
2010-07-15,31.24,31.34,30.48,31.25,3435936
2010-07-16,30.79,30.97,29.96,30.05,3883200
2010-07-19,30.16,30.49,29.79,30.36,2450439
2010-07-20,29.81,30.78,29.62,30.73,4161558
2010-07-21,31.15,31.15,30.2,30.25,4666941
2010-07-22,30.66,31.71,30.63,31.66,5532732
2010-07-23,31.44,31.96,31.2,31.84,3266523
2010-07-26,31.87,32.8,31.72,32.79,4226352
2010-07-27,32.89,33.14,32.68,32.82,3804672
2010-07-28,32.7,33.01,32.07,32.08,3479676
2010-07-29,32.41,33.66,32.41,33.27,5888844
2010-07-30,32.93,34.07,32.22,33.53,5207958
2010-08-02,34.11,34.94,33.76,34.53,4826547
2010-08-03,34.56,34.56,34.1,34.18,4279290
2010-08-04,34.22,34.53,33.88,34.38,2982084
2010-08-05,34.02,34.3,34.0,34.27,2454612
2010-08-06,34.01,34.42,33.58,34.23,3145065
2010-08-09,33.99,34.75,33.99,34.75,3745677
2010-08-10,34.44,35.38,34.22,35.15,4401726
2010-08-11,34.6,34.82,33.54,33.57,4231911
2010-08-12,33.4,33.6,33.01,33.38,3461016
2010-08-13,33.04,33.64,33.04,33.18,3210489
2010-08-16,32.96,33.42,32.87,33.02,2661747
2010-08-17,33.4,34.1,33.25,33.83,2770824
2010-08-18,33.72,33.95,33.49,33.78,1636683
2010-08-19,33.44,33.73,32.69,32.81,3152418
2010-08-20,32.49,33.09,32.31,32.97,2905914
2010-08-23,33.2,33.23,32.82,32.82,2288430
2010-08-24,32.43,32.49,31.85,31.9,3237996
2010-08-25,31.71,32.37,31.32,32.22,3246291
2010-08-26,32.46,32.71,31.85,32.0,2944404
2010-08-27,32.13,32.78,31.7,32.77,2983887
2010-08-30,32.59,32.69,32.11,32.12,2491932
2010-08-31,31.97,32.38,31.66,32.17,2976381
2010-09-01,32.7,33.69,32.39,33.45,4650438
2010-09-02,33.46,33.84,33.41,33.69,2669079
2010-09-03,34.02,34.22,33.9,34.21,4498518
2010-09-07,33.84,34.1,33.49,33.7,2838468
2010-09-08,33.88,34.43,33.74,34.24,2683659
2010-09-09,34.74,35.27,34.43,35.0,4493619
2010-09-10,35.04,35.06,34.43,34.67,3761268
2010-09-13,35.08,35.58,35.05,35.4,3069666
2010-09-14,35.23,35.81,35.08,35.36,2668974
2010-09-15,35.15,35.7,34.97,35.67,2046327
2010-09-16,35.51,35.61,35.24,35.5,1919937
2010-09-17,35.79,35.79,34.9,35.25,3868800
2010-09-20,35.45,36.14,35.37,36.08,3249012
2010-09-21,36.1,36.1,35.35,35.46,3442731
2010-09-22,35.32,35.75,34.82,34.99,2795133
2010-09-23,34.69,34.95,34.33,34.35,2649438
2010-09-24,34.87,35.93,34.79,35.66,3131724
2010-09-27,35.93,36.11,35.63,35.81,3075357
2010-09-28,35.74,36.13,35.09,36.0,3042705
2010-09-29,35.76,35.95,35.42,35.6,2243787
2010-09-30,35.89,36.4,35.44,35.63,2724567
2010-10-01,36.07,36.33,35.51,35.97,4000635
2010-10-04,35.92,36.24,35.35,35.61,2563926
2010-10-05,36.08,37.41,35.62,37.34,4555908
2010-10-06,37.38,37.53,37.01,37.51,2722992
2010-10-07,37.76,38.0,37.4,37.58,3581538
2010-10-08,37.76,37.91,37.31,37.79,1830489
2010-10-11,37.76,38.0,37.58,37.8,1784172
2010-10-12,37.91,38.78,37.67,38.5,5639031
2010-10-13,38.37,39.61,38.37,38.99,4214301
2010-10-14,38.81,39.45,38.4,38.73,3376548
2010-10-15,39.02,39.22,38.48,38.8,2517747
2010-10-18,38.61,39.1,38.37,38.85,3255552
2010-10-19,38.41,38.85,37.69,37.87,4012194
2010-10-20,38.03,39.01,37.93,38.71,3713304
2010-10-21,38.67,39.33,37.38,38.56,3445248
2010-10-22,38.57,39.16,38.56,38.62,2352027
2010-10-25,38.99,39.16,38.57,38.59,2042469
2010-10-26,38.43,38.8,38.3,38.66,2417244
2010-10-27,38.2,38.76,38.2,38.67,2573271
2010-10-28,38.21,38.5,36.72,38.27,6691173
2010-10-29,38.01,38.4,37.91,38.23,2155017
2010-11-01,38.39,39.11,38.28,39.04,2954994
2010-11-02,39.49,39.75,39.34,39.54,2687181
2010-11-03,39.54,39.9,39.29,39.86,2418789
2010-11-04,40.16,40.87,39.88,40.72,3065496
2010-11-05,40.65,41.67,40.63,41.53,2865231
2010-11-08,41.38,41.38,40.46,40.64,2514822
2010-11-09,40.84,41.1,40.31,40.5,3283599
2010-11-10,40.36,40.51,39.74,40.05,4756698
2010-11-11,39.61,40.3,39.61,40.14,2045595
2010-11-12,39.66,40.09,39.15,39.44,2440320
2010-11-15,39.59,39.97,39.38,39.51,1574841
2010-11-16,39.07,39.07,37.94,38.1,4545774
2010-11-17,38.35,38.72,38.04,38.52,3501627
2010-11-18,39.08,39.37,38.93,38.98,2265963
2010-11-19,38.89,39.17,38.36,38.74,2264781
2010-11-22,38.53,38.75,38.3,38.62,2138439
2010-11-23,38.05,38.16,37.56,37.58,3038367
2010-11-24,37.85,38.85,37.85,38.68,3294168
2010-11-26,38.13,38.32,37.98,38.01,945939
2010-11-29,37.72,38.3,37.51,38.17,2010072
2010-11-30,37.75,38.29,37.65,38.03,2921559
2010-12-01,38.79,39.25,38.55,39.21,2537118
2010-12-02,39.27,40.04,39.23,39.99,2487795
2010-12-03,39.8,40.08,39.15,40.01,2465958
2010-12-06,39.78,39.87,39.53,39.71,3682857
2010-12-07,40.06,40.24,39.55,39.62,3517029
2010-12-08,39.72,39.8,39.28,39.64,2644551
2010-12-09,39.94,39.99,38.67,39.15,6362250
2010-12-10,39.32,39.55,38.9,39.35,4567710
2010-12-13,39.51,39.51,39.01,39.14,1925625
2010-12-14,39.06,39.27,38.71,38.81,2005860
2010-12-15,38.69,39.38,38.63,38.92,2933799
2010-12-16,38.99,38.99,38.44,38.77,1873857
2010-12-17,38.41,38.57,37.72,38.2,6954060
2010-12-20,37.54,37.72,36.89,37.23,6734283
2010-12-21,37.29,37.44,37.21,37.3,4430664
2010-12-22,36.96,37.16,36.42,36.66,6297978
2010-12-23,36.57,36.61,35.93,36.19,4456983
2010-12-27,35.97,37.0,35.93,36.77,3311301
2010-12-28,36.84,36.87,36.68,36.79,1644531
2010-12-29,36.75,36.93,36.62,36.7,1690917
2010-12-30,36.63,36.89,36.5,36.83,1508517
2010-12-31,36.71,37.22,36.69,37.07,2147562
2011-01-03,37.32,37.98,37.29,37.72,3542145
2011-01-04,38.02,38.08,37.35,37.38,5489811
2011-01-05,36.72,37.01,36.11,36.77,8698215
2011-01-06,36.8,37.0,36.53,36.58,6544980
2011-01-07,36.54,37.41,36.45,37.23,4686675
2011-01-10,37.09,37.82,36.88,37.64,4242477
2011-01-11,38.2,39.09,38.17,38.62,5344593
