Date,Open,High,Low,Close,Volume
2017-07-05,40.8,40.82,37.25,37.25,5883326
2017-07-06,38.09,38.09,36.52,37.01,5133756
2017-07-07,38.14,38.59,36.12,37.91,6085969
2017-07-10,37.63,38.17,36.8,37.23,4721508
2017-07-11,37.31,37.78,36.89,37.35,2796240
2017-07-12,37.77,37.99,37.25,37.37,3268809
2017-07-13,37.45,37.65,36.69,36.84,4086813
2017-07-14,37.0,37.5,36.91,37.35,2874663
2017-07-17,37.71,38.37,37.64,37.64,3926058
2017-07-18,37.52,37.78,36.73,36.75,3278954
2017-07-19,36.59,37.09,36.36,36.54,4235240
2017-07-20,36.59,36.9,34.86,34.97,6623457
2017-07-21,34.73,34.88,33.44,34.12,7851715
