Date,Open,High,Low,Close,Volume
2010-01-04,28.19,28.44,27.93,28.29,6127614
2010-01-05,27.95,28.64,27.75,28.59,7189296
2010-01-06,28.48,28.51,28.09,28.16,7253257
2010-01-07,28.08,29.49,27.91,29.35,11051995
2010-01-08,29.28,29.55,28.98,29.53,7144454
2010-01-11,29.65,29.68,28.79,29.02,9364929
2010-01-12,28.88,29.32,28.79,29.07,8932626
2010-01-13,29.07,29.46,28.87,29.29,5872334
2010-01-14,29.26,29.46,28.91,29.25,5943437
2010-01-15,29.15,29.39,28.9,29.03,10784528
2010-01-19,29.01,29.61,28.89,29.53,9110125
2010-01-20,29.89,31.23,29.79,30.96,17466894
2010-01-21,30.91,31.3,30.55,30.67,13330143
2010-01-22,30.65,31.14,29.13,29.27,12168261
2010-01-25,29.55,30.03,29.5,29.76,6831427
2010-01-26,29.58,29.88,29.22,29.27,7130394
2010-01-27,29.25,29.94,29.09,29.76,7728323
2010-01-28,29.93,29.93,28.77,29.17,8046736
2010-01-29,29.28,29.66,28.99,29.09,8299393
2010-02-01,29.29,29.87,29.2,29.58,6979162
2010-02-02,29.56,29.56,28.98,29.26,7542440
2010-02-03,29.09,29.17,28.51,28.57,7010265
2010-02-04,28.47,28.7,27.25,27.29,10374453
2010-02-05,27.38,27.79,26.35,27.14,14937161
2010-02-08,27.15,27.55,26.83,26.86,7672087
2010-02-09,27.06,27.39,26.76,27.06,7359944
2010-02-10,27.09,27.69,26.95,27.39,8491878
2010-02-11,27.3,27.65,27.11,27.46,5285350
2010-02-12,27.18,27.31,26.7,27.05,7778789
2010-02-16,27.2,27.77,27.11,27.73,5080219
2010-02-17,27.66,27.91,27.53,27.71,4322646
2010-02-18,27.56,27.76,27.42,27.69,4701462
2010-02-19,27.65,29.18,27.65,28.66,12293581
2010-02-22,28.78,29.09,28.42,28.84,7654724
2010-02-23,28.73,28.84,28.01,28.12,7436926
2010-02-24,28.14,28.82,28.02,28.63,7151323
2010-02-25,28.35,28.43,27.91,28.39,6516627
2010-02-26,28.46,28.55,28.11,28.52,5389717
2010-03-01,28.63,28.63,28.24,28.42,4698157
2010-03-02,28.45,29.15,28.34,28.69,6755229
2010-03-03,28.65,28.87,28.51,28.69,5406075
2010-03-04,28.71,28.98,28.58,28.89,4431287
2010-03-05,29.06,29.73,28.94,29.7,7188262
2010-03-08,29.6,29.73,29.26,29.62,6132001
2010-03-09,29.33,29.89,29.33,29.81,6449842
2010-03-10,29.91,29.91,29.47,29.62,6623180
2010-03-11,29.62,29.67,29.16,29.67,5667570
2010-03-12,29.78,29.96,29.6,29.72,5641259
2010-03-15,29.57,30.01,29.56,29.94,5503021
2010-03-16,30.06,30.29,29.83,30.25,6283038
2010-03-17,30.37,30.76,30.19,30.69,6494701
2010-03-18,30.63,30.85,30.3,30.82,5921224
2010-03-19,30.84,31.07,30.55,30.64,7794717
2010-03-22,30.44,30.94,30.41,30.83,4298720
2010-03-23,30.83,31.37,30.78,31.35,6007782
2010-03-24,31.19,31.25,30.58,30.68,7640330
2010-03-25,30.9,31.46,30.76,30.84,6311217
2010-03-26,30.86,31.3,30.65,30.9,5918124
2010-03-29,31.09,31.22,30.68,30.96,4342542
2010-03-30,30.88,30.97,30.61,30.72,3908487
2010-03-31,30.56,31.05,30.42,30.88,7144162
2010-04-01,31.14,31.29,30.91,31.26,5221867
2010-04-05,31.4,31.59,31.18,31.5,4675222
2010-04-06,31.39,31.75,31.17,31.7,4664037
2010-04-07,31.71,31.89,31.33,31.46,5887187
2010-04-08,31.38,31.91,31.32,31.85,6127413
2010-04-09,31.87,32.07,31.69,31.95,4430285
2010-04-12,32.1,32.64,32.1,32.54,6469645
2010-04-13,32.48,32.65,32.06,32.47,5111704
2010-04-14,32.31,32.5,31.58,32.18,13732990
2010-04-15,32.25,32.49,31.91,32.02,8431506
2010-04-16,31.87,32.04,30.77,31.57,13365061
2010-04-19,31.75,32.18,31.39,32.14,8608064
2010-04-20,31.91,32.32,31.54,32.15,11037198
2010-04-21,32.11,32.45,31.95,32.22,10298420
2010-04-22,31.94,32.42,31.75,32.42,10388017
2010-04-23,32.33,32.33,31.77,31.95,9437077
2010-04-26,31.87,32.03,31.64,31.65,8207956
2010-04-27,31.4,31.8,30.81,30.87,9438923
2010-04-28,31.13,31.5,30.95,31.24,6220565
2010-04-29,31.56,32.16,31.37,31.97,6080920
2010-04-30,31.82,31.92,31.09,31.13,7649428
2010-05-03,31.16,31.48,31.03,31.33,5017640
2010-05-04,31.02,31.08,30.45,30.61,8978580
2010-05-05,30.2,31.71,30.05,31.18,10496531
2010-05-06,31.01,31.53,29.0,30.22,14135786
2010-05-07,30.33,31.04,29.9,30.06,18173052
2010-05-10,31.34,31.69,30.64,31.57,8431493
2010-05-11,31.27,31.48,30.6,30.98,15411367
2010-05-12,31.17,31.23,30.76,30.92,10638010
2010-05-13,30.76,30.82,29.9,29.98,14142761
2010-05-14,29.91,30.02,29.51,29.7,13136124
2010-05-17,29.68,29.85,29.24,29.8,8154543
2010-05-18,30.08,30.08,29.0,29.16,11629114
2010-05-19,29.01,29.37,28.56,28.78,12907103
2010-05-20,28.14,28.45,27.64,27.65,13043172
2010-05-21,26.68,27.91,26.63,27.82,20287263
2010-05-24,27.66,27.93,27.15,27.17,8601918
2010-05-25,26.59,27.19,26.25,27.19,16989316
2010-05-26,27.55,27.97,27.24,27.34,11113731
2010-05-27,27.96,28.1,27.63,28.03,9877324
2010-05-28,27.95,27.98,27.12,27.2,10946926
2010-06-01,27.05,27.18,26.48,26.5,10873309
2010-06-02,26.64,27.32,26.62,27.29,8240041
2010-06-03,27.31,27.43,26.97,27.28,7625060
2010-06-04,26.38,26.69,25.9,26.0,29161864
2010-06-07,26.17,26.29,25.61,25.62,17283555
2010-06-08,25.71,25.77,24.9,25.41,33538142
2010-06-09,25.53,25.63,25.18,25.33,33604842
2010-06-10,25.66,25.99,25.46,25.92,18693105
2010-06-11,25.63,26.21,25.6,26.19,8452887
2010-06-14,26.31,26.31,25.64,25.67,10808459
2010-06-15,25.9,26.5,25.73,26.5,8529317
2010-06-16,26.23,26.5,26.14,26.37,7353044
2010-06-17,26.33,26.4,26.0,26.31,5820783
2010-06-18,26.32,26.61,26.26,26.58,8383624
2010-06-21,26.85,26.91,26.31,26.42,9301978
2010-06-22,26.41,26.74,26.24,26.25,8750992
2010-06-23,26.23,26.46,25.96,26.12,6990899
2010-06-24,26.0,26.04,25.47,25.52,10143757
2010-06-25,25.71,26.07,25.52,25.88,12397249
2010-06-28,25.99,26.29,25.87,25.95,6320808
2010-06-29,25.64,25.75,24.97,25.11,12051168
2010-06-30,25.11,25.39,24.63,24.69,11476293
2010-07-01,24.6,24.9,24.13,24.77,11326652
2010-07-02,24.79,24.98,24.48,24.58,7152050
2010-07-06,24.87,25.16,24.54,24.74,8303056
2010-07-07,25.75,26.35,25.5,26.32,15510147
2010-07-08,26.52,26.57,25.66,25.96,9690919
2010-07-09,25.97,26.24,25.75,26.23,5400526
2010-07-12,26.1,26.39,26.03,26.27,4736854
2010-07-13,26.48,26.95,26.46,26.85,10718795
2010-07-14,26.63,26.81,26.42,26.61,7325206
2010-07-15,26.54,26.91,26.25,26.79,8062288
2010-07-16,26.56,26.66,25.67,25.73,10637279
2010-07-19,25.86,25.91,25.44,25.64,8672068
2010-07-20,25.17,25.59,25.13,25.53,12937755
2010-07-21,25.85,25.97,25.1,25.18,10329730
2010-07-22,25.36,25.92,25.27,25.7,9390347
2010-07-23,25.58,25.88,25.29,25.82,10613336
2010-07-26,25.74,26.4,25.74,26.31,6884513
2010-07-27,26.58,26.76,26.11,26.15,7246477
2010-07-28,26.11,26.23,25.15,25.29,12322471
2010-07-29,25.44,25.73,25.18,25.26,6571702
2010-07-30,25.01,25.27,24.93,25.07,6381423
2010-08-02,25.45,25.86,25.33,25.83,6499562
2010-08-03,25.71,25.9,25.53,25.71,6641779
2010-08-04,25.73,25.87,25.59,25.75,5194865
2010-08-05,25.59,25.91,25.53,25.9,3793258
2010-08-06,25.6,25.75,25.18,25.73,7666537
2010-08-09,25.88,25.91,25.46,25.74,4518995
2010-08-10,25.47,25.69,25.23,25.44,6495947
2010-08-11,25.06,25.08,24.74,24.77,8993912
2010-08-12,24.61,24.95,24.5,24.79,6688951
2010-08-13,24.79,25.03,24.73,24.8,5582416
2010-08-16,24.71,24.9,24.53,24.7,4375556
2010-08-17,24.91,25.4,24.79,25.26,7700995
2010-08-18,25.32,25.36,25.02,25.11,5116781
2010-08-19,24.99,25.05,24.53,24.59,6291503
2010-08-20,24.49,24.74,24.45,24.65,6710469
2010-08-23,24.77,24.89,24.5,24.51,4228012
2010-08-24,24.35,24.49,23.89,24.34,10427307
2010-08-25,24.15,24.32,23.91,24.16,8732497
2010-08-26,24.3,24.38,24.08,24.18,8033510
2010-08-27,24.31,24.65,24.08,24.65,7727038
2010-08-30,24.52,24.64,24.17,24.17,5452923
2010-08-31,24.05,24.32,23.78,24.26,8560450
2010-09-01,24.52,25.12,24.39,25.12,8087510
2010-09-02,25.06,25.27,24.94,25.27,4308318
2010-09-03,25.56,26.15,25.54,26.07,8371274
2010-09-07,25.88,26.04,25.45,25.47,5297587
2010-09-08,25.56,26.0,25.55,25.62,4708469
2010-09-09,25.93,26.13,25.38,25.57,6796763
2010-09-10,25.63,25.75,25.44,25.5,4333774
2010-09-13,26.14,26.32,25.88,26.07,6441226
2010-09-14,26.03,26.07,25.5,25.59,7205645
2010-09-15,25.46,25.74,25.2,25.68,5232477
2010-09-16,25.65,25.72,25.43,25.55,4402882
2010-09-17,25.75,25.99,25.25,25.43,6754267
2010-09-20,25.53,26.02,25.44,25.94,4643564
2010-09-21,25.98,26.17,25.53,25.62,6271180
2010-09-22,25.54,25.85,25.4,25.42,6575249
2010-09-23,25.24,25.56,25.11,25.13,5625272
2010-09-24,25.44,26.14,25.44,26.13,8070937
2010-09-27,26.04,26.07,25.64,25.66,4982683
2010-09-28,25.82,25.96,25.47,25.86,4998260
2010-09-29,25.81,26.02,25.67,25.79,5265533
2010-09-30,26.0,26.5,25.96,26.13,8462455
2010-10-01,26.51,26.68,26.14,26.34,6157048
2010-10-04,26.24,26.47,26.08,26.21,8613835
2010-10-05,26.31,26.7,26.23,26.46,14024839
2010-10-06,26.39,26.89,26.35,26.81,5582985
2010-10-07,26.9,26.96,26.36,26.46,10095266
2010-10-08,26.53,26.6,26.27,26.54,5638462
2010-10-11,26.51,26.68,26.36,26.56,4595270
2010-10-12,26.64,26.72,26.33,26.58,8202405
