Date,Open,High,Low,Close,Volume
2010-01-04,16.72,17.02,16.72,16.89,1285820
2010-01-05,16.89,17.77,16.86,17.7,2653992
2010-01-06,17.7,18.39,17.65,18.34,4170832
2010-01-07,18.25,18.64,18.03,18.6,2592118
2010-01-08,18.49,18.6,18.2,18.26,2500500
2010-01-11,18.4,18.52,18.12,18.22,2885122
2010-01-12,18.12,18.3,17.7,17.76,3873016
2010-01-13,17.81,18.0,17.7,17.88,3943780
2010-01-14,17.88,19.04,17.85,18.94,4483680
2010-01-15,18.99,19.18,18.44,18.68,3369572
2010-01-19,18.69,18.96,18.53,18.84,2777916
2010-01-20,18.57,18.65,18.4,18.58,1999360
2010-01-21,18.66,18.92,18.28,18.42,3701342
2010-01-22,18.46,18.74,18.16,18.24,2183800
2010-01-25,18.38,18.95,18.16,18.52,2195680
2010-01-26,18.46,18.68,18.09,18.12,1936092
2010-01-27,17.98,18.12,17.18,17.63,3824798
2010-01-28,17.68,17.76,17.0,17.2,3061958
2010-01-29,17.22,18.0,17.22,17.54,4052342
2010-02-01,17.64,17.98,17.58,17.95,2173312
2010-02-02,17.92,18.23,17.68,18.11,2000400
2010-02-03,18.0,18.72,18.0,18.52,2900124
2010-02-04,18.3,18.3,17.66,17.66,1750688
2010-02-05,17.62,17.66,16.94,17.36,3925700
2010-02-08,17.44,17.94,17.29,17.68,2833352
2010-02-09,17.92,18.34,17.75,17.98,5738958
2010-02-10,17.88,18.3,17.68,18.12,3087562
2010-02-11,18.42,18.49,17.72,17.83,4811278
2010-02-12,17.62,18.32,17.62,18.32,3554548
2010-02-16,18.56,18.62,18.3,18.51,2194830
2010-02-17,18.62,18.85,18.52,18.6,2330122
2010-02-18,18.53,18.69,18.45,18.54,2791308
2010-02-19,18.56,18.78,18.48,18.68,2360560
2010-02-22,18.79,19.25,18.74,19.13,2798710
2010-02-23,19.12,19.45,18.62,18.74,3613832
2010-02-24,18.74,19.25,18.74,19.07,2378774
2010-02-25,18.73,19.06,18.5,19.01,2489882
2010-02-26,19.08,19.13,18.68,18.73,2433018
2010-03-01,18.84,19.0,18.73,18.98,2416314
2010-03-02,19.17,19.6,19.11,19.33,5275788
2010-03-03,19.43,19.47,19.24,19.29,4319582
2010-03-04,19.02,19.3,18.99,19.09,2692342
2010-03-05,19.26,19.27,18.8,18.82,4825456
2010-03-08,18.75,18.92,18.75,18.88,5467724
2010-03-09,18.83,18.88,18.49,18.62,3114700
2010-03-10,18.54,18.75,18.28,18.36,2662964
2010-03-11,18.26,18.46,17.84,18.44,5568920
2010-03-12,18.56,18.77,18.48,18.54,1406742
2010-03-15,18.5,18.66,18.23,18.44,1476700
2010-03-16,18.45,18.65,18.4,18.6,2191072
2010-03-17,18.62,18.72,18.41,18.44,2572486
2010-03-18,18.48,18.5,18.29,18.33,3279094
2010-03-19,18.42,18.56,18.1,18.27,4999338
2010-03-22,18.15,19.08,18.15,18.96,4152052
2010-03-23,18.92,19.03,18.72,19.0,3365202
2010-03-24,18.88,19.05,18.81,18.92,3532572
2010-03-25,19.1,19.13,18.69,18.7,4697772
2010-03-26,18.7,18.81,18.42,18.52,3365634
2010-03-29,18.56,18.74,18.39,18.54,2908256
2010-03-30,18.52,18.72,18.5,18.62,4429332
2010-03-31,18.52,19.24,18.5,19.09,6954346
2010-04-01,19.24,19.61,19.23,19.61,4654414
2010-04-05,19.62,19.7,19.14,19.18,4801146
2010-04-06,19.12,19.24,18.84,19.02,4271278
2010-04-07,19.04,19.04,18.57,18.74,2845694
2010-04-08,18.67,19.08,18.52,19.02,3599856
2010-04-09,18.98,19.24,18.8,19.1,5416766
2010-04-12,19.1,19.4,19.08,19.37,2265450
2010-04-13,19.32,19.54,19.24,19.44,2229944
2010-04-14,19.54,19.58,19.4,19.52,2180386
2010-04-15,19.47,19.6,19.26,19.52,2438754
2010-04-16,19.5,19.68,18.9,19.18,4519832
2010-04-19,19.07,19.64,19.07,19.58,3896478
2010-04-20,19.74,20.0,19.72,19.92,2670792
2010-04-21,19.88,19.97,19.75,19.83,1647454
2010-04-22,19.67,20.13,19.51,20.1,1890178
2010-04-23,20.04,20.64,20.04,20.58,2946352
2010-04-26,20.62,20.92,20.46,20.56,3894688
2010-04-27,20.48,20.64,19.7,19.77,5856440
2010-04-28,19.94,20.12,19.7,19.98,3486976
2010-04-29,22.04,22.28,21.72,22.04,9738004
2010-04-30,21.82,22.06,21.44,21.67,4248418
2010-05-03,21.72,21.98,21.45,21.68,3150292
2010-05-04,21.34,21.42,20.73,20.92,3340568
2010-05-05,20.41,20.76,19.74,20.12,4919040
2010-05-06,20.38,21.18,18.4,19.79,7092896
2010-05-07,19.61,19.97,18.46,18.54,10185286
2010-05-10,19.5,20.62,19.5,20.22,4661252
2010-05-11,19.92,20.4,19.76,19.98,3517680
2010-05-12,20.1,20.74,20.1,20.58,2842422
2010-05-13,20.4,20.74,20.22,20.38,2505314
2010-05-14,20.12,20.21,19.39,19.6,3423732
2010-05-17,19.66,19.86,18.73,19.26,4199546
2010-05-18,19.48,19.56,18.57,18.64,5139092
2010-05-19,18.51,18.52,17.67,17.87,6340080
2010-05-20,17.44,17.82,17.13,17.3,6826072
2010-05-21,17.02,18.35,17.0,18.12,4889788
2010-05-24,18.05,18.56,17.94,18.1,5017936
2010-05-25,17.54,17.82,16.96,17.8,5490166
2010-05-26,17.92,18.49,17.85,17.96,4648370
2010-05-27,18.41,19.06,18.41,19.03,3260438
2010-05-28,19.03,19.23,18.48,18.63,2639374
2010-06-01,18.63,18.68,18.19,18.22,5163944
2010-06-02,18.39,19.48,18.39,19.48,5298114
2010-06-03,19.4,20.06,19.4,19.98,5701242
2010-06-04,19.44,19.57,18.66,18.8,3202746
2010-06-07,18.9,19.01,18.27,18.34,2887196
2010-06-08,18.31,18.58,18.04,18.26,4221400
2010-06-09,18.34,18.68,18.08,18.18,3570506
2010-06-10,18.6,19.04,18.52,18.9,3793608
2010-06-11,18.68,19.0,18.56,18.91,3136430
2010-06-14,19.16,19.68,19.08,19.37,2347176
2010-06-15,20.24,20.62,20.02,20.62,5450950
2010-06-16,20.46,20.7,20.27,20.48,3290172
2010-06-17,20.5,20.65,20.14,20.54,3505668
2010-06-18,20.59,20.79,20.38,20.66,2645622
2010-06-21,20.98,21.1,20.8,20.91,5010902
2010-06-22,21.01,21.02,20.11,20.12,4041726
2010-06-23,20.15,20.53,19.78,20.26,3923938
2010-06-24,20.15,20.16,19.7,19.84,2400948
2010-06-25,19.88,19.88,19.48,19.65,3987554
2010-06-28,20.41,20.41,19.78,19.82,2980870
2010-06-29,19.54,19.54,18.59,18.74,4580956
2010-06-30,18.78,19.39,18.6,18.67,4461800
2010-07-01,18.62,19.22,18.22,19.06,5101868
2010-07-02,19.02,19.14,18.62,18.74,2807460
2010-07-06,19.11,19.11,17.84,18.04,4861414
2010-07-07,18.14,19.2,18.09,19.16,4308726
2010-07-08,19.46,19.52,19.01,19.44,2256860
2010-07-09,19.44,19.98,19.34,19.96,2757028
2010-07-12,19.92,20.17,19.76,19.93,2731894
2010-07-13,20.18,21.2,20.18,21.01,5620036
2010-07-14,21.2,21.56,20.86,21.34,5201218
2010-07-15,21.31,21.43,20.92,21.29,2974018
2010-07-16,21.18,21.2,20.16,20.22,3611112
2010-07-19,20.32,20.54,20.16,20.48,2114692
2010-07-20,20.14,21.14,20.06,21.12,3846918
2010-07-21,21.24,21.24,20.18,20.22,5185524
2010-07-22,20.72,21.23,20.62,21.09,3949450
2010-07-23,20.96,21.75,20.82,21.48,5349038
2010-07-26,21.56,21.93,21.56,21.89,2415162
2010-07-27,22.0,22.05,21.14,21.19,5242100
2010-07-28,21.21,21.44,20.88,21.06,3383606
2010-07-29,21.28,21.5,20.84,21.24,4407198
2010-07-30,21.75,22.25,21.24,21.93,7956468
2010-08-02,22.32,23.12,22.14,23.03,6060722
2010-08-03,23.0,23.04,22.61,22.92,4186032
2010-08-04,23.02,23.15,22.8,23.14,3930678
2010-08-05,22.9,23.52,22.82,23.47,4015188
2010-08-06,23.14,23.59,23.01,23.5,6057926
2010-08-09,23.51,23.84,23.51,23.75,3246148
2010-08-10,22.88,23.18,22.28,23.03,5123790
2010-08-11,22.51,23.06,22.33,22.9,6382600
2010-08-12,22.34,22.98,22.01,22.75,3763758
2010-08-13,22.7,22.98,22.46,22.66,2729690
2010-08-16,22.44,23.25,22.34,22.8,3205354
2010-08-17,23.14,23.65,23.06,23.34,2711212
2010-08-18,23.26,23.64,22.98,23.54,2243958
2010-08-19,23.37,23.58,22.5,22.63,4454052
2010-08-20,22.5,22.82,22.24,22.76,3781458
2010-08-23,22.95,22.98,22.32,22.43,4185428
2010-08-24,22.08,22.08,21.54,21.78,5504352
2010-08-25,21.5,21.9,21.09,21.8,5259510
2010-08-26,21.88,22.18,21.52,21.6,2689166
2010-08-27,21.84,22.14,21.34,22.04,3109834
2010-08-30,21.96,22.16,21.62,21.63,1442326
2010-08-31,21.5,22.09,21.37,21.82,2640522
2010-09-01,22.15,22.92,22.15,22.86,3063600
2010-09-02,22.79,23.44,22.78,23.36,2101496
2010-09-03,23.64,24.52,23.53,24.21,4121648
2010-09-07,24.04,24.18,23.72,23.81,3224424
2010-09-08,23.26,23.34,22.83,23.3,3818004
2010-09-09,23.62,23.84,22.96,23.09,4310206
2010-09-10,23.14,23.37,23.03,23.19,3034000
2010-09-13,23.44,24.24,23.44,23.84,4925618
2010-09-14,23.81,24.0,23.51,23.7,4485446
2010-09-15,23.56,23.92,23.36,23.84,2239270
2010-09-16,23.33,23.93,22.84,23.82,4368338
2010-09-17,23.87,23.92,23.46,23.82,2590256
2010-09-20,24.03,24.42,23.92,24.19,1740104
2010-09-21,24.24,24.62,24.1,24.33,4511722
2010-09-22,24.32,24.75,24.2,24.4,3081778
2010-09-23,24.06,24.4,23.59,23.86,2633748
2010-09-24,24.34,25.0,24.3,24.84,2519146
2010-09-27,24.88,25.44,24.84,25.18,2334082
2010-09-28,25.3,25.98,25.05,25.86,4081010
2010-09-29,25.82,26.08,25.67,25.82,4259294
2010-09-30,25.99,26.71,25.94,26.31,5525006
2010-10-01,26.18,26.74,25.68,26.09,2985996
2010-10-04,26.04,26.26,25.66,26.04,2115004
2010-10-05,26.27,26.86,26.27,26.64,2700872
2010-10-06,26.5,26.64,25.71,26.1,5929314
2010-10-07,26.22,26.28,25.59,25.77,6216188
2010-10-08,25.72,26.56,25.72,26.41,2762696
2010-10-11,26.35,26.44,26.08,26.26,1844222
2010-10-12,25.88,26.78,25.53,26.56,4572042
2010-10-13,26.82,27.43,26.62,27.04,2348660
2010-10-14,27.04,27.2,26.68,26.88,1720880
2010-10-15,27.22,27.41,26.52,27.1,3100610
2010-10-18,27.18,27.34,26.94,27.07,1505622
2010-10-19,26.62,27.09,26.34,26.68,2174136
2010-10-20,26.82,27.5,26.81,27.14,1650740
2010-10-21,27.2,27.44,26.8,27.06,2273962
2010-10-22,27.22,27.22,26.91,27.03,2364104
2010-10-25,27.22,27.5,27.03,27.14,2511858
2010-10-26,26.92,27.24,26.54,26.9,4583322
2010-10-27,26.54,27.67,26.2,27.6,5499200
2010-10-28,27.86,27.97,27.46,27.92,2692836
2010-10-29,27.8,28.21,27.64,28.06,1884174
2010-11-01,28.27,28.49,27.81,28.02,2321158
2010-11-02,28.23,28.38,28.04,28.14,1326980
2010-11-03,28.22,28.44,27.86,28.36,1919142
2010-11-04,28.69,29.39,28.69,29.26,1704248
2010-11-05,29.28,29.64,29.17,29.63,3398194
2010-11-08,29.48,29.64,29.18,29.56,2395164
2010-11-09,29.63,29.69,28.64,28.86,2255414
2010-11-10,28.9,29.39,28.6,29.33,2153590
2010-11-11,28.99,29.65,28.9,29.42,1362974
2010-11-12,29.15,29.4,28.58,28.82,1688234
2010-11-15,28.92,29.44,28.82,28.88,1971974
2010-11-16,28.91,29.47,28.06,28.24,4687156
2010-11-17,28.38,29.32,28.35,29.09,2423364
2010-11-18,29.42,30.47,29.28,29.73,3842448
2010-11-19,29.6,30.2,29.41,29.94,2512436
2010-11-22,29.82,30.5,29.7,30.38,3155742
2010-11-23,30.04,30.36,29.75,29.96,2799384
2010-11-24,30.12,31.24,30.06,30.46,3547334
2010-11-26,30.28,30.45,30.06,30.31,1521058
2010-11-29,30.06,30.11,29.31,29.97,3185040
2010-11-30,29.58,30.31,29.54,30.17,2868988
2010-12-01,30.72,31.76,30.68,31.63,3045136
2010-12-02,31.78,32.95,31.78,32.64,3541728
2010-12-03,32.38,33.32,32.38,33.22,2142976
2010-12-06,33.17,33.44,32.9,33.14,1723558
2010-12-07,33.52,33.6,32.8,32.86,2825080
2010-12-08,33.0,33.54,32.9,33.5,2688434
2010-12-09,33.76,33.78,33.12,33.58,2487900
2010-12-10,33.66,33.68,33.22,33.45,2747150
2010-12-13,33.63,33.84,33.32,33.42,1753764
2010-12-14,33.6,34.12,33.54,33.72,2027896
2010-12-15,33.66,34.5,33.58,34.08,4815360
2010-12-16,34.24,35.46,33.97,35.38,3566842
2010-12-17,35.44,35.68,35.08,35.52,5544132
2010-12-20,35.88,36.22,35.55,35.95,2379136
2010-12-21,36.24,36.5,36.0,36.28,2259824
2010-12-22,36.45,36.5,35.97,36.14,1554178
2010-12-23,36.16,36.72,36.09,36.57,1535856
2010-12-27,36.36,36.43,35.89,36.1,1324608
2010-12-28,36.17,36.36,35.51,35.69,2406152
2010-12-29,35.78,36.38,35.78,36.24,1683472
2010-12-30,36.08,36.68,35.96,36.44,1816382
2010-12-31,36.42,36.56,36.1,36.18,1160294
2011-01-03,36.66,37.12,36.53,36.68,2641154
2011-01-04,37.04,37.13,35.68,36.26,3972500
2011-01-05,36.33,36.8,36.11,36.59,4037238
2011-01-06,36.6,36.78,36.14,36.24,2685114
2011-01-07,35.74,36.0,34.58,34.98,6987816
2011-01-10,34.58,35.9,34.03,35.56,6007994
2011-01-11,35.94,36.4,34.94,35.25,6504794
2011-01-12,35.64,35.84,34.78,35.05,4859480
2011-01-13,35.05,35.17,33.98,34.44,7370684
2011-01-14,34.49,35.42,34.38,35.2,4264086
2011-01-18,35.04,35.73,34.96,35.72,2994404
2011-01-19,35.77,35.9,34.8,34.9,2361236
2011-01-20,34.62,34.75,33.75,34.42,4568584
2011-01-21,34.73,34.9,33.96,34.0,2969000
2011-01-24,34.08,34.6,33.84,34.48,3083998
2011-01-25,34.26,34.5,33.6,34.06,2283300
2011-01-26,34.3,35.29,34.27,35.21,3063262
2011-01-27,34.42,35.48,34.38,35.28,2541110
2011-01-28,34.9,34.9,33.76,33.82,4656574
2011-01-31,33.88,34.36,33.6,33.7,2796970
2011-02-01,34.02,34.48,33.44,33.64,5215160
2011-02-02,33.64,33.66,32.78,32.87,4756568
2011-02-03,32.96,33.0,32.11,32.86,7402200
2011-02-04,33.01,33.62,32.82,33.52,3403714
2011-02-07,33.87,35.62,33.72,35.24,6174374
2011-02-08,35.4,36.21,35.4,35.95,3479520
2011-02-09,36.0,36.36,35.88,36.02,5045414
2011-02-10,35.86,36.94,35.58,36.88,5394720
2011-02-11,36.74,38.82,36.74,38.66,8992950
2011-02-14,38.35,40.02,38.2,40.02,5424616
2011-02-15,39.68,40.02,39.5,39.74,3905072
2011-02-16,39.92,40.54,39.83,40.15,5409580
2011-02-17,40.09,40.34,39.69,40.0,3009414
2011-02-18,40.08,40.26,39.76,40.12,2947800
2011-02-22,39.48,39.89,38.8,38.88,3300184
2011-02-23,38.87,39.05,36.98,37.98,4757450
2011-02-24,37.86,38.33,36.98,37.68,4134716
2011-02-25,38.03,38.48,37.78,38.48,3806196
2011-02-28,38.82,39.0,38.12,38.8,4269490
2011-03-01,38.84,39.16,37.59,37.92,3031042
2011-03-02,37.88,38.6,37.7,37.96,3485092
2011-03-03,38.52,39.03,38.32,38.81,3053386
2011-03-04,38.72,39.04,38.34,38.88,3012322
2011-03-07,38.93,39.28,37.64,37.82,3026014
2011-03-08,38.0,38.76,37.58,38.42,3079156
2011-03-09,38.34,38.94,37.96,38.66,2666388
2011-03-10,37.96,38.63,37.42,38.23,4308538
2011-03-11,38.08,38.14,36.84,37.33,4554246
2011-03-14,36.76,37.99,36.51,37.3,4804240
2011-03-15,35.67,37.07,35.04,36.88,4048532
2011-03-16,36.81,37.4,36.1,36.4,4575312
2011-03-17,37.28,37.86,36.82,36.84,4106260
2011-03-18,37.41,37.62,36.68,37.22,3877828
2011-03-21,37.69,38.28,37.68,38.1,1755784
2011-03-22,38.12,38.12,36.3,36.6,3829294
2011-03-23,36.37,37.63,35.78,37.2,3912756
2011-03-24,37.48,37.99,36.98,37.86,2544004
2011-03-25,37.9,39.0,37.7,38.64,4732624
2011-03-28,38.87,39.13,38.08,38.18,3613380
2011-03-29,38.12,39.06,37.85,39.0,2188516
2011-03-30,39.2,39.56,39.12,39.3,2126678
2011-03-31,39.1,39.89,38.92,39.84,2357834
2011-04-01,40.0,40.92,40.0,40.52,2969498
2011-04-04,40.65,41.14,40.38,40.83,2275532
2011-04-05,40.65,40.76,39.84,39.86,4022054
2011-04-06,40.22,40.22,38.6,38.88,3856752
2011-04-07,38.77,38.99,37.77,37.98,2914828
2011-04-08,38.32,38.48,37.18,37.68,2624466
2011-04-11,37.6,37.74,36.86,37.16,3035342
2011-04-12,36.95,37.08,35.66,36.03,8560964
2011-04-13,36.38,36.54,35.75,36.14,3413670
2011-04-14,35.8,36.07,35.34,35.69,3498936
2011-04-15,35.62,36.14,35.55,35.99,2653174
2011-04-18,35.26,35.5,34.63,35.44,4046084
2011-04-19,35.54,35.83,35.14,35.82,2409578
2011-04-20,36.62,38.04,36.62,37.35,3046322
2011-04-21,37.67,38.58,37.28,38.47,3423946
2011-04-25,38.54,38.74,37.68,38.08,2011846
2011-04-26,38.2,38.96,38.18,38.82,2537824
2011-04-27,39.0,39.54,38.92,39.28,2963042
2011-04-28,38.14,39.32,37.74,38.28,4425572
2011-04-29,38.5,38.66,38.18,38.62,3030378
2011-05-02,38.86,38.94,37.82,38.36,3319598
2011-05-03,38.1,38.1,37.1,37.42,3767710
2011-05-04,37.49,37.79,36.76,37.16,1817542
2011-05-05,36.85,37.92,36.65,37.22,1984298
2011-05-06,37.97,38.34,37.67,38.14,2451606
2011-05-09,38.04,38.88,38.02,38.52,1671892
2011-05-10,38.75,39.05,38.62,38.85,1686060
2011-05-11,38.7,39.08,38.34,38.56,1703240
2011-05-12,38.4,38.46,37.6,38.04,1638694
2011-05-13,38.13,38.21,36.75,36.91,1569330
2011-05-16,36.62,37.39,36.51,36.59,1524262
2011-05-17,36.43,36.43,35.12,35.3,3943646
2011-05-18,35.26,35.48,35.04,35.44,5147500
2011-05-19,35.65,35.8,35.16,35.54,2700274
2011-05-20,35.46,35.64,34.92,35.32,2235264
2011-05-23,34.59,34.79,33.54,34.07,5804532
2011-05-24,34.12,34.4,32.89,33.14,7085952
2011-05-25,33.18,35.12,33.14,35.02,3988246
2011-05-26,34.8,35.22,34.75,35.03,2320850
2011-05-27,35.24,35.98,35.11,35.94,2233042
2011-05-31,36.18,36.35,35.82,36.26,3320462
2011-06-01,36.2,36.43,34.64,34.74,2710708
2011-06-02,34.86,35.54,34.64,34.71,2565896
2011-06-03,34.16,34.94,34.02,34.46,2138972
2011-06-06,34.34,34.64,33.83,34.2,5058920
2011-06-07,34.38,34.38,33.84,33.97,1697404
2011-06-08,33.92,33.98,33.15,33.66,2770116
2011-06-09,33.67,34.74,33.54,34.66,2545332
2011-06-10,34.42,34.62,33.8,33.96,2030318
2011-06-13,34.07,34.48,33.33,33.69,2111338
2011-06-14,34.22,35.56,34.21,35.42,3158014
2011-06-15,34.92,35.87,34.65,34.82,3287856
2011-06-16,34.76,35.4,34.27,34.7,2171296
2011-06-17,35.34,36.28,34.81,35.76,4134712
2011-06-20,35.64,36.74,35.42,36.59,3134456
2011-06-21,36.84,38.0,36.72,37.78,3667186
2011-06-22,37.7,38.88,37.52,37.61,2631354
2011-06-23,36.97,38.27,36.42,38.21,2120160
2011-06-24,38.24,39.42,38.19,39.08,4581710
2011-06-27,38.88,39.64,38.61,39.27,2873646
2011-06-28,39.32,39.52,38.88,39.5,3741128
2011-06-29,39.89,40.33,39.56,40.02,3389098
2011-06-30,40.1,40.61,39.82,40.4,3087402
2011-07-01,40.44,40.75,39.94,40.37,2961302
2011-07-05,40.44,40.69,40.04,40.33,2974382
2011-07-06,40.3,40.44,39.88,40.2,2412138
2011-07-07,40.58,40.99,40.42,40.49,1841026
2011-07-08,39.72,40.22,39.58,40.1,2119408
2011-07-11,39.54,39.64,39.02,39.48,2145854
2011-07-12,39.19,39.77,39.04,39.46,2366100
2011-07-13,39.72,39.81,39.08,39.21,2569772
2011-07-14,39.43,39.98,38.4,38.58,2504038
2011-07-15,38.7,38.88,37.83,38.24,3052612
2011-07-18,38.1,38.11,36.74,37.56,3590910
2011-07-19,37.9,38.25,37.58,38.06,1435030
2011-07-20,38.18,38.23,37.56,38.03,2126634
2011-07-21,38.12,38.35,37.5,38.18,1298168
2011-07-22,38.11,38.5,38.04,38.08,1008294
2011-07-25,37.66,38.22,37.52,37.8,1134322
2011-07-26,37.68,37.7,36.96,37.1,1121320
2011-07-27,36.92,37.08,35.76,35.83,3097100
2011-07-28,36.66,40.84,36.66,39.75,7988788
2011-07-29,39.34,40.46,38.89,39.81,4842046
2011-08-01,40.52,40.52,39.41,39.91,2671766
2011-08-02,39.52,39.69,37.9,37.98,4533126
2011-08-03,37.88,38.5,37.1,38.06,3386484
2011-08-04,37.54,38.04,35.18,35.18,4642322
2011-08-05,35.78,35.84,33.08,34.24,5534356
2011-08-08,32.34,33.22,31.05,31.28,7726624
2011-08-09,32.09,33.37,30.83,33.37,5418694
2011-08-10,32.43,33.58,31.72,32.01,6263474
