Date,Open,High,Low,Close,Volume
2010-01-04,22.89,23.15,22.78,22.99,3385054
2010-01-05,22.67,23.09,22.61,22.91,3437372
2010-01-06,22.8,22.93,22.66,22.76,3473276
2010-01-07,22.8,22.97,22.68,22.87,3321968
2010-01-08,22.8,23.13,22.75,23.11,3198657
2010-01-11,23.1,23.18,22.84,23.07,2914559
2010-01-12,22.94,23.07,22.48,22.75,3832281
2010-01-13,22.86,23.28,22.7,23.16,3464108
2010-01-14,23.02,23.59,22.98,23.46,4516391
2010-01-15,23.6,23.75,23.04,23.29,5667769
2010-01-19,23.32,23.86,23.22,23.75,7125480
2010-01-20,23.5,23.7,23.06,23.53,6766198
2010-01-21,23.5,23.77,23.24,23.37,6259276
2010-01-22,23.38,23.52,22.75,22.8,6509936
2010-01-25,22.74,22.91,22.45,22.56,5481905
2010-01-26,22.53,22.86,22.52,22.67,4745865
2010-01-27,22.61,22.79,22.37,22.7,4587513
2010-01-28,22.79,22.79,22.08,22.35,5790574
2010-01-29,22.5,22.6,21.9,22.04,10430691
2010-02-01,22.1,22.12,21.8,22.02,6399042
2010-02-02,22.01,22.23,21.84,22.14,6040990
2010-02-03,21.97,22.08,21.85,22.03,3923490
2010-02-04,21.91,22.0,21.51,21.58,5454127
2010-02-05,21.59,21.79,21.34,21.71,6550917
2010-02-08,21.73,21.8,21.39,21.52,2574266
2010-02-09,21.82,21.88,21.56,21.76,3978094
2010-02-10,21.82,21.91,21.46,21.62,3641852
2010-02-11,21.69,21.76,21.3,21.73,2793507
2010-02-12,21.43,21.62,21.22,21.59,5042990
2010-02-16,21.65,22.01,21.56,22.0,4110440
2010-02-17,22.24,22.25,22.0,22.11,2969462
2010-02-18,22.15,22.49,22.08,22.47,3522267
2010-02-19,22.52,22.74,22.4,22.51,3533030
2010-02-22,22.55,22.57,22.15,22.33,3525347
2010-02-23,22.31,22.49,22.08,22.12,3165893
2010-02-24,22.28,22.75,22.27,22.56,3811833
2010-02-25,22.12,22.54,21.98,22.5,3688292
2010-02-26,22.5,22.53,22.28,22.5,2889871
2010-03-01,22.59,22.98,22.59,22.83,2648863
2010-03-02,22.83,23.0,22.59,22.66,3963133
2010-03-03,22.75,22.82,22.6,22.7,3592241
2010-03-04,22.66,22.7,22.44,22.51,4129327
2010-03-05,22.46,22.91,22.45,22.84,5515111
2010-03-08,22.82,22.89,22.7,22.81,2835495
2010-03-09,22.71,22.99,22.65,22.87,3530004
2010-03-10,22.94,22.94,22.45,22.6,7537639
2010-03-11,22.6,22.7,22.41,22.66,5750478
2010-03-12,22.65,22.85,22.51,22.78,4040269
2010-03-15,22.93,23.06,22.7,22.99,3833285
2010-03-16,23.03,23.26,22.95,23.24,3895089
2010-03-17,23.33,23.63,23.25,23.51,3910482
2010-03-18,23.54,23.6,23.37,23.51,2688008
2010-03-19,23.75,23.75,23.14,23.45,4899587
2010-03-22,23.4,23.68,23.28,23.6,4598988
2010-03-23,23.59,23.82,23.4,23.8,4843994
2010-03-24,23.66,23.8,23.64,23.72,3284742
2010-03-25,23.71,23.89,23.43,23.45,4634122
2010-03-26,23.58,23.58,23.24,23.41,4092983
2010-03-29,23.32,23.61,23.32,23.38,3038763
2010-03-30,23.38,23.62,23.24,23.43,2440837
2010-03-31,23.39,23.65,23.29,23.47,3747365
2010-04-05,23.38,23.91,23.3,23.85,3593746
2010-04-06,23.16,23.48,22.52,23.4,17409584
2010-04-07,23.29,23.31,22.55,22.63,8540919
2010-04-08,22.55,23.04,22.49,22.86,4271876
2010-04-09,22.83,22.98,22.78,22.94,3606665
2010-04-12,23.0,23.13,22.84,23.06,2649953
2010-04-13,22.86,23.02,22.72,22.93,3305355
2010-04-14,22.94,23.28,22.88,23.23,3335796
2010-04-15,23.2,23.26,23.01,23.06,3537491
2010-04-16,22.99,23.24,22.79,22.84,4762560
2010-04-19,22.83,23.04,22.61,22.86,3831739
2010-04-20,22.86,23.61,22.86,23.35,4951594
2010-04-21,23.26,23.54,23.22,23.52,3276018
2010-04-22,23.37,23.74,23.13,23.72,3535287
2010-04-23,23.72,23.72,23.28,23.54,4859289
2010-04-26,23.5,23.76,23.44,23.64,3111456
2010-04-27,23.61,23.78,23.18,23.22,6146427
2010-04-28,23.29,23.37,23.05,23.27,4429198
2010-04-29,23.33,23.45,23.05,23.42,4021773
2010-04-30,23.46,23.51,22.81,22.82,5025036
2010-05-03,22.86,23.1,22.67,22.91,5500752
2010-05-04,22.66,22.67,22.11,22.16,6157367
2010-05-05,22.17,22.28,21.87,21.98,5745040
2010-05-06,21.82,21.92,20.08,21.08,11384954
2010-05-07,20.9,21.18,20.18,20.49,13180868
2010-05-10,21.03,21.35,20.88,21.14,6991353
2010-05-11,20.99,21.8,20.92,21.47,5837481
2010-05-12,21.47,22.11,21.4,21.93,6941413
2010-05-13,21.67,22.28,21.61,21.88,8081714
2010-05-14,20.82,20.89,19.8,20.51,19219668
2010-05-17,20.52,20.75,20.31,20.68,8998141
2010-05-18,20.87,20.97,20.42,20.55,7960848
2010-05-19,20.51,20.64,20.24,20.47,6838844
2010-05-20,20.08,20.2,19.63,19.68,6524799
2010-05-21,19.46,20.0,19.31,19.89,6462544
2010-05-24,19.85,20.03,19.64,19.76,5558444
2010-05-25,19.37,19.85,19.19,19.85,7376147
2010-05-26,19.89,20.15,19.56,19.68,5665575
2010-05-27,20.09,20.38,19.94,20.37,3843681
2010-05-28,20.11,20.4,19.81,20.25,5504384
2010-06-01,20.09,20.24,19.62,19.63,5277645
2010-06-02,19.34,19.91,19.04,19.91,7326071
2010-06-03,19.95,20.4,19.79,20.33,5097137
2010-06-04,19.95,20.03,19.36,19.41,4379827
2010-06-07,19.48,19.55,18.9,18.93,4731112
2010-06-08,19.07,19.11,18.79,19.07,4966218
2010-06-09,19.2,19.48,18.97,18.99,4369812
2010-06-10,19.26,19.73,19.17,19.68,4418339
2010-06-11,19.42,19.68,19.36,19.66,4668931
2010-06-14,19.78,20.06,19.59,19.6,4895309
2010-06-15,19.67,20.41,19.61,20.39,4739673
2010-06-16,20.15,20.42,20.15,20.32,2623777
2010-06-17,20.36,20.4,20.01,20.18,3996357
2010-06-18,20.21,20.35,20.05,20.11,5875599
2010-06-21,20.3,20.53,20.0,20.06,4544186
2010-06-22,20.06,20.24,19.65,19.71,4345198
2010-06-23,19.68,19.81,19.5,19.58,4272950
2010-06-24,19.46,19.55,19.14,19.23,3894490
2010-06-25,19.29,19.56,19.1,19.46,5796025
2010-06-28,19.5,19.56,19.12,19.36,3561704
2010-06-29,19.02,19.11,18.57,18.72,6536560
2010-06-30,18.65,18.84,18.4,18.4,7411386
2010-07-01,18.4,18.46,17.8,18.0,10518088
2010-07-02,18.07,18.17,17.84,17.96,5337871
2010-07-06,18.14,18.29,17.86,18.07,5465747
2010-07-07,18.12,18.71,18.12,18.67,5533646
2010-07-08,18.75,18.79,18.37,18.56,6676404
2010-07-09,18.5,18.77,18.45,18.77,5028606
2010-07-12,18.72,18.98,18.64,18.89,7015187
2010-07-13,19.1,19.59,19.05,19.44,6060180
2010-07-14,19.45,19.53,19.17,19.32,5654662
2010-07-15,19.35,19.47,19.12,19.43,4329455
2010-07-16,19.42,19.42,18.69,19.0,8542527
2010-07-19,19.07,19.31,18.99,19.29,4441943
2010-07-20,18.95,19.38,18.71,19.38,5967714
2010-07-21,19.38,19.45,18.63,18.75,7059357
2010-07-22,18.81,19.32,18.81,19.1,6222457
2010-07-23,19.32,19.44,18.97,19.38,5648975
2010-07-26,19.34,19.72,19.24,19.7,3981910
2010-07-27,19.74,19.89,19.58,19.83,4360061
2010-07-28,19.81,19.9,19.56,19.67,4664346
2010-07-29,19.72,19.88,19.1,19.39,3863532
2010-07-30,19.24,19.68,19.09,19.56,4448330
2010-08-02,19.73,20.01,19.64,19.94,3399753
2010-08-03,19.9,19.95,19.62,19.69,3546003
2010-08-04,19.79,20.0,19.64,19.98,3217478
2010-08-05,19.86,19.9,19.64,19.79,3161494
2010-08-06,19.65,19.88,19.43,19.82,3606411
2010-08-09,19.93,19.94,19.79,19.85,2056299
2010-08-10,19.66,19.72,19.05,19.3,5541498
2010-08-11,18.95,19.02,18.51,18.54,4352001
2010-08-12,18.21,18.38,18.13,18.31,3371625
2010-08-13,18.21,18.37,18.13,18.32,3386886
2010-08-16,18.18,18.44,18.04,18.38,3700568
2010-08-17,18.49,18.95,18.44,18.66,3448415
2010-08-18,18.57,18.7,18.34,18.57,3324486
2010-08-19,18.58,18.84,18.23,18.39,4151837
2010-08-20,18.25,18.47,18.13,18.35,3593635
2010-08-23,18.42,18.65,18.34,18.42,3812254
2010-08-24,18.24,18.3,18.04,18.19,4651582
2010-08-25,18.06,18.22,17.87,18.15,4220658
2010-08-26,18.19,18.32,18.06,18.13,4288802
2010-08-27,18.21,18.36,17.82,18.3,3817359
2010-08-30,18.17,18.36,17.95,18.0,3195164
2010-08-31,17.88,18.12,17.7,17.99,6289659
2010-09-01,18.24,18.68,18.18,18.57,4076022
2010-09-02,18.56,18.68,18.37,18.67,2753442
2010-09-03,18.85,19.09,18.64,19.09,4543955
2010-09-07,19.01,19.28,18.99,19.05,4601733
2010-09-08,19.12,19.4,19.11,19.3,5795550
2010-09-09,19.5,19.54,19.25,19.36,3470085
2010-09-10,19.43,19.9,19.35,19.78,4275650
2010-09-13,19.9,20.23,19.85,20.17,4878602
2010-09-14,20.04,20.19,19.96,19.96,4363076
2010-09-15,19.81,20.23,19.76,20.19,5185512
2010-09-16,20.16,20.25,20.05,20.23,2797629
2010-09-17,20.34,20.57,20.24,20.44,5288043
2010-09-20,20.57,20.82,20.46,20.71,4472242
2010-09-21,20.66,20.84,20.57,20.62,4134583
2010-09-22,20.59,21.07,20.59,20.65,4199014
2010-09-23,20.48,20.87,20.4,20.68,3471919
2010-09-24,20.84,21.15,20.67,21.15,3702783
2010-09-27,21.21,21.21,20.85,20.91,2290726
2010-09-28,21.03,21.26,20.62,21.19,4362012
2010-09-29,21.08,21.36,21.05,21.24,3490993
2010-09-30,21.42,21.63,20.84,21.12,4188817
2010-10-01,21.29,21.46,21.08,21.25,3161443
2010-10-04,21.26,21.41,21.08,21.18,4799110
2010-10-05,21.5,21.75,21.38,21.61,4505269
2010-10-06,21.53,21.61,21.15,21.33,3993277
2010-10-07,21.44,21.62,21.31,21.39,4252511
2010-10-08,21.69,22.17,21.62,21.82,6397292
2010-10-11,21.93,22.0,21.6,21.68,3448213
2010-10-12,21.68,21.88,21.45,21.74,5031683
2010-10-13,21.8,22.08,21.8,21.92,7314563
2010-10-14,21.93,22.17,21.86,22.0,3790926
2010-10-15,22.17,22.17,21.9,22.17,4111460
2010-10-18,22.11,22.19,21.98,22.16,2627550
2010-10-19,21.94,22.06,21.61,21.78,4761260
2010-10-20,21.85,22.1,21.74,21.79,5209730
2010-10-21,21.88,22.06,21.55,21.76,3724408
2010-10-22,22.26,23.04,22.08,22.87,5005755
2010-10-25,23.0,23.02,22.73,22.75,4551773
2010-10-26,22.7,22.98,22.6,22.94,4781003
2010-10-27,22.73,23.0,22.52,22.99,4155326
2010-10-28,23.1,23.1,22.64,22.89,2385768
2010-10-29,22.8,23.24,22.67,23.2,4337865
2010-11-01,23.3,23.4,23.11,23.25,3972054
2010-11-02,23.36,23.53,23.22,23.35,2318908
2010-11-03,23.35,23.42,23.04,23.26,3756699
2010-11-04,23.49,23.6,23.42,23.56,3076205
2010-11-05,23.56,23.6,23.26,23.46,2123518
2010-11-08,23.37,23.61,23.36,23.58,2460313
2010-11-09,23.61,23.77,23.51,23.61,3061632
2010-11-10,23.65,23.71,23.32,23.62,4473210
2010-11-11,23.35,23.51,23.12,23.39,3248336
2010-11-12,23.16,23.33,22.92,23.15,3470242
2010-11-15,23.19,23.39,23.06,23.31,2926271
2010-11-16,22.91,23.16,22.63,22.78,3400414
2010-11-17,22.73,23.02,22.63,22.95,2629064
2010-11-18,23.13,23.62,23.07,23.33,2634240
2010-11-19,23.37,23.43,23.09,23.16,3222179
2010-11-22,23.0,23.51,22.87,23.51,3077934
2010-11-23,23.16,23.19,22.87,23.09,4678769
2010-11-24,23.39,23.89,23.35,23.64,3897222
2010-11-26,23.46,23.47,23.1,23.34,1793695
2010-11-29,23.06,23.3,22.73,23.19,2498304
2010-11-30,22.92,23.07,22.66,22.89,4174968
2010-12-01,23.31,23.78,23.23,23.69,3455348
2010-12-02,23.78,24.12,23.65,23.99,3515990
2010-12-03,23.94,24.26,23.92,24.15,3738471
2010-12-06,24.11,24.21,23.95,24.13,1597122
2010-12-07,24.36,24.39,24.0,24.02,2962823
2010-12-08,24.01,24.18,23.84,23.99,3314064
2010-12-09,24.01,24.14,23.85,23.98,3310320
2010-12-10,24.07,24.15,23.86,24.14,2391375
2010-12-13,24.2,24.36,23.96,24.18,4333297
2010-12-14,24.28,24.52,24.21,24.47,2824187
2010-12-15,24.39,24.71,24.27,24.41,3417110
2010-12-16,24.4,24.89,24.36,24.86,3908359
2010-12-17,24.82,25.08,24.72,24.89,5202350
2010-12-20,25.05,25.07,24.33,24.81,4216808
2010-12-21,24.93,24.96,24.71,24.73,2673333
2010-12-22,24.75,24.84,24.56,24.65,1308183
2010-12-23,24.58,24.77,24.52,24.67,1439706
2010-12-27,24.67,24.85,24.38,24.75,1092997
2010-12-28,24.76,24.85,24.4,24.51,1432124
2010-12-29,24.59,24.69,24.51,24.61,2092626
2010-12-30,24.57,24.65,24.44,24.53,969675
2010-12-31,24.5,24.64,24.21,24.44,1452539
2011-01-03,24.71,25.1,24.68,24.78,3248232
2011-01-04,24.77,24.89,24.62,24.68,2869090
2011-01-05,24.56,24.83,24.41,24.68,4083466
