Date,Open,High,Low,Close,Volume
2010-01-04,57.65,59.19,57.51,58.55,7326679
2010-01-05,58.55,59.44,58.23,59.25,5697197
2010-01-06,59.18,59.93,59.05,59.43,4718749
2010-01-07,59.3,59.9,58.65,59.67,5432913
2010-01-08,59.25,60.37,59.25,60.34,6651511
2010-01-11,60.95,64.42,60.85,64.13,21958752
2010-01-12,63.01,63.16,61.18,62.24,13562604
2010-01-13,62.1,62.78,61.38,62.33,8399054
2010-01-14,62.1,62.84,61.75,61.98,6224295
2010-01-15,61.45,61.67,60.01,60.12,9397569
2010-01-19,59.76,61.2,59.35,60.93,8056496
2010-01-20,60.17,60.43,59.31,59.76,6954007
2010-01-21,59.5,59.9,56.7,56.85,13877409
2010-01-22,56.58,57.54,54.02,54.25,14762988
2010-01-25,55.16,56.19,54.83,55.14,9777305
2010-01-26,54.99,56.94,54.6,55.85,15219307
2010-01-27,52.96,53.84,51.03,53.44,34043254
2010-01-28,53.82,53.82,51.2,51.86,15625607
2010-01-29,52.78,53.78,52.0,52.24,13962798
2010-02-01,52.82,53.5,52.5,52.94,7159019
2010-02-02,53.48,53.72,52.62,53.55,7667988
2010-02-03,53.2,54.0,53.1,53.39,6345989
2010-02-04,52.8,52.86,51.38,51.4,11644933
2010-02-05,51.21,51.98,50.69,51.75,15989519
2010-02-08,51.64,52.15,50.5,50.78,8668847
2010-02-09,52.7,54.25,52.55,53.53,15499119
2010-02-10,53.65,54.05,52.45,53.15,8581640
2010-02-11,53.1,56.27,52.67,56.15,16411674
2010-02-12,55.09,56.55,54.61,56.2,13447622
2010-02-16,56.77,57.24,56.19,57.12,7365370
2010-02-17,58.05,58.35,57.22,57.5,8454108
2010-02-18,57.15,58.05,56.85,57.81,6846924
2010-02-19,57.59,58.48,57.31,58.25,8009433
2010-02-22,58.73,58.97,58.0,58.03,6994824
2010-02-23,57.89,58.38,56.22,56.66,10314323
2010-02-24,56.67,57.46,56.46,56.96,5810076
2010-02-25,55.33,57.02,54.21,56.79,9966144
2010-02-26,56.94,57.24,56.1,57.05,6108486
2010-03-01,57.33,58.39,57.25,57.85,8399615
2010-03-02,58.28,58.82,58.02,58.15,6584292
2010-03-03,58.45,59.93,58.39,58.57,8833775
2010-03-04,58.79,59.0,57.81,58.45,6199197
2010-03-05,59.41,59.58,58.9,59.23,6628346
2010-03-08,59.47,59.49,58.57,58.91,4755705
2010-03-09,58.46,59.72,58.4,59.18,7693041
2010-03-10,59.11,59.5,58.43,58.78,6531417
2010-03-11,58.79,58.98,57.92,58.9,6173881
2010-03-12,59.53,60.49,59.35,60.36,9689526
2010-03-15,60.04,60.25,58.38,59.47,7907528
2010-03-16,59.65,59.68,58.84,59.45,7282247
2010-03-17,59.65,60.5,59.49,60.22,7925556
2010-03-18,59.61,60.39,59.34,59.77,7206998
2010-03-19,60.11,60.31,58.95,59.37,9425480
2010-03-22,58.7,60.27,58.66,59.95,7512883
2010-03-23,60.1,62.51,60.01,62.41,14316690
2010-03-24,61.96,62.54,61.42,62.06,11448093
2010-03-25,62.68,63.71,62.05,62.14,11363117
2010-03-26,62.4,63.18,61.99,62.44,7887298
2010-03-29,62.76,63.6,62.76,63.48,6986497
2010-03-30,63.38,63.63,62.81,63.16,6183557
2010-03-31,62.76,63.5,62.63,62.85,6661317
2010-04-01,63.29,64.2,63.29,63.99,7830447
2010-04-05,64.36,65.0,64.2,64.99,6696129
2010-04-06,64.81,65.47,64.57,65.29,6388982
2010-04-07,65.25,65.38,64.0,64.47,6972955
2010-04-08,64.05,64.65,63.55,64.48,5418001
2010-04-09,64.9,65.52,64.82,65.27,6023209
2010-04-12,65.93,67.0,65.76,66.73,11837386
2010-04-13,66.7,67.25,66.16,66.19,7001609
2010-04-14,66.37,67.37,66.2,67.28,5497774
2010-04-15,67.16,68.71,67.16,68.22,7129579
2010-04-16,68.05,68.23,66.34,66.88,10385998
2010-04-19,66.6,67.7,65.77,66.99,7969489
2010-04-20,67.71,68.3,67.4,67.5,7695334
2010-04-21,67.74,67.92,66.7,67.75,6359395
2010-04-22,66.67,67.65,65.97,67.51,8722084
2010-04-23,67.2,68.95,66.99,68.78,9046377
2010-04-26,70.88,72.83,70.65,71.65,20134283
2010-04-27,71.25,71.58,68.28,68.53,14324300
2010-04-28,69.43,70.27,68.6,68.97,8233028
2010-04-29,69.96,70.76,69.62,70.75,7917403
2010-04-30,70.99,71.36,67.82,68.09,9428994
2010-05-03,68.37,70.16,68.09,69.94,7886360
2010-05-04,68.56,68.56,66.25,66.7,12561984
2010-05-05,65.86,67.44,64.08,65.96,11422937
2010-05-06,65.85,66.94,58.0,63.5,19370709
2010-05-07,63.05,64.45,60.64,62.1,15725835
2010-05-10,65.88,67.0,65.19,66.69,11859218
2010-05-11,65.18,66.98,65.0,66.07,7482206
2010-05-12,66.66,68.3,66.6,68.15,7793053
2010-05-13,68.15,68.4,66.67,66.91,6531293
2010-05-14,65.96,66.19,63.91,64.88,9939773
2010-05-17,65.01,65.74,61.99,63.78,11881237
2010-05-18,64.91,65.53,62.85,63.19,9597380
2010-05-19,62.94,63.17,59.28,61.44,18584744
2010-05-20,59.07,60.41,58.0,58.67,22807950
2010-05-21,57.3,60.5,57.2,60.09,15890266
2010-05-24,60.06,61.11,59.09,59.22,11185253
2010-05-25,56.35,59.36,55.74,59.21,13795845
2010-05-26,59.63,61.4,59.25,59.73,11568896
2010-05-27,61.36,62.12,60.82,62.06,9558184
2010-05-28,62.42,62.42,60.05,60.76,7709405
2010-06-01,60.04,61.64,59.22,59.27,8346328
2010-06-02,59.9,60.9,59.28,60.86,9455113
2010-06-03,62.29,62.36,60.42,61.11,8982766
2010-06-04,59.49,60.2,57.36,57.76,10279591
2010-06-07,58.01,58.28,55.8,55.83,8907089
2010-06-08,56.01,57.18,54.89,56.61,11606276
2010-06-09,57.49,58.85,56.59,56.81,9752678
2010-06-10,58.31,60.0,58.0,59.95,9704616
2010-06-11,59.22,60.24,58.99,60.23,7341745
2010-06-14,61.42,62.56,60.88,61.0,9783561
2010-06-15,61.8,63.56,61.5,63.46,11871974
2010-06-16,62.91,64.52,62.73,64.39,10565454
2010-06-17,64.63,64.99,63.67,64.95,10579946
2010-06-18,65.13,65.9,64.57,65.85,11005511
2010-06-21,67.56,68.35,65.55,66.07,11652356
2010-06-22,66.3,66.48,63.88,64.11,8660136
2010-06-23,64.06,64.87,62.64,64.33,9037550
2010-06-24,63.81,64.45,63.05,63.37,8658229
2010-06-25,63.54,64.71,62.92,64.71,12068839
2010-06-28,64.45,65.3,64.01,64.4,6836814
2010-06-29,62.74,62.86,60.25,60.85,13064257
2010-06-30,61.02,61.94,59.91,60.07,9636191
2010-07-01,59.67,60.7,58.06,59.97,11598507
2010-07-02,60.3,60.66,58.62,59.18,7878228
2010-07-06,60.6,61.65,59.21,59.81,9358700
2010-07-07,59.85,62.27,59.67,62.18,7593290
2010-07-08,63.08,63.35,62.18,63.17,6060571
2010-07-09,63.12,64.84,63.0,64.72,6458036
2010-07-12,64.5,65.1,63.87,64.28,4916438
2010-07-13,65.88,67.36,65.31,66.79,10081470
2010-07-14,66.35,66.91,65.52,66.7,6851229
2010-07-15,66.38,66.59,65.36,66.51,8102564
2010-07-16,65.76,65.79,63.75,63.94,8504059
2010-07-19,64.36,65.23,63.56,64.8,6826310
2010-07-20,63.56,66.77,63.56,66.43,9472054
2010-07-21,66.99,68.05,66.19,66.87,11432336
2010-07-22,67.41,68.62,66.46,68.0,15911440
2010-07-23,67.5,69.64,67.33,69.31,8873063
2010-07-26,69.41,70.08,69.08,69.99,8882683
2010-07-27,70.18,70.18,68.08,69.18,11950906
2010-07-28,68.7,69.85,68.7,69.72,7611561
2010-07-29,69.84,70.29,68.21,69.4,7671492
2010-07-30,68.39,70.25,68.39,69.75,7221213
2010-08-02,70.74,71.7,70.07,71.05,6304007
2010-08-03,70.57,71.03,69.88,70.37,5885912
2010-08-04,70.28,71.47,70.28,71.12,6211014
2010-08-05,70.82,72.25,70.81,71.96,7414983
2010-08-06,71.01,71.93,70.3,71.56,5463349
2010-08-09,72.06,72.18,71.42,72.07,3629177
2010-08-10,70.88,71.99,70.58,71.42,6084174
2010-08-11,70.01,70.16,68.35,68.71,9229380
2010-08-12,67.5,68.0,66.78,67.5,7639870
2010-08-13,67.74,68.46,67.21,68.01,6663536
2010-08-16,67.62,68.98,67.06,68.49,5436842
2010-08-17,69.44,70.76,69.3,69.74,5946844
2010-08-18,69.82,70.44,69.06,69.75,4989745
2010-08-19,69.87,70.5,68.42,69.29,9625389
2010-08-20,69.4,69.54,67.46,68.86,8023689
2010-08-23,68.7,69.75,66.72,66.84,8880459
2010-08-24,65.59,65.84,64.31,65.04,9677889
2010-08-25,64.29,64.98,63.34,64.7,8681884
2010-08-26,64.83,65.82,63.77,63.95,7085601
2010-08-27,64.76,66.15,63.36,65.9,7488027
2010-08-30,66.14,66.16,64.46,64.47,5133896
2010-08-31,64.14,65.85,63.92,65.16,6760676
2010-09-01,67.05,68.54,66.35,68.16,9071150
2010-09-02,68.35,68.78,67.75,68.54,5300727
2010-09-03,69.95,70.59,69.54,70.08,7837604
2010-09-07,69.78,70.05,68.8,69.7,6846728
2010-09-08,69.98,71.48,69.95,70.74,6323171
2010-09-09,71.56,71.83,70.01,70.64,5355814
2010-09-10,70.93,71.56,70.37,71.26,5018591
2010-09-13,71.96,72.48,71.7,72.24,7694541
2010-09-14,72.28,72.37,71.57,71.83,6048630
2010-09-15,71.38,72.27,70.8,72.13,5507049
2010-09-16,71.92,72.35,71.28,72.0,6234221
2010-09-17,72.22,73.31,71.09,73.18,11341760
2010-09-20,73.26,74.8,72.88,74.75,8896101
2010-09-21,74.79,77.11,74.72,76.39,14968277
2010-09-22,76.25,76.5,75.5,76.18,8386055
2010-09-23,75.42,77.5,75.0,76.26,8747095
2010-09-24,77.8,79.93,77.62,79.73,14218503
2010-09-27,79.7,79.98,78.9,79.54,8363981
2010-09-28,79.44,79.94,78.43,79.67,7786777
2010-09-29,79.6,80.0,79.42,79.99,7943671
2010-09-30,80.04,80.08,78.21,78.68,11940734
2010-10-01,78.29,78.88,77.53,78.22,8543634
2010-10-04,78.02,78.26,76.51,77.27,6418653
2010-10-05,78.48,79.76,78.2,79.4,7140291
2010-10-06,79.6,79.9,78.48,79.08,6258821
2010-10-07,79.46,79.79,77.85,78.74,8980469
2010-10-08,79.41,81.0,78.93,80.37,14296553
2010-10-11,80.03,80.75,79.51,79.98,4599860
2010-10-12,79.75,79.75,78.3,79.34,10042590
2010-10-13,80.36,81.19,80.08,80.29,8501408
2010-10-14,80.49,80.83,79.27,79.91,5667720
2010-10-15,80.28,80.47,79.0,79.75,6526953
2010-10-18,79.95,80.51,79.66,80.24,6547894
2010-10-19,78.97,79.71,77.77,78.55,9858427
2010-10-20,78.9,80.78,78.81,80.32,9662269
2010-10-21,80.99,81.2,77.51,78.89,17736825
2010-10-22,78.76,78.91,77.86,78.33,6447073
2010-10-25,78.71,80.0,78.5,79.05,6484763
2010-10-26,78.11,79.06,77.87,78.65,6246068
2010-10-27,78.2,78.41,77.12,78.22,6789815
2010-10-28,78.87,79.0,76.78,77.74,7063171
2010-10-29,77.61,78.75,77.58,78.6,4563895
2010-11-01,78.97,80.18,78.51,79.27,7476255
2010-11-02,79.99,80.43,79.52,79.75,4943880
2010-11-03,79.82,79.95,78.55,79.88,5776651
2010-11-04,80.82,83.28,80.76,83.18,13046795
2010-11-05,83.25,83.84,82.93,83.54,6280450
2010-11-08,83.25,83.55,82.4,83.12,4284458
2010-11-09,83.2,83.47,81.41,81.91,6030035
2010-11-10,82.16,82.84,81.3,82.46,5950969
2010-11-11,81.73,82.66,81.52,82.44,5006572
2010-11-12,81.84,82.53,80.04,81.04,6156836
2010-11-15,79.89,83.58,79.8,81.82,15814170
2010-11-16,81.88,82.18,79.7,80.37,12527456
2010-11-17,80.56,81.45,80.01,81.17,5411385
2010-11-18,82.5,83.43,82.27,83.11,6645452
2010-11-19,83.09,83.98,82.51,83.97,5742132
2010-11-22,83.88,84.35,82.79,84.0,6411104
2010-11-23,83.28,83.38,82.01,82.63,5739157
2010-11-24,83.25,84.79,83.25,84.69,5881485
2010-11-26,83.83,84.25,83.45,84.13,2521505
2010-11-29,83.71,83.89,82.55,83.67,5086979
2010-11-30,82.83,84.92,82.76,84.6,7774673
2010-12-01,85.03,87.8,85.0,87.45,8858542
2010-12-02,87.45,88.89,87.45,88.62,6349161
2010-12-03,88.36,89.49,87.83,89.38,4999657
2010-12-06,89.28,89.68,88.57,89.2,4347334
2010-12-07,89.95,92.0,89.95,90.35,11247624
2010-12-08,90.26,90.9,89.29,89.62,5256223
2010-12-09,90.13,90.24,89.02,89.67,3832926
2010-12-10,89.79,90.16,89.39,89.94,3314243
2010-12-13,90.65,92.37,90.2,91.63,6637043
2010-12-14,92.19,92.91,91.51,92.09,4948935
2010-12-15,92.75,94.33,92.66,93.12,8323246
2010-12-16,93.19,93.65,92.54,93.2,4863640
2010-12-17,93.4,93.41,92.25,92.59,6472637
2010-12-20,93.37,93.55,92.53,93.3,3523194
