Date,Open,High,Low,Close,Volume
2010-01-04,50.4,50.73,49.14,49.27,2670413
2010-01-05,48.62,49.06,47.69,48.16,9280361
2010-01-06,48.2,48.41,47.48,47.5,5479059
2010-01-07,47.7,47.96,47.32,47.77,7213253
2010-01-08,47.76,47.88,47.32,47.5,2484192
2010-01-11,47.62,48.1,47.09,48.01,3899069
2010-01-12,48.21,48.37,47.64,48.11,3012722
2010-01-13,48.3,48.5,48.09,48.27,2293808
2010-01-14,48.09,48.81,48.05,48.73,2444658
2010-01-15,48.45,48.56,47.92,48.21,2105079
2010-01-19,48.09,48.96,48.0,48.82,2328676
2010-01-20,48.39,48.81,48.15,48.74,1519230
2010-01-21,48.87,48.87,47.74,48.41,2192714
2010-01-22,48.33,48.62,47.81,47.89,3630275
2010-01-25,48.19,48.61,47.99,48.44,1607701
2010-01-26,48.45,49.44,48.44,48.55,2622710
2010-01-27,48.4,48.97,48.22,48.96,1325366
2010-01-28,49.02,49.14,48.47,48.83,1801375
2010-01-29,48.82,49.65,48.56,49.27,2832685
2010-02-01,49.38,49.4,48.86,49.02,2368196
2010-02-02,49.15,49.65,48.56,49.56,2710206
2010-02-03,50.57,50.7,49.22,49.66,3324755
2010-02-04,49.48,49.89,47.93,48.13,5433288
2010-02-05,48.34,48.88,47.35,48.33,3492136
2010-02-08,48.42,48.81,48.15,48.31,2172733
2010-02-09,48.77,49.0,48.39,48.7,1739677
2010-02-10,48.69,48.94,48.34,48.79,1299678
2010-02-11,48.87,49.0,47.66,48.78,2167052
2010-02-12,48.51,48.84,48.02,48.81,2110658
2010-02-16,49.2,49.5,48.23,49.49,2424681
2010-02-17,49.85,49.94,49.29,49.75,2925990
2010-02-18,49.34,50.64,49.04,50.32,2134415
2010-02-19,50.07,50.63,49.63,50.39,1455370
2010-02-22,50.32,50.83,50.25,50.7,1303647
2010-02-23,50.52,50.71,50.28,50.29,1522508
2010-02-24,50.07,50.39,49.85,50.33,1892779
2010-02-25,49.98,50.42,49.85,50.37,1911382
2010-02-26,50.52,50.57,49.85,49.99,1979375
2010-03-01,50.02,50.5,49.99,50.43,1886563
2010-03-02,50.5,50.54,50.26,50.35,1422366
2010-03-03,50.38,50.81,50.01,50.55,1273856
2010-03-04,50.72,50.99,50.17,50.85,1196658
2010-03-05,50.92,51.54,50.6,51.49,1462687
2010-03-08,51.71,52.01,51.38,51.82,1156664
2010-03-09,51.54,51.55,50.22,50.43,3165946
2010-03-10,50.5,50.63,49.68,49.94,3305874
2010-03-11,49.71,50.34,49.5,50.24,3274922
2010-03-12,50.39,50.55,50.05,50.2,2362274
2010-03-15,49.97,50.89,49.9,50.81,2724855
2010-03-16,50.94,51.27,50.58,51.26,1296871
2010-03-17,51.44,52.03,51.29,51.5,2072007
2010-03-18,51.37,51.61,50.95,51.52,1485580
2010-03-19,51.69,52.73,51.69,52.7,4248258
2010-03-22,52.41,52.55,51.98,52.43,3447697
2010-03-23,52.52,52.81,52.11,52.79,2598447
2010-03-24,52.82,53.29,52.49,52.88,2009089
2010-03-25,53.24,53.24,52.65,52.67,1705919
2010-03-26,52.81,53.32,52.51,52.76,1961404
2010-03-29,52.77,52.86,52.39,52.69,1249521
2010-03-30,52.76,52.88,52.58,52.61,1080396
2010-03-31,52.59,52.6,52.21,52.3,1563167
2010-04-01,52.47,52.82,52.44,52.82,1386445
2010-04-05,52.45,53.05,52.08,52.56,1694500
2010-04-06,52.65,52.92,52.39,52.73,1585842
2010-04-07,52.57,53.66,52.32,53.56,2215690
2010-04-08,53.33,53.45,53.0,53.3,1413809
2010-04-09,53.55,53.71,53.22,53.44,1669507
2010-04-12,53.32,53.47,52.87,53.05,1244374
2010-04-13,52.93,53.51,52.89,53.4,1495112
