Date,Open,High,Low,Close,Volume
2010-01-04,14.21,14.4,13.98,14.25,6710814
2010-01-05,14.18,14.38,14.05,14.18,5440915
2010-01-06,14.01,14.24,13.67,13.73,14566396
2010-01-07,13.78,14.25,13.59,14.0,9000290
2010-01-08,13.99,14.45,13.88,14.15,6732805
2010-01-11,14.13,14.22,13.85,14.09,5991371
2010-01-12,13.89,13.93,13.39,13.56,8138864
2010-01-13,13.69,14.06,13.5,13.99,7031105
2010-01-14,13.94,14.06,13.75,13.78,6850274
2010-01-15,13.76,13.87,13.06,13.26,14344981
2010-01-19,13.27,13.57,13.16,13.43,6186152
2010-01-20,13.69,13.79,13.31,13.56,10144911
2010-01-21,13.58,13.92,13.18,13.2,10632595
2010-01-22,13.13,13.71,13.09,13.3,15336012
2010-01-25,13.55,13.55,13.13,13.32,6425232
2010-01-26,13.19,13.46,13.11,13.29,10398051
2010-01-27,13.23,13.46,12.91,13.3,7602217
2010-01-28,13.43,13.46,12.75,13.17,10561725
2010-01-29,13.27,13.41,12.85,12.93,9468915
2010-02-01,13.0,13.29,12.83,13.29,9059519
2010-02-02,13.3,13.38,12.91,13.15,19341747
2010-02-03,13.33,13.85,13.29,13.75,15527824
2010-02-04,13.37,13.57,12.96,13.05,16819413
2010-02-05,13.02,13.14,12.42,12.95,12836674
2010-02-08,12.95,12.99,12.48,12.72,13206978
2010-02-09,12.98,13.2,12.71,13.03,9556172
2010-02-10,13.01,13.05,12.33,12.67,8884627
2010-02-11,12.64,12.99,12.46,12.76,8540525
2010-02-12,12.85,12.98,12.72,12.91,9802338
2010-02-16,13.13,13.3,12.99,13.27,6135903
2010-02-17,13.38,13.64,13.34,13.52,8072028
2010-02-18,13.41,13.78,13.31,13.71,11409052
2010-02-19,13.12,14.0,13.09,13.83,21106774
2010-02-22,13.84,13.99,13.32,13.36,12625500
2010-02-23,13.35,13.45,12.96,13.02,10634196
2010-02-24,13.09,13.27,12.99,13.2,5700127
2010-02-25,12.87,13.19,12.62,13.14,12728303
2010-02-26,13.12,13.29,12.94,12.99,7146824
2010-03-01,13.07,13.59,13.01,13.43,6531370
2010-03-02,13.56,13.64,13.43,13.5,6642897
2010-03-03,13.54,13.94,13.41,13.88,12249814
2010-03-04,13.97,14.25,13.86,14.22,16687021
2010-03-05,14.27,14.71,14.25,14.65,14665048
2010-03-08,14.73,14.85,14.53,14.71,8871721
2010-03-09,14.61,14.62,14.29,14.44,7036355
2010-03-10,14.45,14.75,14.39,14.75,8161273
2010-03-11,14.63,14.8,14.4,14.8,6585197
2010-03-12,14.79,14.85,14.42,14.6,6646694
2010-03-15,14.52,14.54,14.22,14.44,6831366
