Date,Open,High,Low,Close,Volume
2010-01-04,18.48,18.5,18.11,18.37,6171670
2010-01-05,18.44,18.87,18.43,18.67,6662185
2010-01-06,18.75,19.46,18.7,19.44,6478890
2010-01-07,19.4,19.4,19.01,19.25,7291775
2010-01-08,19.2,19.66,19.2,19.66,6128230
2010-01-11,19.97,20.58,19.53,19.64,10518590
2010-01-12,19.38,19.41,18.73,18.94,8982535
2010-01-13,19.1,19.13,18.66,18.98,5108005
2010-01-14,19.02,19.12,18.63,18.64,6176985
2010-01-15,19.85,19.88,19.03,19.08,27360620
2010-01-19,19.22,20.21,19.04,20.12,9929900
2010-01-20,19.85,19.92,19.5,19.8,6307045
2010-01-21,19.83,20.27,19.51,19.65,6387250
2010-01-22,19.53,19.75,19.21,19.23,4556995
2010-01-25,19.45,19.69,19.21,19.23,3174280
2010-01-26,19.08,19.69,18.91,19.23,3740280
2010-01-27,19.28,19.41,19.02,19.28,2438590
2010-01-28,19.12,19.24,18.78,19.06,3523075
2010-01-29,19.3,19.4,18.57,18.57,4284125
2010-02-01,18.79,19.18,18.62,19.06,4986590
2010-02-02,19.08,19.32,18.9,19.26,2794605
2010-02-03,19.58,19.64,19.34,19.42,2123250
2010-02-04,19.28,19.28,18.6,18.71,4495230
2010-02-05,18.64,18.95,18.36,18.84,4236775
2010-02-08,19.14,19.14,18.46,18.46,2868905
2010-02-09,18.71,19.28,18.71,19.16,4521570
2010-02-10,19.23,19.58,19.17,19.46,3541080
2010-02-11,19.58,20.16,19.47,20.02,5060920
2010-02-12,19.75,20.17,19.55,20.1,7234235
2010-02-16,20.81,21.4,20.39,20.71,11940485
2010-02-17,20.9,21.49,20.77,20.93,11224940
2010-02-18,20.86,20.88,20.17,20.4,11651375
2010-02-19,20.4,20.95,20.4,20.83,7530145
2010-02-22,21.12,21.12,20.62,20.73,5327640
2010-02-23,20.62,20.83,20.37,20.39,4889095
2010-02-24,20.45,20.66,20.12,20.16,7879535
2010-02-25,19.91,21.28,19.8,21.08,10770105
2010-02-26,21.14,21.29,20.82,21.25,3649285
2010-03-01,21.37,21.51,21.12,21.51,3645385
2010-03-02,20.37,21.36,20.27,21.28,33641760
2010-03-03,21.04,22.0,20.91,21.36,16783450
2010-03-04,21.5,21.68,21.3,21.65,7001335
2010-03-05,21.54,21.54,20.63,20.95,16390385
2010-03-08,20.87,21.13,20.53,20.6,8785325
2010-03-09,20.5,20.59,20.0,20.13,12228000
2010-03-10,19.8,20.96,19.6,20.71,19364960
2010-03-11,20.5,20.51,20.04,20.12,13749625
2010-03-12,19.42,19.63,18.97,19.35,68894880
2010-03-15,19.06,19.45,18.98,19.28,17519540
2010-03-16,19.46,19.48,19.02,19.12,19121365
2010-03-17,19.18,19.31,18.76,18.9,14040770
2010-03-18,18.82,18.9,18.12,18.62,21590735
2010-03-19,18.67,18.74,18.16,18.28,13076860
2010-03-22,18.06,18.62,18.06,18.51,15088770
2010-03-23,18.51,18.72,18.12,18.34,11863720
2010-03-24,18.28,18.71,18.13,18.48,8639985
2010-03-25,18.49,18.74,18.0,18.01,9699980
2010-03-26,18.24,18.69,18.12,18.63,12353495
2010-03-29,18.84,18.93,18.53,18.59,9048605
2010-03-30,18.65,18.65,18.33,18.48,4129355
2010-03-31,18.44,18.47,18.16,18.24,7132980
2010-04-01,18.37,18.5,18.14,18.48,8243255
2010-04-05,18.34,18.6,18.24,18.39,4490250
2010-04-06,18.31,18.5,18.24,18.49,5187650
2010-04-07,18.36,18.51,18.16,18.25,6480795
2010-04-08,18.35,18.48,18.17,18.3,6699685
2010-04-09,18.43,18.6,18.33,18.58,14838790
2010-04-12,18.4,18.56,18.36,18.41,7494375
2010-04-13,18.08,18.08,17.52,17.78,18945080
2010-04-14,17.69,17.84,17.43,17.77,10338450
2010-04-15,17.74,18.21,17.73,18.0,20566195
