Date,Open,High,Low,Close,Volume
2010-01-04,15.14,15.34,15.11,15.34,2232300
2010-01-05,15.3,15.42,15.01,15.13,1935844
2010-01-06,15.15,15.22,15.03,15.2,2628040
2010-01-07,15.12,15.2,14.97,15.03,2211020
2010-01-08,14.96,15.08,14.9,15.0,1773192
2010-01-11,14.99,15.04,14.77,14.93,1963244
2010-01-12,14.86,15.32,14.86,15.31,2562808
2010-01-13,15.29,15.52,15.28,15.51,2069884
2010-01-14,15.46,15.73,15.42,15.63,3110756
2010-01-15,15.66,15.83,15.61,15.71,2657444
2010-01-19,15.71,16.02,15.66,15.86,3658564
2010-01-20,15.84,15.88,15.68,15.85,2292340
2010-01-21,15.82,15.95,15.4,15.55,2924300
2010-01-22,15.62,15.73,15.41,15.43,2051652
2010-01-25,15.48,15.5,15.26,15.29,1582204
2010-01-26,15.3,15.36,15.16,15.24,1755848
2010-01-27,15.26,15.35,15.13,15.24,923720
2010-01-28,15.28,15.52,15.2,15.22,1208260
2010-01-29,15.33,15.38,15.04,15.07,1705240
2010-02-01,15.12,15.22,14.98,15.06,1859648
2010-02-02,15.11,15.55,15.07,15.53,1483808
2010-02-03,15.54,15.6,15.4,15.48,1186720
2010-02-04,15.42,15.48,15.21,15.23,1318744
2010-02-05,15.19,15.35,15.07,15.28,2270468
2010-02-08,15.24,15.35,15.11,15.14,2469272
2010-02-09,15.35,16.02,15.21,15.94,5662792
2010-02-10,15.95,16.09,15.69,15.78,1911692
2010-02-11,15.8,16.09,15.8,16.08,2086812
2010-02-12,16.03,16.1,15.88,16.09,1672896
2010-02-16,16.12,16.16,15.98,16.11,1445768
2010-02-17,16.16,16.23,16.03,16.22,1390168
2010-02-18,16.21,16.47,16.11,16.46,1572864
2010-02-19,16.4,16.48,16.34,16.48,1686176
2010-02-22,16.52,16.59,16.36,16.55,2187640
2010-02-23,16.51,16.61,16.35,16.48,1649680
2010-02-24,16.52,16.84,16.46,16.84,2504164
2010-02-25,16.72,16.97,16.59,16.86,3415824
2010-02-26,16.88,16.88,16.71,16.8,2052060
2010-03-01,16.82,16.86,16.74,16.81,1751716
2010-03-02,16.88,16.94,16.78,16.9,1457996
2010-03-03,16.86,16.91,16.66,16.72,1451552
2010-03-04,16.72,16.76,16.61,16.72,1390932
2010-03-05,16.79,16.89,16.68,16.8,1087084
2010-03-08,16.76,16.9,16.76,16.88,1484288
2010-03-09,16.88,16.9,16.8,16.85,1233016
2010-03-10,16.84,16.88,16.76,16.88,1025492
2010-03-11,16.89,17.01,16.82,17.01,2660400
2010-03-12,17.01,17.13,16.95,17.13,1326248
2010-03-15,17.05,17.14,16.64,16.82,2887324
2010-03-16,16.82,17.04,16.76,16.98,1769608
2010-03-17,17.04,17.04,16.85,16.94,1557164
2010-03-18,16.9,17.04,16.88,16.95,1240748
2010-03-19,17.0,17.05,16.88,16.97,1277564
2010-03-22,16.89,17.25,16.89,17.2,1409864
2010-03-23,17.25,17.34,17.1,17.3,1090568
2010-03-24,17.29,17.29,17.12,17.16,1027972
2010-03-25,17.26,17.27,16.82,16.84,1484516
2010-03-26,16.84,16.86,16.51,16.62,3018992
2010-03-29,16.7,16.82,16.64,16.82,1585452
2010-03-30,16.87,16.88,16.73,16.81,721468
2010-03-31,16.75,16.87,16.63,16.74,941932
2010-04-01,16.8,16.95,16.75,16.93,1171436
2010-04-05,16.99,17.02,16.89,16.93,650612
2010-04-06,16.9,16.96,16.87,16.89,1443024
2010-04-07,16.88,16.92,16.87,16.92,2553372
2010-04-08,16.92,17.04,16.88,16.94,1450528
2010-04-09,16.95,17.05,16.9,17.02,717232
2010-04-12,16.87,17.01,16.7,16.95,2230200
2010-04-13,16.88,17.02,16.74,16.98,1478316
2010-04-14,17.05,17.11,16.9,17.1,874520
2010-04-15,17.02,17.14,17.0,17.09,746948
2010-04-16,17.08,17.17,17.0,17.08,1528172
2010-04-19,17.02,17.1,16.98,17.02,1076664
2010-04-20,17.02,17.12,16.94,16.99,1090540
2010-04-21,16.98,17.09,16.83,17.06,1094780
2010-04-22,16.99,17.08,16.92,17.05,832024
2010-04-23,17.02,17.06,16.88,17.04,1147132
2010-04-26,17.07,17.27,16.98,17.24,1256024
2010-04-27,17.19,17.34,17.11,17.24,1851500
2010-04-28,17.24,17.26,17.1,17.16,1207824
2010-04-29,17.21,17.25,16.95,17.2,2048396
2010-04-30,17.25,17.43,17.21,17.31,1778508
2010-05-03,17.34,17.4,17.14,17.32,1640400
2010-05-04,17.22,17.34,17.14,17.33,1538632
2010-05-05,17.33,17.49,17.24,17.34,1899576
2010-05-06,17.32,17.34,16.44,16.95,3442536
2010-05-07,17.0,17.03,16.56,16.69,3972252
2010-05-10,17.11,17.42,16.96,17.35,2745228
2010-05-11,16.84,17.05,16.52,16.75,6560360
2010-05-12,16.78,16.95,16.57,16.78,3195836
2010-05-13,16.47,16.98,16.47,16.65,3127628
2010-05-14,16.61,16.7,16.32,16.4,2206700
2010-05-17,16.4,16.84,16.4,16.78,3142056
2010-05-18,16.88,16.94,16.61,16.64,1570748
2010-05-19,16.63,16.75,16.51,16.66,1553120
2010-05-20,16.45,16.52,16.22,16.22,2376320
2010-05-21,16.14,16.38,16.12,16.23,1915004
2010-05-24,16.23,16.5,16.19,16.38,2075600
2010-05-25,16.44,16.44,15.95,16.14,3309400
2010-05-26,16.26,16.52,16.1,16.4,2451084
2010-05-27,16.57,16.57,16.2,16.41,2312848
2010-05-28,16.34,16.62,16.33,16.45,1705696
2010-06-01,16.4,16.56,16.29,16.49,1894468
2010-06-02,16.54,16.8,16.49,16.8,2312608
2010-06-03,16.79,16.88,16.71,16.82,2675244
2010-06-04,16.64,16.64,16.23,16.27,2343168
2010-06-07,16.25,16.5,16.25,16.38,1937936
2010-06-08,16.35,16.6,16.23,16.58,3298752
2010-06-09,16.69,16.84,16.55,16.76,2114704
2010-06-10,16.83,16.94,16.82,16.87,2370888
2010-06-11,16.81,17.12,16.7,17.1,2662720
2010-06-14,17.2,17.21,17.0,17.02,2502916
2010-06-15,17.05,17.19,17.05,17.15,1641068
2010-06-16,17.03,17.08,16.76,16.8,2995172
2010-06-17,16.87,16.96,16.78,16.9,1499620
2010-06-18,16.87,16.91,16.6,16.63,2794272
2010-06-21,16.74,16.81,16.63,16.66,1594640
2010-06-22,16.69,16.7,16.36,16.36,1889296
2010-06-23,16.36,16.42,16.24,16.3,1795060
2010-06-24,16.27,16.31,16.18,16.21,1540672
2010-06-25,16.24,16.36,16.1,16.15,1719200
2010-06-28,16.24,16.35,16.08,16.26,824600
2010-06-29,16.15,16.18,15.78,15.84,2972208
2010-06-30,15.78,15.88,15.65,15.68,3920252
2010-07-01,15.66,15.69,15.5,15.67,2314836
2010-07-02,15.69,15.72,15.63,15.66,1790468
2010-07-06,15.74,15.84,15.54,15.69,2696600
2010-07-07,15.74,15.92,15.71,15.87,1839088
2010-07-08,15.91,16.09,15.9,16.08,2795912
2010-07-09,16.1,16.22,16.02,16.17,1574068
2010-07-12,16.12,16.25,16.09,16.18,860608
2010-07-13,16.28,16.44,16.26,16.36,1400692
2010-07-14,16.36,16.45,16.27,16.45,1338980
2010-07-15,16.42,16.51,16.35,16.5,1205268
2010-07-16,16.49,16.49,16.21,16.23,970980
2010-07-19,16.25,16.46,16.2,16.45,1549240
2010-07-20,16.35,16.76,16.3,16.74,1757064
2010-07-21,16.77,16.78,16.36,16.4,3088436
2010-07-22,16.5,16.54,16.32,16.4,1730536
2010-07-23,16.4,16.55,16.34,16.55,2103540
2010-07-26,16.6,16.88,16.6,16.85,1382264
2010-07-27,16.88,16.96,16.82,16.89,1880924
2010-07-28,16.92,16.96,16.71,16.78,736364
2010-07-29,16.85,16.85,16.43,16.62,1358160
2010-07-30,16.49,16.68,16.42,16.57,1230792
2010-08-02,16.75,16.75,16.46,16.6,2346104
2010-08-03,16.5,16.54,16.09,16.22,5652100
2010-08-04,16.29,16.46,16.16,16.38,4170652
2010-08-05,15.97,15.97,15.38,15.59,5640472
2010-08-06,15.56,15.58,15.29,15.58,2419084
2010-08-09,15.59,15.72,15.54,15.72,1840424
2010-08-10,15.65,15.75,15.6,15.64,1766780
2010-08-11,15.51,15.54,15.28,15.28,1356364
2010-08-12,15.42,15.55,15.0,15.52,1929912
2010-08-13,15.48,15.58,15.42,15.48,1509624
2010-08-16,15.39,15.58,15.29,15.55,1199808
2010-08-17,15.6,15.73,15.52,15.64,789692
2010-08-18,15.59,15.65,15.51,15.58,1328360
2010-08-19,15.52,15.56,15.36,15.42,2546640
2010-08-20,15.31,15.36,15.17,15.23,2595416
2010-08-23,15.24,15.29,15.08,15.08,4030828
2010-08-24,14.96,15.19,14.86,15.09,2158608
2010-08-25,15.02,15.14,14.95,15.08,1731264
2010-08-26,15.08,15.17,15.0,15.12,1310740
2010-08-27,15.42,15.62,15.28,15.4,1946516
2010-08-30,15.36,15.44,15.13,15.18,1079952
2010-08-31,15.12,15.41,15.12,15.31,2149412
2010-09-01,15.42,15.47,15.35,15.46,1552784
2010-09-02,15.55,15.68,15.47,15.67,1933792
2010-09-03,15.75,15.76,15.63,15.71,1714852
2010-09-07,15.7,15.71,15.49,15.52,1049208
2010-09-08,15.52,15.86,15.52,15.82,2041440
2010-09-09,15.96,15.96,15.78,15.83,1318072
2010-09-10,15.85,15.93,15.75,15.92,1213772
2010-09-13,15.98,16.04,15.91,15.97,1233784
2010-09-14,16.0,16.05,15.94,15.96,1258932
2010-09-15,15.95,16.15,15.9,16.12,1044720
2010-09-16,16.11,16.14,16.01,16.07,1059640
2010-09-17,16.19,16.25,16.11,16.11,1569780
2010-09-20,16.16,16.25,16.09,16.16,1111988
2010-09-21,16.16,16.18,16.06,16.09,1158456
2010-09-22,16.03,16.18,16.0,16.0,1341284
2010-09-23,15.94,16.06,15.86,15.88,1221296
2010-09-24,16.06,16.15,15.95,16.11,2653596
2010-09-27,16.12,16.36,16.04,16.26,1771580
2010-09-28,16.26,16.32,16.08,16.25,1572328
2010-09-29,16.24,16.36,16.15,16.27,2062300
2010-09-30,16.3,16.37,16.23,16.24,2345072
2010-10-01,16.32,16.32,16.11,16.3,2027596
2010-10-04,16.32,16.95,16.26,16.92,3898468
2010-10-05,16.97,17.12,16.86,17.1,2913428
2010-10-06,17.06,17.1,16.96,17.09,2034324
2010-10-07,17.1,17.15,16.98,17.13,1401912
2010-10-08,17.17,17.48,17.09,17.45,1693808
2010-10-11,17.43,17.45,17.36,17.38,1180708
2010-10-12,17.3,17.41,17.25,17.33,1655924
2010-10-13,17.43,17.48,17.35,17.42,1120060
2010-10-14,17.45,17.5,17.4,17.45,876328
2010-10-15,17.49,17.54,17.43,17.45,1566256
2010-10-18,17.37,17.45,17.27,17.29,1688572
2010-10-19,17.14,17.23,16.96,17.04,2145496
2010-10-20,17.1,17.19,17.04,17.08,1574544
2010-10-21,17.11,17.16,16.91,17.0,1363996
2010-10-22,17.05,17.05,16.92,16.98,1028164
2010-10-25,17.06,17.11,16.92,16.97,952612
2010-10-26,16.96,16.96,16.75,16.76,1500244
2010-10-27,16.77,16.81,16.62,16.74,1326372
2010-10-28,16.77,16.8,16.55,16.56,1601168
2010-10-29,16.56,16.6,16.44,16.46,2413024
2010-11-01,16.53,16.63,16.46,16.53,1277504
2010-11-02,16.56,16.63,16.38,16.51,2333932
2010-11-03,16.5,16.56,16.39,16.52,1350284
2010-11-04,16.64,16.67,16.49,16.52,1245920
2010-11-05,16.5,16.57,16.45,16.5,1191344
2010-11-08,16.5,16.56,16.31,16.54,1615068
2010-11-09,16.37,16.43,16.19,16.3,4374500
2010-11-10,16.27,16.48,16.2,16.47,2944872
2010-11-11,16.36,16.36,16.24,16.28,1556412
2010-11-12,16.26,16.47,16.2,16.41,2248336
2010-11-15,16.46,16.5,16.31,16.31,1390996
2010-11-16,16.32,16.33,16.04,16.08,1382120
2010-11-17,16.07,16.16,16.0,16.08,1177976
2010-11-18,16.17,16.39,16.14,16.36,1852504
2010-11-19,16.35,16.38,16.19,16.34,1057816
2010-11-22,16.32,16.5,16.24,16.48,1054300
2010-11-23,16.37,16.42,16.19,16.28,1365624
2010-11-24,16.36,16.44,16.34,16.38,940036
2010-11-26,16.34,16.47,16.25,16.33,520136
2010-11-29,16.26,16.36,16.19,16.33,1608772
2010-11-30,16.25,16.35,16.24,16.31,2176408
2010-12-01,16.41,16.46,16.36,16.43,1557948
2010-12-02,16.44,16.55,16.44,16.52,1272672
2010-12-03,16.49,16.59,16.45,16.57,1384424
2010-12-06,16.58,16.86,16.56,16.85,2535512
2010-12-07,16.9,17.04,16.78,16.8,2998896
2010-12-08,16.79,16.94,16.79,16.81,1546660
2010-12-09,17.0,17.0,16.71,16.76,1667336
2010-12-10,16.8,16.86,16.74,16.78,1473512
2010-12-13,16.79,16.84,16.72,16.75,1415164
2010-12-14,16.8,16.92,16.77,16.92,2186416
2010-12-15,16.95,17.05,16.92,16.98,1623208
