Date,Open,High,Low,Close,Volume
2010-01-04,26.42,26.7,26.42,26.5,1261387
2010-01-05,26.43,26.54,26.29,26.51,1412754
2010-01-06,26.5,26.58,26.39,26.57,1140100
2010-01-07,26.57,26.7,26.43,26.67,982884
2010-01-08,26.54,26.71,26.49,26.58,757769
2010-01-11,26.74,26.9,26.6,26.78,636313
2010-01-12,26.73,27.0,26.67,26.73,825676
2010-01-13,26.9,27.1,26.72,26.97,738481
2010-01-14,27.02,27.13,26.7,27.03,729354
2010-01-15,27.05,27.05,26.7,26.86,968931
2010-01-19,26.95,27.36,26.84,27.35,844669
2010-01-20,27.17,27.28,26.81,27.04,828604
2010-01-21,27.1,27.28,26.57,26.84,1335218
2010-01-22,26.81,27.05,26.24,26.29,1283370
2010-01-25,26.57,26.74,26.35,26.47,1006338
2010-01-26,26.43,26.77,26.19,26.23,863411
2010-01-27,26.16,26.51,26.06,26.45,1097453
2010-01-28,26.51,26.59,26.15,26.23,840579
2010-01-29,26.29,26.6,26.23,26.39,1451011
2010-02-01,26.54,26.68,26.2,26.31,1435679
2010-02-02,26.29,26.64,26.21,26.64,804234
2010-02-03,26.5,26.71,26.37,26.63,1253073
2010-02-04,26.36,26.67,26.26,26.26,2393529
2010-02-05,26.27,26.54,25.91,26.31,1794843
2010-02-08,26.26,26.41,25.62,25.66,1433772
2010-02-09,25.8,25.98,25.5,25.78,1169776
2010-02-10,25.79,26.0,25.6,25.85,808940
2010-02-11,25.8,26.09,25.65,25.87,897346
2010-02-12,25.76,26.01,25.64,25.98,1361548
2010-02-16,26.04,26.33,25.91,26.33,835082
2010-02-17,26.48,26.54,26.3,26.51,674932
2010-02-18,26.49,26.69,26.41,26.66,1124559
2010-02-19,26.5,26.74,26.41,26.71,1182484
2010-02-22,26.71,26.86,26.5,26.84,844991
2010-02-23,26.85,26.91,26.54,26.6,978225
2010-02-24,26.75,26.99,26.57,26.92,847333
2010-02-25,26.74,26.96,26.64,26.96,839337
2010-02-26,27.0,27.03,26.71,26.89,811968
2010-03-01,27.02,27.39,26.82,27.38,1164387
2010-03-02,27.54,27.78,27.42,27.73,1383487
2010-03-03,27.83,27.93,27.54,27.68,959839
2010-03-04,27.64,27.84,27.58,27.82,942356
2010-03-05,28.0,28.17,27.82,28.06,1365960
2010-03-08,28.19,28.38,28.09,28.33,894484
2010-03-09,28.19,28.56,28.17,28.42,848032
2010-03-10,28.41,28.56,28.15,28.38,1277272
2010-03-11,28.34,28.54,28.27,28.49,873333
2010-03-12,28.64,28.83,28.37,28.5,1325972
2010-03-15,28.68,28.73,28.4,28.69,982670
2010-03-16,28.75,28.85,28.58,28.75,813288
2010-03-17,28.86,29.21,28.82,29.11,714294
2010-03-18,29.12,29.29,29.06,29.28,652311
2010-03-19,29.56,29.65,29.14,29.39,1558473
2010-03-22,28.87,28.93,28.62,28.68,1090711
2010-03-23,28.77,28.97,28.63,28.95,705645
2010-03-24,28.69,28.9,28.69,28.79,712353
2010-03-25,28.98,29.2,28.84,28.86,776671
2010-03-26,28.87,29.2,28.87,29.0,727209
2010-03-29,29.12,29.34,29.06,29.31,705726
2010-03-30,29.37,29.38,29.07,29.18,708857
2010-03-31,29.13,29.13,28.82,28.91,936223
2010-04-05,29.18,29.3,28.96,29.27,658911
2010-04-06,29.21,29.4,29.2,29.37,695021
2010-04-07,29.42,29.46,29.13,29.23,870676
2010-04-08,29.29,29.4,29.06,29.33,1229593
2010-04-09,29.42,29.62,29.13,29.29,763355
2010-04-12,29.42,29.43,29.07,29.21,746186
2010-04-13,29.25,29.5,29.08,29.42,729564
2010-04-14,29.42,29.86,29.4,29.86,784652
2010-04-15,29.9,29.93,29.65,29.82,636859
2010-04-16,29.71,29.79,29.15,29.25,1806994
2010-04-19,29.17,29.57,29.16,29.56,855476
2010-04-20,29.68,29.8,29.45,29.78,1014305
2010-04-21,29.79,29.86,29.53,29.73,1334118
2010-04-22,29.64,29.86,29.31,29.85,771200
2010-04-23,29.81,30.21,29.63,30.21,796832
2010-04-26,30.23,30.38,30.0,30.02,567814
2010-04-27,29.95,30.04,28.85,28.89,936001
2010-04-28,28.97,29.51,28.97,29.17,919143
2010-04-29,29.17,29.28,28.7,29.13,1266856
2010-04-30,28.81,28.85,28.37,28.44,1467114
2010-05-03,28.68,28.88,28.39,28.71,1113582
2010-05-04,28.47,28.47,27.79,28.0,1575508
2010-05-05,27.76,28.11,27.07,27.9,1867942
2010-05-06,27.87,28.02,26.11,26.99,2658366
2010-05-07,27.14,27.34,26.47,26.58,2785292
2010-05-10,27.46,27.69,27.24,27.63,1747460
2010-05-11,27.41,27.88,27.3,27.46,1408495
2010-05-12,27.66,27.86,27.54,27.83,1019353
2010-05-13,27.89,28.04,27.72,27.72,1019336
2010-05-14,27.57,27.63,27.24,27.4,1416136
2010-05-17,27.45,27.86,27.33,27.79,1327155
2010-05-18,28.09,28.16,27.51,27.54,1687390
2010-05-19,27.55,27.9,27.31,27.66,1005080
2010-05-20,27.12,27.31,26.57,26.63,1791339
2010-05-21,26.15,27.0,26.03,27.0,1588770
2010-05-24,26.97,27.01,26.49,26.49,919395
2010-05-25,26.07,26.4,25.65,26.4,1828593
2010-05-26,26.7,26.7,26.14,26.21,1224530
2010-05-27,26.75,27.25,26.41,27.25,1433404
2010-05-28,27.17,27.42,26.97,27.19,1230357
2010-06-01,26.97,27.41,26.67,26.67,1435534
2010-06-02,26.9,27.44,26.68,27.43,934407
2010-06-03,27.47,27.57,27.2,27.47,707997
2010-06-04,27.02,27.07,26.37,26.39,1403361
2010-06-07,26.59,26.7,26.24,26.24,1321510
2010-06-08,26.29,26.76,26.0,26.73,1226983
2010-06-09,26.92,26.97,26.57,26.66,1151850
2010-06-10,27.1,27.73,26.94,27.7,1182166
2010-06-11,27.43,27.91,27.36,27.89,791542
2010-06-14,28.1,28.25,27.84,27.97,1224747
2010-06-15,27.98,28.49,27.89,28.42,1049048
2010-06-16,28.3,28.36,28.01,28.15,997390
2010-06-17,28.29,28.3,28.01,28.28,1278286
2010-06-18,28.39,28.39,28.2,28.29,1069110
2010-06-21,28.16,28.2,27.59,27.69,1243056
2010-06-22,27.85,27.93,27.49,27.54,1519930
2010-06-23,27.63,27.74,27.15,27.32,1186715
2010-06-24,27.3,27.33,26.87,26.95,1043436
2010-06-25,27.12,27.38,26.85,27.36,1088462
2010-06-28,27.45,27.45,27.07,27.08,968287
2010-06-29,26.77,26.86,26.05,26.2,1849697
2010-06-30,26.2,26.33,25.86,25.87,1447706
2010-07-01,25.97,26.06,25.31,25.56,1645393
2010-07-02,25.68,25.83,25.3,25.53,994933
2010-07-06,25.74,25.92,25.25,25.52,1131529
2010-07-07,25.64,26.35,25.53,26.32,1240347
2010-07-08,26.62,26.82,26.34,26.82,1401970
2010-07-09,26.7,27.09,26.66,27.08,923348
2010-07-12,27.0,27.15,26.87,27.04,1128340
2010-07-13,27.23,27.67,27.23,27.61,1249609
2010-07-14,27.46,27.69,27.16,27.51,1114509
2010-07-15,27.63,27.66,27.16,27.5,951012
2010-07-16,27.36,27.39,26.58,26.62,1278316
2010-07-19,26.68,26.89,26.45,26.78,852926
2010-07-20,26.43,27.08,26.17,27.06,1155486
2010-07-21,27.16,27.22,26.47,26.5,962132
2010-07-22,26.86,27.28,26.79,27.24,1270901
2010-07-23,27.24,27.6,27.1,27.55,869948
2010-07-26,27.57,27.92,27.44,27.92,728778
2010-07-27,28.1,28.1,27.89,28.02,949017
2010-07-28,28.08,28.08,27.41,27.71,1300606
2010-07-29,28.04,28.09,27.44,27.74,1306509
2010-07-30,27.29,27.86,27.28,27.55,1109625
2010-08-02,27.92,28.22,27.81,28.21,976568
2010-08-03,28.14,28.17,27.84,27.87,931368
2010-08-04,28.05,28.17,27.85,28.09,872144
2010-08-05,27.87,28.07,27.81,28.04,666317
2010-08-06,27.68,27.87,27.18,27.49,1390371
2010-08-09,27.74,27.84,27.6,27.83,840411
2010-08-10,27.5,27.64,27.29,27.48,987102
2010-08-11,27.14,27.16,26.74,26.75,1301440
2010-08-12,26.5,26.74,26.41,26.63,982289
2010-08-13,26.53,26.98,26.46,26.67,1094136
2010-08-16,26.58,26.77,26.46,26.62,893452
2010-08-17,26.89,27.18,26.75,27.17,1243944
2010-08-18,27.19,27.38,26.95,27.37,1511451
2010-08-19,27.26,27.29,26.8,26.83,908838
2010-08-20,26.79,27.01,26.57,26.92,1034899
2010-08-23,27.1,27.11,26.81,26.81,654733
2010-08-24,26.58,26.96,26.51,26.79,1140772
2010-08-25,26.72,27.03,26.45,26.94,859196
2010-08-26,27.01,27.01,26.62,26.66,879163
2010-08-27,26.89,27.23,26.63,27.22,822014
2010-08-30,27.17,27.17,26.58,26.6,672454
2010-08-31,26.61,26.85,26.4,26.67,1230393
2010-09-01,27.06,27.59,26.9,27.59,1591249
2010-09-02,27.67,27.77,27.47,27.7,1249832
2010-09-03,27.99,28.3,27.85,28.3,1068485
2010-09-07,28.22,28.22,27.76,27.83,909926
2010-09-08,27.99,28.09,27.76,27.97,1363753
2010-09-09,28.27,28.38,28.02,28.25,1042786
2010-09-10,28.27,28.42,28.14,28.26,936076
2010-09-13,28.55,28.84,28.44,28.82,1244751
2010-09-14,28.81,28.99,28.58,28.82,868932
2010-09-15,28.72,29.16,28.65,29.1,832746
2010-09-16,29.15,29.21,28.8,29.12,868283
2010-09-17,29.34,29.39,29.01,29.21,1285800
2010-09-20,28.92,29.17,28.64,29.07,1463780
2010-09-21,29.34,29.34,28.68,28.81,1766944
2010-09-22,28.79,28.85,28.25,28.25,1884298
2010-09-23,28.05,28.3,27.9,27.91,1015432
2010-09-24,28.3,28.78,28.17,28.78,1264179
2010-09-27,28.9,28.9,28.54,28.59,913183
2010-09-28,28.58,29.0,28.35,28.95,1042836
2010-09-29,28.93,28.95,28.56,28.69,829348
2010-09-30,28.99,29.35,28.8,28.82,1311605
2010-10-01,29.08,29.13,28.68,28.85,1176257
2010-10-04,28.87,29.04,28.72,28.88,809509
2010-10-05,29.18,29.57,28.75,29.47,1316611
2010-10-06,29.49,29.54,29.26,29.51,810962
2010-10-07,29.71,29.72,29.34,29.48,787313
2010-10-08,29.56,29.65,29.28,29.54,435771
2010-10-11,29.64,29.67,29.43,29.53,505356
2010-10-12,29.57,29.73,29.41,29.68,726860
2010-10-13,29.75,30.1,29.7,29.88,756160
2010-10-14,29.77,30.26,29.74,29.91,1084829
2010-10-15,30.18,30.18,29.79,29.87,1327112
2010-10-18,29.89,30.13,29.86,30.13,664521
2010-10-19,29.87,30.29,29.7,29.78,1134366
2010-10-20,29.97,30.39,29.88,30.26,965883
2010-10-21,30.46,30.7,30.17,30.25,896032
2010-10-22,30.29,30.56,30.29,30.49,809984
2010-10-25,30.75,30.84,30.59,30.66,753711
2010-10-26,30.59,30.65,30.23,30.27,950393
2010-10-27,30.22,30.38,29.9,30.34,955808
2010-10-28,30.24,30.24,29.54,29.58,1705656
2010-10-29,29.57,29.58,29.28,29.45,916674
2010-11-01,29.64,29.98,29.35,29.5,1046232
2010-11-02,29.86,29.98,29.73,29.88,744361
2010-11-03,29.94,29.95,29.5,29.91,1295841
2010-11-04,30.29,30.91,30.13,30.9,1429516
2010-11-05,30.92,31.24,30.54,30.74,1013279
2010-11-08,30.66,30.74,30.17,30.37,1356699
2010-11-09,30.48,30.48,29.9,29.98,831817
2010-11-10,30.09,30.32,29.94,30.29,1284845
2010-11-11,30.17,30.21,29.93,30.01,744140
2010-11-12,29.94,29.96,29.7,29.77,679098
2010-11-15,29.93,30.49,29.93,30.18,1441541
2010-11-16,30.06,30.1,29.42,29.53,1338321
2010-11-17,29.59,29.69,29.42,29.64,1013268
2010-11-18,29.9,30.23,29.68,30.13,1005634
2010-11-19,30.12,30.12,29.79,30.12,829023
2010-11-22,30.03,30.11,29.69,30.03,1132422
2010-11-23,29.71,29.89,29.57,29.78,935987
2010-11-24,29.98,30.28,29.94,30.27,1069551
2010-11-26,30.05,30.26,29.96,29.96,438307
2010-11-29,29.77,30.18,29.54,30.12,634522
2010-11-30,29.82,30.32,29.76,30.14,1002005
2010-12-01,30.61,30.97,30.6,30.81,862009
2010-12-02,30.97,31.29,30.88,31.04,1272531
2010-12-03,30.88,31.01,30.41,30.69,1543549
2010-12-06,30.67,30.75,30.51,30.65,1526560
2010-12-07,31.01,31.13,30.79,30.85,2780420
2010-12-08,30.8,31.19,30.8,31.19,937983
2010-12-09,31.3,31.54,31.16,31.4,860267
2010-12-10,31.53,31.55,31.29,31.52,594586
2010-12-13,31.71,32.07,31.6,32.04,1152271
2010-12-14,32.11,32.18,31.9,31.99,803481
2010-12-15,31.96,32.16,31.89,31.97,1981993
2010-12-16,31.84,32.23,31.84,32.15,768802
2010-12-17,32.15,32.27,31.81,31.81,2768327
2010-12-20,31.68,31.71,31.42,31.49,1033964
2010-12-21,31.71,31.92,31.5,31.88,667778
2010-12-22,31.95,32.25,31.78,32.22,740824
2010-12-23,32.14,32.25,31.93,31.93,489421
2010-12-27,31.76,32.12,31.53,32.08,360292
2010-12-28,32.1,32.11,31.93,32.01,385182
2010-12-29,32.15,32.15,31.92,31.97,329640
2010-12-30,32.0,32.02,31.74,31.77,553116
2010-12-31,31.61,31.89,31.61,31.69,484868
2011-01-03,32.04,32.36,32.04,32.3,761541
2011-01-04,32.51,32.52,31.9,32.05,739041
2011-01-05,32.0,32.2,31.94,32.14,672603
2011-01-06,32.21,32.25,32.01,32.11,638873
2011-01-07,32.29,32.29,31.57,31.81,734245
2011-01-10,31.78,31.93,31.43,31.87,728240
2011-01-11,32.07,32.26,31.62,31.7,651538
2011-01-12,31.95,32.17,31.88,32.01,601712
2011-01-13,32.05,32.14,31.77,31.85,637380
2011-01-14,31.67,32.15,31.67,32.15,571672
2011-01-18,32.2,32.28,32.08,32.24,503702
2011-01-19,32.23,32.31,31.67,31.73,682424
2011-01-20,31.77,31.96,31.7,31.76,888256
2011-01-21,31.78,31.91,31.67,31.77,1735028
2011-01-24,31.72,32.33,31.72,32.29,883462
2011-01-25,32.26,32.52,32.0,32.5,976634
2011-01-26,32.58,32.67,32.41,32.41,1013647
2011-01-27,32.37,32.8,32.37,32.79,580096
2011-01-28,32.88,32.95,32.15,32.16,1086805
2011-01-31,32.39,32.53,32.04,32.04,995873
2011-02-01,32.21,32.91,32.21,32.88,1242619
2011-02-02,32.92,32.94,32.53,32.58,867694
2011-02-03,33.66,34.07,32.5,33.09,1364790
2011-02-04,32.89,33.23,32.8,33.15,840773
2011-02-07,33.3,33.38,33.1,33.14,1215339
2011-02-08,33.14,33.29,32.98,33.29,1170609
2011-02-09,33.09,33.3,32.9,33.23,913226
2011-02-10,33.01,33.39,32.99,33.38,781419
2011-02-11,33.3,33.58,33.15,33.58,468432
2011-02-14,33.59,33.73,33.2,33.31,557786
2011-02-15,33.17,33.43,33.16,33.37,440374
2011-02-16,33.51,33.75,33.39,33.74,591765
2011-02-17,33.65,33.96,33.64,33.88,551295
2011-02-18,33.84,34.33,33.74,34.18,698109
2011-02-22,33.93,34.04,33.79,33.9,1105865
2011-02-23,33.94,34.07,33.48,33.59,838113
2011-02-24,33.61,33.74,33.18,33.39,907313
2011-02-25,33.57,33.73,33.43,33.7,697681
2011-02-28,33.89,34.12,33.71,34.05,974681
2011-03-01,34.16,34.16,33.36,33.36,855608
2011-03-02,33.24,33.35,32.76,33.06,984874
2011-03-03,33.36,33.62,33.22,33.53,2646160
2011-03-04,33.54,33.54,32.85,33.25,2751086
2011-03-07,33.35,33.49,32.87,33.01,4162748
2011-03-08,33.01,33.67,32.9,33.56,898698
2011-03-09,33.54,33.58,33.29,33.48,552325
2011-03-10,33.19,33.19,32.89,32.97,916564
2011-03-11,32.82,33.08,32.62,33.08,966899
2011-03-14,32.84,33.02,32.72,32.83,827418
2011-03-15,32.14,32.54,31.77,32.35,2406187
2011-03-16,32.31,32.58,31.89,31.99,1909440
2011-03-17,32.4,32.49,32.14,32.38,733166
2011-03-18,32.86,33.07,32.57,32.6,1592486
2011-03-21,32.58,32.92,32.54,32.88,674856
2011-03-22,32.86,32.98,32.59,32.59,595285
2011-03-23,32.54,32.58,32.12,32.33,820907
2011-03-24,32.57,32.57,32.16,32.44,515250
2011-03-25,32.47,32.62,32.33,32.47,620169
2011-03-28,32.56,32.61,32.37,32.38,634853
2011-03-29,32.4,32.63,32.19,32.56,597036
2011-03-30,32.66,32.97,32.57,32.97,588537
2011-03-31,32.94,33.06,32.76,32.79,877001
2011-04-01,32.96,33.1,32.86,32.99,693977
2011-04-04,33.04,33.34,32.96,33.34,833256
2011-04-05,33.25,33.33,33.1,33.21,793699
2011-04-06,33.37,33.54,33.28,33.53,676771
2011-04-07,33.43,33.55,33.19,33.2,896982
2011-04-08,33.39,33.48,32.81,32.92,466772
2011-04-11,32.91,33.25,32.91,33.0,483316
2011-04-12,32.78,32.94,32.47,32.47,662771
2011-04-13,32.6,32.71,32.17,32.28,686201
2011-04-14,32.11,32.17,31.91,32.03,537759
2011-04-15,32.08,32.2,31.86,32.18,672791
2011-04-18,31.74,31.92,31.5,31.63,637683
2011-04-19,31.73,31.81,31.55,31.56,573703
2011-04-20,31.91,32.04,31.83,31.86,564485
2011-04-21,31.89,32.25,31.88,32.12,427873
2011-04-25,32.06,32.27,31.97,32.17,450661
2011-04-26,32.3,32.48,32.19,32.41,483720
2011-04-27,32.42,32.65,32.36,32.64,709322
2011-04-28,32.35,32.46,31.25,31.61,1659671
2011-04-29,31.53,31.72,31.36,31.68,705218
2011-05-02,31.75,31.84,31.39,31.44,713774
2011-05-03,31.32,31.43,30.92,31.3,1969025
2011-05-04,31.31,31.43,31.0,31.22,635109
2011-05-05,31.08,31.2,30.66,30.77,690464
2011-05-06,31.06,31.25,30.88,30.95,762735
2011-05-09,30.98,31.32,30.78,31.27,945678
2011-05-10,31.3,31.55,31.21,31.53,612390
2011-05-11,31.44,31.56,30.92,31.02,936540
2011-05-12,30.83,31.32,30.57,31.29,1502954
2011-05-13,31.28,31.28,30.79,30.91,789241
2011-05-16,30.86,31.08,30.75,30.92,988328
2011-05-17,30.76,30.94,30.76,30.93,796317
2011-05-18,30.92,31.14,30.76,31.14,1149608
2011-05-19,31.16,31.28,30.79,31.0,1122968
2011-05-20,30.93,31.03,30.62,30.69,835286
2011-05-23,30.37,30.4,30.03,30.19,2201573
2011-05-24,30.2,30.24,29.81,29.9,1203813
2011-05-25,29.9,29.94,29.55,29.87,947376
2011-05-26,29.84,30.16,29.61,30.11,788520
2011-05-27,30.16,30.24,29.93,30.09,980620
2011-05-31,30.31,30.43,30.1,30.42,1167465
2011-06-01,30.28,30.4,29.77,29.77,2692970
2011-06-02,29.91,30.13,29.63,29.67,1697024
2011-06-03,29.37,29.7,29.37,29.44,1336087
