Date,Open,High,Low,Close,Volume
2010-01-04,61.55,61.55,61.09,61.43,1014343
2010-01-05,61.27,62.8,60.73,62.1,3386826
2010-01-06,61.77,62.44,61.5,61.94,1187083
2010-01-07,61.71,61.71,61.03,61.35,1476628
2010-01-08,61.13,61.41,60.55,61.36,1241665
2010-01-11,61.24,61.4,60.45,61.34,1205532
2010-01-12,61.23,61.5,61.04,61.43,862004
2010-01-13,61.4,62.31,61.29,61.93,868957
2010-01-14,61.73,62.2,61.5,61.89,619433
2010-01-15,61.89,62.1,61.03,61.19,1334271
2010-01-19,61.26,62.19,61.11,61.48,1050390
2010-01-20,61.37,61.55,60.82,61.4,836458
2010-01-21,61.69,61.99,60.5,61.0,1321513
2010-01-22,61.0,61.27,60.06,60.12,1345003
2010-01-25,60.45,60.48,59.91,60.17,1398834
2010-01-26,59.62,59.62,59.03,59.26,1206130
2010-01-27,59.16,59.58,58.96,59.24,2148561
2010-01-28,59.47,60.22,59.21,59.29,1584239
2010-01-29,59.41,59.8,59.1,59.17,1227569
2010-02-01,59.32,59.58,59.01,59.48,651036
2010-02-02,59.61,60.41,59.25,60.26,1055662
2010-02-03,60.19,60.84,59.86,60.66,1279692
2010-02-04,61.0,61.57,60.08,60.35,2147356
2010-02-05,60.53,60.7,59.89,60.57,1363526
2010-02-08,60.63,61.15,60.05,60.27,1558284
2010-02-09,60.67,60.98,60.05,60.7,1163125
2010-02-10,60.78,60.78,60.0,60.24,1017616
2010-02-11,60.17,60.3,59.59,60.12,1012484
2010-02-12,59.97,60.0,59.07,59.36,1672830
2010-02-16,59.46,59.95,59.4,59.9,1132382
2010-02-17,60.05,60.48,59.97,60.38,1127057
2010-02-18,60.2,61.11,60.14,60.9,1065591
2010-02-19,60.91,61.1,60.43,61.01,1025126
2010-02-22,61.14,61.25,60.83,61.02,866665
2010-02-23,60.96,61.2,60.48,60.95,1021897
2010-02-24,61.17,61.2,60.69,61.0,840906
2010-02-25,60.57,61.26,60.31,61.17,940869
2010-02-26,61.31,61.55,60.96,61.31,973289
2010-03-01,61.33,61.62,61.08,61.56,899785
2010-03-02,61.69,61.7,61.37,61.6,1360536
2010-03-03,61.42,61.88,61.14,61.38,1014217
2010-03-04,61.53,61.76,61.31,61.59,931413
2010-03-05,61.67,61.81,61.17,61.5,1098948
2010-03-08,61.35,62.08,61.24,61.88,1307142
2010-03-09,61.82,62.23,61.73,62.01,794949
2010-03-10,61.99,62.36,61.66,62.35,1219903
2010-03-11,62.31,62.56,61.98,62.56,1195903
2010-03-12,62.61,62.97,62.46,62.89,1339534
2010-03-15,62.8,62.97,62.55,62.93,797082
2010-03-16,63.39,64.0,63.12,63.95,2284842
2010-03-17,64.02,64.9,63.98,64.64,2662691
2010-03-18,64.83,64.88,64.3,64.61,1192632
2010-03-19,64.69,64.85,64.04,64.43,1134488
2010-03-22,64.62,64.98,64.3,64.92,1087895
2010-03-23,65.0,65.18,64.6,65.11,851032
2010-03-24,64.89,65.09,64.68,64.85,1156348
2010-03-25,65.07,65.15,64.72,64.77,997027
2010-03-26,64.93,64.93,64.13,64.56,1023149
2010-03-29,64.72,65.12,64.41,64.99,756351
2010-03-30,65.09,65.09,64.31,64.73,873891
2010-03-31,64.64,64.64,63.91,64.14,1286169
2010-04-01,64.23,64.34,63.9,64.28,1178747
2010-04-05,64.49,64.49,63.66,63.97,1298955
2010-04-06,64.06,64.06,63.27,63.71,1297237
2010-04-07,63.54,63.66,63.2,63.37,867538
2010-04-08,63.23,63.36,63.02,63.32,969250
2010-04-09,63.62,63.7,63.02,63.52,886965
2010-04-12,63.61,63.64,63.2,63.46,701216
2010-04-13,63.49,63.99,63.25,63.85,1118863
2010-04-14,63.69,64.42,63.44,64.36,1108769
2010-04-15,64.3,64.35,63.87,64.18,874500
2010-04-16,64.12,64.71,64.0,64.49,1101574
2010-04-19,64.35,64.82,64.33,64.81,770508
2010-04-20,64.97,65.0,64.65,64.94,601237
2010-04-21,65.09,65.27,64.89,65.16,817683
2010-04-22,64.99,64.99,63.86,64.65,1353939
2010-04-23,64.58,65.5,64.28,65.32,1924708
2010-04-26,64.96,65.19,64.25,64.47,1315895
2010-04-27,64.56,64.56,63.58,63.67,1343095
2010-04-28,63.91,64.51,63.35,64.07,1027359
2010-04-29,64.39,64.77,64.0,64.75,1156542
2010-04-30,64.66,65.19,64.4,64.7,1504750
2010-05-03,64.49,64.95,62.98,64.05,2431699
2010-05-04,63.34,63.34,62.44,63.04,1791806
2010-05-05,62.56,63.67,62.56,63.11,1356359
2010-05-06,62.95,63.2,60.85,62.42,2485275
2010-05-07,62.42,62.84,61.18,61.5,2775820
2010-05-10,62.71,63.6,62.5,63.51,1767367
2010-05-11,63.2,63.82,63.0,63.14,1008685
2010-05-12,63.1,64.03,62.8,63.88,1238981
2010-05-13,63.94,64.28,63.6,63.66,1011364
2010-05-14,63.52,64.16,63.45,63.73,1887932
2010-05-17,64.19,65.15,63.91,65.02,2148238
2010-05-18,65.33,65.33,64.42,64.57,1908132
2010-05-19,64.61,64.7,63.75,63.91,2132141
2010-05-20,63.17,63.78,62.8,62.8,1954279
2010-05-21,62.63,63.14,62.25,62.73,2790428
2010-05-24,62.69,63.21,62.52,62.66,2017703
2010-05-25,61.98,62.91,61.56,62.85,2123990
2010-05-26,63.27,63.6,62.82,62.86,1224916
2010-05-27,63.58,63.58,62.82,63.37,1362754
2010-05-28,63.5,63.54,62.82,62.82,1667613
2010-06-01,62.62,63.44,62.49,62.72,1435664
2010-06-02,63.0,63.54,62.6,63.52,1357236
2010-06-03,63.81,64.11,63.55,64.04,1113293
2010-06-04,63.54,63.54,62.78,63.07,1487818
2010-06-07,63.08,63.41,62.82,62.85,1202626
2010-06-08,63.01,63.69,62.88,63.59,1593063
2010-06-09,63.8,64.24,63.46,63.78,1012043
2010-06-10,64.4,64.94,64.12,64.58,1257521
2010-06-11,64.34,64.34,63.69,64.18,1408548
2010-06-14,64.51,64.79,64.16,64.16,970819
2010-06-15,64.5,65.0,64.38,65.0,1236044
2010-06-16,64.74,65.24,64.55,64.97,949262
2010-06-17,65.07,65.25,64.58,65.21,923122
2010-06-18,65.24,65.44,65.0,65.07,1164217
2010-06-21,65.33,65.67,64.52,64.86,1161460
2010-06-22,64.98,65.44,64.41,64.42,919954
2010-06-23,64.44,64.75,64.04,64.29,647431
2010-06-24,64.2,64.63,63.88,63.97,1039518
2010-06-25,63.9,63.94,63.14,63.44,1462031
2010-06-28,63.6,63.96,63.15,63.45,1283773
2010-06-29,63.07,63.42,62.5,62.73,1423722
2010-06-30,62.83,62.97,62.12,62.16,1247744
2010-07-01,62.33,62.38,61.76,62.21,1688643
2010-07-02,62.12,62.44,61.6,61.74,1427004
2010-07-06,62.43,62.63,61.52,61.92,1683065
2010-07-07,61.89,63.25,61.89,63.21,1210889
2010-07-08,63.44,63.98,63.31,63.96,1032537
2010-07-09,63.91,64.2,63.68,64.12,786780
2010-07-12,64.11,64.47,63.91,64.37,750702
2010-07-13,64.87,65.1,64.57,64.89,931682
2010-07-14,64.94,65.05,64.62,65.05,821786
2010-07-15,64.92,65.28,64.63,65.22,821700
2010-07-16,65.11,65.11,64.31,64.41,1218266
2010-07-19,64.76,65.0,64.55,64.91,705032
2010-07-20,64.41,65.22,64.34,65.22,888358
2010-07-21,65.38,65.4,64.15,64.39,1080093
2010-07-22,64.94,65.29,64.65,64.94,880625
2010-07-23,64.76,65.45,64.76,65.43,880090
2010-07-26,65.09,65.75,64.83,65.75,974388
2010-07-27,65.98,66.44,65.53,66.2,1924246
2010-07-28,66.23,66.23,65.53,65.68,798393
2010-07-29,65.32,65.82,64.27,64.9,1633043
2010-07-30,64.55,65.17,64.29,64.88,901560
2010-08-02,65.38,65.59,64.44,64.7,1754381
2010-08-03,64.42,65.25,64.01,64.47,1918406
2010-08-04,64.68,65.3,64.68,64.9,1747226
2010-08-05,64.76,65.23,64.33,64.92,880948
2010-08-06,64.51,65.1,64.42,65.08,865345
2010-08-09,65.32,65.92,65.2,65.87,929303
2010-08-10,65.55,66.27,65.45,65.88,938632
2010-08-11,65.11,65.34,64.56,64.63,903645
2010-08-12,63.85,64.68,63.61,64.52,934441
2010-08-13,64.46,64.61,64.24,64.31,726403
2010-08-16,64.18,64.33,63.87,64.25,508932
2010-08-17,64.54,65.17,64.29,64.85,946753
2010-08-18,64.9,65.37,64.63,65.16,602594
2010-08-19,64.94,65.0,64.24,64.4,828423
2010-08-20,63.98,64.54,63.98,64.42,711739
2010-08-23,64.5,64.76,64.24,64.3,721214
2010-08-24,63.86,64.98,63.85,64.61,1790553
2010-08-25,64.34,64.54,63.85,64.41,1369857
2010-08-26,64.44,64.53,63.95,64.15,933268
2010-08-27,64.26,64.78,64.0,64.68,674645
2010-08-30,64.72,64.9,64.23,64.26,734945
2010-08-31,64.08,64.84,64.05,64.82,1217682
2010-09-01,65.12,65.65,65.07,65.37,900835
2010-09-02,65.52,65.87,65.32,65.85,914946
2010-09-03,66.07,66.15,65.77,66.15,822845
2010-09-07,65.88,66.28,65.85,66.12,856799
2010-09-08,66.24,66.4,66.01,66.33,825633
2010-09-09,66.63,66.67,66.0,66.31,644800
2010-09-10,65.68,66.29,65.44,66.26,1094942
2010-09-13,66.61,66.73,66.05,66.15,817355
2010-09-14,66.1,66.73,66.09,66.48,912945
2010-09-15,66.41,67.08,66.22,66.94,575658
2010-09-16,66.68,66.9,66.48,66.87,668048
2010-09-17,66.97,67.37,66.65,66.65,981072
2010-09-20,66.89,67.73,66.73,67.61,901966
2010-09-21,67.78,67.86,66.53,66.72,1592514
2010-09-22,66.75,66.99,65.96,66.41,1591915
2010-09-23,66.08,66.33,65.81,66.01,1370402
2010-09-24,66.34,66.49,66.0,66.25,1074952
2010-09-27,66.25,66.66,65.96,66.28,1161942
