Date,Open,High,Low,Close,Volume
2010-01-04,67.7,68.7,67.5,68.48,2660430
2010-01-05,68.09,68.86,67.59,68.43,2835315
2010-01-06,68.1,68.4,67.62,67.96,2522795
2010-01-07,67.89,68.42,67.62,68.05,2940105
2010-01-08,67.88,70.01,67.54,69.86,4471110
2010-01-11,70.02,70.61,69.24,69.85,2242290
2010-01-12,69.76,70.26,68.27,68.43,2432745
2010-01-13,68.69,68.9,66.9,68.65,3100535
2010-01-14,68.4,68.85,68.0,68.35,1606185
2010-01-15,68.35,68.6,67.4,67.45,2306415
2010-01-19,67.41,68.22,66.93,67.64,2520445
2010-01-20,66.74,67.2,65.64,66.0,3049035
2010-01-21,66.13,66.13,61.17,62.2,9080090
2010-01-22,61.63,63.6,61.63,62.43,5768775
2010-01-25,63.29,63.61,61.31,61.4,3679520
2010-01-26,60.26,60.32,57.21,57.24,6832935
2010-01-27,57.52,59.1,56.72,58.87,6648965
2010-01-28,59.7,60.0,57.85,58.1,5256730
2010-01-29,58.72,59.28,57.17,57.36,3903105
2010-02-01,57.62,58.53,56.71,58.24,3722635
2010-02-02,58.03,59.14,57.62,58.64,3469565
2010-02-03,58.46,59.2,58.02,58.42,3455485
2010-02-04,57.3,57.3,53.15,53.86,11223825
2010-02-05,54.2,56.53,54.2,56.16,8544265
2010-02-08,57.0,58.77,56.04,56.06,7100935
2010-02-09,56.94,57.56,56.04,56.64,3779030
2010-02-10,56.3,56.32,55.18,55.27,5281980
2010-02-11,56.09,57.29,55.64,57.01,5299045
2010-02-12,56.6,58.32,56.24,58.21,4502775
2010-02-16,59.0,59.7,58.5,59.43,3283055
2010-02-17,59.65,59.67,58.41,58.62,2089060
2010-02-18,58.53,58.87,58.1,58.34,2511835
2010-02-19,58.07,59.7,57.9,58.36,5205675
2010-02-22,57.88,58.61,57.17,57.41,4063130
2010-02-23,57.49,57.86,55.21,55.31,4706085
2010-02-24,55.85,58.26,55.64,58.11,6629745
2010-02-25,57.41,59.14,57.36,59.09,5393180
2010-02-26,59.39,60.34,58.77,60.34,5461825
2010-03-01,60.4,60.6,59.5,60.21,3461625
2010-03-02,60.35,62.54,60.02,61.89,4407030
2010-03-03,61.98,62.23,60.47,61.17,3643750
2010-03-04,61.35,61.84,60.44,61.5,3022340
2010-03-05,62.0,62.38,61.67,62.03,2115425
2010-03-08,62.04,62.8,61.12,62.63,5004100
2010-03-09,62.14,62.2,61.24,61.63,5859325
2010-03-10,61.51,61.82,61.03,61.58,3362485
2010-03-11,61.39,62.66,61.18,62.66,2840825
2010-03-12,63.19,63.59,62.66,62.88,2536235
2010-03-15,62.58,62.91,61.92,62.83,2473570
2010-03-16,62.93,63.2,62.4,62.87,2151575
2010-03-17,63.0,63.51,62.9,63.2,1782885
2010-03-18,63.32,63.32,62.01,62.18,2611795
2010-03-19,63.0,63.0,61.92,62.33,3966180
2010-03-22,62.02,62.66,61.81,62.32,1765100
2010-03-23,62.4,62.58,61.67,62.12,4331850
2010-03-24,61.93,64.38,61.83,63.78,3881265
2010-03-25,64.28,65.0,63.82,63.97,2848025
2010-03-26,64.2,64.97,62.88,63.14,3558375
2010-03-29,63.16,63.6,62.8,63.13,2739230
2010-03-30,63.24,63.48,62.7,63.23,2149495
2010-03-31,62.79,63.51,62.67,63.22,2568005
2010-04-05,64.27,64.78,63.09,63.42,3423860
2010-04-06,62.89,63.66,62.12,63.38,2884880
2010-04-07,62.64,63.67,62.63,62.86,2603415
2010-04-08,62.88,62.89,62.13,62.35,3402875
2010-04-09,62.37,62.87,62.13,62.42,2042815
2010-04-12,62.66,62.69,62.06,62.1,1944000
2010-04-13,62.32,62.32,61.55,62.04,2659820
2010-04-14,62.18,63.95,61.87,63.89,4632620
2010-04-15,63.83,64.87,63.56,64.22,2619110
2010-04-16,63.84,64.21,62.02,62.44,4238960
2010-04-19,62.6,64.7,62.52,64.21,3461165
2010-04-20,64.69,65.14,63.8,64.07,3080135
2010-04-21,64.07,64.74,64.0,64.5,2775195
2010-04-22,64.3,68.84,64.1,67.59,8064665
2010-04-23,67.6,68.35,66.51,66.97,3617895
2010-04-26,66.97,69.5,66.25,68.35,5133135
2010-04-27,67.91,69.2,66.4,66.65,3970570
2010-04-28,67.04,67.6,62.8,66.06,3996570
2010-04-29,66.6,67.63,64.1,66.3,4448730
2010-04-30,66.71,67.7,65.66,65.85,3353700
2010-05-03,66.12,67.03,65.64,65.79,2338005
2010-05-04,64.91,65.46,63.94,64.43,2970695
2010-05-05,63.68,66.28,63.47,64.93,3172765
2010-05-06,64.66,65.88,61.48,64.28,5219685
2010-05-07,64.6,65.0,62.27,63.04,6206900
2010-05-10,64.9,66.6,64.89,66.6,4830920
2010-05-11,65.8,66.77,65.49,65.84,2929485
2010-05-12,66.2,66.4,65.6,65.85,2704020
2010-05-13,65.83,66.06,64.77,64.77,2002690
2010-05-14,64.52,64.59,62.51,63.08,3891330
2010-05-17,63.52,63.65,62.02,63.21,2622295
2010-05-18,64.0,64.56,61.35,61.65,3596455
2010-05-19,61.6,62.44,60.32,62.14,3393180
2010-05-20,61.2,62.48,60.48,60.6,6451900
2010-05-21,60.01,63.74,60.01,63.7,6643255
2010-05-24,63.01,66.2,63.01,64.6,5651010
2010-05-25,62.81,63.6,61.32,62.46,5796275
2010-05-26,63.16,63.78,61.8,61.93,4727955
2010-05-27,63.19,63.92,62.65,63.79,3463435
2010-05-28,63.88,64.42,63.15,63.33,2851550
2010-06-01,63.09,64.2,62.23,62.33,2406500
2010-06-02,63.12,64.58,62.82,64.58,3650865
