Date,Open,High,Low,Close,Volume
2010-01-04,89.6,89.6,87.18,87.84,313807
2010-01-05,87.52,90.0,87.11,89.02,510940
2010-01-06,88.59,89.6,86.6,87.32,282888
2010-01-07,87.34,88.11,86.0,86.43,422430
2010-01-08,90.57,92.73,90.0,91.89,1196319
2010-01-11,93.86,98.0,92.5,96.77,1407312
2010-01-12,96.52,96.68,94.82,95.42,547997
2010-01-13,95.27,95.96,94.25,95.64,367278
2010-01-14,97.23,99.71,96.86,99.42,878417
2010-01-15,99.56,99.58,96.83,98.06,594939
2010-01-19,98.0,99.97,97.54,99.5,444952
2010-01-20,98.61,99.8,97.38,97.85,448326
2010-01-21,97.95,102.9,97.95,100.06,919633
2010-01-22,100.02,100.79,97.64,97.77,293533
2010-01-25,98.23,98.46,95.38,95.85,375887
2010-01-26,95.53,98.73,95.53,97.5,410244
2010-01-27,97.63,98.98,96.13,98.44,381241
2010-01-28,98.78,99.64,96.63,98.62,494196
2010-01-29,99.01,99.65,96.44,96.46,254477
2010-02-01,96.89,100.41,96.86,100.38,434268
2010-02-02,100.38,101.4,99.32,100.85,483764
2010-02-03,100.65,101.13,100.01,100.38,223018
2010-02-04,100.0,100.0,97.9,98.51,570696
2010-02-05,98.11,98.68,93.81,95.2,793178
2010-02-08,95.55,100.86,95.17,99.92,969965
2010-02-09,100.54,100.88,99.17,100.65,551784
2010-02-10,100.74,101.81,99.45,99.51,390948
2010-02-11,99.5,101.48,98.39,101.12,954205
2010-02-12,98.63,105.13,98.0,104.87,2192830
2010-02-16,105.72,106.49,103.17,103.79,604466
2010-02-17,103.8,104.7,103.49,104.46,362785
2010-02-18,104.1,105.0,103.55,103.98,285158
2010-02-19,103.56,105.46,103.56,104.99,330224
2010-02-22,105.0,105.0,103.0,103.93,363189
2010-02-23,103.94,104.6,102.88,103.64,307441
2010-02-24,103.68,105.29,103.54,104.84,249339
2010-02-25,103.69,104.36,102.93,103.82,217290
2010-02-26,104.1,105.72,103.5,104.71,309463
2010-03-01,105.53,108.5,105.33,107.93,689847
2010-03-02,108.41,110.22,107.88,110.12,818260
2010-03-03,110.15,111.75,109.4,110.08,424739
2010-03-04,110.29,110.29,108.86,109.03,316981
2010-03-05,109.16,111.55,109.07,110.63,328449
2010-03-08,110.87,112.55,110.72,111.5,362681
2010-03-09,111.5,113.22,110.9,112.01,413933
2010-03-10,112.25,112.51,110.71,112.32,272921
2010-03-11,111.46,113.17,111.3,112.96,235495
2010-03-12,113.54,115.64,113.0,114.98,500705
2010-03-15,114.09,115.63,112.93,114.18,299910
2010-03-16,114.13,115.27,114.0,114.71,391557
2010-03-17,115.11,115.53,114.3,115.02,333795
2010-03-18,115.27,115.51,113.86,114.17,327829
2010-03-19,114.33,115.36,113.36,113.63,321052
2010-03-22,113.02,114.5,110.71,114.44,332505
2010-03-23,114.76,115.61,114.25,115.27,275535
2010-03-24,115.07,115.5,114.19,114.35,194830
2010-03-25,114.65,117.12,114.05,114.98,495560
2010-03-26,115.43,115.89,113.7,114.02,247267
2010-03-29,114.62,115.0,114.04,114.6,143620
2010-03-30,115.01,116.47,113.62,114.48,270170
2010-03-31,114.15,114.91,112.53,112.67,314833
2010-04-01,113.27,115.12,113.0,114.48,229548
2010-04-05,115.12,119.82,114.87,119.3,705502
2010-04-06,119.59,122.62,118.7,122.17,835471
2010-04-07,122.88,124.56,121.46,122.47,650436
2010-04-08,122.32,123.2,121.25,122.73,257600
2010-04-09,123.31,123.43,120.78,122.52,527936
2010-04-12,123.22,124.74,122.72,123.21,270075
2010-04-13,123.24,125.99,123.22,125.54,448793
2010-04-14,127.04,127.15,125.01,125.97,314047
2010-04-15,126.13,127.2,124.71,125.08,226202
2010-04-16,125.01,125.4,122.86,124.05,300453
2010-04-19,123.78,124.95,120.25,123.43,411439
2010-04-20,124.12,125.23,122.0,124.08,546654
