Date,Open,High,Low,Close,Volume
2010-01-04,10.7,10.88,10.64,10.85,659992
2010-01-05,10.87,10.9,10.5,10.5,848708
2010-01-06,10.48,10.64,10.46,10.63,543100
2010-01-07,10.63,10.92,10.58,10.9,760126
2010-01-08,10.82,10.82,10.64,10.78,598146
2010-01-11,10.79,10.81,10.64,10.7,418638
2010-01-12,10.62,10.68,10.54,10.66,443674
2010-01-13,10.7,11.04,10.67,10.85,3340412
2010-01-14,10.89,11.08,10.82,11.0,454378
2010-01-15,11.04,11.11,10.91,11.02,771104
2010-01-19,10.76,10.8,10.38,10.5,1577420
2010-01-20,10.46,10.5,9.72,9.78,2897142
2010-01-21,9.74,10.04,9.56,9.7,1770740
2010-01-22,9.78,10.12,9.68,9.97,9959546
2010-01-25,9.94,10.05,9.76,9.9,1531294
2010-01-26,9.84,9.9,9.68,9.72,1824016
2010-01-27,9.73,9.98,9.68,9.84,1045366
2010-01-28,9.88,9.97,9.67,9.76,976948
2010-01-29,9.76,9.84,9.62,9.62,1754088
2010-02-01,9.68,9.74,9.62,9.64,1296456
2010-02-02,9.62,9.67,9.46,9.62,1174070
2010-02-03,9.62,9.66,9.51,9.56,646426
2010-02-04,9.49,9.56,9.26,9.27,807356
2010-02-05,9.27,9.32,8.96,9.2,833934
2010-02-08,9.22,9.28,8.94,9.04,710288
2010-02-09,9.1,9.24,8.8,9.15,1398854
2010-02-10,9.08,9.15,8.88,9.01,1601188
2010-02-11,8.96,9.01,8.82,8.99,1094968
2010-02-12,8.95,9.1,8.85,9.08,997478
2010-02-16,9.1,9.16,8.88,9.02,797616
2010-02-17,9.06,9.14,9.0,9.02,684468
2010-02-18,8.99,9.16,8.9,9.04,846420
2010-02-19,9.06,9.18,8.98,9.1,1050946
2010-02-22,9.08,9.18,8.96,9.02,527974
2010-02-23,9.03,9.03,8.92,8.98,668848
2010-02-24,8.98,9.0,8.86,8.94,490578
2010-02-25,8.85,9.02,8.85,8.96,572192
2010-02-26,8.98,9.0,8.88,8.94,565902
2010-03-01,8.96,9.13,8.86,9.1,775402
2010-03-02,9.1,9.34,9.1,9.28,1737086
2010-03-03,9.32,9.34,9.22,9.28,579658
2010-03-04,9.28,9.43,9.18,9.3,410120
2010-03-05,9.31,9.36,9.22,9.32,894502
2010-03-08,9.34,9.37,9.24,9.25,642416
2010-03-09,9.2,9.25,8.92,8.96,1347762
2010-03-10,8.98,9.0,8.86,8.98,1032562
2010-03-11,8.96,9.16,8.92,9.15,1205666
2010-03-12,9.14,9.22,9.0,9.04,678350
2010-03-15,9.05,9.29,8.96,9.28,855954
2010-03-16,9.32,9.6,9.22,9.6,809284
2010-03-17,9.62,9.83,9.59,9.83,1086746
2010-03-18,10.0,10.48,9.77,10.32,2382312
2010-03-19,10.38,11.03,10.34,10.92,5603486
2010-03-22,11.04,12.11,9.89,12.07,6590914
2010-03-23,12.11,12.36,11.65,12.12,4006824
2010-03-24,12.06,12.26,11.83,12.13,2080828
2010-03-25,12.2,12.52,12.0,12.06,1667802
2010-03-26,12.05,12.06,11.71,11.76,1271868
2010-03-29,11.76,12.08,11.7,12.06,1086644
2010-03-30,12.04,12.06,11.85,12.02,951418
2010-03-31,11.96,12.08,11.72,12.02,1497384
2010-04-01,12.06,12.3,12.06,12.3,1202004
2010-04-05,12.37,12.52,12.22,12.32,1272802
2010-04-06,12.32,12.44,12.2,12.3,933638
2010-04-07,12.24,12.37,12.06,12.14,1111698
2010-04-08,12.08,12.15,11.9,12.04,708624
2010-04-09,12.1,12.16,11.96,12.1,1552076
2010-04-12,12.19,12.19,12.06,12.06,1185372
2010-04-13,11.98,12.02,11.78,11.95,2099174
2010-04-14,12.02,12.2,11.88,12.16,2181574
2010-04-15,12.11,12.4,11.99,12.36,1004518
2010-04-16,12.36,12.48,12.13,12.23,930276
2010-04-19,12.18,12.72,12.18,12.58,1166506
2010-04-20,12.72,12.98,12.5,12.82,1006980
2010-04-21,12.82,12.89,12.46,12.54,848344
2010-04-22,12.46,12.58,12.26,12.58,656038
2010-04-23,12.58,12.72,12.4,12.71,563198
2010-04-26,12.69,12.74,12.21,12.33,1225078
2010-04-27,12.26,12.78,12.0,12.08,2046876
2010-04-28,12.14,12.2,11.73,11.98,1871570
2010-04-29,12.0,12.09,11.86,11.96,1834990
2010-04-30,11.92,12.02,11.45,11.45,1337474
2010-05-03,11.45,11.68,11.38,11.54,793694
2010-05-04,11.42,11.5,11.12,11.16,1144446
2010-05-05,11.16,11.22,10.99,11.18,1005212
2010-05-06,11.1,11.28,10.26,10.88,1033982
2010-05-07,10.84,10.84,10.32,10.52,1374350
2010-05-10,10.9,11.08,10.73,11.04,867918
2010-05-11,10.98,11.34,10.98,11.14,812930
2010-05-12,11.16,11.46,11.04,11.44,821998
2010-05-13,11.45,11.48,11.19,11.26,593524
2010-05-14,11.18,11.54,10.92,11.53,1151186
2010-05-17,11.64,11.9,11.41,11.54,1791066
2010-05-18,11.61,11.66,11.36,11.48,1375680
2010-05-19,11.46,11.67,11.42,11.52,810074
2010-05-20,11.32,11.36,10.83,10.84,1035814
2010-05-21,10.62,10.99,10.58,10.83,871264
2010-05-24,10.79,10.96,10.58,10.68,1043702
2010-05-25,10.49,10.72,10.38,10.68,557386
2010-05-26,10.71,11.25,10.66,11.0,1317280
2010-05-27,11.18,11.37,11.08,11.34,1156552
2010-05-28,11.28,11.51,10.99,11.41,1540854
2010-06-01,11.36,11.56,11.16,11.16,837612
2010-06-02,11.14,11.2,10.92,11.04,1640664
2010-06-03,11.11,11.48,11.08,11.41,1224654
2010-06-04,11.26,12.13,11.24,11.79,3060554
2010-06-07,11.78,11.91,11.4,11.8,1317828
2010-06-08,11.8,11.88,11.38,11.52,1263866
2010-06-09,11.52,11.68,11.25,11.32,854114
2010-06-10,11.47,11.48,11.3,11.38,517328
2010-06-11,11.29,11.56,11.2,11.46,418990
2010-06-14,11.52,11.54,11.38,11.42,565766
2010-06-15,11.48,11.57,11.36,11.54,559852
2010-06-16,11.5,11.63,11.46,11.56,416768
2010-06-17,11.56,11.68,11.48,11.67,468064
2010-06-18,11.88,11.96,11.64,11.83,1019518
2010-06-21,11.94,12.06,11.66,11.72,758860
2010-06-22,11.7,11.82,11.18,11.2,1321808
2010-06-23,11.24,11.8,11.1,11.62,1527180
2010-06-24,11.55,11.63,11.34,11.36,441558
2010-06-25,11.36,11.38,11.21,11.3,2220666
2010-06-28,11.3,11.38,11.02,11.05,634264
2010-06-29,10.91,11.03,10.55,10.62,1052272
2010-06-30,10.6,10.84,10.43,10.75,1171126
2010-07-01,10.68,10.72,10.28,10.58,1508256
2010-07-02,10.62,10.8,10.5,10.67,859846
2010-07-06,10.78,11.08,10.69,10.78,1168194
2010-07-07,10.82,10.89,10.34,10.54,1081270
2010-07-08,10.62,10.78,10.4,10.46,1064814
2010-07-09,10.48,10.52,10.26,10.42,847766
2010-07-12,10.38,10.42,10.2,10.32,489330
2010-07-13,10.44,10.72,10.23,10.68,958586
2010-07-14,10.7,11.02,10.66,10.9,767964
2010-07-15,10.88,11.02,10.78,10.95,716314
2010-07-16,10.88,10.9,10.44,10.5,658890
2010-07-19,10.51,10.57,10.34,10.46,446812
2010-07-20,10.34,10.64,10.3,10.63,580762
2010-07-21,10.6,10.71,10.12,10.12,657716
2010-07-22,10.24,10.38,10.14,10.34,579686
2010-07-23,10.35,10.68,10.22,10.6,601724
2010-07-26,10.66,10.88,10.62,10.86,592874
2010-07-27,10.88,11.39,10.88,11.08,1420160
2010-07-28,11.08,11.08,10.22,10.28,1258210
2010-07-29,10.36,10.42,10.0,10.2,678636
2010-07-30,10.09,10.72,10.06,10.66,1160252
2010-08-02,10.8,11.05,10.8,10.84,1372194
2010-08-03,10.8,11.16,10.67,11.07,835358
2010-08-04,11.09,11.66,11.09,11.32,1249552
2010-08-05,11.25,11.36,10.93,10.98,642038
2010-08-06,10.88,11.03,10.8,10.95,597120
2010-08-09,11.02,11.13,10.94,10.95,600366
2010-08-10,11.32,11.32,10.74,10.98,716284
2010-08-11,10.82,10.88,10.54,10.6,1139732
2010-08-12,10.5,10.58,10.36,10.46,879376
2010-08-13,10.41,10.62,10.26,10.52,734864
2010-08-16,10.52,10.61,10.38,10.56,813564
2010-08-17,10.64,10.7,10.44,10.49,1079312
2010-08-18,10.5,10.6,10.29,10.58,580008
2010-08-19,10.53,10.6,10.17,10.26,885562
2010-08-20,10.18,10.23,10.06,10.15,616906
2010-08-23,10.18,10.52,10.1,10.36,912166
2010-08-24,10.26,10.37,10.07,10.16,491500
2010-08-25,10.1,10.37,10.08,10.33,592470
2010-08-26,10.38,10.93,10.33,10.76,1596008
2010-08-27,10.8,10.99,10.54,10.92,738614
2010-08-30,10.92,10.92,10.42,10.42,806390
2010-08-31,10.38,10.4,10.0,10.11,1108724
2010-09-01,10.25,10.54,10.18,10.3,877700
2010-09-02,10.3,10.36,10.16,10.28,634258
2010-09-03,10.39,10.74,10.38,10.73,788150
2010-09-07,10.49,10.59,10.3,10.49,850246
2010-09-08,10.52,10.65,10.46,10.56,592732
2010-09-09,10.65,10.81,10.56,10.66,556542
2010-09-10,10.78,11.0,10.53,10.84,1040274
2010-09-13,10.94,11.14,10.92,11.06,978510
2010-09-14,11.06,11.07,10.76,11.0,699666
2010-09-15,11.0,11.18,10.94,11.1,540012
2010-09-16,11.07,11.08,10.91,10.98,735630
2010-09-17,11.08,11.08,10.73,10.94,1122030
2010-09-20,10.94,11.17,10.91,11.16,1087600
2010-09-21,11.13,11.24,10.96,11.09,659704
2010-09-22,11.07,11.2,10.88,11.04,571958
2010-09-23,10.96,11.04,10.62,10.65,810322
2010-09-24,10.76,11.02,10.67,11.0,662746
2010-09-27,11.03,11.12,10.86,11.06,584054
2010-09-28,11.1,11.5,10.96,11.46,1119880
2010-09-29,11.41,11.64,11.24,11.55,1248296
2010-09-30,11.64,11.82,11.58,11.8,1185888
2010-10-01,11.9,11.94,11.52,11.68,868452
2010-10-04,11.64,11.68,11.35,11.42,724268
2010-10-05,11.52,11.7,11.4,11.7,652478
2010-10-06,11.67,11.72,11.42,11.58,691664
2010-10-07,11.66,11.76,11.5,11.54,445090
2010-10-08,11.58,11.8,11.48,11.75,462900
2010-10-11,11.75,12.03,11.73,11.86,337912
2010-10-12,11.87,12.06,11.69,12.02,480484
2010-10-13,12.04,12.15,11.9,12.08,464076
2010-10-14,12.08,12.27,12.0,12.1,399846
2010-10-15,12.2,12.38,12.06,12.25,825244
2010-10-18,12.27,12.38,12.19,12.36,358632
2010-10-19,12.21,12.27,11.95,12.0,947594
2010-10-20,12.06,12.18,12.04,12.15,569718
2010-10-21,12.18,12.24,11.76,11.94,490734
2010-10-22,12.0,12.17,11.92,12.14,349834
2010-10-25,12.21,12.44,12.15,12.22,425448
2010-10-26,11.84,11.84,11.18,11.4,2712646
2010-10-27,11.38,11.49,11.3,11.42,797896
2010-10-28,11.33,11.4,11.2,11.25,1265936
2010-10-29,11.24,11.27,11.12,11.16,1172930
2010-11-01,11.22,11.36,11.04,11.16,720222
2010-11-02,11.26,11.44,11.24,11.43,434680
2010-11-03,11.42,11.5,11.03,11.18,1210976
2010-11-04,11.3,11.46,11.3,11.42,945610
2010-11-05,11.46,11.47,11.2,11.32,614614
2010-11-08,11.3,11.4,11.14,11.32,647060
2010-11-09,11.36,11.38,11.08,11.1,563398
2010-11-10,11.1,11.18,10.6,10.92,1665590
2010-11-11,10.8,11.07,10.7,11.04,1551510
2010-11-12,10.94,11.15,10.92,11.02,859332
2010-11-15,11.06,11.06,10.82,11.02,1076234
2010-11-16,11.06,11.19,10.92,10.97,1537508
2010-11-17,11.02,11.36,10.96,11.3,894472
2010-11-18,11.37,11.58,11.23,11.37,627246
2010-11-19,11.3,11.5,11.22,11.31,1154808
2010-11-22,11.32,11.64,11.25,11.58,875358
2010-11-23,11.53,11.62,11.47,11.5,407294
2010-11-24,11.59,11.78,11.5,11.74,550456
2010-11-26,11.62,11.7,11.56,11.56,135610
2010-11-29,11.5,11.8,11.4,11.7,539768
2010-11-30,11.55,11.73,11.48,11.62,623706
2010-12-01,11.78,11.96,11.66,11.78,595126
2010-12-02,11.77,11.92,11.68,11.91,422526
2010-12-03,11.84,12.02,11.76,11.98,599884
2010-12-06,11.94,12.12,11.88,11.98,467924
2010-12-07,12.09,12.14,11.86,11.93,807446
2010-12-08,11.93,12.41,11.92,12.34,701296
2010-12-09,12.4,12.49,11.94,11.98,934868
2010-12-10,12.0,12.24,11.98,12.12,819756
2010-12-13,12.16,12.19,11.93,11.94,363484
2010-12-14,11.94,12.18,11.94,12.16,432178
2010-12-15,12.2,12.42,12.15,12.29,530896
2010-12-16,12.29,12.62,12.25,12.54,717900
2010-12-17,12.62,12.96,12.56,12.7,1356348
2010-12-20,12.76,12.95,12.74,12.92,590494
2010-12-21,12.96,13.12,12.96,13.04,336266
2010-12-22,13.04,13.16,12.92,13.04,1111898
2010-12-23,13.03,13.22,12.96,13.02,502148
2010-12-27,13.0,13.08,12.94,13.0,143604
2010-12-28,13.04,13.04,12.77,12.92,228714
2010-12-29,12.92,13.17,12.9,13.16,295394
2010-12-30,13.17,13.2,12.86,12.86,270364
2010-12-31,12.86,12.92,12.65,12.67,326302
2011-01-03,12.78,13.26,12.75,13.21,478212
2011-01-04,13.26,13.28,13.01,13.12,604666
2011-01-05,13.08,13.12,12.94,13.05,604822
2011-01-06,13.35,14.72,13.35,13.76,2717902
