Date,Open,High,Low,Close,Volume
2010-01-04,38.66,39.14,38.55,39.05,4447478
2010-01-05,39.63,40.63,39.62,40.59,8030373
2010-01-06,40.35,40.97,40.2,40.81,5818917
2010-01-07,40.69,43.11,40.59,42.83,7885517
2010-01-08,42.43,43.19,42.01,42.46,6930195
2010-01-11,42.81,42.99,41.68,41.7,5299840
2010-01-12,41.48,42.2,41.32,41.86,6491867
2010-01-13,41.52,42.24,40.72,42.12,6079020
2010-01-14,41.81,42.1,41.29,41.67,4302650
2010-01-15,41.32,42.11,40.9,41.13,7223598
2010-01-19,40.97,43.09,40.81,43.01,7770891
2010-01-20,42.71,43.6,42.32,43.02,7280284
2010-01-21,42.86,43.54,41.45,42.7,11787756
2010-01-22,40.79,40.88,37.31,37.53,22022984
2010-01-25,38.32,38.35,35.65,36.11,17533906
2010-01-26,35.96,36.7,35.15,35.21,13504370
2010-01-27,35.31,36.86,34.65,36.55,11448017
2010-01-28,36.51,37.23,35.76,36.74,10455058
2010-01-29,37.75,37.9,36.7,36.86,8556387
2010-02-01,36.85,37.36,36.47,36.78,8421854
2010-02-02,37.47,38.44,36.92,37.43,9962254
2010-02-03,37.15,37.34,36.38,36.55,5431422
2010-02-04,36.18,36.34,34.85,34.95,9095429
2010-02-05,35.11,35.54,34.03,35.36,8869821
2010-02-08,35.41,35.76,34.6,34.63,4895048
2010-02-09,35.17,36.11,34.86,35.33,5408975
2010-02-10,35.23,36.01,34.97,35.56,4672455
2010-02-11,35.5,35.87,34.83,35.64,4801024
2010-02-12,35.1,35.38,34.68,35.14,7014362
2010-02-16,36.19,36.91,35.95,36.74,8240495
2010-02-17,36.98,37.29,36.45,36.85,6432107
2010-02-18,36.61,37.54,36.61,37.33,5329728
2010-02-19,37.27,37.85,36.86,37.79,6076070
2010-02-22,37.9,38.53,37.68,38.28,6873596
2010-02-23,38.1,38.37,36.83,37.03,7199553
2010-02-24,37.2,37.69,36.91,37.64,4333048
2010-02-25,37.03,37.43,36.4,37.37,5267779
2010-02-26,37.35,37.92,37.04,37.75,3824359
2010-03-01,37.94,38.06,37.23,37.38,4420332
2010-03-02,37.52,38.33,37.47,37.98,3617571
2010-03-03,38.04,38.76,37.46,37.76,5416717
2010-03-04,37.48,37.55,36.58,36.84,9498289
2010-03-05,36.5,38.05,36.15,37.94,10042495
2010-03-08,38.06,38.26,37.56,37.85,4008060
2010-03-09,37.68,39.13,37.5,38.66,6799143
2010-03-10,38.93,39.66,38.74,39.09,5788933
2010-03-11,38.99,39.85,38.75,39.81,4838307
2010-03-12,39.88,40.75,39.46,39.89,6531246
2010-03-15,39.9,40.43,38.95,39.98,7803328
2010-03-16,40.26,40.42,39.27,40.39,7873170
2010-03-17,40.61,40.91,39.96,40.25,5605739
2010-03-18,40.2,40.92,40.03,40.84,5478613
2010-03-19,40.94,41.23,39.75,39.77,7784595
2010-03-22,39.37,40.69,39.33,40.61,6350024
2010-03-23,40.59,41.12,40.3,40.91,4431196
2010-03-24,40.79,41.63,40.66,41.26,5131071
2010-03-25,41.56,42.79,41.56,42.05,6347171
2010-03-26,42.29,42.83,41.63,41.92,4469763
2010-03-29,42.34,42.75,41.79,42.65,4870689
2010-03-30,42.65,43.0,41.88,41.92,4641627
2010-03-31,41.54,41.83,41.14,41.41,5264596
2010-04-01,41.78,41.86,41.19,41.57,3969995
2010-04-05,41.86,43.21,41.62,43.15,5690151
2010-04-06,42.93,43.38,42.7,43.26,5764921
2010-04-07,43.02,43.68,42.74,43.15,6164605
2010-04-08,42.77,44.16,42.77,43.99,5279989
2010-04-09,44.09,44.42,43.44,43.86,3445710
2010-04-12,43.91,45.35,43.91,45.18,7030404
2010-04-13,45.14,45.2,44.51,44.95,4524567
2010-04-14,45.61,46.4,44.27,46.06,9193766
2010-04-15,46.26,46.31,45.03,45.15,8515032
2010-04-16,45.07,45.47,42.82,43.49,11226913
2010-04-19,43.1,43.82,42.7,43.81,5968075
2010-04-20,44.14,44.6,43.71,44.58,4244540
2010-04-21,44.58,45.06,44.1,44.74,5103085
2010-04-22,44.11,45.85,44.02,45.55,6260949
2010-04-23,47.73,47.73,45.2,46.73,10860014
2010-04-26,46.57,46.84,45.14,45.24,7297638
2010-04-27,44.93,45.52,43.11,43.29,9439934
2010-04-28,43.81,44.5,43.5,43.87,5385462
2010-04-29,44.37,45.32,44.19,44.87,5679160
2010-04-30,44.71,45.11,43.3,43.41,5548896
2010-05-03,43.73,46.36,43.73,46.13,7934856
2010-05-04,45.37,46.0,44.4,44.89,7513478
2010-05-05,44.14,45.6,43.67,44.24,7756711
2010-05-06,43.93,45.6,40.5,43.12,12246674
2010-05-07,43.05,43.74,40.97,42.14,11135290
2010-05-10,44.11,45.38,43.45,44.2,7256783
2010-05-11,43.41,45.78,43.28,44.78,8386484
2010-05-12,45.35,46.78,44.58,46.61,7920694
2010-05-13,46.0,46.12,44.9,44.91,6460753
2010-05-14,43.18,43.46,42.11,42.76,12582998
2010-05-17,43.31,43.79,40.86,42.61,11846317
2010-05-18,43.21,43.21,40.63,41.57,12252633
2010-05-19,41.29,43.22,41.18,42.38,12229641
2010-05-20,41.63,43.74,41.29,41.33,15338426
2010-05-21,40.44,42.04,40.26,41.81,12224780
2010-05-24,41.95,42.44,40.86,40.92,5806712
2010-05-25,39.88,40.77,39.08,40.65,8866170
2010-05-26,41.3,41.77,40.01,40.31,6136329
2010-05-27,41.29,42.28,41.07,42.21,4282534
2010-05-28,42.04,42.37,40.9,41.3,4296461
2010-06-01,40.7,41.6,40.45,40.48,4489540
2010-06-02,40.85,41.81,40.2,41.75,5016145
2010-06-03,41.74,41.93,40.77,41.19,5151204
2010-06-04,40.12,40.68,39.03,39.31,7139016
2010-06-07,39.65,40.21,38.36,38.5,5735104
2010-06-08,38.79,39.1,37.71,39.01,7268300
2010-06-09,39.33,39.54,37.83,38.02,7364918
2010-06-10,38.87,40.16,38.57,40.07,6754194
2010-06-11,39.37,40.4,39.32,40.26,6717459
2010-06-14,40.75,40.95,40.07,40.46,5784882
2010-06-15,40.71,42.62,40.67,42.53,8836880
2010-06-16,42.11,42.84,41.87,42.5,6309513
2010-06-17,42.59,42.6,41.87,42.37,5387184
2010-06-18,42.49,42.74,42.11,42.64,4783050
2010-06-21,43.21,44.19,43.13,43.33,6820734
2010-06-22,43.38,44.78,43.02,43.65,7245331
2010-06-23,43.45,43.92,42.78,43.24,5154719
2010-06-24,42.89,43.67,42.55,42.77,6763351
2010-06-25,43.1,43.59,42.16,43.44,6294397
2010-06-28,43.55,43.6,42.65,42.93,3794059
2010-06-29,42.23,42.47,40.52,40.82,7043988
2010-06-30,40.82,41.53,40.15,40.3,5451762
2010-07-01,40.25,40.78,38.66,39.58,7863586
2010-07-02,40.02,40.12,38.6,39.43,4247041
2010-07-06,39.92,40.95,39.04,39.57,4988907
2010-07-07,39.89,42.18,39.89,42.09,6929672
2010-07-08,42.65,43.2,41.89,42.78,4933190
2010-07-09,42.74,43.81,42.52,43.68,4075850
2010-07-12,43.34,43.77,43.05,43.68,2860593
2010-07-13,44.26,45.2,43.93,45.0,5786958
2010-07-14,44.61,44.62,43.84,44.53,4540270
2010-07-15,44.49,44.5,42.27,43.26,9129539
2010-07-16,42.64,42.72,41.28,41.46,7639076
2010-07-19,41.61,41.8,40.58,40.99,4798989
2010-07-20,40.19,41.5,40.02,41.46,7504038
2010-07-21,41.94,41.98,39.97,40.09,5058800
2010-07-22,40.98,42.6,40.96,42.08,6836601
2010-07-23,40.85,40.98,39.6,40.84,10399504
2010-07-26,40.72,41.7,40.59,41.45,4339104
2010-07-27,41.71,42.19,40.99,41.55,6533997
2010-07-28,41.43,42.0,41.16,41.77,4991883
2010-07-29,41.68,42.76,41.68,42.42,6660509
2010-07-30,41.94,42.51,41.67,42.33,4536322
2010-08-02,43.09,43.36,42.42,42.78,5762949
2010-08-03,42.39,42.54,41.65,41.93,4760903
2010-08-04,42.18,42.22,41.23,41.64,4278326
2010-08-05,41.21,41.7,41.06,41.17,3821068
2010-08-06,40.66,40.92,39.98,40.92,4626729
2010-08-09,41.04,41.41,40.56,41.27,2575792
2010-08-10,40.68,42.04,40.46,41.48,4811556
2010-08-11,40.7,40.96,39.84,39.86,4651350
2010-08-12,39.41,39.59,38.5,38.61,8206948
2010-08-13,38.59,39.38,38.53,38.82,4497502
2010-08-16,38.62,39.5,38.53,38.93,4182308
2010-08-17,39.29,39.87,39.0,39.12,4548154
2010-08-18,39.22,39.32,38.59,39.06,3997822
2010-08-19,38.83,38.89,37.44,37.61,6318407
2010-08-20,37.41,38.0,37.3,37.78,4155674
2010-08-23,37.97,38.43,37.81,37.88,4011074
2010-08-24,37.26,37.65,36.95,37.33,4864267
2010-08-25,37.03,37.37,36.69,37.12,5043361
2010-08-26,37.65,38.0,37.1,37.21,4361232
2010-08-27,37.5,38.45,36.91,38.21,5424650
2010-08-30,38.05,38.64,37.62,37.64,4823880
2010-08-31,37.63,38.42,37.41,37.87,3733137
2010-09-01,38.25,39.05,38.17,39.03,4939369
2010-09-02,39.15,39.53,38.91,39.52,3483729
2010-09-03,39.98,40.77,39.96,40.69,4110825
2010-09-07,40.28,40.38,38.81,38.85,4752650
2010-09-08,39.01,39.93,38.96,39.08,6960346
2010-09-09,39.89,40.06,38.97,39.4,3867189
2010-09-10,39.5,39.61,38.52,38.89,3900757
2010-09-13,39.6,40.16,39.2,39.45,4754953
2010-09-14,39.19,39.36,38.48,38.6,4452807
2010-09-15,38.25,39.24,38.05,39.09,4263366
2010-09-16,38.88,39.73,38.87,39.51,4489606
2010-09-17,39.66,39.73,38.64,38.67,7636210
2010-09-20,38.9,39.48,38.8,39.33,4588371
2010-09-21,39.3,39.42,38.26,38.33,4835602
2010-09-22,38.37,38.72,37.6,37.89,6325528
2010-09-23,37.55,38.41,37.4,37.67,5994533
2010-09-24,38.35,39.4,38.07,39.35,5365275
2010-09-27,39.38,39.38,38.73,38.77,3660627
2010-09-28,38.86,39.21,38.4,39.15,3547456
2010-09-29,38.89,39.23,38.69,38.93,2860274
2010-09-30,39.21,39.91,38.8,39.55,5612052
2010-10-01,39.93,40.03,38.72,39.3,4673625
2010-10-04,39.23,39.47,38.43,38.57,4842877
2010-10-05,38.94,40.61,38.74,40.39,6730877
2010-10-06,40.3,40.63,39.95,40.16,3750766
2010-10-07,40.46,40.63,39.23,39.27,5375492
2010-10-08,39.41,39.8,39.2,39.36,3405011
2010-10-11,39.47,39.86,39.26,39.68,2491377
2010-10-12,39.56,40.69,39.48,40.57,3960994
2010-10-13,40.86,41.15,39.91,40.43,6419603
2010-10-14,40.18,40.41,39.2,39.89,7169820
2010-10-15,40.24,40.25,36.5,36.86,18954011
2010-10-18,36.86,37.24,36.1,37.23,10508195
2010-10-19,38.25,40.15,37.71,38.76,17154341
2010-10-20,38.79,38.89,37.21,38.75,11237871
2010-10-21,38.89,39.76,38.75,39.3,7079891
2010-10-22,39.24,39.56,38.89,39.12,2711382
2010-10-25,39.45,39.84,38.14,38.24,5967750
2010-10-26,38.14,38.41,37.62,37.77,5813510
2010-10-27,37.5,38.43,37.42,37.91,5151242
2010-10-28,38.21,38.43,37.55,37.92,3127976
2010-10-29,37.66,37.79,37.08,37.27,5144965
2010-11-01,37.41,38.0,36.88,37.31,5018150
2010-11-02,37.66,37.8,37.11,37.36,3822622
2010-11-03,37.47,37.81,37.16,37.76,4328703
2010-11-04,38.3,39.44,37.92,39.3,6998387
2010-11-05,39.44,41.0,39.1,40.36,7910844
2010-11-08,40.1,40.62,39.78,40.08,4272888
2010-11-09,40.26,40.26,38.49,38.73,4981662
2010-11-10,38.9,39.7,38.57,39.66,4973585
2010-11-11,39.19,39.64,38.93,39.51,3375241
2010-11-12,39.23,39.57,38.7,39.27,4467184
2010-11-15,39.43,40.52,39.38,39.69,4852408
2010-11-16,39.38,39.57,38.66,38.82,5681716
2010-11-17,38.78,38.98,38.13,38.27,3966531
2010-11-18,38.72,38.9,37.98,38.06,5124586
2010-11-19,37.85,38.12,37.5,37.82,4861290
2010-11-22,37.69,37.75,37.0,37.12,5174157
2010-11-23,36.81,37.18,36.44,36.55,4925115
2010-11-24,36.81,37.84,36.65,37.7,4737430
2010-11-26,37.29,37.57,37.0,37.0,1481972
2010-11-29,36.8,37.88,36.54,37.73,5008504
2010-11-30,37.36,37.67,37.07,37.23,4649269
2010-12-01,37.79,38.25,37.52,38.13,4689250
2010-12-02,38.11,39.06,37.8,38.95,4658071
2010-12-03,38.66,38.84,38.16,38.76,4197199
2010-12-06,38.67,38.79,38.33,38.52,2362527
2010-12-07,38.93,39.36,38.37,38.57,3937373
2010-12-08,38.57,40.58,38.46,40.53,6391692
2010-12-09,40.8,41.4,40.64,41.27,5956202
2010-12-10,41.76,42.4,41.66,42.21,5281204
2010-12-13,42.61,42.69,41.93,42.22,3955905
2010-12-14,42.2,42.76,42.0,42.1,3064578
2010-12-15,41.82,41.9,41.29,41.52,4355287
2010-12-16,41.47,41.85,40.8,40.9,7306247
2010-12-17,40.85,41.0,40.08,40.49,5936903
2010-12-20,40.8,41.23,40.55,41.05,3809219
2010-12-21,41.32,42.42,41.15,42.18,4063247
2010-12-22,42.26,42.91,42.12,42.54,2632060
2010-12-23,42.21,42.78,42.13,42.36,1779116
2010-12-27,42.08,42.83,42.01,42.59,1332099
2010-12-28,42.39,42.95,42.32,42.78,1411959
2010-12-29,42.79,42.9,42.45,42.6,1600793
2010-12-30,42.47,42.58,42.06,42.47,2164950
2010-12-31,42.45,42.7,42.26,42.56,1781740
2011-01-03,43.01,44.1,43.01,43.69,3847715
2011-01-04,43.77,44.1,43.21,43.68,3339988
2011-01-05,43.67,45.52,43.42,45.52,6710873
2011-01-06,45.69,45.85,45.17,45.4,5195305
2011-01-07,45.59,45.68,44.26,45.41,5620233
2011-01-10,44.99,46.11,44.88,45.57,3647072
2011-01-11,45.86,46.62,45.75,46.2,3374325
2011-01-12,46.7,47.38,46.58,47.17,5553985
2011-01-13,47.06,47.2,46.23,46.69,4081518
2011-01-14,46.66,48.62,46.66,48.38,5045918
2011-01-18,49.06,49.06,47.46,48.01,4903702
2011-01-19,47.59,47.9,47.05,47.32,4960035
2011-01-20,47.2,47.48,46.25,47.25,5485537
2011-01-21,47.84,49.69,47.6,49.17,8087093
2011-01-24,49.06,49.3,48.28,48.47,4020005
2011-01-25,47.73,48.4,47.54,48.21,3958631
2011-01-26,48.47,49.14,48.24,48.28,2959160
2011-01-27,48.54,48.89,47.71,48.4,3691922
2011-01-28,48.67,49.05,47.98,48.24,5726279
2011-01-31,48.5,48.6,47.97,48.16,4013329
2011-02-01,48.54,50.0,48.31,49.86,5156071
2011-02-02,48.97,49.92,48.97,49.46,3822150
2011-02-03,49.39,49.46,48.54,49.05,2695812
2011-02-04,49.19,49.19,48.44,48.76,3043258
2011-02-07,48.99,49.95,48.82,49.53,2648643
2011-02-08,49.62,51.7,49.45,51.58,7630771
2011-02-09,51.26,51.62,50.44,51.03,4817151
2011-02-10,50.78,51.78,50.77,51.7,3820935
2011-02-11,51.55,52.4,51.52,52.06,4225498
2011-02-14,51.96,52.92,51.96,52.76,3811676
2011-02-15,52.69,52.9,51.83,52.11,4099404
2011-02-16,52.39,52.4,51.74,52.11,3722240
2011-02-17,51.99,52.4,51.77,52.13,2667368
2011-02-18,52.3,52.98,51.67,52.69,3793448
2011-02-22,51.91,52.39,50.45,50.73,6293718
2011-02-23,50.8,51.11,49.39,50.34,4699609
2011-02-24,50.36,51.29,49.94,50.63,4408972
2011-02-25,50.86,51.03,49.98,49.99,4678939
2011-02-28,50.25,50.5,49.57,49.77,4722673
2011-03-01,49.88,49.88,48.19,48.26,6300441
2011-03-02,48.13,49.0,47.79,47.91,3918095
2011-03-03,48.37,49.14,48.14,48.97,5016066
2011-03-04,49.73,49.99,48.0,48.53,5944491
2011-03-07,48.64,48.76,48.1,48.3,5148267
2011-03-08,48.53,49.53,48.47,49.28,5095030
2011-03-09,48.96,49.68,48.93,49.33,2758889
2011-03-10,48.61,48.63,47.78,48.27,3335855
2011-03-11,48.03,49.88,48.0,49.57,3882386
2011-03-14,49.11,49.52,48.13,49.46,3890651
2011-03-15,47.93,51.45,47.93,51.1,8401142
2011-03-16,51.08,51.45,50.13,50.2,7106332
2011-03-17,51.12,51.34,50.27,50.78,4103337
2011-03-18,51.55,52.28,50.79,51.05,6330625
2011-03-21,51.76,51.86,50.6,51.24,3713997
2011-03-22,51.23,51.36,50.55,50.56,3525958
2011-03-23,50.57,51.62,50.3,51.41,3562530
2011-03-24,50.61,52.15,49.76,51.86,6809792
2011-03-25,51.97,52.49,51.7,52.23,3164603
2011-03-28,52.46,52.46,51.57,51.58,2494876
2011-03-29,51.63,52.12,51.16,52.01,2360106
2011-03-30,52.3,52.87,51.85,52.11,3435428
2011-03-31,51.89,52.38,51.36,51.96,3044922
2011-04-01,52.53,52.69,51.77,52.09,3129486
2011-04-04,52.09,52.16,51.6,51.82,2184275
2011-04-05,51.71,52.04,51.24,51.67,2931875
2011-04-06,51.84,52.24,51.53,52.15,2507683
2011-04-07,52.1,52.46,51.71,51.95,2696823
2011-04-08,52.05,52.11,51.59,51.65,2499726
2011-04-11,51.69,52.03,51.35,51.5,2649868
2011-04-12,51.23,51.81,50.86,51.62,3050111
2011-04-13,51.99,52.03,51.06,51.53,3735666
2011-04-14,51.24,51.29,50.23,50.25,3366390
2011-04-15,50.31,50.8,49.32,50.03,4422447
2011-04-18,49.44,49.67,48.83,49.44,3015217
2011-04-19,49.48,50.47,49.44,50.22,3454776
2011-04-20,50.82,50.88,50.19,50.53,3177533
2011-04-21,51.43,53.83,51.42,53.26,8836918
2011-04-25,53.4,54.49,53.03,54.45,5012119
2011-04-26,54.79,54.79,53.8,54.61,4012686
2011-04-27,54.8,55.64,54.58,55.44,4888715
2011-04-28,55.33,55.64,55.11,55.2,2927813
2011-04-29,55.23,55.44,54.59,54.73,3091819
2011-05-02,55.13,55.3,54.72,54.78,3570903
2011-05-03,54.73,54.95,54.04,54.04,4456628
2011-05-04,54.13,54.24,52.79,53.17,4833849
2011-05-05,53.07,53.68,52.57,53.14,3970559
2011-05-06,53.93,54.63,53.45,53.79,4091518
2011-05-09,53.53,53.85,53.16,53.37,2311623
2011-05-10,53.65,54.06,53.37,53.95,2127228
2011-05-11,53.68,53.87,52.92,53.03,2855368
2011-05-12,53.02,53.16,52.09,52.95,3624461
2011-05-13,52.95,53.12,52.14,52.34,3383602
2011-05-16,52.14,54.02,51.87,53.48,4694054
2011-05-17,53.16,54.87,53.0,54.87,4806200
2011-05-18,54.98,55.4,54.28,55.37,3851535
2011-05-19,55.68,56.26,55.37,56.21,3608380
2011-05-20,56.02,56.17,54.98,55.07,4595227
2011-05-23,54.35,54.65,54.04,54.09,2551802
2011-05-24,54.24,54.25,52.82,53.03,4020158
2011-05-25,52.91,52.94,52.05,52.41,4220005
2011-05-26,52.22,53.24,51.83,52.87,3354509
2011-05-27,53.16,54.32,53.11,54.04,3487338
2011-05-31,54.46,54.81,53.95,54.34,2776773
2011-06-01,54.03,54.03,52.67,52.75,3792718
2011-06-02,52.75,53.29,52.0,52.52,3741846
2011-06-03,51.85,52.31,51.5,51.55,3271273
2011-06-06,51.43,51.61,50.33,50.73,4322252
2011-06-07,51.0,51.0,49.97,50.16,3657365
2011-06-08,50.05,50.92,49.52,49.7,3853968
2011-06-09,49.98,50.71,49.94,50.15,2508532
2011-06-10,49.97,50.07,48.85,49.54,4200906
2011-06-13,49.81,50.32,49.69,50.06,3415504
2011-06-14,50.52,50.63,48.25,48.43,10303878
2011-06-15,48.09,48.83,47.33,47.87,6700642
2011-06-16,47.85,49.91,47.77,49.0,9108446
2011-06-17,49.31,49.81,48.24,48.84,6082066
2011-06-20,48.72,50.71,48.57,49.59,5877539
2011-06-21,50.01,50.95,49.82,50.66,4581904
2011-06-22,50.37,51.25,50.22,50.36,3403892
2011-06-23,49.72,50.66,49.64,50.36,4248272
2011-06-24,50.33,50.5,49.22,49.51,4427006
2011-06-27,49.59,50.89,49.29,50.76,3623010
2011-06-28,50.92,51.58,50.44,51.42,3590305
2011-06-29,51.76,52.35,51.0,52.26,5180484
2011-06-30,52.38,52.6,51.28,51.67,5462933
2011-07-01,51.74,52.83,51.53,52.65,3102780
2011-07-05,52.56,53.17,51.89,53.06,3837139
2011-07-06,52.77,53.18,52.04,53.13,3610018
2011-07-07,54.06,54.97,53.87,54.31,4879629
2011-07-08,53.5,54.26,53.47,53.71,3319684
2011-07-11,52.84,53.37,51.89,52.07,3991091
2011-07-12,52.05,52.95,51.99,52.24,2838096
2011-07-13,51.72,52.11,50.67,50.87,10159234
2011-07-14,50.52,50.7,48.63,48.75,40184141
2011-07-15,49.0,49.04,47.95,48.5,12886436
2011-07-18,48.39,48.9,47.55,48.35,7534309
2011-07-19,48.52,49.2,47.85,48.56,6713629
2011-07-20,48.82,49.33,48.39,48.95,5740312
2011-07-21,49.26,50.4,49.16,50.0,8036133
2011-07-22,49.91,50.05,49.48,49.64,3935671
2011-07-25,49.27,49.57,48.76,48.88,4246724
2011-07-26,48.85,49.26,48.22,48.84,4955418
2011-07-27,48.58,48.69,47.55,47.61,5000501
2011-07-28,47.72,48.55,47.53,47.63,3461788
2011-07-29,47.28,48.04,46.58,47.8,5414142
2011-08-01,48.14,48.36,46.92,47.12,5145874
2011-08-02,46.88,47.08,45.07,45.08,7687607
2011-08-03,45.27,46.15,44.34,45.96,6162573
2011-08-04,45.29,45.31,43.1,43.1,8424078
