Date,Open,High,Low,Close,Volume
2010-01-04,38.26,38.48,37.61,37.75,481198
2010-01-05,37.52,38.21,37.48,38.19,310851
2010-01-06,37.94,38.48,37.86,38.17,390695
2010-01-07,37.9,38.7,37.78,38.57,350524
2010-01-08,38.25,38.43,37.79,37.95,235773
2010-01-11,38.0,38.15,37.7,38.0,206277
2010-01-12,37.62,38.22,37.54,37.63,203677
2010-01-13,37.76,38.66,37.74,38.66,329977
2010-01-14,38.36,38.9,38.11,38.52,554234
2010-01-15,38.26,38.31,37.58,37.69,354505
2010-01-19,37.81,38.59,37.71,38.25,243621
2010-01-20,38.06,38.34,37.97,38.07,230845
2010-01-21,38.26,38.26,36.51,37.04,498892
2010-01-22,37.02,37.29,36.53,36.67,435340
2010-01-25,36.82,37.06,36.12,36.44,640110
2010-01-26,36.35,36.76,35.91,36.16,264262
2010-01-27,36.01,36.26,35.43,35.83,312295
2010-01-28,36.05,36.06,35.36,35.43,228812
2010-01-29,35.67,35.85,35.32,35.32,327547
2010-02-01,35.66,35.68,34.9,35.15,558966
2010-02-02,35.15,35.95,35.15,35.8,645416
2010-02-03,35.77,35.8,35.26,35.26,200380
2010-02-04,35.1,36.59,34.85,36.45,676973
2010-02-05,36.42,36.49,35.8,36.17,465917
2010-02-08,36.26,36.73,36.06,36.2,229769
2010-02-09,36.3,36.75,35.87,36.65,359701
2010-02-10,36.69,37.05,36.35,36.97,399991
2010-02-11,36.85,37.67,36.75,37.66,318845
2010-02-12,37.55,38.4,37.26,38.33,773901
2010-02-16,38.39,38.47,37.61,38.14,288461
2010-02-17,38.11,38.8,38.11,38.73,254162
2010-02-18,38.51,38.61,38.09,38.42,205574
2010-02-19,38.23,38.6,38.08,38.44,179982
2010-02-22,38.57,39.23,38.03,39.18,433409
2010-02-23,39.17,39.46,38.76,39.18,655884
2010-02-24,39.14,40.19,39.08,40.08,391893
2010-02-25,39.75,40.24,39.65,40.2,445672
2010-02-26,40.11,40.41,39.84,40.06,419898
2010-03-01,40.28,40.98,40.02,40.71,311121
2010-03-02,40.7,41.0,40.49,40.96,399131
2010-03-03,41.18,41.24,39.71,39.77,624691
2010-03-04,40.0,40.29,39.8,40.2,492809
2010-03-05,39.41,40.14,38.15,38.51,1296906
2010-03-08,38.64,39.33,38.5,39.25,546881
2010-03-09,39.25,39.25,38.73,39.08,262714
2010-03-10,39.01,39.92,38.81,39.75,264356
2010-03-11,39.81,39.81,39.09,39.47,282655
2010-03-12,39.47,39.67,38.71,38.87,188563
2010-03-15,38.9,39.13,38.54,38.99,147333
2010-03-16,38.81,39.1,38.24,39.04,181099
2010-03-17,39.19,39.66,39.05,39.64,201810
2010-03-18,39.8,40.0,39.58,39.88,163928
2010-03-19,39.97,40.59,39.62,40.07,422899
2010-03-22,39.79,41.55,39.79,41.01,283408
2010-03-23,41.03,41.03,40.09,40.68,187597
2010-03-24,40.7,40.78,40.09,40.25,163960
2010-03-25,40.38,40.44,39.65,39.69,203081
2010-03-26,39.79,39.79,37.26,38.02,1260170
2010-03-29,38.15,38.7,37.96,38.51,805115
2010-03-30,38.55,38.94,38.29,38.72,587698
2010-03-31,38.61,39.1,38.44,38.88,497324
2010-04-01,38.99,39.39,38.67,38.97,292618
2010-04-05,38.89,39.4,38.84,39.16,236473
2010-04-06,38.97,38.97,38.33,38.39,373506
2010-04-07,38.25,38.28,37.71,38.05,242375
2010-04-08,38.08,38.34,37.64,38.25,618818
2010-04-09,38.35,38.76,38.22,38.76,206291
2010-04-12,38.91,39.58,38.66,39.45,515289
2010-04-13,39.9,40.09,38.92,39.17,342628
2010-04-14,39.31,39.36,38.62,38.8,287404
2010-04-15,38.83,38.83,38.34,38.57,211266
2010-04-16,38.56,38.59,37.9,38.12,281613
2010-04-19,38.1,38.55,37.9,38.01,305478
2010-04-20,38.21,39.57,38.16,39.24,393334
2010-04-21,39.18,39.25,38.71,39.0,222898
2010-04-22,38.87,38.94,38.45,38.65,238217
2010-04-23,38.71,38.91,38.36,38.85,102787
2010-04-26,38.91,39.22,38.91,39.06,235937
2010-04-27,38.88,39.16,38.78,38.83,337833
2010-04-28,38.88,39.34,38.7,39.04,275153
2010-04-29,39.07,39.44,38.87,39.4,184322
2010-04-30,39.35,39.56,38.86,38.89,318489
2010-05-03,39.0,39.06,38.55,38.89,268691
2010-05-04,38.57,38.81,37.37,37.61,339876
2010-05-05,37.23,38.0,36.66,37.7,318928
2010-05-06,37.57,37.91,35.36,37.23,444599
2010-05-07,37.07,37.3,36.11,36.25,654843
2010-05-10,37.26,37.73,36.45,36.73,474314
2010-05-11,36.57,36.7,36.31,36.58,660049
2010-05-12,36.57,37.16,36.57,37.09,400114
2010-05-13,36.96,37.5,36.96,37.27,226439
2010-05-14,37.13,37.13,36.19,36.4,376817
2010-05-17,36.57,37.05,35.95,36.62,376081
2010-05-18,36.73,37.14,36.54,36.6,252515
2010-05-19,36.55,36.72,35.97,36.29,183856
2010-05-20,36.0,36.3,34.76,35.09,466597
2010-05-21,34.7,35.21,34.28,34.85,287829
2010-05-24,35.91,37.41,35.7,35.8,761577
2010-05-25,35.76,35.76,34.7,35.57,512942
2010-05-26,35.56,36.37,35.33,35.46,348466
2010-05-27,35.93,37.06,35.88,37.02,302017
2010-05-28,37.07,37.27,36.81,36.86,218064
2010-06-01,36.71,36.97,35.99,36.05,233396
2010-06-02,36.11,37.26,35.8,37.13,349177
2010-06-03,37.15,38.51,37.15,37.96,626702
2010-06-04,36.94,38.38,36.79,37.22,943757
2010-06-07,37.31,37.58,36.7,37.03,556192
2010-06-08,36.95,37.11,35.47,35.7,822130
2010-06-09,35.91,36.66,35.78,36.0,589293
2010-06-10,36.42,36.42,35.93,36.15,336881
2010-06-11,36.04,36.86,35.89,36.8,377875
2010-06-14,37.0,37.5,36.83,36.92,328909
2010-06-15,37.07,38.4,37.07,38.36,501131
2010-06-16,38.19,38.87,38.19,38.56,367163
2010-06-17,38.8,38.92,38.37,38.86,241464
2010-06-18,39.06,39.92,38.82,39.8,711926
2010-06-21,40.37,41.24,40.27,40.9,792027
2010-06-22,40.56,41.5,40.47,40.9,1104717
2010-06-23,40.7,40.99,40.22,40.26,514581
2010-06-24,40.02,40.36,39.79,39.96,529108
2010-06-25,40.01,41.81,39.67,41.57,1275914
2010-06-28,41.73,41.82,40.97,41.54,1037536
2010-06-29,41.23,41.23,39.95,40.03,715794
2010-06-30,40.13,40.46,39.67,39.79,604579
2010-07-01,39.8,39.8,38.96,39.38,659741
2010-07-02,39.54,39.85,39.04,39.2,323700
2010-07-06,39.6,39.95,39.07,39.1,652581
2010-07-07,39.2,39.66,38.96,39.61,634265
2010-07-08,39.84,39.99,39.29,39.56,687118
2010-07-09,39.61,39.78,39.35,39.78,200215
2010-07-12,39.64,39.82,39.36,39.56,142713
2010-07-13,39.87,40.2,39.74,40.02,226327
2010-07-14,40.19,40.19,39.48,39.83,305299
2010-07-15,39.89,39.89,39.21,39.29,426522
2010-07-16,39.14,39.36,38.61,38.63,480841
2010-07-19,38.75,38.75,37.91,38.19,639496
2010-07-20,37.93,38.27,37.43,38.27,345291
2010-07-21,38.45,38.8,37.7,37.88,452368
2010-07-22,38.28,38.8,37.95,38.78,277757
2010-07-23,38.63,39.42,38.63,39.07,597584
2010-07-26,38.97,39.9,38.97,39.88,342914
2010-07-27,39.95,40.04,39.11,39.47,243148
2010-07-28,39.27,39.44,38.63,38.85,239309
2010-07-29,39.06,39.14,38.51,38.94,295657
2010-07-30,38.4,39.2,38.3,38.86,338435
2010-08-02,39.15,39.66,39.0,39.59,411640
2010-08-03,39.57,40.09,39.26,39.76,290604
2010-08-04,39.82,40.79,39.73,40.68,366833
2010-08-05,40.49,40.7,40.2,40.43,350787
2010-08-06,40.15,41.23,39.98,41.19,345935
2010-08-09,41.23,41.37,40.75,41.02,262985
2010-08-10,40.77,41.04,40.75,40.95,337364
2010-08-11,40.46,40.67,40.11,40.2,435150
2010-08-12,40.05,40.57,39.9,40.5,247203
2010-08-13,40.5,40.65,40.04,40.1,322265
2010-08-16,40.0,41.0,39.97,40.94,383854
2010-08-17,41.32,42.26,41.21,41.9,307600
2010-08-18,41.94,41.94,41.36,41.4,506323
2010-08-19,41.15,41.23,40.28,40.86,330985
2010-08-20,40.8,40.87,40.27,40.81,137233
2010-08-23,41.0,41.59,40.97,41.24,390086
2010-08-24,41.0,41.23,40.4,41.17,336844
2010-08-25,41.07,41.13,40.33,40.65,397077
2010-08-26,40.7,40.92,39.88,40.02,207756
2010-08-27,40.1,40.1,39.37,39.85,439410
2010-08-30,39.75,40.04,39.44,39.83,544913
2010-08-31,39.79,40.6,39.43,40.34,539353
2010-09-01,40.65,41.0,40.49,40.81,428505
2010-09-02,40.9,41.43,40.79,41.26,400712
2010-09-03,45.0,45.0,43.74,44.18,2259035
2010-09-07,43.83,44.31,43.65,43.67,567648
2010-09-08,43.78,44.06,43.5,43.66,546258
2010-09-09,43.95,44.07,43.73,44.0,458356
2010-09-10,44.12,44.13,43.76,44.05,452502
2010-09-13,44.6,46.33,44.38,46.15,1154175
2010-09-14,45.81,45.81,45.1,45.32,703397
2010-09-15,45.28,46.36,45.14,46.26,425060
2010-09-16,46.1,46.37,45.77,46.24,349453
