Date,Open,High,Low,Close,Volume
2010-01-04,51.77,52.68,51.53,52.58,10581695
2010-01-05,52.65,52.77,52.21,52.63,7689875
2010-01-06,52.67,53.07,52.33,53.01,8867559
2010-01-07,52.71,53.09,52.5,52.8,5832260
2010-01-08,52.61,53.28,52.43,53.26,5552872
2010-01-11,53.54,53.74,53.06,53.57,6836998
2010-01-12,53.0,53.01,52.28,52.43,8620109
2010-01-13,52.21,52.96,51.98,52.76,7225159
2010-01-14,52.66,53.15,52.5,52.98,6735511
2010-01-15,52.83,53.06,52.46,53.02,8840552
2010-01-19,52.45,53.8,52.45,53.71,8674582
2010-01-20,52.81,53.16,52.51,53.06,9433394
2010-01-21,53.03,53.27,52.06,52.24,15766058
2010-01-22,52.0,52.19,50.51,50.6,13455912
2010-01-25,50.96,51.58,50.66,50.75,8734702
2010-01-26,50.33,51.02,49.96,50.43,11074209
2010-01-27,50.43,51.04,48.99,49.81,12080719
2010-01-28,50.04,50.24,47.77,48.35,13705834
2010-01-29,48.65,48.87,47.78,48.0,16905088
2010-02-01,48.45,49.32,48.26,49.07,11230031
2010-02-02,49.36,50.24,49.0,50.15,12432263
2010-02-03,49.83,50.51,49.72,49.99,10318311
2010-02-04,49.59,49.6,47.91,48.16,13351302
2010-02-05,47.89,48.1,46.63,47.98,15305112
2010-02-08,47.91,48.25,47.3,47.37,7941840
2010-02-09,47.95,50.32,47.4,48.49,13346727
2010-02-10,48.51,48.65,47.8,48.26,8992033
2010-02-11,48.28,49.11,47.96,48.9,7524862
2010-02-12,48.36,48.83,47.94,48.67,10627415
2010-02-16,49.08,50.13,49.08,49.92,11417842
2010-02-17,49.91,50.25,48.99,49.3,12108903
2010-02-18,48.62,49.16,48.53,48.87,9581532
2010-02-19,48.7,49.22,48.46,48.9,9463091
2010-02-22,49.29,49.29,48.53,48.7,8356417
2010-02-23,48.43,48.66,47.56,47.85,10600855
2010-02-24,47.86,48.52,47.63,48.35,7810457
2010-02-25,47.6,48.36,47.15,48.3,9129474
2010-02-26,48.38,48.53,47.95,48.0,7936949
2010-03-01,48.37,48.99,48.27,48.91,8714998
2010-03-02,49.33,49.92,49.2,49.71,10100208
2010-03-03,49.88,49.98,49.34,49.38,13870480
