Date,Open,High,Low,Close,Volume
2010-01-04,59.13,60.07,59.13,59.41,3280136
2010-01-05,59.26,59.42,58.84,59.23,2775802
2010-01-06,59.07,60.05,59.0,60.0,3722838
2010-01-07,60.08,60.44,59.26,59.71,4527524
2010-01-08,59.47,59.61,59.1,59.28,2348272
2010-01-11,59.21,59.42,59.0,59.35,1830333
2010-01-12,59.23,59.39,58.72,59.03,2113234
2010-01-13,59.11,59.59,58.94,59.4,2052097
2010-01-14,59.12,59.25,58.71,58.72,2145635
2010-01-15,58.99,58.99,58.43,58.79,3081708
2010-01-19,59.17,59.28,58.79,58.95,2558607
2010-01-20,58.48,58.68,57.62,58.27,4484750
2010-01-21,58.13,58.6,57.35,57.52,3456728
2010-01-22,57.4,57.96,57.04,57.07,4221256
2010-01-25,57.35,57.82,56.75,57.55,2690504
2010-01-26,57.2,58.48,57.14,57.93,3530432
2010-01-27,57.71,58.04,57.28,57.53,3776135
2010-01-28,57.73,57.82,57.06,57.35,3197007
2010-01-29,57.59,58.54,57.4,57.43,5414003
2010-02-01,57.8,57.92,57.36,57.91,4297937
2010-02-02,58.0,58.88,57.6,58.77,5231475
2010-02-03,58.59,58.95,58.38,58.42,5269084
2010-02-04,58.17,58.94,58.1,58.52,5962605
2010-02-05,58.59,58.9,58.07,58.58,4793748
2010-02-08,58.26,58.78,58.13,58.14,3319738
2010-02-09,58.8,59.0,58.2,58.76,3486817
2010-02-10,58.66,59.32,58.38,59.15,4520414
2010-02-11,58.86,59.78,58.67,59.67,4030760
2010-02-12,59.19,59.42,58.95,59.28,4337558
2010-02-16,59.62,60.85,59.3,60.67,4052524
2010-02-17,60.79,61.3,60.74,61.05,2663023
2010-02-18,60.93,61.13,60.58,60.96,2275330
2010-02-19,60.73,61.36,60.66,61.14,2510091
2010-02-22,61.4,61.45,60.69,60.79,3004294
2010-02-23,60.64,60.92,60.41,60.51,3081114
2010-02-24,60.8,61.22,60.61,60.86,2908141
2010-02-25,60.29,61.52,60.21,61.4,3533947
2010-02-26,61.36,61.47,60.78,60.97,3681865
2010-03-01,61.0,62.11,60.68,61.65,4031690
2010-03-02,62.12,62.12,61.2,61.38,4129848
2010-03-03,59.75,61.58,59.64,60.68,10153492
2010-03-04,60.75,61.16,60.48,60.8,3286076
2010-03-05,60.85,60.97,60.5,60.68,3514759
2010-03-08,60.54,61.0,60.52,60.67,3020305
2010-03-09,60.38,60.57,60.04,60.13,3186925
2010-03-10,60.21,60.41,59.76,59.84,3248590
2010-03-11,59.78,60.06,59.77,59.9,3957193
2010-03-12,59.88,60.48,59.81,60.17,3938659
2010-03-15,60.07,60.62,60.05,60.55,2584674
2010-03-16,60.71,60.96,60.59,60.91,2480575
2010-03-17,60.96,61.46,60.9,61.33,3115250
2010-03-18,61.0,61.43,60.92,61.27,3156208
2010-03-19,61.38,61.5,60.49,60.72,4687497
2010-03-22,60.54,61.09,60.43,60.88,2372527
2010-03-23,60.76,60.89,60.36,60.76,2937709
2010-03-24,60.74,60.74,60.02,60.07,2909940
2010-03-25,60.42,60.42,60.01,60.05,2591464
2010-03-26,60.25,60.42,59.91,60.13,2301952
2010-03-29,60.14,60.43,59.96,60.14,2375459
2010-03-30,60.27,60.5,60.04,60.17,2121441
2010-03-31,60.06,60.11,59.68,59.71,2548113
2010-04-05,60.33,60.87,60.0,60.82,2154045
2010-04-06,61.05,61.85,60.75,61.74,3589094
2010-04-07,61.65,61.96,61.5,61.72,3897140
2010-04-08,61.6,61.62,60.82,60.98,4476289
