Date,Open,High,Low,Close,Volume
2010-01-04,48.99,49.18,48.27,48.86,2797946
2010-01-05,48.98,50.25,48.81,50.15,3990357
2010-01-06,50.23,50.71,49.82,50.31,3306344
2010-01-07,50.11,50.35,49.6,49.96,2597957
2010-01-08,49.74,52.83,49.64,52.38,6062913
2010-01-11,52.6,52.68,51.43,51.86,4222471
2010-01-12,51.34,51.34,50.26,50.71,3745224
2010-01-13,50.76,51.19,50.11,51.02,2754975
2010-01-14,51.06,51.28,50.08,50.55,2530051
2010-01-15,50.69,50.71,49.5,50.04,3018154
2010-01-19,50.36,50.72,49.9,50.51,4491176
2010-01-20,48.09,48.12,46.37,47.35,13754981
2010-01-21,47.18,47.65,45.22,45.36,11961412
2010-01-22,45.16,45.64,43.97,44.12,8878899
2010-01-25,44.7,45.24,44.03,44.95,6411798
2010-01-26,44.97,45.91,44.35,45.3,6235903
2010-01-27,45.1,45.84,44.91,45.54,5382921
2010-01-28,45.77,46.08,43.64,43.68,6102524
2010-01-29,44.08,44.17,42.58,42.86,5178110
2010-02-01,43.84,44.16,43.24,43.83,5543684
2010-02-02,44.05,44.61,43.87,44.48,3565570
2010-02-03,44.2,45.28,43.95,44.01,4734590
2010-02-04,43.68,43.68,42.31,42.33,6077269
2010-02-05,42.24,43.03,42.05,42.92,7366226
2010-02-08,42.99,43.8,42.41,42.51,4637455
2010-02-09,43.69,43.91,42.96,43.08,6715616
2010-02-10,43.1,43.36,42.64,43.08,3554099
2010-02-11,43.58,45.45,43.5,45.06,7811605
2010-02-12,44.44,44.98,44.21,44.9,5209823
2010-02-16,45.5,46.22,45.08,46.11,4704482
2010-02-17,46.52,46.57,45.49,46.11,4035545
2010-02-18,45.92,46.48,45.7,46.4,2809145
2010-02-19,46.4,47.13,46.16,46.77,3769761
2010-02-22,47.03,47.17,46.58,46.82,3643306
2010-02-23,46.66,47.15,46.28,47.0,5128131
2010-02-24,47.0,47.34,46.64,47.28,3275417
2010-02-25,46.59,47.6,46.3,47.53,4624596
2010-02-26,47.48,47.82,46.97,47.46,2910513
2010-03-01,47.75,48.34,47.64,48.32,3176210
2010-03-02,48.39,48.89,48.14,48.47,3438132
2010-03-03,47.58,48.67,47.43,47.98,3753985
2010-03-04,47.81,48.18,47.6,48.06,2885316
2010-03-05,48.29,49.06,48.29,48.97,3131062
2010-03-08,49.15,49.63,48.81,49.03,2273072
2010-03-09,48.87,50.0,48.87,49.52,3242116
2010-03-10,49.42,49.98,49.0,49.89,4380727
2010-03-11,49.63,50.98,49.63,50.68,4655399
2010-03-12,50.91,51.16,50.54,50.98,2384827
2010-03-15,50.82,51.25,50.62,51.12,2966875
2010-03-16,51.14,51.62,51.0,51.54,2554437
2010-03-17,51.54,51.8,50.95,51.23,2585785
2010-03-18,51.32,51.94,51.04,51.85,3071150
2010-03-19,52.16,52.46,51.15,51.51,3713876
2010-03-22,51.04,52.13,51.0,51.8,2028225
2010-03-23,51.97,52.0,50.74,51.75,3161331
2010-03-24,51.57,51.59,50.72,51.1,2354705
2010-03-25,51.72,52.33,51.11,51.18,3410856
2010-03-26,51.32,51.45,50.5,50.99,2455394
2010-03-29,51.41,51.8,51.01,51.51,2078267
2010-03-30,51.66,51.81,51.13,51.33,3479125
2010-03-31,51.2,51.39,50.6,50.9,3450615
2010-04-05,52.58,53.15,51.75,52.61,3032749
2010-04-06,52.02,52.54,51.81,52.46,2084414
2010-04-07,52.62,52.62,51.53,51.92,3939174
2010-04-08,51.64,53.11,51.52,52.98,3004001
2010-04-09,53.23,53.47,52.31,52.96,2566697
2010-04-12,53.06,53.18,52.47,52.88,2099685
2010-04-13,52.87,53.46,52.33,53.28,5327188
2010-04-14,54.5,55.6,53.54,55.46,8683587
2010-04-15,55.23,55.67,54.84,55.25,3722630
2010-04-16,55.2,55.34,53.57,54.44,4495677
