Date,Open,High,Low,Close,Volume
2010-01-04,26.23,26.53,26.12,26.39,1051018
2010-01-05,26.31,26.37,26.14,26.35,1455537
2010-01-06,26.19,26.47,26.19,26.42,1570049
2010-01-07,26.0,26.65,26.0,26.65,1035027
2010-01-08,26.56,26.92,26.47,26.91,2510733
2010-01-11,26.87,26.93,26.68,26.8,709923
2010-01-12,26.74,26.84,26.36,26.44,1013921
2010-01-13,26.53,26.91,26.48,26.85,849557
2010-01-14,26.71,26.87,26.61,26.68,865443
2010-01-15,26.83,26.87,26.07,26.24,1367356
2010-01-19,26.11,26.66,26.11,26.66,685540
2010-01-20,26.46,26.47,26.0,26.25,1030770
2010-01-21,26.2,26.34,25.75,25.77,1877906
2010-01-22,25.82,25.99,25.16,25.25,2089679
2010-01-25,25.37,25.37,25.04,25.21,1322465
2010-01-26,25.11,25.23,24.96,25.02,1465244
2010-01-27,24.85,25.23,24.81,25.22,1735515
2010-01-28,25.36,25.38,24.85,24.96,1346664
2010-01-29,25.01,25.37,25.01,25.11,1883001
2010-02-01,25.2,25.33,25.07,25.22,1022988
2010-02-02,25.18,25.49,25.04,25.44,1047175
2010-02-03,25.23,25.37,25.12,25.31,631786
2010-02-04,25.19,25.29,24.79,24.81,938953
2010-02-05,24.88,25.04,24.51,24.83,1456844
2010-02-08,24.41,24.65,24.12,24.49,1472624
2010-02-09,24.8,24.93,24.42,24.68,1173988
2010-02-10,24.73,24.75,24.4,24.44,879641
2010-02-11,24.28,24.7,24.07,24.62,782066
2010-02-12,24.43,24.65,24.23,24.6,1056772
2010-02-16,23.25,24.28,23.1,23.75,2659573
2010-02-17,23.75,24.02,23.73,23.85,1631604
2010-02-18,23.96,24.16,23.83,24.12,1381577
2010-02-19,24.09,24.53,24.08,24.49,1604914
2010-02-22,24.61,24.69,24.44,24.53,865277
2010-02-23,24.55,24.68,24.11,24.2,1004768
2010-02-24,24.37,24.67,24.19,24.65,1220770
2010-02-25,24.37,24.92,24.26,24.83,1305636
2010-02-26,24.89,25.03,24.68,24.79,3196701
2010-03-01,24.85,25.09,24.72,25.09,1347880
2010-03-02,25.14,25.21,24.81,24.86,1193439
2010-03-03,24.87,25.18,24.86,25.07,1174591
2010-03-04,25.07,25.36,24.98,25.28,1184498
2010-03-05,25.32,25.61,25.28,25.53,1109770
2010-03-08,25.56,26.04,25.51,26.01,1200058
2010-03-09,25.9,26.21,25.74,26.15,1113253
2010-03-10,26.12,26.54,26.12,26.42,1338656
2010-03-11,26.39,26.68,26.21,26.66,897745
2010-03-12,26.65,26.67,26.49,26.67,586477
2010-03-15,26.67,26.8,26.54,26.78,535439
2010-03-16,26.88,27.16,26.81,27.11,720157
2010-03-17,27.14,27.56,27.12,27.51,1096215
2010-03-18,27.35,27.9,27.35,27.79,2001753
2010-03-19,27.93,28.23,27.19,28.13,3426330
2010-03-22,27.97,28.54,27.97,28.45,1491164
2010-03-23,28.37,28.62,28.18,28.58,1236541
2010-03-24,28.6,28.67,28.25,28.32,1030576
2010-03-25,28.55,28.58,28.18,28.22,1211535
2010-03-26,28.37,28.44,27.86,27.92,2037192
2010-03-29,27.96,28.4,27.93,28.35,1145799
2010-03-30,28.31,28.5,28.14,28.38,767277
2010-03-31,28.33,28.4,28.02,28.1,1167311
2010-04-05,28.03,28.37,27.92,28.14,976114
2010-04-06,28.0,28.27,27.96,28.14,763167
2010-04-07,27.7,28.06,27.7,27.82,851020
2010-04-08,27.82,27.83,27.44,27.74,889510
2010-04-09,27.75,27.78,27.58,27.74,745929
2010-04-12,27.77,27.95,27.44,27.61,859539
2010-04-13,27.61,27.86,27.52,27.84,767136
2010-04-14,27.77,27.97,27.55,27.97,1248280
2010-04-15,28.01,28.2,27.94,28.15,1508721
2010-04-16,28.09,28.26,27.79,27.91,1249580
2010-04-19,27.83,28.03,27.68,27.99,737797
2010-04-20,28.22,28.3,28.03,28.23,639182
2010-04-21,28.17,28.35,28.1,28.33,620277
2010-04-22,28.17,28.7,27.96,28.68,735107
2010-04-23,28.73,28.79,28.37,28.73,743243
2010-04-26,28.75,28.75,28.37,28.39,771041
2010-04-27,28.39,28.45,27.46,27.49,1705962
2010-04-28,27.69,27.75,27.33,27.5,1262764
2010-04-29,27.56,27.77,27.21,27.64,1456177
2010-04-30,27.71,27.8,27.25,27.26,1136621
2010-05-03,27.32,27.53,27.16,27.48,938740
2010-05-04,27.16,27.16,26.53,26.85,1610039
2010-05-05,26.84,27.19,26.65,26.7,902547
2010-05-06,26.62,26.8,25.01,26.1,1908342
2010-05-07,25.95,26.12,25.41,25.54,1816823
2010-05-10,26.21,26.9,26.13,26.9,1446933
2010-05-11,26.65,26.97,26.01,26.66,1260553
2010-05-12,26.65,27.25,26.47,27.18,988379
2010-05-13,27.05,27.17,26.81,26.9,820447
2010-05-14,26.78,26.87,26.25,26.47,1165905
2010-05-17,26.53,27.03,26.24,26.94,1221941
2010-05-18,27.16,27.3,26.65,26.77,1233507
2010-05-19,26.86,27.03,26.51,26.66,1096158
2010-05-20,26.14,26.37,25.48,25.51,1637382
2010-05-21,25.18,25.93,25.18,25.93,1891496
2010-05-24,25.82,25.9,25.53,25.64,1009483
2010-05-25,25.17,25.6,24.89,25.57,1363626
2010-05-26,25.63,26.1,25.44,25.57,1513705
2010-05-27,25.99,26.25,25.77,26.24,1128725
2010-05-28,26.18,26.26,25.71,26.0,993204
2010-06-01,25.83,26.1,25.36,25.37,1285572
2010-06-02,25.43,25.86,25.21,25.86,1042149
2010-06-03,25.81,26.12,25.68,26.1,978940
2010-06-04,25.63,25.63,24.92,25.01,1245321
2010-06-07,25.0,25.1,24.59,24.61,1793879
2010-06-08,24.6,24.82,24.45,24.77,1753349
2010-06-09,24.87,25.01,24.55,24.62,1282398
2010-06-10,24.98,25.36,24.91,25.35,1367979
2010-06-11,25.07,25.32,24.92,25.3,1193548
2010-06-14,25.51,25.67,25.14,25.19,1158137
2010-06-15,25.36,25.99,25.2,25.98,790895
2010-06-16,25.87,26.04,25.75,25.91,694615
2010-06-17,25.94,26.02,25.66,25.99,709151
2010-06-18,26.04,26.3,25.92,26.1,1026318
2010-06-21,26.4,26.4,25.68,25.78,842609
2010-06-22,25.88,26.01,25.25,25.31,996784
2010-06-23,25.29,25.51,25.06,25.23,971396
2010-06-24,25.1,25.31,24.86,24.93,732812
2010-06-25,24.92,25.05,24.62,24.92,1397045
2010-06-28,25.01,25.19,24.73,25.03,824964
2010-06-29,24.74,24.74,24.02,24.22,1745485
2010-06-30,24.17,24.46,23.93,23.97,1142590
2010-07-01,23.97,24.03,23.61,23.97,1352548
2010-07-02,23.97,24.03,23.61,23.66,1023590
2010-07-06,23.87,24.06,23.5,23.73,1335159
2010-07-07,23.95,24.47,23.81,24.44,1226876
2010-07-08,24.55,24.77,24.4,24.72,1018832
2010-07-09,24.83,25.02,24.67,24.98,570709
2010-07-12,24.88,25.31,24.79,25.2,1276300
2010-07-13,25.52,26.08,25.42,25.95,1066640
2010-07-14,25.75,25.99,25.61,25.77,816589
2010-07-15,25.74,25.89,25.46,25.8,665156
2010-07-16,25.79,25.8,25.16,25.2,1351378
2010-07-19,25.32,25.7,25.23,25.68,1087948
2010-07-20,25.29,25.95,25.14,25.93,1305506
2010-07-21,26.2,26.82,25.13,25.2,1669888
2010-07-22,25.37,25.96,25.3,25.88,1464000
2010-07-23,25.89,26.1,25.67,26.01,1129348
2010-07-26,25.98,26.32,25.98,26.23,1030617
2010-07-27,26.43,26.45,26.14,26.29,747749
2010-07-28,26.31,26.56,26.18,26.45,1131969
2010-07-29,26.61,26.7,25.94,26.25,1152164
2010-07-30,25.96,26.53,25.82,26.46,963477
2010-08-02,26.79,27.26,26.69,27.15,1122130
2010-08-03,26.97,27.07,26.75,26.93,1292454
2010-08-04,26.96,27.15,26.74,26.99,1331584
2010-08-05,26.82,26.99,26.76,26.92,1095990
2010-08-06,26.64,26.86,26.4,26.85,1275389
2010-08-09,27.02,27.12,26.88,27.09,965999
2010-08-10,26.83,27.19,26.47,26.93,1116413
2010-08-11,26.51,26.67,25.96,26.07,1217842
2010-08-12,25.7,26.17,25.7,25.96,1161148
2010-08-13,25.8,26.02,25.72,25.84,1004969
2010-08-16,25.7,26.11,25.59,25.99,1049780
2010-08-17,26.25,26.74,26.04,26.55,1099818
2010-08-18,26.44,26.91,26.27,26.66,952162
2010-08-19,26.5,26.56,25.88,26.11,1159042
