Date,Open,High,Low,Close,Volume
2010-01-04,33.98,34.74,33.97,34.26,5715110
2010-01-05,34.35,34.45,33.54,33.93,8743085
2010-01-06,33.85,34.3,33.72,34.04,7189998
2010-01-07,33.89,34.42,33.76,34.39,5224992
2010-01-08,34.28,34.33,33.83,33.94,5511212
2010-01-11,34.31,34.48,34.05,34.26,5599436
2010-01-12,34.0,34.49,33.67,34.0,6302521
2010-01-13,34.09,34.5,33.96,34.3,5206693
2010-01-14,34.36,34.46,33.9,34.09,4373335
2010-01-15,34.01,34.27,33.8,34.01,6685056
2010-01-19,33.94,34.88,33.92,34.84,5674920
2010-01-20,34.71,34.85,34.03,34.52,6107445
2010-01-21,34.51,34.65,33.1,33.15,9022041
2010-01-22,33.0,33.68,32.25,32.5,8180072
2010-01-25,33.0,33.44,32.54,32.82,7036608
2010-01-26,32.54,33.74,32.54,32.8,10332592
2010-01-27,32.78,33.23,32.25,32.86,7409270
2010-01-28,33.02,33.2,31.93,32.32,7783575
2010-01-29,32.45,33.28,32.4,32.61,10724234
2010-02-01,33.12,33.69,32.92,33.66,7036291
2010-02-02,33.61,34.04,33.0,33.63,8263923
2010-02-03,33.78,34.1,33.26,33.49,4707255
2010-02-04,33.09,33.32,32.5,32.52,9350750
2010-02-05,32.49,33.17,32.03,32.73,9651586
2010-02-08,32.71,33.1,32.1,32.19,5662456
2010-02-09,32.66,33.14,32.29,32.88,7201912
2010-02-10,32.31,32.77,32.04,32.38,6403801
2010-02-11,32.37,32.68,32.0,32.55,7125444
2010-02-12,32.22,32.66,31.88,32.28,9659767
2010-02-16,32.59,32.77,32.24,32.74,8568151
2010-02-17,32.84,33.22,32.74,33.13,6940951
2010-02-18,33.02,33.72,33.02,33.62,6122817
2010-02-19,33.48,34.17,33.48,34.03,7035090
2010-02-22,34.08,34.24,33.78,33.98,5987801
2010-02-23,33.84,34.18,33.45,33.68,6399476
2010-02-24,33.95,34.25,33.69,33.98,6898644
2010-02-25,33.56,33.67,33.04,33.52,8159234
2010-02-26,33.69,33.74,33.13,33.72,8800626
2010-03-01,33.83,34.19,33.58,34.03,7079950
2010-03-02,34.2,34.39,33.87,34.03,7629690
2010-03-03,34.13,34.76,34.02,34.26,6576280
2010-03-04,34.4,34.63,34.03,34.56,6815605
2010-03-05,34.8,35.1,34.71,34.97,6855360
2010-03-08,35.13,35.44,34.98,35.37,7244547
