Date,Open,High,Low,Close,Volume
2010-01-04,54.74,56.2,54.34,56.06,3974699
2010-01-05,56.19,56.56,55.6,55.85,3007385
2010-01-06,55.57,56.04,55.22,55.7,2854426
2010-01-07,55.38,56.13,55.16,56.1,2703646
2010-01-08,55.78,57.75,55.3,57.63,4165430
2010-01-11,58.26,60.16,58.16,59.95,8120017
2010-01-12,58.89,58.97,56.46,57.39,8129662
2010-01-13,57.75,58.54,55.89,58.29,6646923
2010-01-14,58.7,58.87,57.78,58.35,4171295
2010-01-15,58.36,58.59,55.96,56.33,6654184
2010-01-19,56.37,57.69,56.14,57.66,3618742
2010-01-20,57.07,57.1,55.61,56.11,3804120
2010-01-21,55.93,56.47,54.66,55.45,5413875
2010-01-22,55.2,55.2,52.87,53.02,6206191
2010-01-25,53.73,58.0,53.06,53.69,4313380
2010-01-26,53.48,54.33,52.78,53.41,3479390
2010-01-27,52.53,53.41,50.62,52.39,6773372
2010-01-28,52.32,52.52,50.18,51.11,4456385
2010-01-29,51.4,52.33,49.69,49.95,5508357
2010-02-01,50.37,51.86,50.24,51.35,3842854
2010-02-02,51.8,52.86,51.61,52.45,3677930
2010-02-03,52.17,53.17,51.75,51.84,2497160
2010-02-04,51.35,51.45,49.68,49.87,4636522
2010-02-05,49.76,50.17,48.33,49.82,5776045
2010-02-08,49.84,50.59,48.84,48.96,3776029
2010-02-09,49.9,51.36,49.73,50.32,5843655
2010-02-10,50.44,50.65,49.43,50.05,3155266
2010-02-11,49.91,52.51,49.85,52.32,5045166
2010-02-12,51.47,53.16,51.11,53.11,5683406
2010-02-16,53.76,54.55,53.54,53.78,6326471
2010-02-17,57.69,58.05,56.05,56.48,17379208
2010-02-18,56.92,57.52,56.45,57.26,6092031
2010-02-19,57.11,57.72,56.6,57.28,4262025
2010-02-22,57.6,57.75,56.49,56.7,4127509
2010-02-23,56.58,57.44,55.45,56.09,4890175
2010-02-24,56.3,56.99,55.74,56.18,3982722
2010-02-25,55.27,57.12,54.6,56.96,5749119
2010-02-26,57.34,57.49,56.24,57.3,4068521
2010-03-01,57.45,58.46,57.45,58.29,3529626
2010-03-02,58.58,58.99,57.66,58.21,3547789
2010-03-03,58.35,59.7,58.33,58.66,3922391
2010-03-04,58.78,59.33,58.07,58.5,3374900
2010-03-05,59.3,59.85,59.01,59.54,3085953
2010-03-08,59.59,59.78,58.78,59.2,2429638
2010-03-09,58.85,59.73,58.76,59.28,3370317
2010-03-10,59.28,59.35,58.11,58.49,4794496
2010-03-11,58.16,58.29,56.71,57.73,7504589
2010-03-12,58.31,58.94,57.96,58.64,4651206
2010-03-15,58.43,58.6,57.6,58.13,3531259
2010-03-16,58.39,59.0,57.75,58.92,3566820
2010-03-17,59.02,59.96,58.96,59.59,3866874
2010-03-18,59.32,59.91,58.96,59.25,3414974
2010-03-19,59.62,59.64,58.64,58.99,5243924
2010-03-22,58.33,60.04,58.28,60.02,5205998
2010-03-23,60.2,62.08,60.1,61.96,8973618
2010-03-24,61.64,61.65,60.31,60.49,6149905
2010-03-25,61.06,61.83,60.07,60.2,5453728
2010-03-26,60.52,61.2,60.11,60.56,4195710
2010-03-29,60.83,61.42,60.73,61.35,3364357
2010-03-30,61.56,62.0,60.99,61.11,3932394
2010-03-31,60.62,61.14,59.2,59.46,5568448
2010-04-01,59.99,60.7,59.1,59.74,5010382
2010-04-05,60.38,60.8,60.1,60.64,3514946
2010-04-06,60.48,60.85,60.27,60.68,2270551
2010-04-07,60.66,60.96,59.94,60.4,3690554
2010-04-08,60.22,60.78,59.71,60.62,2713920
2010-04-09,60.86,61.68,60.74,61.68,2807545
2010-04-12,61.76,62.39,61.58,62.04,3805115
