Date,Open,High,Low,Close,Volume
2010-01-04,37.74,37.84,37.25,37.58,3944268
2010-01-05,37.5,37.56,37.14,37.53,3413230
2010-01-06,37.38,37.64,37.1,37.6,3760844
2010-01-07,37.62,37.99,37.6,37.91,3327376
2010-01-08,37.71,38.49,37.42,38.44,4502220
2010-01-11,38.78,39.01,38.5,38.88,3562772
2010-01-12,38.6,38.92,38.22,38.34,3854504
2010-01-13,38.34,38.6,38.2,38.43,2518292
2010-01-14,38.42,38.67,38.26,38.59,1902114
2010-01-15,38.62,38.82,38.03,38.1,3510454
2010-01-19,38.14,38.5,38.0,38.4,2913694
2010-01-20,38.14,38.16,37.72,38.0,2053676
2010-01-21,37.93,38.14,37.34,37.36,3289442
2010-01-22,37.22,37.32,36.71,36.72,3800332
2010-01-25,37.14,37.46,36.92,37.26,3406058
2010-01-26,37.22,37.35,36.87,37.03,2743046
2010-01-27,36.9,37.15,36.46,37.1,2947946
2010-01-28,36.12,36.99,35.88,36.43,5298318
2010-01-29,36.48,36.5,35.64,35.68,4537490
2010-02-01,35.82,35.98,35.54,35.92,5007614
2010-02-02,36.02,36.58,35.8,36.54,4225288
2010-02-03,36.25,36.57,36.0,36.44,3227106
2010-02-04,36.19,36.3,35.36,35.38,4050270
2010-02-05,35.38,35.62,34.9,35.5,6448650
2010-02-08,35.14,35.42,34.98,35.08,3966316
2010-02-09,35.46,35.64,35.06,35.44,4287930
2010-02-10,35.51,35.74,35.08,35.49,3099020
2010-02-11,35.37,35.98,35.06,35.95,2874046
2010-02-12,35.58,36.02,35.32,35.96,3733212
2010-02-16,36.27,36.78,36.08,36.75,3148708
2010-02-17,37.35,37.65,37.1,37.62,7439178
2010-02-18,37.65,37.86,37.57,37.74,3163144
2010-02-19,37.7,38.15,37.66,37.98,3894796
2010-02-22,38.14,38.14,37.6,37.88,3206086
2010-02-23,37.79,37.9,37.2,37.32,3500994
2010-02-24,37.47,37.48,36.96,37.26,4468898
2010-02-25,36.96,37.36,36.45,37.28,4374920
2010-02-26,37.18,37.41,36.94,36.98,4030328
2010-03-01,36.98,37.72,36.86,37.68,4676132
2010-03-02,37.74,37.86,37.62,37.76,2101902
2010-03-03,37.92,38.04,37.56,37.64,2113020
2010-03-04,37.88,38.0,37.58,37.94,2774198
2010-03-05,38.13,38.49,38.04,38.48,2052412
2010-03-08,38.38,38.47,38.18,38.3,1576538
2010-03-09,38.27,38.8,38.27,38.78,4294904
2010-03-10,38.71,39.06,38.67,38.96,4337440
2010-03-11,38.74,39.14,38.48,39.14,4674020
2010-03-12,39.49,39.49,38.79,39.06,2668230
2010-03-15,38.9,39.06,38.64,39.01,2318386
2010-03-16,39.1,39.12,38.74,38.99,3725002
2010-03-17,39.1,39.2,38.6,38.7,5447494
2010-03-18,38.65,39.02,38.44,39.0,4010292
2010-03-19,39.19,39.19,38.36,38.49,4035444
2010-03-22,38.4,38.84,38.3,38.73,2260928
2010-03-23,38.7,38.92,38.48,38.78,2823876
2010-03-24,38.54,38.6,38.18,38.18,3260710
