Date,Open,High,Low,Close,Volume
2010-01-04,30.72,31.25,30.69,31.0,1453223
2010-01-05,31.11,32.36,31.0,32.22,1631596
2010-01-06,32.5,32.8,32.1,32.7,1979027
2010-01-07,32.64,32.98,32.53,32.68,1280753
2010-01-08,32.59,32.96,32.46,32.78,1251157
2010-01-11,32.85,32.96,32.51,32.67,1206661
2010-01-12,32.6,32.65,31.77,31.8,1432594
2010-01-13,31.75,32.1,31.29,31.99,1205473
2010-01-14,31.76,32.26,31.66,31.73,835026
2010-01-15,32.58,33.02,32.25,32.43,2095750
2010-01-19,32.26,32.48,32.13,32.4,1017714
2010-01-20,32.17,32.34,31.92,32.15,964601
2010-01-21,32.32,32.51,31.32,31.81,1204385
2010-01-22,31.74,31.96,30.88,30.89,1029532
2010-01-25,31.04,31.28,30.62,30.83,911662
2010-01-26,30.88,30.93,30.49,30.81,844227
2010-01-27,30.6,30.81,29.62,30.21,1270949
2010-01-28,30.15,30.48,29.73,30.27,1030147
2010-01-29,30.44,30.46,29.62,29.66,1403073
2010-02-01,29.96,30.13,29.59,29.79,1301348
2010-02-02,29.73,29.92,29.32,29.51,2002933
2010-02-03,29.51,29.55,29.3,29.35,2472269
2010-02-04,29.13,29.2,28.54,28.62,2000670
2010-02-05,28.53,28.53,27.69,28.46,2451561
2010-02-08,28.59,28.82,28.42,28.51,2016441
2010-02-09,28.65,29.36,28.65,29.27,2752387
2010-02-10,28.23,28.64,27.85,27.88,4115143
2010-02-11,27.82,28.16,27.7,28.01,3394544
2010-02-12,27.98,28.74,27.69,28.69,2714168
2010-02-16,28.5,29.06,28.41,28.94,1355675
2010-02-17,30.82,31.8,30.69,31.38,10067544
2010-02-18,31.22,31.89,31.17,31.6,2196120
2010-02-19,31.54,32.4,31.42,32.01,2874381
2010-02-22,32.25,32.66,32.04,32.09,3108661
2010-02-23,31.42,32.4,31.29,32.07,5714342
2010-02-24,32.25,32.25,31.6,32.0,4672712
2010-02-25,31.82,31.83,31.15,31.39,7431235
2010-02-26,31.58,31.58,30.93,31.15,60897126
2010-03-01,31.08,31.2,30.81,30.89,7765309
2010-03-02,31.05,31.1,30.7,30.75,5909547
2010-03-03,31.01,31.01,30.61,30.61,3146452
2010-03-04,30.58,31.4,30.51,31.08,3135286
2010-03-05,31.36,31.6,31.14,31.55,2583341
2010-03-08,31.55,31.85,31.36,31.68,2435568
2010-03-09,31.0,31.99,30.9,31.91,1991905
2010-03-10,31.71,32.2,31.29,31.89,2445331
2010-03-11,31.7,32.34,31.52,32.29,1889752
