Date,Open,High,Low,Close,Volume
2010-01-04,20.91,21.46,20.91,21.18,2962582
2010-01-05,21.04,21.26,20.9,21.05,3011023
2010-01-06,21.02,21.29,20.65,20.7,3291596
2010-01-07,20.64,20.88,20.59,20.79,3010736
2010-01-08,20.79,21.22,20.67,21.16,2840177
2010-01-11,21.17,21.28,20.95,21.23,1996042
2010-01-12,21.06,21.17,20.17,20.32,3445881
2010-01-13,20.35,20.55,20.2,20.49,2403729
2010-01-14,20.38,20.56,20.13,20.19,3425708
2010-01-15,20.32,20.32,19.58,19.91,3619486
2010-01-19,19.97,20.25,19.91,20.16,2085038
2010-01-20,20.04,20.1,19.68,19.88,2270813
2010-01-21,20.27,20.27,19.05,19.11,4424400
2010-01-22,19.07,19.34,18.72,18.81,2981591
2010-01-25,18.94,19.1,18.82,19.01,2509646
2010-01-26,18.82,18.85,18.58,18.7,2881726
2010-01-27,18.56,18.85,18.26,18.66,2086556
2010-01-28,18.63,18.79,18.15,18.44,2698310
2010-01-29,18.57,18.79,18.25,18.26,2731359
2010-02-01,18.46,19.02,18.3,19.01,2679521
2010-02-02,19.07,19.12,18.6,18.89,3158492
2010-02-03,18.8,19.02,18.54,18.76,1993872
2010-02-04,18.61,18.61,17.9,17.92,2824137
2010-02-05,17.91,18.08,17.32,17.75,4545307
2010-02-08,17.71,17.87,17.53,17.75,3124836
2010-02-09,17.9,18.3,17.77,18.07,2665497
2010-02-10,18.04,18.14,17.65,17.99,2397059
2010-02-11,17.96,18.26,17.63,18.23,3250468
2010-02-12,18.36,18.4,18.02,18.38,2445893
2010-02-16,18.57,19.06,18.47,19.06,2504575
2010-02-17,19.1,19.47,19.06,19.4,3219459
2010-02-18,19.45,19.85,19.38,19.63,3064935
2010-02-19,19.63,19.7,19.32,19.68,2853721
2010-02-22,19.71,19.97,19.52,19.84,4643326
2010-02-23,19.83,19.9,19.48,19.89,3590694
2010-02-24,20.0,20.05,19.77,19.96,3811555
2010-02-25,19.65,19.93,19.38,19.87,1921921
2010-02-26,19.8,20.04,19.75,19.97,3213131
2010-03-01,20.53,21.5,20.22,21.5,6359967
2010-03-02,21.5,21.69,21.19,21.29,2966586
2010-03-03,21.44,22.0,21.36,21.71,4018636
2010-03-04,21.76,22.13,19.91,20.59,15489454
2010-03-05,21.24,21.4,20.92,21.18,9242754
2010-03-08,21.16,21.49,21.02,21.37,3527670
2010-03-09,21.34,21.7,21.24,21.54,2723678
2010-03-10,21.52,21.86,21.33,21.8,2339613
2010-03-11,21.83,21.97,21.61,21.79,2581559
2010-03-12,21.84,21.91,21.56,21.69,2197803
2010-03-15,21.67,21.78,21.43,21.66,1475880
2010-03-16,21.75,21.81,21.36,21.55,2319714
2010-03-17,21.54,21.6,21.22,21.31,2427810
2010-03-18,21.27,21.4,21.19,21.32,2355972
2010-03-19,21.45,21.48,20.74,20.92,3661024
2010-03-22,20.87,20.97,20.55,20.95,3278501
