Date,Open,High,Low,Close,Volume
2010-01-04,50.38,51.01,49.43,50.15,1306889
2010-01-05,50.03,50.55,49.52,50.48,841453
2010-01-06,50.66,50.76,49.55,49.8,988246
2010-01-07,49.68,50.48,49.52,50.24,881067
2010-01-08,50.12,50.94,49.91,50.8,971606
2010-01-11,51.19,51.39,50.36,50.55,607893
2010-01-12,50.14,50.5,49.42,49.96,817043
2010-01-13,50.0,50.47,49.75,50.2,814022
2010-01-14,49.99,50.84,49.73,50.5,884799
2010-01-15,50.43,50.66,49.63,50.0,1392840
2010-01-19,50.09,51.4,50.09,51.05,1200487
2010-01-20,50.77,50.77,49.76,50.45,795022
2010-01-21,50.76,51.35,50.31,50.47,2243026
2010-01-22,50.4,50.95,49.01,49.1,1314505
2010-01-25,49.71,49.77,48.26,48.79,681618
2010-01-26,48.66,49.27,48.29,48.5,728755
2010-01-27,48.35,48.82,47.79,48.63,871817
2010-01-28,48.7,48.89,47.7,47.98,660308
2010-01-29,48.14,48.43,47.45,48.0,1132147
2010-02-01,48.18,48.54,47.25,48.3,1234634
2010-02-02,48.56,49.75,48.32,49.57,1492913
2010-02-03,49.4,49.44,48.65,49.3,990200
2010-02-04,49.04,49.04,47.75,47.89,1323231
2010-02-05,47.88,48.89,47.69,48.85,1405288
2010-02-08,48.78,49.04,46.95,47.02,800705
2010-02-09,47.73,47.73,46.51,46.76,666836
2010-02-10,46.82,47.18,46.21,46.69,720773
2010-02-11,46.68,47.23,46.5,47.2,852261
2010-02-12,46.59,47.67,46.5,47.66,529822
2010-02-16,47.98,48.54,47.77,48.43,775447
2010-02-17,48.64,49.11,48.43,48.85,625001
2010-02-18,48.59,49.99,48.59,49.84,595658
2010-02-19,49.47,50.34,49.39,50.07,735899
2010-02-22,50.38,51.03,49.82,50.78,674644
2010-02-23,50.76,51.15,50.53,50.64,757471
2010-02-24,50.67,51.14,50.44,51.12,934591
2010-02-25,50.16,51.44,50.0,51.24,945923
2010-02-26,51.27,52.14,51.27,51.58,959510
2010-03-01,51.65,52.49,51.44,52.42,1128285
2010-03-02,52.42,52.84,52.07,52.82,1111673
2010-03-03,52.73,52.93,52.33,52.67,703566
2010-03-04,52.94,53.07,52.54,52.99,1041474
2010-03-05,53.23,54.4,53.04,54.28,1134597
2010-03-08,54.04,55.1,54.04,54.98,831539
2010-03-09,54.58,55.83,54.58,55.03,517370
2010-03-10,54.95,55.08,54.07,54.4,922083
2010-03-11,53.89,55.48,53.66,55.33,2796134
2010-03-12,55.97,56.09,55.15,55.53,1192776
2010-03-15,55.54,55.86,54.8,55.48,631935
2010-03-16,55.56,56.01,55.14,55.94,1553492
2010-03-17,56.15,56.23,55.58,55.96,748214
2010-03-18,55.96,56.23,55.75,55.93,572610
2010-03-19,55.83,56.16,55.17,56.0,1299575
2010-03-22,55.56,56.6,55.35,56.46,897625
2010-03-23,56.27,56.27,54.95,55.37,1068891
2010-03-24,55.32,56.42,55.16,55.53,988765
2010-03-25,55.77,56.14,55.41,55.44,979569
2010-03-26,55.45,55.62,54.27,54.51,1097235
2010-03-29,54.77,55.19,54.57,54.95,663219
2010-03-30,55.14,55.14,54.18,54.45,783391
2010-03-31,54.3,54.56,53.83,54.2,703548
2010-04-01,54.44,54.77,53.89,54.41,644180
2010-04-05,54.77,56.1,54.43,55.7,719263
2010-04-06,55.43,56.55,55.02,56.27,1082890
2010-04-07,56.15,56.32,55.02,55.18,882509
2010-04-08,55.18,55.52,54.88,55.4,934416
2010-04-09,55.6,56.68,55.14,56.57,620313
2010-04-12,56.75,56.93,56.3,56.32,741252
2010-04-13,56.42,58.16,56.03,58.0,735103
2010-04-14,58.38,58.42,56.65,56.84,1002599
2010-04-15,56.61,57.1,55.53,55.65,1028908
2010-04-16,55.62,56.15,54.83,54.93,1166760
2010-04-19,54.61,54.94,54.02,54.72,1534208
2010-04-20,55.17,56.26,54.67,56.26,1280976
2010-04-21,56.1,57.05,55.74,56.84,954790
2010-04-22,56.59,58.75,56.24,58.43,735960
2010-04-23,58.35,59.41,58.08,59.34,974321
2010-04-26,59.26,60.93,58.98,60.15,989206
2010-04-27,59.59,60.47,58.5,58.58,1884325
2010-04-28,59.04,59.52,58.03,58.27,1602174
2010-04-29,59.38,60.88,59.23,60.21,1425351
