Date,Open,High,Low,Close,Volume
2010-01-04,41.92,42.36,41.63,42.36,1246690
2010-01-05,42.26,42.31,41.95,42.16,852787
2010-01-06,42.15,42.72,41.9,42.66,1241816
2010-01-07,42.83,44.11,42.83,43.6,1313370
2010-01-08,43.56,44.87,43.22,44.85,1468504
2010-01-11,44.92,45.55,44.85,45.39,1344887
2010-01-12,44.96,45.56,44.83,45.55,2164190
2010-01-13,45.39,46.06,45.27,45.97,3108905
2010-01-14,45.94,46.48,45.55,46.43,1814860
2010-01-15,46.22,46.33,45.43,45.59,1909126
2010-01-19,45.33,46.0,45.28,45.9,1560883
2010-01-20,45.5,45.52,44.97,45.45,1837051
2010-01-21,45.33,45.72,44.7,44.85,1881431
2010-01-22,44.79,44.79,43.71,43.77,1339795
2010-01-25,43.92,44.43,43.07,43.25,1752869
2010-01-26,42.99,43.44,42.72,42.96,1098736
2010-01-27,42.82,42.96,41.97,42.81,1819144
2010-01-28,42.93,43.1,42.29,42.52,1937418
2010-01-29,43.1,45.05,42.85,42.88,3036432
2010-02-01,43.18,43.89,43.02,43.47,1524344
2010-02-02,43.66,44.44,43.58,44.32,1814956
2010-02-03,43.88,44.63,43.87,44.13,1382847
2010-02-04,43.73,44.03,42.58,42.76,2088461
2010-02-05,42.68,42.97,40.5,41.49,3329656
2010-02-08,41.42,41.66,40.85,41.05,2122733
2010-02-09,41.55,42.36,41.49,42.06,2809155
2010-02-10,42.01,42.45,41.62,42.09,1385044
2010-02-11,42.02,42.92,41.72,42.88,2150810
2010-02-12,42.48,42.88,41.96,42.72,1387195
2010-02-16,43.06,43.66,42.94,43.65,1312539
2010-02-17,43.86,44.47,43.68,44.45,2133362
2010-02-18,44.75,45.62,44.4,45.44,2254302
2010-02-19,45.39,46.11,45.1,46.08,2454407
2010-02-22,46.14,46.22,45.74,46.02,1953875
2010-02-23,45.39,45.92,44.52,44.94,2399072
2010-02-24,44.98,45.1,44.5,44.7,2674544
2010-02-25,43.68,44.68,43.44,44.61,2009027
2010-02-26,44.73,45.36,44.54,45.26,1607988
2010-03-01,45.52,46.09,45.32,45.76,1373137
2010-03-02,46.09,46.38,45.85,46.15,1513766
2010-03-03,46.06,46.45,45.77,45.92,1589833
2010-03-04,46.06,46.49,45.78,46.07,1250659
2010-03-05,46.38,47.07,46.38,47.02,1392404
2010-03-08,47.0,47.07,46.61,46.67,523700
2010-03-09,46.5,46.87,46.32,46.52,943078
2010-03-10,46.45,46.45,46.04,46.33,1086134
2010-03-11,45.78,46.42,45.45,46.41,782806
2010-03-12,46.63,46.77,46.14,46.43,675575
2010-03-15,46.28,46.35,45.83,46.24,1015982
2010-03-16,46.43,46.79,46.24,46.36,1462209
2010-03-17,46.44,47.31,46.32,46.93,872181
2010-03-18,46.85,47.25,46.72,47.09,934289
2010-03-19,47.34,47.44,46.43,46.53,1285547
2010-03-22,46.17,46.9,45.97,46.42,930255
