Date,Open,High,Low,Close,Volume
2010-01-04,28.2,29.19,27.8,29.18,16933961
2010-01-05,29.0,30.53,29.0,30.48,18783969
2010-01-06,30.98,31.66,30.78,31.02,21972325
2010-01-07,31.01,31.3,30.67,31.04,10334258
2010-01-08,30.76,31.34,30.4,31.15,7732485
2010-01-11,31.64,31.64,30.48,30.76,10256040
2010-01-12,30.4,31.09,30.19,30.86,10274791
2010-01-13,30.83,31.17,30.14,30.75,6282520
2010-01-14,30.54,30.84,30.34,30.53,5313967
2010-01-15,30.54,30.54,29.75,29.99,9642523
2010-01-19,29.72,30.72,29.72,30.68,6083337
2010-01-20,30.56,30.57,29.81,30.36,8539073
2010-01-21,30.27,30.4,28.63,28.67,14138437
2010-01-22,28.48,28.91,27.74,27.76,11324693
2010-01-25,28.19,28.67,28.1,28.41,8224162
2010-01-26,28.11,28.74,27.9,28.09,7584894
2010-01-27,28.12,28.3,27.51,28.24,9847917
2010-01-28,28.41,28.46,27.04,27.37,9470460
2010-01-29,27.7,28.42,27.09,27.09,12690841
2010-02-01,27.52,28.66,27.4,28.63,13708730
2010-02-02,27.91,28.38,26.74,27.57,28002222
2010-02-03,27.7,28.08,27.07,27.58,13549007
2010-02-04,27.15,27.33,26.43,26.61,14767575
2010-02-05,26.41,27.0,25.57,26.52,21873371
2010-02-08,26.52,26.92,25.86,26.18,14968053
2010-02-09,26.54,28.0,26.4,27.79,20333809
2010-02-10,27.56,27.82,27.08,27.51,11266066
2010-02-11,27.44,27.97,27.04,27.86,9391820
2010-02-12,27.39,28.13,27.05,27.79,10010652
2010-02-16,28.03,28.5,27.86,28.48,8626196
2010-02-17,28.48,28.93,28.32,28.74,8591439
2010-02-18,28.74,29.62,28.63,29.54,10286238
2010-02-19,29.31,29.6,29.0,29.23,10173433
2010-02-22,29.4,29.61,29.01,29.36,7109885
2010-02-23,29.17,29.4,28.6,28.88,8599799
2010-02-24,29.02,29.25,28.64,29.0,9051367
2010-02-25,28.22,28.43,27.88,28.32,11377766
2010-02-26,28.38,28.75,28.19,28.31,7804450
2010-03-01,28.43,28.8,28.33,28.69,9136302
2010-03-02,29.07,29.23,28.81,28.88,10499416
2010-03-03,29.01,29.98,28.86,29.61,11902793
2010-03-04,29.71,29.97,29.36,29.56,9177074
2010-03-05,29.73,30.34,29.71,30.0,9862342
2010-03-08,29.95,30.09,29.44,29.5,7074889
2010-03-09,29.39,29.6,29.08,29.22,8479625
2010-03-10,29.2,29.55,28.9,29.06,8417692
2010-03-11,28.94,29.4,28.61,29.4,7606500
2010-03-12,29.68,30.22,29.53,29.84,9160163
2010-03-15,29.74,30.03,29.58,30.0,9174787
2010-03-16,30.07,30.57,29.91,30.44,10729938
2010-03-17,30.51,30.62,30.3,30.43,9915818
2010-03-18,30.44,30.59,29.86,30.0,10050594
2010-03-19,30.0,30.2,28.95,28.95,16156535
2010-03-22,28.59,29.73,28.4,29.59,10914054
2010-03-23,29.62,29.98,29.25,29.97,11148642
2010-03-24,29.69,30.64,29.6,30.36,12528455
2010-03-25,30.41,30.76,29.82,29.88,13626579
2010-03-26,29.85,30.52,29.66,30.06,9067356
2010-03-29,30.03,30.21,29.27,29.52,10370799
2010-03-30,29.5,30.08,29.39,29.76,5770889
2010-03-31,29.64,29.94,29.43,29.57,6944489
2010-04-01,29.89,30.43,29.81,30.31,9946584
2010-04-05,30.28,31.09,30.25,30.99,8245448
2010-04-06,30.78,31.46,30.66,31.16,9829684
2010-04-07,30.97,31.22,30.58,30.79,8120724
2010-04-08,30.52,30.87,30.3,30.73,7174022
2010-04-09,30.72,30.9,30.56,30.78,5684457
2010-04-12,30.7,31.08,30.58,30.74,5607947
2010-04-13,30.56,30.7,30.24,30.6,7203797
2010-04-14,30.73,31.2,30.66,31.2,7372291
2010-04-15,31.18,31.53,30.9,31.32,8416186
2010-04-16,31.18,31.38,30.42,30.54,10651817
2010-04-19,30.39,30.79,30.0,30.77,7346340
2010-04-20,30.78,30.9,30.19,30.36,11569349
2010-04-21,30.44,30.47,29.91,30.31,8086156
2010-04-22,29.96,30.36,29.27,30.28,10458460
2010-04-23,30.41,31.19,30.33,31.16,11004860
2010-04-26,31.25,31.6,31.13,31.33,7828407
2010-04-27,31.33,31.43,29.99,30.07,12805770
2010-04-28,31.02,31.96,30.73,31.83,16549742
