Date,Open,High,Low,Close,Volume
2010-01-04,28.53,29.14,28.2,29.1,1199699
2010-01-05,28.96,29.17,28.65,28.76,957019
2010-01-06,28.9,29.44,28.78,29.4,2014598
2010-01-07,29.1,29.16,28.77,29.08,2051249
2010-01-08,28.55,28.89,28.49,28.87,1168269
2010-01-11,28.82,28.99,28.2,28.68,1281603
2010-01-12,28.59,28.76,28.18,28.21,1352455
2010-01-13,28.35,28.59,28.29,28.46,727328
2010-01-14,28.37,28.64,28.23,28.5,1044632
2010-01-15,28.52,28.59,28.14,28.44,2627110
2010-01-19,28.25,28.52,28.2,28.4,1356375
2010-01-20,28.15,28.43,27.86,28.34,1451805
2010-01-21,28.42,28.47,27.66,27.75,2202087
2010-01-22,27.55,27.69,27.26,27.36,1273132
2010-01-25,27.59,27.59,27.2,27.36,914725
2010-01-26,27.25,27.56,27.05,27.43,855673
2010-01-27,27.33,27.57,26.99,27.5,1216450
2010-01-28,27.84,27.9,27.42,27.61,1199960
2010-01-29,27.59,28.0,27.45,27.66,1397803
2010-02-01,27.84,27.91,27.58,27.8,826769
2010-02-02,27.78,28.13,27.75,28.06,993019
2010-02-03,27.99,28.25,27.82,28.06,1106643
2010-02-04,27.85,27.93,26.78,26.84,1713739
2010-02-05,26.73,27.14,26.38,27.1,2351067
2010-02-08,26.98,27.27,26.82,26.84,1045144
2010-02-09,27.04,27.12,26.64,26.86,1518030
2010-02-10,26.81,26.91,26.48,26.84,1727777
2010-02-11,26.81,27.3,26.56,27.17,1522273
2010-02-12,26.94,27.14,26.71,27.08,1553083
2010-02-16,27.23,27.54,27.01,27.44,1673776
2010-02-17,27.42,28.71,27.39,28.59,3933331
2010-02-18,28.51,29.18,28.51,29.14,1555049
2010-02-19,28.99,29.22,28.89,28.93,1825369
2010-02-22,28.89,29.05,28.48,28.65,1286746
2010-02-23,28.58,28.69,28.21,28.42,1226228
2010-02-24,28.59,28.69,28.31,28.65,1810996
2010-02-25,31.21,32.02,30.38,31.83,12704353
2010-02-26,31.31,32.03,30.95,31.75,3313482
2010-03-01,31.9,32.18,31.15,31.18,2578537
2010-03-02,31.3,31.73,31.29,31.5,2563568
2010-03-03,31.57,32.0,31.49,31.65,2333605
2010-03-04,31.73,32.14,31.63,31.95,3293350
2010-03-05,32.08,32.45,31.96,32.35,2495326
2010-03-08,32.4,33.05,32.16,32.85,3385382
2010-03-09,32.71,33.93,32.64,33.47,3405136
2010-03-10,33.51,33.85,33.25,33.65,3696013
2010-03-11,34.44,35.24,34.31,35.03,6037186
2010-03-12,35.21,35.33,34.92,34.97,1689731
2010-03-15,35.4,35.7,34.74,34.95,3033994
2010-03-16,35.45,36.58,35.3,36.47,4579494
2010-03-17,36.8,36.8,36.32,36.68,2607240
2010-03-18,36.68,37.06,36.35,36.67,3296459
2010-03-19,36.69,36.85,36.05,36.18,3731343
2010-03-22,36.19,36.93,36.12,36.8,2465050
2010-03-23,36.69,36.97,36.26,36.57,2099141
2010-03-24,36.62,36.62,36.01,36.33,2308903
2010-03-25,36.72,36.75,36.08,36.13,2282978
2010-03-26,36.31,36.39,35.41,35.8,2726011
2010-03-29,35.97,35.99,35.56,35.64,1904249
2010-03-30,35.76,36.01,35.35,35.63,1647303
2010-03-31,35.68,35.68,35.12,35.17,1651822
2010-04-01,35.24,35.54,35.16,35.48,2631925
2010-04-05,35.69,35.93,35.38,35.47,2168491
2010-04-06,35.29,35.59,35.19,35.45,1820345
2010-04-07,35.52,35.52,34.95,34.95,2277329
2010-04-08,34.89,35.48,34.66,35.22,1994707
2010-04-09,35.23,35.23,34.89,35.15,1775557
2010-04-12,35.24,35.28,34.88,35.02,1434075
2010-04-13,35.09,35.11,34.77,34.87,1454579
2010-04-14,34.9,35.12,34.68,34.75,2084409
2010-04-15,34.64,34.68,34.05,34.23,3100411
2010-04-16,34.05,34.4,33.88,34.03,2400101
2010-04-19,33.98,34.2,33.64,34.09,1610440
2010-04-20,34.2,34.29,33.86,34.01,1165224
2010-04-21,34.05,34.36,33.68,33.79,1632575
2010-04-22,33.62,33.72,33.06,33.4,1878316
2010-04-23,33.49,33.77,33.2,33.59,1052768
2010-04-26,33.74,34.2,33.65,34.04,3044593
2010-04-27,33.9,33.9,33.13,33.22,1779508
2010-04-28,33.27,33.58,33.01,33.51,1807397
2010-04-29,33.59,34.35,33.51,34.35,1949383
2010-04-30,34.27,34.44,32.69,32.73,4313468
2010-05-03,33.91,34.54,33.63,34.19,2441951
2010-05-04,34.06,34.1,33.02,33.23,2987697
2010-05-05,33.0,34.55,32.71,33.99,3410924
2010-05-06,34.0,36.0,33.73,34.37,9008972
2010-05-07,34.49,36.4,34.31,35.72,7388396
2010-05-10,36.77,36.77,35.93,36.62,3735220
2010-05-11,36.13,37.45,36.02,36.78,4002156
2010-05-12,37.4,38.14,36.87,37.87,5570659
2010-05-13,38.5,38.9,37.8,37.89,4655161
2010-05-14,37.76,37.79,36.75,37.25,2807135
2010-05-17,37.28,38.2,37.28,38.0,3095042
2010-05-18,38.23,38.93,38.03,38.12,5208683
2010-05-19,38.01,38.19,37.34,38.07,2752507
2010-05-20,37.33,37.64,36.22,36.27,3682270
2010-05-21,35.66,36.93,35.5,36.72,3528560
2010-05-24,36.62,37.15,36.31,36.83,2364431
2010-05-25,35.94,37.14,35.29,37.11,3089505
2010-05-26,37.34,37.84,37.22,37.29,2829107
2010-05-27,37.78,38.34,37.57,38.17,3065627
2010-05-28,38.0,38.43,37.78,37.86,2467649
2010-06-01,37.59,38.31,37.21,37.65,2766732
2010-06-02,37.71,38.0,37.29,37.94,2210018
2010-06-03,38.0,38.42,37.07,37.2,4390423
2010-06-04,36.51,37.22,35.84,36.49,4469088
2010-06-07,36.29,36.31,35.62,35.85,3413907
2010-06-08,35.88,37.04,35.73,36.54,4102600
2010-06-09,36.7,36.78,36.01,36.14,2667336
2010-06-10,36.52,37.13,36.52,36.87,2936912
2010-06-11,36.59,37.37,36.59,37.29,2461815
2010-06-14,37.78,37.91,37.34,37.44,3213012
2010-06-15,37.59,37.91,37.43,37.78,3446857
2010-06-16,37.65,38.25,37.65,38.02,2343968
2010-06-17,37.95,38.25,37.63,38.24,2747038
2010-06-18,38.17,38.37,37.89,37.96,3541239
2010-06-21,38.25,38.5,37.93,38.14,3290582
2010-06-22,38.16,38.38,37.36,37.42,4696810
2010-06-23,37.08,37.69,36.75,37.29,2498468
2010-06-24,37.09,37.54,36.78,37.18,2327126
