Date,Open,High,Low,Close,Volume
2010-01-04,35.44,35.44,34.71,35.0,2228039
2010-01-05,35.06,35.07,34.21,34.85,2735135
2010-01-06,34.77,34.77,34.37,34.39,3094490
2010-01-07,34.46,35.03,34.2,34.71,2487148
2010-01-08,34.53,34.74,34.09,34.13,2268135
2010-01-11,34.42,34.42,33.84,34.04,1479032
2010-01-12,33.79,34.28,33.72,33.88,1430391
2010-01-13,33.92,34.18,33.75,34.11,1059630
2010-01-14,34.02,35.95,33.98,35.77,3645594
2010-01-15,35.86,35.86,35.07,35.3,2371192
2010-01-19,35.35,35.89,35.25,35.84,1641773
2010-01-20,36.56,37.86,36.25,36.53,3585721
2010-01-21,36.6,37.25,36.47,36.55,2590559
2010-01-22,36.39,36.84,36.08,36.16,2459569
2010-01-25,36.42,36.44,35.86,36.01,1919654
2010-01-26,35.97,36.95,35.93,36.48,2812415
2010-01-27,36.48,36.76,36.25,36.62,2345824
2010-01-28,36.75,37.59,36.69,37.45,3868057
2010-01-29,37.45,37.75,36.83,36.96,3536496
2010-02-01,37.15,37.92,37.03,37.85,2826430
2010-02-02,37.87,38.64,37.64,38.29,2351987
2010-02-03,38.37,38.5,37.88,38.02,1600030
2010-02-04,37.71,38.07,37.36,37.4,3326554
2010-02-05,37.48,38.0,37.0,37.59,2631250
2010-02-08,37.66,38.07,37.51,37.53,1725890
2010-02-09,37.89,38.59,37.71,38.41,1852021
2010-02-10,38.36,38.48,37.96,38.05,2040269
2010-02-11,37.91,38.76,37.64,38.76,2335415
2010-02-12,38.33,39.05,38.09,38.99,2069421
2010-02-16,40.12,40.87,40.04,40.41,4534416
2010-02-17,40.71,40.99,40.48,40.59,1979623
2010-02-18,40.5,40.75,40.33,40.52,1500655
2010-02-19,40.5,41.06,40.49,41.05,1642688
2010-02-22,41.18,41.2,40.73,41.05,1440557
2010-02-23,40.95,41.34,40.4,40.62,2061463
2010-02-24,40.83,41.0,40.63,40.99,1373504
2010-02-25,40.54,40.6,39.9,40.33,3051299
2010-02-26,40.4,40.72,40.33,40.55,1268319
2010-03-01,40.67,41.28,40.3,41.15,1613316
2010-03-02,41.06,41.39,40.45,40.51,2881570
2010-03-03,40.72,41.0,40.49,40.59,1648730
2010-03-04,40.64,40.78,40.25,40.45,1989033
2010-03-05,40.6,41.0,40.56,40.98,2042765
2010-03-08,41.06,42.26,41.0,41.99,2175265
2010-03-09,41.83,42.58,41.78,42.03,2077671
2010-03-10,41.94,42.28,41.59,42.25,1415435
2010-03-11,41.98,42.66,41.98,42.28,1584880
2010-03-12,42.37,42.48,41.7,42.02,2628406
2010-03-15,42.0,42.59,41.93,42.44,2294590
2010-03-16,42.47,42.88,42.19,42.6,2524029
2010-03-17,42.91,43.58,42.72,43.49,1877308
2010-03-18,43.61,43.98,43.32,43.49,1725272
2010-03-19,43.58,43.92,43.55,43.65,1872985
2010-03-22,43.47,44.19,43.3,44.13,1805228
2010-03-23,44.11,44.16,43.08,43.91,3028622
2010-03-24,43.67,45.07,42.91,44.91,5545991
2010-03-25,45.28,45.28,44.55,44.69,2639765
2010-03-26,44.35,44.74,43.99,44.29,2761083
2010-03-29,44.32,45.0,44.28,44.97,2018574
2010-03-30,44.84,45.29,44.55,44.8,1536027
2010-03-31,44.6,44.84,44.18,44.54,1646425
2010-04-01,44.8,45.01,44.04,44.5,1717466
2010-04-05,44.5,45.51,44.5,45.51,1408441
2010-04-06,45.44,45.45,44.96,45.26,1778019
2010-04-07,45.79,46.55,45.5,46.39,4967731
2010-04-08,46.36,46.65,45.99,46.38,2360208
2010-04-09,46.37,46.8,45.96,46.8,1885527
2010-04-12,46.71,47.05,46.66,46.89,1492438
2010-04-13,46.88,47.05,46.57,47.0,1523653
2010-04-14,47.01,47.37,46.96,47.37,2156829
2010-04-15,47.23,47.42,46.78,46.92,2003885
2010-04-16,46.7,47.19,46.6,46.86,2984316
2010-04-19,46.85,47.24,46.5,47.21,2714725
2010-04-20,47.06,47.23,46.58,47.12,2303947
2010-04-21,47.13,47.46,46.88,47.4,1475994
2010-04-22,47.24,48.87,47.24,48.66,2247519
2010-04-23,48.82,49.01,48.31,48.68,1313771
2010-04-26,48.66,48.7,47.92,48.01,1728985
2010-04-27,47.82,48.38,46.96,47.01,1801981
2010-04-28,46.66,47.0,45.67,45.78,2668881
2010-04-29,46.09,46.57,45.74,46.1,2783574
2010-04-30,46.12,46.44,44.75,44.75,2367373
2010-05-03,45.0,45.74,44.75,45.46,1781640
2010-05-04,45.03,45.03,43.67,43.84,2274021
2010-05-05,43.31,45.2,43.15,43.67,2785228
2010-05-06,43.65,44.29,40.95,42.89,3005043
2010-05-07,42.92,43.59,41.86,42.61,2936789
2010-05-10,44.1,44.68,43.62,44.38,1960733
2010-05-11,43.96,45.63,43.87,44.73,1962405
2010-05-12,44.93,45.21,44.67,45.12,1247521
2010-05-13,44.93,45.09,44.18,44.2,1533727
2010-05-14,43.99,44.06,43.1,43.47,1378882
2010-05-17,43.47,44.08,42.62,43.97,2151144
2010-05-18,44.35,44.83,43.72,43.73,1442307
2010-05-19,43.49,43.85,42.71,43.59,1754869
2010-05-20,42.76,43.01,41.92,41.93,1921068
2010-05-21,40.63,41.93,40.38,41.6,3384831
2010-05-24,41.59,41.85,41.21,41.33,1928517
2010-05-25,40.46,41.72,39.79,41.64,1989650
2010-05-26,41.89,42.73,41.85,42.06,2319602
2010-05-27,42.66,43.79,42.63,43.74,1515360
2010-05-28,43.57,43.9,42.83,42.9,2142535
2010-06-01,42.69,43.67,42.25,43.11,2625609
