Date,Open,High,Low,Close,Volume
2010-01-04,43.9,44.22,43.44,43.54,1421559
2010-01-05,43.41,43.79,42.74,43.05,2127126
2010-01-06,43.05,43.6,43.02,43.23,1531727
2010-01-07,43.22,43.31,42.61,42.83,1210184
2010-01-08,42.69,43.23,42.45,43.16,948728
2010-01-11,43.43,43.78,43.04,43.77,1229787
2010-01-12,43.59,44.04,43.31,43.73,2342769
2010-01-13,43.97,44.18,43.79,44.12,1119521
2010-01-14,44.14,44.35,43.83,44.29,1010968
2010-01-15,44.18,44.18,43.43,43.93,1350503
2010-01-19,44.04,44.42,43.94,44.33,1124112
2010-01-20,43.84,44.05,43.34,43.88,1507993
2010-01-21,43.78,44.17,42.68,42.85,2047204
2010-01-22,42.81,42.87,42.01,42.06,2046836
2010-01-25,42.47,42.93,41.91,42.66,1676680
2010-01-26,42.41,43.35,42.41,43.04,1629560
2010-01-27,42.93,42.93,42.25,42.75,1079522
2010-01-28,42.81,42.83,42.25,42.4,1075150
2010-01-29,42.6,42.77,42.03,42.04,1304873
2010-02-01,42.23,42.61,41.82,42.61,1048307
2010-02-02,42.56,43.05,42.08,43.03,811999
2010-02-03,42.94,43.04,42.51,42.68,533037
2010-02-04,42.39,42.57,41.75,41.75,1295796
2010-02-05,41.68,41.86,41.25,41.78,2090964
2010-02-08,41.84,42.01,41.43,41.5,1257217
2010-02-09,41.97,42.58,41.58,42.0,1315608
2010-02-10,42.03,42.28,41.63,41.95,1080612
2010-02-11,41.81,42.34,41.31,42.33,886227
2010-02-12,41.98,42.12,41.6,41.95,1109321
2010-02-16,42.31,43.07,42.23,43.07,824117
2010-02-17,43.29,43.3,42.75,42.88,934448
2010-02-18,42.72,43.61,42.72,43.59,1161015
2010-02-19,43.43,44.9,43.43,44.6,2801284
2010-02-22,44.68,44.99,44.47,44.62,1266944
2010-02-23,44.45,44.62,43.88,43.99,1860485
2010-02-24,44.13,44.33,43.57,44.26,1238330
2010-02-25,43.86,43.99,43.19,43.95,1286877
2010-02-26,43.95,44.1,43.34,43.42,1239993
2010-03-01,43.71,44.37,43.66,44.31,1320892
2010-03-02,44.53,44.78,44.46,44.65,964722
2010-03-03,44.82,45.23,44.55,44.59,1410855
2010-03-04,44.76,44.82,44.32,44.7,999474
2010-03-05,44.89,45.14,44.68,45.04,1073038
2010-03-08,44.98,45.1,44.78,44.84,1158033
2010-03-09,44.61,44.99,44.51,44.94,1566802
2010-03-10,44.91,44.95,44.38,44.81,1342670
2010-03-11,44.72,44.91,44.57,44.91,654802
2010-03-12,45.09,45.14,44.52,44.87,742621
2010-03-15,44.76,45.08,44.72,45.06,994685
2010-03-16,45.07,45.63,44.97,45.61,926846
2010-03-17,45.74,45.93,45.43,45.82,1270044
2010-03-18,45.21,45.3,45.03,45.14,1164274
2010-03-19,45.17,45.36,44.76,45.1,1348590
2010-03-22,44.92,45.08,44.74,44.96,789104
2010-03-23,44.94,45.32,44.77,45.28,1044301
2010-03-24,45.19,45.32,44.97,45.04,1797992
2010-03-25,45.23,45.31,44.63,44.69,1176525
2010-03-26,44.7,45.04,44.41,44.7,1124283
2010-03-29,44.88,45.38,44.8,45.38,732058
2010-03-30,45.34,45.54,45.12,45.2,1110859
2010-03-31,45.07,45.1,44.42,44.6,1536738
2010-04-01,44.7,45.52,44.7,45.38,786761
2010-04-05,45.46,45.75,45.28,45.75,677514
2010-04-06,45.52,46.49,45.01,46.48,936018
2010-04-07,46.48,46.56,45.87,46.12,622472
2010-04-08,46.07,46.08,45.7,45.88,782822
2010-04-09,45.99,46.13,45.51,46.12,688891
2010-04-12,46.3,46.47,46.14,46.25,638334
2010-04-13,46.24,46.25,45.7,46.03,539287
2010-04-14,46.04,46.04,45.58,45.99,1010664
2010-04-15,45.99,46.35,45.62,46.12,1135328
2010-04-16,46.05,46.21,45.2,45.64,1515587
2010-04-19,45.49,46.08,45.49,45.9,1250771
2010-04-20,46.17,46.3,45.96,46.21,880548
2010-04-21,46.21,46.91,46.18,46.82,1357565
2010-04-22,46.64,47.33,46.44,47.26,1227784
2010-04-23,47.3,47.98,47.01,47.93,1147635
2010-04-26,47.82,47.97,47.51,47.55,874611
2010-04-27,47.32,47.68,46.72,46.87,1159641
2010-04-28,47.21,48.49,47.01,48.29,1908194
2010-04-29,48.45,48.79,48.01,48.07,1534326
2010-04-30,48.2,48.78,48.0,48.17,1530324
2010-05-03,48.31,49.05,48.14,48.91,1292384
2010-05-04,48.35,48.63,47.93,48.14,1735235
2010-05-05,47.94,48.24,47.41,47.64,1375013
2010-05-06,47.47,47.67,43.0,46.55,2440847
2010-05-07,46.52,46.88,45.49,45.69,2631416
2010-05-10,47.26,47.59,46.65,47.4,1399629
2010-05-11,46.98,48.31,46.83,47.72,1074072
2010-05-12,47.76,48.17,47.47,47.95,954723
2010-05-13,47.81,48.44,47.6,47.79,1346148
2010-05-14,47.54,47.87,47.06,47.3,1631106
2010-05-17,47.3,47.77,46.76,47.6,1095511
2010-05-18,48.06,48.26,47.1,47.17,1553413
2010-05-19,46.85,47.15,46.15,46.49,870917
2010-05-20,45.51,46.15,45.0,45.1,1863628
2010-05-21,44.48,45.39,44.19,45.39,1979784
2010-05-24,44.93,45.53,44.76,44.86,877113
2010-05-25,43.94,44.77,43.29,44.74,2041310
2010-05-26,44.96,45.38,44.42,44.54,1614177
2010-05-27,45.28,45.54,44.87,45.49,829229
2010-05-28,45.53,46.0,45.4,45.51,961759
2010-06-01,45.22,45.79,44.91,44.91,1140799
2010-06-02,45.2,45.68,44.71,45.62,2239258
2010-06-03,45.84,46.02,45.37,45.9,1342138
2010-06-04,45.09,45.32,44.25,44.42,1542566
2010-06-07,44.44,45.01,43.99,44.45,1628529
2010-06-08,44.57,45.17,44.16,45.07,1861046
2010-06-09,45.28,45.84,44.92,45.12,2056032
2010-06-10,45.65,46.23,45.57,46.14,1388175
2010-06-11,45.77,46.18,45.37,46.09,1464650
2010-06-14,46.5,46.9,46.41,46.5,884322
2010-06-15,47.0,47.81,46.78,47.76,1434956
2010-06-16,47.55,48.63,47.54,48.24,1370708
2010-06-17,47.73,48.41,47.44,48.35,1862626
2010-06-18,48.47,48.47,48.09,48.35,1602947
2010-06-21,48.72,48.81,47.77,48.03,677413
2010-06-22,48.11,48.19,46.85,47.01,879838
2010-06-23,46.96,47.18,46.3,46.51,1093329
2010-06-24,46.4,47.09,46.31,46.52,1111120
2010-06-25,46.5,46.85,45.94,46.53,1054318
2010-06-28,46.54,46.96,46.19,46.79,652217
2010-06-29,46.33,46.38,45.45,45.62,1117974
2010-06-30,45.64,46.25,45.36,45.61,1993414
2010-07-01,45.46,45.81,44.93,45.08,1357228
2010-07-02,45.19,45.74,45.06,45.47,1251189
2010-07-06,45.7,46.26,45.49,45.92,1076781
2010-07-07,46.09,47.36,45.86,47.35,1422378
2010-07-08,47.62,47.75,47.22,47.4,1108199
2010-07-09,47.35,47.77,47.09,47.73,957881
2010-07-12,47.54,47.92,47.31,47.67,564468
2010-07-13,48.0,48.35,47.77,48.11,923920
2010-07-14,47.95,48.02,47.48,47.92,1245513
2010-07-15,47.99,48.35,47.61,48.24,1074508
2010-07-16,48.1,48.13,47.04,47.13,1364785
2010-07-19,47.14,47.82,46.87,47.68,718295
2010-07-20,46.88,47.78,46.61,47.76,1600842
2010-07-21,47.87,47.87,46.53,46.83,1377610
2010-07-22,47.09,47.83,47.02,47.7,1020320
2010-07-23,47.72,48.09,47.34,48.06,802669
2010-07-26,48.2,48.39,47.91,48.39,1127226
2010-07-27,48.51,49.0,48.27,48.97,2743754
2010-07-28,48.8,48.97,48.45,48.67,1144964
2010-07-29,48.95,49.06,47.84,48.16,1064286
2010-07-30,45.6,47.24,45.6,46.16,3387750
2010-08-02,46.59,46.94,46.0,46.52,2019422
2010-08-03,46.3,46.51,46.13,46.28,1485083
2010-08-04,46.37,46.57,45.99,46.45,1550078
2010-08-05,46.29,46.84,46.17,46.79,1100556
2010-08-06,46.59,46.96,46.21,46.83,1552024
2010-08-09,46.95,47.86,46.9,47.33,1197726
2010-08-10,47.02,47.51,46.63,47.27,1651311
2010-08-11,46.8,46.8,46.17,46.23,1201908
2010-08-12,45.17,46.58,45.17,46.18,1280609
2010-08-13,45.94,46.66,45.89,46.21,798732
2010-08-16,45.98,46.48,45.6,46.41,1192315
2010-08-17,46.74,46.85,46.46,46.61,2066710
2010-08-18,46.67,46.68,46.08,46.44,2150174
2010-08-19,46.33,46.37,45.5,45.86,1219723
2010-08-20,45.44,46.0,45.29,45.91,956094
2010-08-23,46.01,46.58,45.94,46.16,729833
2010-08-24,45.74,46.5,45.64,46.15,1061472
2010-08-25,45.87,46.32,45.51,46.16,2230584
2010-08-26,46.24,46.64,46.01,46.14,1059920
2010-08-27,46.37,47.25,45.96,47.13,1143049
2010-08-30,46.96,47.28,46.57,46.62,745733
2010-08-31,46.53,47.05,46.15,46.85,1462025
2010-09-01,47.19,47.96,47.09,47.83,1746243
2010-09-02,48.0,48.0,47.17,47.43,1031409
2010-09-03,47.72,47.79,47.2,47.54,962510
2010-09-07,47.2,47.4,46.9,47.18,3323415
2010-09-08,47.23,47.35,46.78,46.95,3158852
2010-09-09,47.3,47.35,46.98,47.1,892459
