Date,Open,High,Low,Close,Volume
2010-01-04,51.63,51.87,50.73,50.91,4152379
2010-01-05,51.03,51.03,49.89,50.07,3872656
2010-01-06,49.98,50.58,49.92,50.25,3486882
2010-01-07,50.31,50.58,50.1,50.49,2376583
2010-01-08,50.22,50.52,50.04,50.52,1654091
2010-01-11,50.55,51.15,50.49,51.03,2195608
2010-01-12,50.94,51.34,50.67,51.09,2650923
2010-01-13,51.27,51.57,50.73,51.21,3035221
2010-01-14,51.33,51.42,50.85,51.21,1919855
2010-01-15,50.64,51.18,50.04,50.7,4350084
2010-01-19,50.97,51.3,50.52,51.27,1858340
2010-01-20,51.03,51.03,50.22,50.79,2628644
2010-01-21,50.82,50.97,49.92,50.04,3958197
2010-01-22,50.04,50.37,49.56,49.65,3927168
2010-01-25,50.1,50.16,49.44,49.98,2257619
2010-01-26,50.01,50.58,49.67,50.43,2827139
2010-01-27,50.34,50.4,49.72,50.22,2935816
2010-01-28,50.31,50.34,49.65,49.86,2354606
2010-01-29,50.22,50.25,49.56,49.59,3044193
2010-02-01,49.68,49.95,49.23,49.95,1873106
2010-02-02,49.77,50.34,49.29,50.28,2775310
2010-02-03,50.31,50.31,49.74,49.92,1572457
2010-02-04,49.83,50.01,49.11,49.11,2519901
2010-02-05,49.2,49.35,48.39,48.96,2997906
2010-02-08,49.05,49.65,48.75,48.96,3194705
2010-02-09,49.26,50.58,49.05,49.68,5056200
2010-02-10,49.08,49.41,48.45,48.66,3547290
2010-02-11,48.48,48.87,48.06,48.63,3105461
2010-02-12,48.48,48.81,48.12,48.45,3110913
2010-02-16,48.81,49.29,48.63,48.75,3638960
2010-02-17,48.99,49.05,48.3,48.54,2367329
2010-02-18,48.45,48.99,48.36,48.99,2296751
2010-02-19,48.9,49.89,48.63,49.83,2960882
2010-02-22,49.95,49.95,49.2,49.29,2671880
2010-02-23,49.29,49.47,48.99,49.05,2054279
2010-02-24,49.05,49.47,48.72,49.35,2645851
2010-02-25,49.02,49.17,48.6,49.14,2568052
2010-02-26,49.05,49.41,48.9,49.05,2503331
2010-03-01,49.23,49.56,49.02,49.47,1792605
2010-03-02,49.83,49.83,49.2,49.32,2048336
2010-03-03,49.32,49.68,49.08,49.2,2227968
2010-03-04,49.14,49.38,48.69,48.99,2274481
2010-03-05,49.02,49.38,48.9,49.38,2139450
2010-03-08,49.47,49.62,49.26,49.59,1036554
2010-03-09,49.47,49.56,49.29,49.41,1229607
2010-03-10,49.38,49.59,49.2,49.41,1694682
2010-03-11,49.41,49.5,49.17,49.44,1923244
2010-03-12,49.5,49.56,48.96,48.99,1662540
2010-03-15,49.05,49.41,48.9,49.38,1733361
2010-03-16,49.59,49.92,49.29,49.83,2024811
2010-03-17,50.13,50.13,49.74,49.86,2271991
2010-03-18,49.65,50.13,49.65,49.74,2631383
2010-03-19,49.68,50.26,49.38,49.74,3889215
2010-03-22,49.59,49.65,49.08,49.32,2342933
2010-03-23,49.29,49.41,49.08,49.38,1852964
2010-03-24,49.35,49.38,48.9,48.96,2083378
2010-03-25,49.02,49.23,48.81,48.9,1783341
2010-03-26,49.08,49.29,48.84,49.26,1550226
