Date,Open,High,Low,Close,Volume
2010-01-04,30.75,30.96,30.43,30.88,1446372
2010-01-05,30.93,31.05,30.18,30.48,2269796
2010-01-06,30.46,30.99,29.98,30.28,3098968
2010-01-07,30.16,30.6,30.06,30.35,1076202
2010-01-08,30.22,30.48,30.08,30.43,853222
2010-01-11,30.66,30.74,30.28,30.44,855542
2010-01-12,30.02,30.19,29.72,30.12,2073598
2010-01-13,30.16,30.94,30.0,30.79,1485916
2010-01-14,30.68,30.92,30.25,30.35,1237040
2010-01-15,30.32,30.45,29.92,30.21,1300036
2010-01-19,30.22,30.91,30.04,30.9,948716
2010-01-20,30.51,30.51,29.93,30.46,1132460
2010-01-21,30.56,30.7,29.37,29.38,1619610
2010-01-22,29.29,29.58,28.68,28.7,1503924
2010-01-25,29.18,29.36,29.03,29.06,837032
2010-01-26,28.9,29.4,28.75,28.85,1085708
2010-01-27,28.84,29.1,28.34,29.03,1321382
2010-01-28,29.0,29.18,28.16,28.49,1700534
2010-01-29,29.52,29.95,28.22,28.26,3985250
2010-02-01,29.05,30.0,29.05,29.98,2467940
2010-02-02,29.94,30.18,29.49,29.8,3370308
2010-02-03,29.56,29.97,29.32,29.64,1598358
2010-02-04,29.28,29.28,28.5,28.74,2007300
2010-02-05,28.82,29.04,27.94,28.82,3121642
2010-02-08,28.78,29.04,28.22,28.3,1929908
2010-02-09,28.71,29.14,28.34,28.93,1674968
2010-02-10,28.94,29.08,28.29,28.68,1581254
2010-02-11,28.66,29.06,28.38,28.92,1721348
2010-02-12,28.42,29.1,28.14,29.0,1527574
2010-02-16,29.32,29.7,29.18,29.66,1596074
2010-02-17,29.9,29.98,29.42,29.65,1233016
2010-02-18,29.46,29.98,29.46,29.93,975938
2010-02-19,29.85,30.18,29.72,30.01,1243238
2010-02-22,30.18,30.33,29.87,30.14,1694362
2010-02-23,30.02,30.1,29.28,29.5,1442114
2010-02-24,29.67,29.9,29.4,29.78,1538704
2010-02-25,29.24,29.76,29.01,29.7,1705168
2010-02-26,29.67,29.84,29.36,29.78,1540404
2010-03-01,29.97,30.05,29.58,30.03,3508076
2010-03-02,30.22,30.43,30.03,30.26,2700560
2010-03-03,30.39,31.04,30.16,30.52,2360062
2010-03-04,30.44,30.75,30.36,30.63,1280872
2010-03-05,30.78,30.92,30.63,30.88,1407068
2010-03-08,30.86,31.04,30.74,30.88,1415710
2010-03-09,30.74,30.98,30.56,30.72,1749258
2010-03-10,30.69,30.93,30.4,30.79,2838620
2010-03-11,30.4,30.9,30.16,30.9,1814420
2010-03-12,30.85,31.29,30.78,30.96,1660478
2010-03-15,30.76,31.1,30.6,30.78,1410554
2010-03-16,30.88,31.12,30.73,31.11,1453638
2010-03-17,31.18,31.7,31.08,31.56,1806974
2010-03-18,31.51,31.72,31.06,31.18,2143602
2010-03-19,31.19,31.42,30.54,30.6,1686890
