Date,Open,High,Low,Close,Volume
2010-01-04,43.15,43.4,42.73,43.35,3780938
2010-01-05,43.38,43.43,43.07,43.42,2707590
2010-01-06,43.25,43.83,43.16,43.81,4314619
2010-01-07,43.6,43.84,43.29,43.81,3085697
2010-01-08,43.73,44.09,43.42,44.06,3477404
2010-01-11,44.23,44.89,44.01,44.73,3357073
2010-01-12,44.45,44.76,44.17,44.49,4337432
2010-01-13,44.64,44.69,44.36,44.52,3563941
2010-01-14,44.52,45.0,44.21,44.94,5364072
2010-01-15,44.8,45.55,44.14,44.32,4524519
2010-01-19,44.27,44.74,44.1,44.73,3531109
2010-01-20,44.38,44.44,43.72,44.24,3225407
2010-01-21,44.13,44.29,43.03,43.11,4886271
2010-01-22,43.05,43.42,42.06,42.08,4855279
2010-01-25,42.71,42.87,42.34,42.51,3132272
2010-01-26,42.35,42.77,42.06,42.17,3828626
2010-01-27,42.15,42.27,41.45,42.06,5676415
2010-01-28,42.21,42.3,41.22,41.67,3801360
2010-01-29,41.83,42.46,41.45,41.54,4658321
2010-02-01,41.81,42.56,41.79,42.48,4723251
2010-02-02,45.28,47.12,42.68,46.77,15023189
2010-02-03,46.25,47.01,46.17,46.56,6380834
2010-02-04,46.16,46.28,45.0,45.27,7859690
2010-02-05,45.1,45.65,44.36,45.15,7978222
2010-02-08,45.07,45.25,44.43,44.47,3976518
2010-02-09,44.9,46.04,44.62,45.81,7029900
2010-02-10,45.84,46.0,45.06,45.47,5371513
2010-02-11,45.44,46.62,45.2,46.53,5839676
2010-02-12,46.06,46.35,45.59,46.21,5373518
2010-02-16,46.59,46.98,46.39,46.95,4616477
2010-02-17,46.99,47.21,46.66,47.17,4443380
2010-02-18,47.06,47.78,47.02,47.73,4173200
2010-02-19,47.51,48.14,47.39,48.08,5662269
2010-02-22,48.19,48.39,47.71,48.21,4409523
2010-02-23,48.06,48.2,47.0,47.12,5198157
2010-02-24,47.16,48.21,46.95,48.16,5654418
2010-02-25,47.49,47.8,46.69,47.7,5332620
2010-02-26,47.77,48.02,47.05,47.34,5693616
2010-03-01,47.58,47.58,47.19,47.37,4928407
2010-03-02,47.59,47.9,47.45,47.63,3286525
2010-03-03,47.83,48.32,47.78,47.91,3589063
2010-03-04,47.96,48.29,47.67,47.95,3283784
2010-03-05,48.28,48.89,48.14,48.49,3748240
2010-03-08,48.56,48.59,47.95,47.98,4086375
2010-03-09,47.88,48.19,47.66,47.99,2992060
2010-03-10,48.12,48.28,47.65,47.99,3558753
2010-03-11,47.8,47.95,47.4,47.95,3500796
2010-03-12,48.15,48.18,47.62,48.09,2360725
2010-03-15,47.95,48.35,47.88,48.35,3114262
2010-03-16,48.44,48.77,48.17,48.69,2714123
