Date,Open,High,Low,Close,Volume
2015-01-26,233.6,233.6,226.97,229.41,385511
2015-01-27,226.06,229.4,221.59,221.9,486596
2015-01-28,222.8,223.15,215.08,217.1,804750
2015-01-29,216.83,222.54,216.61,221.92,432096
2015-01-30,219.09,220.97,216.53,216.86,389585
2015-02-02,218.05,219.98,213.89,218.0,680997
2015-02-03,219.68,223.72,218.5,223.6,556209
2015-02-04,221.43,224.25,221.39,222.12,421332
2015-02-05,223.51,226.24,220.12,225.8,486450
2015-02-06,226.95,226.95,218.33,219.43,440601
2015-02-09,218.04,219.27,214.49,217.3,704219
2015-02-10,219.32,222.21,217.25,219.82,425466
2015-02-11,221.35,222.49,219.63,221.07,481263
2015-02-12,223.69,228.95,222.7,227.74,539579
2015-02-13,228.93,229.02,227.38,227.7,387888
2015-02-17,226.39,227.69,224.16,225.18,498666
2015-02-18,222.77,229.48,222.47,228.91,723332
2015-02-19,227.9,230.71,224.54,229.41,639119
2015-02-20,225.86,238.81,220.84,235.38,1637540
2015-02-23,234.24,235.49,230.69,232.96,839412
2015-02-24,232.19,233.38,230.4,232.17,690688
2015-02-25,232.38,233.55,227.79,228.39,502247
2015-02-26,228.38,228.9,225.55,226.4,329526
2015-02-27,227.89,227.89,223.65,224.18,479430
2015-03-02,224.93,226.62,221.23,223.64,723647
2015-03-03,224.0,224.69,219.3,221.12,619344
2015-03-04,219.74,225.28,219.74,223.83,805284
2015-03-05,223.8,235.27,223.37,234.3,1314099
2015-03-06,232.72,238.71,230.12,235.52,1320744
2015-03-09,234.56,235.19,230.16,231.25,704240
2015-03-10,229.43,230.01,225.95,227.65,501373
2015-03-11,228.24,228.8,225.93,227.02,549350
2015-03-12,227.81,232.9,226.33,231.49,640200
2015-03-13,230.59,232.44,227.91,230.49,717128
2015-03-16,232.53,237.81,232.52,236.14,957355
2015-03-17,234.72,236.86,233.32,234.26,430531
2015-03-18,233.33,236.78,230.66,236.51,711746
2015-03-19,234.62,236.98,234.16,235.9,699917
2015-03-20,237.94,244.97,237.12,238.95,13250959
2015-03-23,239.26,239.99,235.8,238.65,791857
2015-03-24,237.46,238.6,231.25,231.34,646404
2015-03-25,231.35,232.09,227.69,228.86,628386
2015-03-26,226.31,228.92,225.02,227.86,555634
2015-03-27,226.57,230.6,226.57,229.72,518078
2015-03-30,230.82,234.52,229.31,234.22,647072
2015-03-31,232.74,236.54,231.46,232.85,913240
2015-04-01,233.31,233.95,230.61,233.59,611292
2015-04-02,233.29,236.71,230.96,235.6,470712
2015-04-06,233.33,236.54,231.92,235.15,306989
2015-04-07,235.61,237.2,234.18,234.29,301786
2015-04-08,235.11,239.67,233.72,239.09,637696
2015-04-09,238.96,240.3,238.66,240.06,440093
2015-04-10,240.06,241.24,236.48,239.65,524697
2015-04-13,239.76,242.32,239.46,239.77,625277
2015-04-14,239.28,242.03,237.65,241.49,503662
2015-04-15,242.33,242.95,241.03,241.19,509905
2015-04-16,240.11,242.96,240.11,241.56,569440
2015-04-17,238.26,240.83,233.19,236.14,860036
2015-04-20,238.0,240.61,236.96,239.87,508787
2015-04-21,240.59,244.98,239.63,243.78,779701
2015-04-22,244.88,245.5,242.88,244.78,596020
2015-04-23,244.01,248.3,242.49,246.92,587708
2015-04-24,246.65,247.69,245.3,246.06,504680
2015-04-27,244.99,246.41,243.32,244.85,800748
2015-04-28,244.16,247.83,243.73,246.38,731080
2015-04-29,244.45,246.98,242.77,244.8,716222
2015-04-30,255.25,262.0,249.7,255.93,1743423
2015-05-01,258.93,260.0,256.24,258.88,1149774
2015-05-04,260.3,260.3,257.8,259.13,1009045
2015-05-05,258.24,259.86,257.17,257.18,978144
2015-05-06,258.81,259.47,256.04,258.28,805838
2015-05-07,265.25,270.46,261.21,262.0,1534227
2015-05-08,264.09,269.89,262.09,267.93,862457
2015-05-11,268.28,269.8,263.25,263.42,601891
2015-05-12,261.05,261.69,258.26,259.3,945290
2015-05-13,259.61,261.56,256.9,259.68,612100
2015-05-14,260.67,262.06,258.13,261.41,409018
2015-05-15,261.62,261.62,259.58,260.4,386289
2015-05-18,260.49,264.11,259.16,262.29,327054
2015-05-19,261.97,263.98,260.98,263.68,377754
2015-05-20,269.91,270.15,266.19,269.9,1201491
2015-05-21,266.88,268.75,263.21,268.22,2051936
2015-05-22,266.74,268.13,265.57,268.0,645092
2015-05-26,265.03,267.35,263.54,266.77,578307
2015-05-27,267.7,270.04,265.04,270.01,390160
2015-05-28,269.69,270.52,267.71,269.19,590692
2015-05-29,268.03,269.36,265.64,268.07,1129408
2015-06-01,274.13,274.13,267.95,270.15,557547
2015-06-02,266.68,269.96,265.84,268.95,1008624
2015-06-03,268.32,268.95,265.64,266.14,882563
2015-06-04,264.57,266.49,262.3,263.06,917185
2015-06-05,263.04,265.0,261.89,263.05,656270
2015-06-08,263.61,264.81,261.37,261.45,402305
2015-06-09,260.85,262.82,257.0,257.81,514367
2015-06-10,258.46,262.18,257.63,260.37,482799
2015-06-11,261.01,262.51,260.68,260.93,314006
2015-06-12,259.92,261.81,259.07,260.72,458968
2015-06-15,258.1,260.65,255.76,255.86,555905
2015-06-16,252.8,257.79,252.62,255.7,817605
2015-06-17,257.95,258.22,255.69,257.12,794974
2015-06-18,257.73,261.86,256.09,261.35,1183564
2015-06-19,261.34,263.19,260.04,262.79,2106422
2015-06-22,264.07,264.98,259.66,260.04,449040
2015-06-23,259.9,261.03,258.55,259.26,525472
2015-06-24,259.01,260.09,254.91,256.11,451629
2015-06-25,255.9,257.48,255.26,256.59,517368
2015-06-26,256.53,258.89,254.81,258.87,774986
2015-06-29,256.66,257.0,249.98,250.33,800913
2015-06-30,251.59,255.17,249.96,254.0,699560
2015-07-01,255.54,256.15,253.14,255.64,466348
2015-07-02,256.14,257.21,253.81,255.34,349549
2015-07-06,253.14,256.21,251.45,255.51,544012
2015-07-07,255.51,258.82,253.0,257.5,817543
2015-07-08,257.0,259.62,256.17,256.35,520483
2015-07-09,258.64,260.2,255.95,256.68,518358
2015-07-10,260.04,261.66,257.83,258.78,544934
2015-07-13,260.18,262.52,258.85,259.94,435262
2015-07-14,260.1,262.47,259.39,261.07,361471
2015-07-15,261.1,263.39,258.75,259.8,379244
