Date,Open,High,Low,Close,Volume
2010-01-04,44.49,45.25,44.49,44.79,774143
2010-01-05,44.87,45.12,44.62,45.1,762220
2010-01-06,45.0,45.5,44.92,45.28,505035
2010-01-07,45.12,45.13,44.48,44.67,706464
2010-01-08,44.48,44.67,44.07,44.29,715316
2010-01-11,44.53,45.13,44.09,44.25,797106
2010-01-12,44.04,44.04,43.42,43.67,525338
2010-01-13,43.87,44.02,43.23,43.99,481208
2010-01-14,43.91,44.47,43.66,44.4,563431
2010-01-15,44.22,44.33,43.2,43.66,806781
2010-01-19,43.57,44.31,43.56,44.3,724068
2010-01-20,43.86,43.93,43.42,43.7,902634
2010-01-21,43.64,44.23,43.06,43.27,953649
2010-01-22,42.94,43.08,42.12,42.16,748404
2010-01-25,42.54,43.18,42.3,42.89,1094001
2010-01-26,42.64,43.4,42.39,42.7,819545
2010-01-27,42.71,42.95,42.0,42.87,1393546
2010-01-28,45.78,45.78,43.46,44.38,3461212
2010-01-29,44.78,44.78,43.51,44.02,2174097
2010-02-01,44.48,45.13,44.44,44.81,1256619
2010-02-02,45.62,46.3,44.7,46.2,1582465
2010-02-03,46.03,46.31,45.79,45.91,923349
2010-02-04,45.41,45.41,43.2,43.24,2361290
2010-02-05,43.16,43.33,41.92,42.89,1504268
2010-02-08,42.96,43.17,42.35,42.37,854498
2010-02-09,43.03,43.45,42.53,43.02,766805
2010-02-10,42.93,42.93,41.79,42.41,790434
2010-02-11,42.26,42.82,41.81,42.81,912042
2010-02-12,42.31,43.05,42.06,43.0,875114
2010-02-16,43.59,44.48,43.4,44.24,1358876
2010-02-17,44.31,44.56,44.17,44.23,2147788
2010-02-18,44.1,44.55,43.94,44.45,691210
2010-02-19,44.22,45.22,44.16,45.12,974282
2010-02-22,45.42,45.54,44.22,44.47,1056320
2010-02-23,44.4,44.6,43.63,43.67,929438
2010-02-24,43.87,44.27,43.61,44.05,913192
2010-02-25,43.53,44.1,43.04,43.99,931620
2010-02-26,44.09,44.24,43.67,43.76,764556
2010-03-01,44.0,44.95,44.0,44.92,850972
2010-03-02,45.32,45.97,45.25,45.75,1485117
2010-03-03,45.86,46.28,45.86,46.2,1038665
2010-03-04,46.14,46.48,45.78,46.01,1064802
2010-03-05,46.36,47.43,46.29,47.33,1246469
2010-03-08,47.19,47.37,46.95,47.1,1136929
2010-03-09,46.93,47.41,46.78,47.37,1162808
2010-03-10,44.44,45.83,44.3,44.68,4012306
2010-03-11,44.0,44.26,43.64,43.82,10199248
2010-03-12,44.07,44.23,43.65,43.9,3446631
2010-03-15,43.89,43.95,42.62,43.5,2471612
2010-03-16,43.59,43.75,43.34,43.7,1700337
2010-03-17,43.74,44.0,43.45,43.62,1448287
2010-03-18,43.51,43.71,42.31,42.76,3054492
2010-03-19,42.78,42.95,41.24,41.72,3089666
2010-03-22,41.45,41.46,40.86,41.33,2171740
2010-03-23,41.38,41.85,41.04,41.73,1372346
2010-03-24,41.59,41.76,41.28,41.51,1276857
2010-03-25,41.68,41.9,40.75,40.81,2424630
2010-03-26,40.99,40.99,39.78,40.29,2772330
2010-03-29,40.47,41.26,40.29,41.21,1626331
2010-03-30,41.14,41.25,40.81,41.11,1359017
2010-03-31,41.03,41.4,40.77,41.0,3481638
2010-04-01,41.36,42.18,41.24,42.08,2014444
2010-04-05,42.1,43.28,42.1,43.28,1894586
2010-04-06,43.01,43.65,42.92,43.39,1957610
2010-04-07,43.22,43.54,42.94,43.41,2549279
2010-04-08,43.22,43.53,42.77,43.44,1155996
2010-04-09,44.85,44.98,43.91,44.81,2368236
2010-04-12,44.7,45.1,44.7,44.91,2043052
2010-04-13,44.83,45.06,44.42,44.68,1831976
2010-04-14,44.68,45.08,44.64,44.87,1343206
2010-04-15,44.71,44.99,44.6,44.66,1177886
2010-04-16,44.54,44.62,43.38,43.76,1394624
2010-04-19,43.49,43.69,43.01,43.68,809234
2010-04-20,43.83,44.07,43.63,43.98,975464
2010-04-21,43.93,43.96,43.32,43.66,782393
2010-04-22,43.59,44.59,43.2,44.36,1458855
2010-04-23,44.26,45.67,44.05,45.6,1970447
2010-04-26,45.6,46.06,45.5,45.62,1756100
2010-04-27,45.28,45.33,43.61,43.78,1260017
2010-04-28,45.72,45.72,43.6,44.46,1546854
2010-04-29,44.86,44.98,43.27,43.79,1278624
2010-04-30,43.88,44.15,43.4,43.49,1087205
2010-05-03,43.85,44.71,43.57,44.5,1155638
2010-05-04,43.84,44.25,43.45,43.89,1036680
2010-05-05,43.12,43.44,42.26,42.32,1428602
2010-05-06,42.1,42.29,38.28,40.67,1921626
2010-05-07,40.62,40.96,39.28,39.78,1549347
2010-05-10,41.0,42.22,41.0,42.12,2223411
2010-05-11,41.69,43.13,41.68,42.13,2272595
2010-05-12,42.2,43.2,42.2,42.91,1104242
2010-05-13,42.76,43.31,42.52,42.65,766328
2010-05-14,42.44,42.44,41.54,42.28,1545417
2010-05-17,42.49,42.67,40.72,41.19,1607816
2010-05-18,41.47,42.08,40.34,40.51,1957073
2010-05-19,40.11,40.5,39.01,39.57,1940851
2010-05-20,38.6,38.6,37.65,37.7,1740704
2010-05-21,37.0,38.38,36.63,38.35,1833667
2010-05-24,38.22,38.45,37.1,37.18,1179043
2010-05-25,36.12,36.9,35.8,36.84,1931381
2010-05-26,37.41,38.04,37.18,37.38,2013978
2010-05-27,38.26,38.96,37.62,38.89,1638593
2010-05-28,39.19,39.59,38.68,39.19,2116730
2010-06-01,38.81,39.32,37.79,37.83,1563344
2010-06-02,38.02,39.55,37.71,39.55,1977525
2010-06-03,39.48,40.87,39.42,40.78,1804717
2010-06-04,39.92,40.68,37.89,38.1,4535647
2010-06-07,38.46,39.05,37.99,38.05,1739823
2010-06-08,38.06,38.76,37.65,38.64,1628875
2010-06-09,38.86,39.45,38.19,38.33,1434514
2010-06-10,39.45,40.48,39.05,40.43,1256950
2010-06-11,39.71,40.74,39.61,40.72,1234164
2010-06-14,41.14,41.71,40.7,40.8,1297819
2010-06-15,40.93,41.51,40.9,41.42,1477492
2010-06-16,41.05,41.85,40.95,41.52,1095757
2010-06-17,41.75,41.76,40.61,41.0,1467700
2010-06-18,40.88,41.01,40.44,40.97,1653532
2010-06-21,41.43,41.49,40.13,40.42,1226304
2010-06-22,40.41,40.51,38.52,38.75,2355015
2010-06-23,38.66,38.68,37.88,38.3,1395870
2010-06-24,37.95,38.31,37.59,37.85,1172679
2010-06-25,37.92,38.16,37.5,38.07,1179304
2010-06-28,38.17,38.2,37.5,37.78,688355
2010-06-29,37.29,37.29,35.96,36.25,1762893
2010-06-30,36.07,36.92,36.03,36.14,1520692
2010-07-01,36.07,36.13,34.62,35.41,1962320
2010-07-02,35.55,35.99,35.24,35.35,1229465
2010-07-06,35.77,36.29,35.5,35.88,1060339
2010-07-07,35.88,37.29,35.88,37.29,1058485
2010-07-08,37.57,37.82,36.96,37.34,1115043
2010-07-09,37.33,37.41,36.79,37.07,1234265
2010-07-12,36.83,37.19,36.44,36.9,630352
2010-07-13,37.4,37.5,36.91,37.13,844427
2010-07-14,36.92,37.34,36.58,37.03,856013
2010-07-15,36.97,37.55,36.52,37.42,1013706
2010-07-16,37.19,37.19,35.9,35.99,1361920
2010-07-19,36.22,36.49,35.9,36.39,602416
2010-07-20,35.94,37.54,35.89,37.48,1641681
2010-07-21,37.56,37.59,36.62,36.82,1432914
2010-07-22,37.19,38.0,37.19,37.8,973383
2010-07-23,37.47,37.76,36.84,37.18,1988091
2010-07-26,37.2,37.79,37.08,37.72,1327177
2010-07-27,37.82,37.84,37.1,37.39,1271560
2010-07-28,37.24,37.86,37.04,37.81,1831080
2010-07-29,38.03,38.03,36.04,36.86,2057190
2010-07-30,36.4,36.72,35.91,36.68,2125700
