Date,Open,High,Low,Close,Volume
2010-01-04,21.92,22.1,21.78,21.87,1030520
2010-01-05,21.8,22.02,21.79,22.02,929088
2010-01-06,22.07,22.37,21.93,22.27,1003012
2010-01-07,22.38,22.52,22.15,22.47,900708
2010-01-08,22.66,22.71,22.33,22.37,1191540
2010-01-11,22.5,22.86,22.46,22.86,1478936
2010-01-12,22.75,22.95,22.62,22.94,1735012
2010-01-13,23.0,23.17,22.86,23.03,933844
2010-01-14,23.08,23.14,23.01,23.1,1047532
2010-01-15,23.15,23.15,22.67,22.9,1620732
2010-01-19,22.93,23.26,22.92,23.26,1153012
2010-01-20,23.22,23.52,23.08,23.49,1568148
2010-01-21,23.6,23.64,23.32,23.52,1676188
2010-01-22,23.46,23.46,22.68,22.73,2318512
2010-01-25,22.73,23.1,22.5,22.96,1687824
2010-01-26,22.8,23.06,22.79,22.92,721800
2010-01-27,22.84,22.99,22.75,22.89,771544
2010-01-28,22.86,23.18,22.6,22.64,1391184
2010-01-29,22.79,22.8,22.4,22.4,1447992
2010-02-01,22.4,22.63,22.25,22.56,871456
2010-02-02,22.64,23.29,22.52,23.26,1145564
2010-02-03,23.26,23.48,23.06,23.11,1589948
2010-02-04,23.05,23.12,22.34,22.42,2504528
2010-02-05,22.11,22.47,21.31,22.43,5664864
2010-02-08,22.4,22.4,21.74,21.76,3235036
2010-02-09,22.0,22.06,21.4,21.66,2900224
2010-02-10,21.53,21.61,21.15,21.45,2036052
2010-02-11,21.38,21.62,21.27,21.59,2305992
2010-02-12,21.54,21.83,21.49,21.83,1396936
2010-02-16,21.86,22.03,21.56,22.03,1773352
2010-02-17,22.14,22.48,22.03,22.45,1539524
2010-02-18,22.48,22.68,22.36,22.67,1851608
2010-02-19,22.7,22.81,22.5,22.62,1789656
2010-02-22,22.76,22.87,22.54,22.84,2007744
2010-02-23,22.87,22.87,22.48,22.54,2539376
2010-02-24,22.72,22.77,22.6,22.75,2406584
2010-02-25,22.54,22.82,22.42,22.82,2724812
2010-02-26,22.88,22.99,22.7,22.96,3396396
2010-03-01,22.96,23.44,22.51,23.41,2104452
2010-03-02,23.5,23.78,23.48,23.78,1834232
2010-03-03,23.84,23.87,23.64,23.86,1813716
2010-03-04,23.94,23.98,23.85,23.95,1507584
2010-03-05,23.98,24.24,23.92,24.23,1243568
2010-03-08,24.24,24.31,24.15,24.2,925076
2010-03-09,24.21,24.29,24.0,24.09,784192
2010-03-10,24.04,24.32,24.04,24.3,989008
2010-03-11,24.27,24.31,23.8,24.3,966784
2010-03-12,24.4,24.47,24.14,24.46,838604
2010-03-15,24.39,24.9,23.97,24.7,1690716
2010-03-16,24.87,24.88,24.49,24.68,887460
2010-03-17,24.75,24.75,24.54,24.61,802740
2010-03-18,24.74,24.81,24.61,24.78,810396
2010-03-19,24.85,25.0,24.82,24.98,1833368
2010-03-22,24.92,25.36,24.53,25.32,1613500
2010-03-23,25.36,25.5,24.97,25.14,1767932
2010-03-24,25.13,25.19,24.92,25.0,912796
2010-03-25,25.06,25.06,24.73,24.74,2076112
2010-03-26,24.74,24.84,24.48,24.55,1892120
2010-03-29,24.64,24.9,24.6,24.88,715212
2010-03-30,24.88,25.05,24.74,25.03,680372
2010-03-31,24.92,24.96,24.71,24.72,952224
2010-04-01,24.81,25.14,24.81,25.1,896196
2010-04-05,25.2,25.8,25.2,25.8,1485536
2010-04-06,25.77,25.8,24.91,25.61,3591520
2010-04-07,25.7,25.92,25.48,25.75,1077312
2010-04-08,25.64,25.74,25.42,25.7,784968
2010-04-09,25.94,26.0,25.62,26.0,1300660
2010-04-12,25.74,25.74,25.38,25.61,1474016
2010-04-13,25.65,26.14,25.42,26.13,1486000
2010-04-14,26.31,26.38,25.91,26.08,1472048
2010-04-15,26.13,26.37,26.0,26.34,977148
2010-04-16,26.32,26.46,26.04,26.09,1224308
2010-04-19,25.99,26.27,25.84,25.9,1657516
2010-04-20,25.9,26.2,25.87,26.16,2549320
2010-04-21,25.44,25.97,25.01,25.08,3980336
2010-04-22,25.08,25.44,24.76,25.4,1618856
2010-04-23,25.33,25.71,25.0,25.68,1376652
2010-04-26,25.46,25.79,25.12,25.54,1089992
2010-04-27,25.52,26.07,25.4,25.7,1564240
2010-04-28,25.7,26.32,25.65,26.13,1745344
2010-04-29,26.16,26.38,25.94,26.38,1474472
2010-04-30,26.45,26.48,25.74,25.77,1773912
2010-05-03,25.84,26.48,25.84,26.46,1429508
2010-05-04,26.22,26.42,25.76,25.86,1628776
2010-05-05,25.8,25.9,25.5,25.73,2226228
2010-05-06,25.72,25.96,24.0,24.96,2298716
2010-05-07,25.03,25.03,24.08,24.37,4159680
2010-05-10,25.15,25.62,24.5,25.23,1968840
2010-05-11,25.13,25.2,24.8,24.95,2229404
2010-05-12,25.07,25.42,24.9,25.37,1788512
2010-05-13,25.29,25.76,25.28,25.48,987004
2010-05-14,25.33,25.43,25.01,25.15,1095780
2010-05-17,25.29,25.47,24.9,25.42,1498792
2010-05-18,25.66,25.8,25.26,25.31,1320572
2010-05-19,25.19,25.39,24.8,24.91,1614716
2010-05-20,24.48,24.57,24.04,24.04,2297688
2010-05-21,23.76,24.63,23.29,24.6,2508520
2010-05-24,24.44,25.28,24.44,25.06,2287316
2010-05-25,24.63,25.14,24.18,24.78,4032548
2010-05-26,24.9,25.9,24.79,25.46,3271336
2010-05-27,25.62,26.0,25.45,25.96,1913320
2010-05-28,25.87,26.0,25.2,25.26,3085924
2010-06-01,25.11,26.38,25.11,26.04,3588050
2010-06-02,26.2,26.62,25.76,26.62,2776780
2010-06-03,26.68,27.04,26.52,26.9,1999574
2010-06-04,26.36,26.59,25.98,26.23,2637552
2010-06-07,26.34,26.78,25.66,25.72,2443152
2010-06-08,25.79,26.36,25.62,26.18,2047948
2010-06-09,26.22,26.5,26.12,26.27,1513368
2010-06-10,26.57,26.85,26.37,26.47,1284470
2010-06-11,26.36,26.96,26.28,26.9,1120642
2010-06-14,27.12,27.34,26.84,26.92,970026
2010-06-15,26.94,27.29,26.94,27.26,803642
2010-06-16,27.08,27.78,27.08,27.56,1102968
2010-06-17,27.48,27.67,27.28,27.44,1074608
2010-06-18,27.48,27.8,27.37,27.52,951524
2010-06-21,27.82,28.0,27.39,27.52,789360
2010-06-22,27.59,27.89,27.38,27.4,1211938
2010-06-23,26.7,26.88,25.68,26.08,3936986
2010-06-24,26.04,26.75,25.94,26.5,2288308
2010-06-25,26.72,26.72,26.24,26.66,2863958
2010-06-28,26.96,27.16,26.5,27.04,1806278
2010-06-29,26.72,27.14,26.54,26.92,2087248
2010-06-30,26.92,28.22,26.82,28.01,4317810
2010-07-01,28.09,28.09,27.3,27.79,3059892
2010-07-02,27.9,28.02,27.68,27.7,2439792
2010-07-06,28.1,28.61,28.0,28.3,2320546
2010-07-07,27.81,27.82,27.34,27.62,4983240
2010-07-08,27.84,28.08,27.5,27.8,2682472
2010-07-09,27.84,28.22,27.73,28.07,782746
2010-07-12,28.0,28.2,27.86,28.0,884136
2010-07-13,28.26,28.4,27.82,27.83,1718466
2010-07-14,27.8,28.02,27.52,28.0,1651090
2010-07-15,28.08,28.2,27.7,27.98,1068378
2010-07-16,27.85,27.96,27.32,27.38,1369672
2010-07-19,27.5,27.76,27.42,27.6,1153880
2010-07-20,27.34,27.82,27.1,27.79,1528166
2010-07-21,27.82,27.82,26.68,26.78,3035868
2010-07-22,28.05,29.18,28.05,28.68,3451966
2010-07-23,28.68,29.19,28.54,29.12,2670304
2010-07-26,29.12,29.34,28.92,29.34,1696512
2010-07-27,29.5,29.64,29.1,29.36,1473506
2010-07-28,29.36,29.47,28.82,28.92,1023084
2010-07-29,29.12,29.3,28.59,28.64,1565506
2010-07-30,28.47,29.1,28.4,28.9,1523762
2010-08-02,29.22,29.32,28.73,28.81,1887324
2010-08-03,28.82,29.41,28.34,28.73,2763450
2010-08-04,28.75,29.04,28.62,28.77,1474712
