Date,Open,High,Low,Close,Volume
2010-01-04,49.07,49.21,48.77,48.88,4367528
2010-01-05,48.94,48.94,47.69,48.08,5223702
2010-01-06,48.07,48.38,47.54,48.37,4088916
2010-01-07,48.12,48.62,48.12,48.53,5126957
2010-01-08,48.3,48.49,48.21,48.3,5090225
2010-01-11,48.49,49.08,48.38,48.86,5094514
2010-01-12,48.8,49.39,48.52,49.07,4616824
2010-01-13,49.13,49.88,49.09,49.66,3616713
2010-01-14,49.64,49.65,49.0,49.08,5611710
2010-01-15,48.88,49.01,48.29,48.6,6349769
2010-01-19,48.48,49.28,48.41,49.27,4730698
2010-01-20,49.02,49.07,48.04,48.45,9356876
2010-01-21,48.57,48.96,47.66,48.05,7262861
2010-01-22,47.93,48.03,46.58,46.61,7045826
2010-01-25,47.11,47.19,46.06,46.09,5537606
2010-01-26,46.17,46.8,45.6,46.6,7818106
2010-01-27,46.6,46.6,45.76,46.28,6103628
2010-01-28,47.0,47.0,45.72,45.96,3971688
2010-01-29,47.0,47.2,45.6,45.62,5777238
2010-02-01,45.84,46.45,45.48,45.86,4308278
2010-02-02,45.88,46.35,45.51,46.14,3749843
2010-02-03,46.03,46.03,45.56,45.71,7963693
2010-02-04,45.69,45.69,44.72,44.75,9047987
2010-02-05,44.55,44.65,43.45,44.24,10804098
2010-02-08,44.69,44.74,43.76,43.76,3055053
2010-02-09,44.1,44.59,43.89,44.22,4478256
2010-02-10,44.13,44.41,43.71,44.3,4411094
2010-02-11,43.78,43.83,43.14,43.72,6387260
2010-02-12,43.57,43.6,42.97,43.3,5288402
2010-02-16,43.59,44.27,43.51,44.2,4077248
2010-02-17,44.54,44.54,43.89,43.99,2853003
2010-02-18,43.85,44.56,43.76,44.46,4149106
2010-02-19,44.32,45.09,44.32,44.88,3849079
2010-02-22,45.18,45.18,44.61,44.69,3226439
2010-02-23,44.53,44.69,44.1,44.14,3797281
2010-02-24,44.2,44.38,43.59,44.01,5129624
2010-02-25,43.58,43.87,43.02,43.81,4257000
2010-02-26,43.81,43.96,43.25,43.3,4821567
2010-03-01,43.67,44.7,43.51,44.46,5827450
