Date,Open,High,Low,Close,Volume
2010-01-04,21.01,21.18,20.84,21.02,3431896
2010-01-05,20.96,21.48,20.88,21.45,2898708
2010-01-06,22.1,23.24,22.0,22.86,10329382
2010-01-07,22.66,23.44,22.34,23.26,6245074
2010-01-08,23.46,23.58,23.03,23.49,3316120
2010-01-11,23.48,23.49,22.88,23.03,3984828
2010-01-12,22.88,23.14,22.78,23.02,2527328
2010-01-13,23.1,23.46,22.94,23.34,2660944
2010-01-14,23.22,23.64,23.02,23.15,2669506
2010-01-15,22.75,23.4,22.71,22.93,3298392
2010-01-19,21.76,23.24,21.68,22.41,9384370
2010-01-20,22.28,22.32,21.56,22.13,3911300
2010-01-21,22.14,22.33,21.73,21.76,3153920
2010-01-22,21.8,21.98,21.18,21.28,2386242
2010-01-25,21.4,21.42,21.02,21.32,2117364
2010-01-26,21.26,21.32,21.03,21.08,2281492
2010-01-27,20.96,21.18,20.88,21.12,2178674
2010-01-28,21.22,21.22,20.5,20.74,2983268
2010-01-29,20.81,21.26,20.72,20.74,2861420
2010-02-01,20.8,21.01,20.7,20.76,2844120
2010-02-02,20.86,21.52,20.82,21.48,3974988
2010-02-03,21.38,21.6,21.34,21.51,2386502
2010-02-04,21.39,21.44,21.02,21.07,3118370
2010-02-05,21.16,21.34,20.67,21.0,3869220
2010-02-08,20.98,21.0,20.56,20.6,3147962
2010-02-09,20.89,21.3,20.78,21.17,2726410
2010-02-10,21.03,21.3,20.68,20.76,2251324
2010-02-11,20.65,21.08,20.48,21.07,1762806
2010-02-12,20.88,21.03,20.72,20.92,2131172
2010-02-16,21.1,21.5,21.0,21.49,2159506
2010-02-17,21.53,21.67,21.3,21.56,1616436
2010-02-18,21.6,21.83,21.57,21.82,1569624
2010-02-19,21.68,22.04,21.67,21.94,1718446
2010-02-22,22.0,22.14,21.88,22.03,1685446
2010-02-23,22.04,22.18,21.89,21.96,2279080
2010-02-24,22.12,22.22,21.94,22.09,1336456
2010-02-25,21.69,22.22,21.66,22.18,2180612
2010-02-26,22.18,22.32,22.0,22.18,2630736
2010-03-01,22.2,22.5,22.1,22.46,3258700
2010-03-02,22.5,22.62,22.32,22.41,2328536
2010-03-03,22.52,22.76,22.48,22.51,2320472
2010-03-04,22.62,22.71,22.44,22.54,2277126
2010-03-05,22.58,22.89,22.56,22.85,2802572
2010-03-08,22.79,22.9,22.6,22.72,1791110
2010-03-09,22.73,22.82,22.54,22.64,2189378
2010-03-10,22.58,22.79,22.55,22.64,1824124
2010-03-11,22.52,22.62,22.36,22.61,1928006
2010-03-12,22.66,22.68,22.43,22.64,1502694
2010-03-15,22.66,22.97,22.57,22.94,1958330
2010-03-16,22.9,23.19,22.8,23.18,2184368
2010-03-17,23.22,23.74,23.12,23.72,2383078
2010-03-18,23.46,23.83,23.46,23.67,1714224
2010-03-19,23.9,23.9,23.28,23.49,4675528
2010-03-22,23.49,24.43,23.48,24.19,3708080
2010-03-23,24.25,24.52,24.06,24.5,2204208
2010-03-24,24.44,24.49,24.16,24.17,2370572
2010-03-25,24.4,24.46,23.98,24.02,2418600
2010-03-26,24.04,24.36,24.02,24.14,1501404
2010-03-29,24.25,24.4,24.16,24.22,1968998
2010-03-30,24.34,24.58,24.16,24.25,1522012
2010-03-31,24.2,24.28,23.96,24.0,1826826
2010-04-05,24.44,24.88,24.36,24.85,1702554
2010-04-06,24.82,25.05,24.79,25.04,2398170
2010-04-07,24.96,26.32,24.96,25.86,6840180
2010-04-08,25.74,25.88,23.25,25.4,3808134
2010-04-09,25.54,25.58,25.36,25.58,1918136
2010-04-12,25.6,26.02,25.5,25.95,3847462
2010-04-13,27.1,27.48,26.32,26.5,6513746
2010-04-14,26.5,26.72,26.24,26.72,2960270
2010-04-15,26.66,27.58,26.56,27.5,5775852
2010-04-16,27.42,27.61,27.0,27.16,3506794
2010-04-19,27.1,27.46,26.82,27.44,2678278
2010-04-20,27.46,27.5,26.92,27.13,4246780
2010-04-21,27.1,27.25,26.7,27.19,3060204
2010-04-22,26.98,27.93,26.98,27.86,3558770
2010-04-23,27.84,28.23,27.6,28.1,2015410
2010-04-26,28.09,28.32,27.94,28.05,1978658
2010-04-27,27.98,28.1,27.06,27.14,2950966
2010-04-28,27.36,27.56,27.08,27.28,2146840
2010-04-29,27.64,28.09,27.32,28.02,2304404
2010-04-30,28.1,28.24,27.21,27.34,2223598
2010-05-03,27.21,28.3,27.21,28.24,2702290
2010-05-04,27.78,27.86,26.89,27.04,3154144
2010-05-05,26.96,27.15,26.54,26.66,3318314
2010-05-06,26.55,26.83,24.0,25.68,4022964
2010-05-07,25.52,25.8,24.68,25.11,3411678
2010-05-10,25.76,26.83,25.76,26.74,2469946
2010-05-11,26.43,27.3,26.42,27.12,3461720
2010-05-12,27.2,27.78,27.0,27.72,3242144
2010-05-13,27.46,27.86,27.18,27.49,2998670
2010-05-14,27.33,27.43,26.52,26.83,1899046
2010-05-17,26.92,27.15,26.24,26.82,1875774
2010-05-18,27.0,27.23,26.18,26.28,1910362
2010-05-19,26.14,26.7,25.65,26.13,1976086
2010-05-20,25.93,26.06,24.54,24.6,5561642
2010-05-21,24.69,25.35,24.2,25.18,3363686
2010-05-24,24.82,25.26,24.72,24.78,1751110
2010-05-25,24.22,24.84,24.02,24.82,2277848
2010-05-26,24.46,25.4,24.46,24.71,1795448
2010-05-27,25.21,25.72,25.08,25.68,1554742
2010-05-28,25.6,25.82,24.86,25.22,2035956
2010-06-01,25.1,25.58,24.84,24.84,1979586
2010-06-02,24.89,25.9,24.66,25.9,3211824
