Date,Open,High,Low,Close,Volume
2010-01-04,23.63,23.96,23.44,23.82,4623665
2010-01-05,23.99,24.88,23.93,24.84,4868751
2010-01-06,24.93,24.93,24.54,24.7,2481181
2010-01-07,24.69,24.69,24.41,24.56,3384833
2010-01-08,24.0,24.3,23.86,24.05,2459968
2010-01-11,24.2,24.25,23.74,23.93,3010004
2010-01-12,23.8,23.87,23.65,23.85,2038670
2010-01-13,23.53,24.34,23.53,24.25,3466983
2010-01-14,24.24,24.4,24.09,24.35,1170983
2010-01-15,24.34,24.4,23.9,23.99,2061997
2010-01-19,23.88,24.43,23.86,24.41,1818374
2010-01-20,24.21,24.45,23.92,24.25,2168327
2010-01-21,24.25,24.94,24.1,24.34,4964606
2010-01-22,24.23,24.48,23.95,23.96,3800360
2010-01-25,24.15,24.38,23.95,24.07,3397819
2010-01-26,24.02,24.24,23.95,24.01,2173928
2010-01-27,24.01,24.23,23.87,24.22,2454839
2010-01-28,24.21,24.22,23.63,23.75,3823797
2010-01-29,23.83,23.96,23.52,23.56,2714049
2010-02-01,23.85,23.85,23.48,23.76,2325289
2010-02-02,23.79,23.95,23.56,23.95,2325198
2010-02-03,23.83,24.01,23.62,23.99,2518114
2010-02-04,24.01,24.15,23.52,23.54,4252912
2010-02-05,23.62,23.62,22.74,23.04,4776991
2010-02-08,23.0,23.12,22.8,22.92,2876496
2010-02-09,23.17,23.44,22.74,22.78,4555392
2010-02-10,22.73,22.78,22.27,22.28,5301297
2010-02-11,22.28,22.52,22.25,22.47,3877455
2010-02-12,22.3,22.5,22.13,22.36,4151985
2010-02-16,22.48,22.64,22.36,22.52,1953902
2010-02-17,22.61,22.61,22.32,22.61,2880045
2010-02-18,22.56,22.78,22.41,22.61,3702903
2010-02-19,22.48,22.79,22.42,22.68,2890083
2010-02-22,22.71,22.84,22.6,22.65,1834664
2010-02-23,22.65,22.81,22.45,22.6,2652325
2010-02-24,22.68,22.92,22.44,22.88,3328250
2010-02-25,22.61,22.83,22.52,22.8,4253474
2010-02-26,22.78,22.78,22.5,22.54,4975678
2010-03-01,22.56,23.07,22.54,23.07,1969710
2010-03-02,23.0,23.2,22.93,22.98,1784173
2010-03-03,22.98,23.18,22.86,22.93,1811293
2010-03-04,22.99,23.05,22.84,23.03,1463517
2010-03-05,23.11,23.5,22.98,23.48,1796183
2010-03-08,23.45,23.51,23.32,23.4,1490614
2010-03-09,23.25,23.34,23.08,23.14,4013400
