Date,Open,High,Low,Close,Volume
2010-01-04,9.88,10.22,9.81,10.12,15429116
2010-01-05,9.96,10.4,9.93,10.39,12701789
2010-01-06,10.3,10.5,10.25,10.45,13140572
2010-01-07,10.4,11.3,10.36,11.08,34759171
2010-01-08,11.0,11.36,10.96,11.09,19963297
2010-01-11,11.26,11.29,11.0,11.2,15255303
2010-01-12,11.12,11.28,10.96,10.99,11355237
2010-01-13,11.02,11.67,10.69,11.52,26686439
2010-01-14,11.43,11.95,11.41,11.77,26513225
2010-01-15,11.69,11.72,11.12,11.36,25448922
2010-01-19,11.24,11.41,11.15,11.39,17267490
2010-01-20,11.21,11.67,11.2,11.31,25445084
2010-01-21,12.2,12.59,11.95,12.02,66594523
2010-01-22,11.95,12.71,11.69,12.1,39372375
2010-01-25,12.25,12.87,12.1,12.49,32935651
2010-01-26,12.36,12.67,11.64,11.71,35801395
2010-01-27,11.8,12.36,11.68,12.18,24249901
2010-01-28,12.49,12.69,12.18,12.26,32538550
2010-01-29,12.69,12.72,12.3,12.44,30963913
2010-02-01,12.45,12.65,12.34,12.5,19895865
2010-02-02,12.48,12.55,12.08,12.48,20103805
2010-02-03,12.35,12.35,11.84,12.0,28332707
2010-02-04,11.82,11.94,11.18,11.22,32057760
2010-02-05,11.25,11.46,10.82,11.26,22203273
2010-02-08,11.26,11.6,11.01,11.39,29761109
2010-02-09,11.51,11.68,11.41,11.47,18607760
2010-02-10,11.49,11.9,11.31,11.69,17859034
2010-02-11,11.77,11.96,11.59,11.87,17498807
2010-02-12,11.8,11.82,11.39,11.61,20012373
2010-02-16,11.73,12.12,11.67,12.08,15700919
2010-02-17,12.16,12.19,11.89,12.05,14963804
2010-02-18,11.96,12.03,11.82,11.92,10472646
2010-02-19,11.89,12.26,11.86,12.23,16148839
2010-02-22,12.28,12.72,12.23,12.55,18309906
2010-02-23,12.46,12.56,12.11,12.27,20397067
2010-02-24,12.37,12.71,12.3,12.69,17103803
2010-02-25,12.31,12.33,11.95,12.2,24793915
2010-02-26,12.24,12.34,12.1,12.21,14335100
2010-03-01,12.32,12.33,12.03,12.24,12508551
2010-03-02,12.21,12.75,12.21,12.66,16660791
2010-03-03,12.67,12.74,12.44,12.54,14430128
2010-03-04,12.2,12.5,12.18,12.33,14801744
2010-03-05,12.53,12.77,12.44,12.73,13242228
2010-03-08,12.56,12.82,12.48,12.61,13945163
2010-03-09,12.51,12.77,12.36,12.62,13319456
2010-03-10,12.78,13.12,12.72,12.96,19745283
2010-03-11,13.03,13.38,12.97,13.28,20651946
2010-03-12,13.51,13.52,13.09,13.15,13393078
2010-03-15,13.14,13.42,13.02,13.38,11583128
2010-03-16,13.38,13.55,13.28,13.45,12494043
2010-03-17,13.54,13.78,13.49,13.7,13375699
2010-03-18,13.7,13.75,13.32,13.44,11397457
2010-03-19,13.52,13.6,13.13,13.3,17167514
2010-03-22,13.11,13.5,13.05,13.43,10445750
2010-03-23,13.47,13.51,13.19,13.46,9507445
2010-03-24,13.39,13.77,13.35,13.58,11406454
2010-03-25,13.74,14.05,13.37,13.41,22619398
2010-03-26,13.49,13.75,13.11,13.2,21076098
2010-03-29,13.31,13.43,13.2,13.31,7340168
2010-03-30,13.29,13.43,13.14,13.26,6896085
2010-03-31,13.15,13.72,13.15,13.56,14098024
2010-04-05,13.63,13.97,13.6,13.95,7652443
2010-04-06,13.93,14.38,13.91,14.35,18082142
2010-04-07,14.48,14.61,14.1,14.3,16492990
2010-04-08,14.2,14.35,13.98,14.27,13181312
2010-04-09,14.26,14.29,13.96,14.1,13395268
2010-04-12,14.14,14.44,14.11,14.36,9324230
2010-04-13,14.28,14.41,14.12,14.33,11133922
2010-04-14,14.5,15.06,14.48,14.94,15020721
2010-04-15,15.0,15.08,14.72,14.9,10748878
2010-04-16,14.83,14.87,13.75,14.2,28287805
2010-04-19,14.0,14.4,13.78,14.24,14167593
2010-04-20,14.39,14.81,14.24,14.8,14989573
2010-04-21,14.88,15.95,14.75,15.15,38065441
2010-04-22,14.9,15.0,14.33,14.96,34041384
2010-04-23,14.95,15.12,14.65,15.12,17815152
2010-04-26,15.02,15.13,14.48,14.52,17742077
2010-04-27,14.34,14.64,14.02,14.05,15940768
2010-04-28,14.24,14.62,14.14,14.44,15947475
2010-04-29,14.73,14.98,14.61,14.87,12080077
2010-04-30,14.93,15.28,14.85,14.92,15694998
2010-05-03,15.02,15.46,15.01,15.36,12012974
2010-05-04,15.14,15.14,14.42,14.56,16672504
2010-05-05,14.1,14.93,13.99,14.59,16049762
2010-05-06,14.46,14.64,12.6,13.61,26955871
2010-05-07,13.75,13.89,13.05,13.31,26272993
2010-05-10,14.26,14.83,14.04,14.38,21289653
2010-05-11,14.11,14.9,14.11,14.61,14640041
2010-05-12,14.87,15.0,14.6,15.0,12874284
2010-05-13,14.97,15.07,14.8,14.8,12275912
2010-05-14,14.53,14.53,13.86,14.08,15593379
2010-05-17,14.16,14.35,13.63,13.98,16217356
2010-05-18,14.21,14.23,13.28,13.43,17857887
2010-05-19,13.22,13.73,12.95,13.3,15753475
2010-05-20,12.89,13.06,12.47,12.51,17567564
2010-05-21,12.16,13.2,12.1,13.19,23312254
2010-05-24,13.2,13.27,12.54,12.57,13238705
2010-05-25,12.0,12.84,12.0,12.83,17999717
2010-05-26,13.04,13.17,12.41,12.51,26804370
2010-05-27,12.88,13.28,12.76,13.26,14242560
2010-05-28,13.26,13.3,12.91,13.0,12128855
2010-06-01,12.9,13.16,12.4,12.4,14394184
2010-06-02,12.55,13.05,12.46,13.05,12141417
2010-06-03,13.04,13.17,12.85,13.13,11128886
2010-06-04,12.74,12.95,12.44,12.5,17637984
2010-06-07,12.58,12.8,12.3,12.32,11397272
2010-06-08,12.38,12.7,12.05,12.67,16236677
2010-06-09,12.85,13.12,12.63,12.67,12627727
2010-06-10,13.18,13.39,12.96,13.37,13949853
2010-06-11,13.2,13.38,13.02,13.36,9033162
2010-06-14,13.5,13.74,13.29,13.53,15975035
2010-06-15,13.63,14.05,13.58,14.0,12800683
2010-06-16,13.78,14.2,13.78,14.05,14296887
2010-06-17,14.18,14.18,13.4,13.62,11219444
2010-06-18,13.69,13.78,13.49,13.58,12170648
2010-06-21,13.79,13.89,13.46,13.53,8540655
